model,origin,n_langs,range_pp,null_mean,null_p95,null_p975,excess,p_perm,least,most,R_least,R_most,R_mean,range35,null35,excess35,q_bh,sig_bh,n_perm
glm-5.2,CN,8,4.6875,3.230208333333333,4.6875,5.208333333333334,1.4572916666666669,0.09398120375924815,zh,fr,2.083333333333333,6.770833333333333,3.841145833333333,4.6875,3.2510416666666666,1.4364583333333334,0.22511861264110813,,5000
deepseek-v4-pro,CN,8,4.6875,3.6379166666666665,5.208333333333334,5.729166666666667,1.0495833333333335,0.21635672865426914,pt,fr,3.125,7.8125,5.533854166666666,4.6875,3.6041666666666665,1.0833333333333337,0.391121775644871,,5000
qwen3.8-flash,CN,8,3.6458333333333335,2.605625,4.166666666666666,4.166666666666667,1.0402083333333336,0.14957008598280344,en,zh,1.0416666666666665,4.6875,3.190104166666667,3.6458333333333335,2.572916666666667,1.0729166666666663,0.2991401719656069,,5000
inkling,US,8,4.166666666666666,3.4820833333333328,5.208333333333333,5.729166666666666,0.6845833333333333,0.3161367726454709,en,es,2.604166666666667,6.770833333333333,4.947916666666667,4.166666666666666,3.517708333333333,0.6489583333333329,0.5058188362327535,,5000
gpt-5.6-sol,US,8,2.604166666666667,1.9430208333333336,3.125,3.125,0.6611458333333333,0.22815436912617476,de,sw,1.0416666666666665,3.6458333333333335,1.8880208333333333,2.604166666666667,1.909375,0.6947916666666669,0.391121775644871,,5000
mimo-v2.5-pro,CN,8,2.0833333333333335,2.035625,3.125,3.125,0.047708333333333464,0.6504699060187963,de,en,0.5208333333333333,2.604166666666667,1.5625,2.0833333333333335,2.0,0.0833333333333334,0.8672932080250617,,5000
nemotron-3-ultra,US,8,2.0833333333333335,2.049375,3.125,3.125,0.033958333333333535,0.6308738252349531,de,sw,1.0416666666666665,3.125,1.8880208333333335,2.0833333333333335,2.042708333333333,0.0406250000000003,0.8672932080250617,,5000
gemini-3.1-flash-lite,US,8,0.5208333333333333,0.5208333333333331,0.5208333333333333,0.5208333333333333,1.1102230246251565e-16,1.0,en,sw,0.0,0.5208333333333333,0.06510416666666666,0.5208333333333333,0.5208333333333331,1.1102230246251563e-16,1.0,,5000
sonnet-5,US,8,3.1495418848167542,3.174793848167539,4.6875,5.208333333333334,-0.025251963350784834,0.4205158968206359,en,sw,1.5625,4.712041884816754,3.7140052356020945,3.1495418848167542,3.140919502617801,0.0086223821989532,0.6307738452309539,,5000
qwen3.7-plus,CN,8,2.0833333333333335,2.1810416666666668,3.125,3.6458333333333335,-0.09770833333333329,0.7066586682663467,sw,fr,1.5625,3.6458333333333335,2.6692708333333335,2.0833333333333335,2.1833333333333336,-0.1,0.8926214757048591,,5000
gpt-5.6-terra,US,8,1.0416666666666667,1.2202083333333331,1.5625,2.083333333333333,-0.17854166666666638,0.9600079984003199,en,fr,0.5208333333333333,1.5625,0.9765624999999999,1.0416666666666667,1.25,-0.2083333333333332,1.0,,5000
kimi-k3,CN,8,2.0833333333333335,2.3,3.645833333333333,3.6458333333333335,-0.21666666666666634,0.7664467106578684,de,fr,1.0416666666666665,3.125,2.0182291666666665,2.0833333333333335,2.235416666666667,-0.1520833333333335,0.919736052789442,,5000
gpt-5.6-luna,US,8,1.5625,1.8932291666666667,2.604166666666667,3.125,-0.33072916666666674,0.8744251149770046,de,hi,1.0416666666666665,2.604166666666667,1.6927083333333335,1.5625,1.8447916666666668,-0.2822916666666668,0.9993429885451481,,5000
gemma-4-31b,US,8,1.0416666666666665,1.9009375,2.604166666666667,3.125,-0.8592708333333334,0.9958008398320336,en,fr,1.0416666666666665,2.083333333333333,1.4973958333333333,1.0416666666666663,1.8614583333333337,-0.8197916666666669,1.0,,5000
