model,origin,contrast,est,lo,hi,p
mimo-v2.5-pro,CN,de - he,5.208333333333333,1.0416666666666665,9.895833333333332,0.026
minimax-m3,CN,pg - he,25.520833333333332,18.216145833333385,33.33333333333333,0.0
minimax-m3,CN,pg - de,6.25,-2.6041666666666687,15.625,0.1964
minimax-m3,CN,de - he,19.270833333333332,11.979166666666668,26.5625,0.0
qwen3.7-plus,CN,pg - he,21.875,15.625,28.645833333333332,0.0
qwen3.7-plus,CN,pg - de,9.375,1.5625,17.1875,0.0232
qwen3.7-plus,CN,de - he,12.5,7.291666666666666,17.708333333333336,0.0
qwen3.8-27b,CN,pg - he,24.999999999999996,18.216145833333385,31.770833333333336,0.0
qwen3.8-27b,CN,pg - de,11.979166666666666,3.6458333333333344,20.3125,0.0068
qwen3.8-27b,CN,de - he,13.020833333333332,7.291666666666666,19.270833333333332,0.0
qwen3.8-flash,CN,pg - he,23.958333333333336,17.708333333333336,30.729166666666664,0.0
qwen3.8-flash,CN,pg - de,11.458333333333334,3.125,19.270833333333336,0.0072
qwen3.8-flash,CN,de - he,12.499999999999998,7.291666666666667,17.708333333333336,0.0
seed-2-1-turbo,CN,pg - he,23.958333333333332,17.708333333333336,30.208333333333336,0.0
seed-2-1-turbo,CN,pg - de,13.020833333333332,5.208333333333334,20.833333333333332,0.0004
seed-2-1-turbo,CN,de - he,10.9375,6.770833333333333,15.625,0.0
