factor,bloc,mode,level,dev,lo,hi,p
context,CN,control,Media,-6.901041666666666,-14.448014755602138,0.9766489073825306,0.0796
domain,all,he,Rank,-1.6927083333333335,-3.344464574859296,-0.029813519938287607,0.0448
domain,all,he,Wealth,2.126736111111111,-1.4849931647652856,6.597829603871963,0.2912
domain,all,he,Health,-0.4774305555555556,-2.390660911652759,1.3593205796677736,0.5896
domain,all,he,Legal,5.946180555555556,0.6711165289152786,13.736924889154823,0.0148
domain,all,he,Physical,-0.13020833333333393,-2.3162179455462297,2.333600678796687,0.8688
domain,all,he,Epistemic,-2.039930555555556,-3.538400680139036,-0.6816973610633782,0.0048
domain,all,he,Status,-0.9982638888888885,-2.8590441300829057,0.9139093904115319,0.2984
domain,all,he,Attentional,-2.734375,-4.111031112315611,-1.563796353081031,0.0
domain,all,de,Rank,-6.556650060386472,-11.113068980308922,-1.3776489610831857,0.016
domain,all,de,Wealth,-1.1747056159420262,-7.094008561428174,5.582841817644866,0.7004
domain,all,de,Health,6.29057216183575,-2.6570973183365307,16.468576514384175,0.182
domain,all,de,Legal,8.04932820048309,-1.1057560746396138,17.858543428284108,0.0844
domain,all,de,Physical,-4.29970561594203,-9.423360333114191,1.0588161309199053,0.114
domain,all,de,Epistemic,-1.6955389492753603,-8.511160603281168,6.089805206874596,0.62
domain,all,de,Status,-3.778872282608696,-8.815740828625152,1.716523678841002,0.172
domain,all,de,Attentional,3.16557216183575,-4.399389264263565,11.802541388060842,0.4432
domain,all,pg,Rank,0.499131944444442,-9.737332688419105,11.112249188387096,0.9296
domain,all,pg,Wealth,3.9713541666666656,-6.639117502668143,15.75843189147169,0.4948
domain,all,pg,Health,12.651909722222223,0.9400387639919593,24.959762564506256,0.0328
domain,all,pg,Legal,4.144965277777776,-6.651524004943406,15.580469168240374,0.4928
domain,all,pg,Physical,4.492187499999992,-6.227579301690265,16.217939768127945,0.4308
domain,all,pg,Epistemic,-5.750868055555553,-13.902222292871583,3.9391095783427907,0.224
domain,all,pg,Status,-6.792534722222224,-14.50680329008146,1.7074957005879288,0.116
domain,all,pg,Attentional,-13.216145833333334,-19.103507719584073,-6.458676651774152,0.0008
domain,US,he,Rank,-0.9548611111111115,-2.842806061316721,1.2285699035780564,0.3724
domain,US,he,Wealth,0.4340277777777776,-1.9906515432974285,3.270122054161903,0.7788
domain,US,he,Health,-0.9548611111111115,-2.8002489533335435,0.9441952770733357,0.2984
domain,US,he,Legal,6.336805555555555,1.1642111438458695,14.065029032197609,0.004
domain,US,he,Physical,-0.6076388888888892,-2.430346376039151,1.2980458308155247,0.5204
domain,US,he,Epistemic,-2.34375,-3.6809070187954958,-1.1095805171352389,0.0
domain,US,he,Status,0.0868055555555556,-2.297185423390966,2.8547731360057664,0.9856
domain,US,he,Attentional,-1.996527777777778,-3.421426890300246,-0.61230476238402,0.006
domain,US,de,Rank,-5.387605676328502,-9.361963002198937,-1.0560642707012182,0.0164
domain,US,de,Wealth,-1.2209390096618353,-5.877526810103613,3.8293394842122632,0.6232
domain,US,de,Health,7.459616545893717,-1.086227709762993,17.35308386486087,0.0952
domain,US,de,Legal,8.89379528985507,-0.24771625706343828,18.869034437371603,0.0576
domain,US,de,Physical,-3.651494565217392,-7.934939137794485,1.2033220801078583,0.1236
domain,US,de,Epistemic,-3.651494565217392,-7.965047663479926,1.3548074751592347,0.144
domain,US,de,Status,-3.651494565217392,-7.868465223943226,0.8346189003505832,0.1032
domain,US,de,Attentional,1.20961654589372,-4.950894720043199,8.233342385732355,0.7444
domain,US,pg,Rank,1.6059027777777763,-7.6314035876258695,11.477335010671096,0.7408
domain,US,pg,Wealth,2.6475694444444504,-6.601381092430731,13.066158234760113,0.6112
domain,US,pg,Health,8.897569444444445,-2.106959407667681,20.482108840845566,0.12
domain,US,pg,Legal,1.9531250000000056,-7.804882422642197,12.588361109014398,0.7488
domain,US,pg,Physical,2.3003472222222268,-6.72695116712718,11.906238106655696,0.6336
domain,US,pg,Epistemic,-3.9496527777777732,-11.049186645976626,4.523272390929052,0.3216
domain,US,pg,Status,-3.2552083333333286,-10.800002739558195,4.757254505131531,0.3976
domain,US,pg,Attentional,-10.199652777777771,-15.594908395952341,-4.567366306671774,0.002
domain,CN,he,Rank,-2.4305555555555567,-4.236371519122618,-0.7176879595665139,0.0056
domain,CN,he,Wealth,3.819444444444444,-1.249022024709514,9.978212882512718,0.152
domain,CN,he,Health,-6.938893903907228e-16,-2.384041410825592,2.3416808854552427,0.9824
domain,CN,he,Legal,5.555555555555556,-0.5580038002423394,13.853408398424516,0.098
domain,CN,he,Physical,0.34722222222222165,-2.5995466292642226,3.7523921680118066,0.8816
domain,CN,he,Epistemic,-1.7361111111111123,-3.791794632437591,0.3200203293826381,0.0972
domain,CN,he,Status,-2.0833333333333344,-3.929120168293972,-0.3129145811410617,0.0244
domain,CN,he,Attentional,-3.472222222222223,-4.994771507725321,-2.154409788954936,0.0
domain,CN,de,Rank,-7.725694444444445,-13.25147824624764,-1.2908024643941707,0.0192
domain,CN,de,Wealth,-1.1284722222222265,-8.7289112360211,7.82347803033007,0.7716
domain,CN,de,Health,5.121527777777776,-4.760202225324852,16.137854032032195,0.3368
domain,CN,de,Legal,7.204861111111113,-2.4465559917198796,17.116008344583115,0.1404
domain,CN,de,Physical,-4.947916666666666,-11.669402790873077,2.0026556340128625,0.1576
domain,CN,de,Epistemic,0.2604166666666685,-9.476889774445533,11.393367167903609,0.9968
domain,CN,de,Status,-3.90625,-10.278022676326666,3.376041681487468,0.2652
domain,CN,de,Attentional,5.121527777777779,-5.050948565089753,16.11195807135391,0.3432
domain,CN,pg,Rank,-0.6076388888888895,-12.373216731221328,11.992630467004947,0.8936
domain,CN,pg,Wealth,5.295138888888889,-6.923044688772492,18.484370604765115,0.4252
domain,CN,pg,Health,16.406249999999993,3.889482828931188,29.6352827490084,0.0108
domain,CN,pg,Legal,6.336805555555553,-6.247166027163128,19.336289102852707,0.3604
domain,CN,pg,Physical,6.684027777777779,-6.669885110315661,21.042519299121544,0.3376
domain,CN,pg,Epistemic,-7.552083333333334,-17.12354743772218,3.6666708524877167,0.1796
domain,CN,pg,Status,-10.329861111111112,-19.04423093830246,-0.7224426145754259,0.0392
domain,CN,pg,Attentional,-16.23263888888889,-23.117910805093597,-7.951384741562071,0.0012
