factor,model,origin,mode,contrast,est,lo,hi,p
scale,nova-2-lite,US,he,society - individual,1.5625,-6.364496614496611,9.48786717752234,0.7184
scale,nova-2-lite,US,de,group - individual,-1.5625,-12.076430976430968,9.315009337068144,0.816
scale,nova-2-lite,US,de,society - individual,15.625,2.1850085871825002,29.091991341991324,0.026
scale,nova-2-lite,US,pg,group - individual,1.5625,-10.478100484295783,13.575323695419256,0.8084
scale,nova-2-lite,US,pg,society - individual,21.875,7.1920050383292295,35.75829725829725,0.0056
scale,nova-2-lite,US,control,group - individual,1.5625,-14.72919512750455,18.071528397264327,0.8636
scale,nova-2-lite,US,control,society - individual,-10.9375,-26.281860217941936,4.534688995215303,0.1664
scale,sonnet-5,US,he,group - individual,0.0,-4.545454545454546,4.545454545454546,1.0
scale,sonnet-5,US,he,society - individual,0.0,-4.545454545454546,4.3478260869565215,1.0
scale,sonnet-5,US,de,group - individual,-4.6875,-13.85129676248463,4.009491084133085,0.3012
scale,sonnet-5,US,de,society - individual,10.9375,-1.3663466055467641,22.685242200328403,0.0856
scale,sonnet-5,US,pg,group - individual,7.8125,-6.456553273981426,22.094377349096412,0.2936
scale,sonnet-5,US,pg,society - individual,26.5625,10.964318620568628,41.68161758767949,0.0008
scale,sonnet-5,US,control,group - individual,-1.785714285714285,-13.94596140843605,10.174822454234194,0.7664
scale,sonnet-5,US,control,society - individual,2.9017857142857153,-9.819175941413615,15.799994663335529,0.6556
scale,deepseek-v4-pro,CN,he,group - individual,1.5625,-5.454555616527447,8.450704225352112,0.6696
scale,deepseek-v4-pro,CN,he,society - individual,0.0,-6.349206349206349,6.06100544849157,1.0
scale,deepseek-v4-pro,CN,de,group - individual,-1.5625,-11.42803704257043,8.06914801921836,0.7572
scale,deepseek-v4-pro,CN,de,society - individual,9.375,-2.381488631488629,21.4767320844484,0.1348
scale,deepseek-v4-pro,CN,pg,group - individual,-9.375,-20.769198524480213,1.500270518579009,0.0948
scale,deepseek-v4-pro,CN,pg,society - individual,17.1875,1.8903868186191237,31.710363212723347,0.032
scale,deepseek-v4-pro,CN,control,group - individual,3.125,-10.319591405916064,16.556119599742285,0.6424
scale,deepseek-v4-pro,CN,control,society - individual,-1.5625,-14.584134615384613,11.605979509636956,0.8196
scale,glm-5.2,CN,he,group - individual,-1.5625,-8.485329286113318,5.095160042658011,0.6612
scale,glm-5.2,CN,he,society - individual,-3.125,-9.45945945945946,2.6532547285679144,0.314
scale,glm-5.2,CN,de,group - individual,-3.125,-16.980373816024535,10.552111562374828,0.662
scale,glm-5.2,CN,de,society - individual,15.625,0.0,30.88053632103974,0.0508
scale,glm-5.2,CN,pg,group - individual,9.375,-5.199338751894197,24.28096120962939,0.208
scale,glm-5.2,CN,pg,society - individual,39.0625,22.916666666666668,53.664303539019954,0.0
scale,glm-5.2,CN,control,group - individual,-1.5625,-17.260469848316678,14.06464500214499,0.8552
scale,glm-5.2,CN,control,society - individual,-7.8125,-22.98433669196381,7.419657403528364,0.3128
scale,hy3,CN,he,group - individual,3.125,-3.893442622950808,10.816752719896723,0.4212
scale,hy3,CN,he,society - individual,1.5625,-5.140365210919436,8.249424163407202,0.6684
scale,hy3,CN,de,group - individual,-4.6875,-16.66874376869391,7.572515098305263,0.4588
scale,hy3,CN,de,society - individual,35.9375,20.017233760494925,50.88261554621848,0.0
scale,hy3,CN,pg,group - individual,6.25,-7.371418457437946,19.5763014757386,0.3544
scale,hy3,CN,pg,society - individual,37.5,22.02870680044593,52.333543489449305,0.0
scale,hy3,CN,control,group - individual,9.375,-3.8435269305645567,22.6142624710372,0.162
scale,hy3,CN,control,society - individual,3.125,-9.402995802426542,15.467047568429434,0.604
scale,kimi-k2.6,CN,he,group - individual,4.6875,-2.8169014084507045,12.708487642539627,0.23
scale,kimi-k2.6,CN,he,society - individual,-1.5625,-6.896551724137931,3.389830508474576,0.62
scale,kimi-k2.6,CN,de,group - individual,-12.5,-25.269435326052648,0.41643706662993063,0.0588
scale,kimi-k2.6,CN,de,society - individual,10.9375,-4.805092186128177,26.480475758279333,0.1788
scale,kimi-k2.6,CN,pg,group - individual,-3.125,-15.184615094054537,8.939593301435405,0.5852
scale,kimi-k2.6,CN,pg,society - individual,34.375,18.38853382930092,49.38601456839275,0.0
scale,kimi-k2.6,CN,control,group - individual,-6.25,-18.971181459961258,6.5724876760318365,0.3364
scale,kimi-k2.6,CN,control,society - individual,3.125,-10.984437120736555,17.427883625777667,0.6696
scale,kimi-k3,CN,he,group - individual,1.5625,-3.511363487421073,7.083487052849743,0.604
scale,kimi-k3,CN,he,society - individual,0.0,-4.412266042780747,4.411764705882353,1.0
scale,kimi-k3,CN,de,group - individual,1.5625,-4.918032786885246,8.542358841684813,0.6676
scale,kimi-k3,CN,de,society - individual,12.5,2.658687025534852,22.682597140762446,0.0152
scale,kimi-k3,CN,pg,group - individual,-1.5625,-10.50768691752505,7.105608451185661,0.7172
scale,kimi-k3,CN,pg,society - individual,32.8125,18.47366643369299,46.49147423730092,0.0
scale,kimi-k3,CN,control,group - individual,3.125,-9.744491263855712,15.795683034059005,0.6636
scale,kimi-k3,CN,control,society - individual,-3.125,-14.827769459910481,8.695652173913041,0.6032
scale,ling-3.0-flash,CN,he,group - individual,1.5625,-6.411163522012574,9.523962148962147,0.7044
scale,ling-3.0-flash,CN,he,society - individual,7.8125,-1.7186353631694788,17.86260376472011,0.1104
scale,ling-3.0-flash,CN,de,group - individual,-7.8125,-20.915416742881522,4.901234151352222,0.2324
scale,ling-3.0-flash,CN,de,society - individual,14.0625,-1.7254846602672673,29.070934699103706,0.0788
scale,ling-3.0-flash,CN,pg,group - individual,-9.375,-23.08327974168452,4.416836882398333,0.1812
scale,ling-3.0-flash,CN,pg,society - individual,18.75,2.34728401223985,34.286762716450205,0.026
scale,ling-3.0-flash,CN,control,group - individual,-6.25,-20.967944765366394,8.732115342284805,0.404
scale,ling-3.0-flash,CN,control,society - individual,-4.6875,-19.64480129509297,10.608137461130388,0.5384
scale,mimo-v2.5-pro,CN,he,group - individual,-3.125,-9.67741935483871,2.5473789512187235,0.3116
scale,mimo-v2.5-pro,CN,he,society - individual,-3.125,-9.45945945945946,1.9832416185391017,0.3048
scale,mimo-v2.5-pro,CN,de,group - individual,0.0,-8.93719806763285,9.409294150451096,0.9936
scale,mimo-v2.5-pro,CN,de,society - individual,0.0,-9.488961830104472,9.460566115896265,0.9816
scale,mimo-v2.5-pro,CN,pg,group - individual,0.0,-11.780491913746632,11.260564663023661,0.9992
scale,mimo-v2.5-pro,CN,pg,society - individual,15.625,1.4375630588317196,28.876619888680217,0.0268
scale,mimo-v2.5-pro,CN,control,group - individual,0.0,-14.262164556007843,14.012942883975066,0.9948
scale,mimo-v2.5-pro,CN,control,society - individual,-3.125,-16.778433760457474,10.35793914339928,0.644
scale,minimax-m3,CN,he,group - individual,1.5625,-5.042513981699597,8.214408023483365,0.6728
scale,minimax-m3,CN,he,society - individual,7.8125,-0.5955086580086568,16.722176502000703,0.074
scale,minimax-m3,CN,de,group - individual,4.6875,-10.666569257744007,19.285916951900553,0.5552
scale,minimax-m3,CN,de,society - individual,1.5625,-12.980685918435158,16.416679135650064,0.8516
scale,minimax-m3,CN,pg,group - individual,0.0,-15.81346007324207,15.194067458680527,0.99
scale,minimax-m3,CN,pg,society - individual,15.625,-1.1766287160025253,31.71051578286925,0.0704
scale,minimax-m3,CN,control,group - individual,-4.6875,-20.5451427830519,11.340012599340952,0.5472
scale,minimax-m3,CN,control,society - individual,0.0,-16.313293820646756,16.094796169166873,0.9784
scale,qwen3.7-plus,CN,he,group - individual,3.125,0.0,7.936507936507936,0.2604
scale,qwen3.7-plus,CN,he,society - individual,3.125,0.0,7.936507936507936,0.2696
scale,qwen3.7-plus,CN,de,group - individual,-4.6875,-16.330848977613254,7.292377481389568,0.4304
scale,qwen3.7-plus,CN,de,society - individual,1.5625,-11.073058471379362,14.065294451210821,0.8352
scale,qwen3.7-plus,CN,pg,group - individual,-1.5625,-12.738483436853002,9.422188535835934,0.7956
scale,qwen3.7-plus,CN,pg,society - individual,35.9375,20.823185826316358,50.49373536215638,0.0
scale,qwen3.7-plus,CN,control,group - individual,6.25,-8.579300333074237,21.489130940743838,0.4088
scale,qwen3.7-plus,CN,control,society - individual,3.125,-11.350661489790042,17.95024875621888,0.6772
scale,qwen3.8-27b,CN,he,group - individual,0.0,-6.0606060606060606,5.970149253731343,1.0
scale,qwen3.8-27b,CN,he,society - individual,1.5625,-4.994888409598812,8.333333333333332,0.6808
scale,qwen3.8-27b,CN,de,group - individual,-3.125,-14.330985595561152,7.6885874542124535,0.5672
scale,qwen3.8-27b,CN,de,society - individual,15.625,2.0428759227424416,29.20537689001405,0.0248
scale,qwen3.8-27b,CN,pg,group - individual,0.0,-13.339838075545876,13.071548725551688,1.0
scale,qwen3.8-27b,CN,pg,society - individual,34.375,18.405675976593354,49.34645437122217,0.0004
scale,qwen3.8-27b,CN,control,group - individual,-4.6875,-20.622030688238315,11.25051229508196,0.57
scale,qwen3.8-27b,CN,control,society - individual,-7.8125,-23.98831723831723,8.190754248943891,0.3452
scale,qwen3.8-flash,CN,he,group - individual,1.5625,0.0,5.172413793103448,0.7296
scale,qwen3.8-flash,CN,he,society - individual,1.5625,0.0,5.357142857142857,0.7328
scale,qwen3.8-flash,CN,de,group - individual,4.6875,-5.374521873143194,15.493296140479233,0.366
scale,qwen3.8-flash,CN,de,society - individual,12.5,0.8656325100485761,24.43506493506493,0.0392
scale,qwen3.8-flash,CN,pg,group - individual,4.6875,-7.705899489032901,17.12867445083853,0.4616
scale,qwen3.8-flash,CN,pg,society - individual,32.8125,17.832627313220378,46.9260004471272,0.0
scale,qwen3.8-flash,CN,control,group - individual,1.5625,-13.661202185792348,15.912963127729457,0.8376
scale,qwen3.8-flash,CN,control,society - individual,-6.25,-20.61741744259448,8.106299339931201,0.3884
scale,seed-2-1-turbo,CN,he,group - individual,1.5625,0.0,5.172413793103448,0.7296
scale,seed-2-1-turbo,CN,he,society - individual,0.0,0.0,0.0,1.0
scale,seed-2-1-turbo,CN,de,group - individual,-3.125,-10.80533650197513,4.12245709392147,0.4052
scale,seed-2-1-turbo,CN,de,society - individual,18.75,6.484680973684322,30.897653611732668,0.0024
scale,seed-2-1-turbo,CN,pg,group - individual,4.6875,-6.349631120053653,15.701363957163458,0.4156
scale,seed-2-1-turbo,CN,pg,society - individual,40.625,26.123038993139623,54.41377526747285,0.0
scale,seed-2-1-turbo,CN,control,group - individual,-9.375,-19.64420995670995,0.9798510612515944,0.0736
scale,seed-2-1-turbo,CN,control,society - individual,-3.125,-14.893923215149629,8.981658628266388,0.6076
standing,gemini-3.1-flash-lite,US,he,med - low,0.0,0.0,0.0,1.0
standing,gemini-3.1-flash-lite,US,he,high - low,0.0,0.0,0.0,1.0
standing,gemini-3.1-flash-lite,US,de,med - low,0.0,0.0,0.0,1.0
standing,gemini-3.1-flash-lite,US,de,high - low,1.5625,0.0,5.263157894736842,0.722
standing,gemini-3.1-flash-lite,US,pg,med - low,0.0,-4.689360119047611,4.545454545454546,1.0
standing,gemini-3.1-flash-lite,US,pg,high - low,3.125,-2.5490276702786376,9.473067915690848,0.3272
standing,gemini-3.1-flash-lite,US,control,med - low,4.6875,0.0,10.528309409888328,0.0976
standing,gemini-3.1-flash-lite,US,control,high - low,1.5625,0.0,5.172413793103448,0.702
standing,gemma-4-31b,US,he,med - low,0.0,0.0,0.0,1.0
standing,gemma-4-31b,US,he,high - low,3.125,0.0,8.19672131147541,0.276
standing,gemma-4-31b,US,de,med - low,4.6875,0.0,10.606060606060606,0.0924
standing,gemma-4-31b,US,de,high - low,1.5625,0.0,5.263157894736842,0.722
standing,gemma-4-31b,US,pg,med - low,-1.5625,-9.67741935483871,6.549423601981999,0.7132
standing,gemma-4-31b,US,pg,high - low,1.5625,-7.034010561073871,10.512860373092144,0.7188
standing,gemma-4-31b,US,control,med - low,-6.25,-17.03038350386628,3.809593632174276,0.2256
standing,gemma-4-31b,US,control,high - low,-7.8125,-17.857820547573862,2.0220588235294117,0.1128
standing,gpt-5.6-luna,US,he,med - low,0.0,0.0,0.0,1.0
standing,gpt-5.6-luna,US,he,high - low,4.6875,0.0,10.606060606060606,0.0864
standing,gpt-5.6-luna,US,de,med - low,-3.125,-9.743741187112558,2.5491100603544323,0.33
standing,gpt-5.6-luna,US,de,high - low,-1.5625,-8.627509106409361,5.153018439842494,0.6588
standing,gpt-5.6-luna,US,pg,med - low,6.25,-6.002038043478262,18.99108821807947,0.3352
standing,gpt-5.6-luna,US,pg,high - low,10.9375,-2.0050544421253798,24.393977591036396,0.1
standing,gpt-5.6-luna,US,control,med - low,-3.125,-16.667340106211032,10.23874335030043,0.6332
standing,gpt-5.6-luna,US,control,high - low,4.6875,-9.643488455988455,19.11905517362944,0.5012
standing,gpt-5.6-sol,US,he,med - low,-1.5625,-5.172413793103448,0.0,0.7264
standing,gpt-5.6-sol,US,he,high - low,1.5625,-3.338136511375943,6.896551724137931,0.6268
standing,gpt-5.6-sol,US,de,med - low,-6.25,-14.864864864864865,1.7188041357428092,0.1276
standing,gpt-5.6-sol,US,de,high - low,-1.5625,-11.340772476105137,8.182671788305578,0.762
standing,gpt-5.6-sol,US,pg,med - low,-1.5625,-14.471385116015847,11.333512366285508,0.8208
standing,gpt-5.6-sol,US,pg,high - low,14.0625,-0.6356258683844892,29.184039778545824,0.0596
standing,gpt-5.6-sol,US,control,med - low,-9.375,-23.497667150031535,4.89539722886762,0.1932
standing,gpt-5.6-sol,US,control,high - low,9.375,-6.094540712961763,25.19867439097864,0.2364
standing,gpt-5.6-terra,US,he,med - low,0.0,0.0,0.0,1.0
standing,gpt-5.6-terra,US,he,high - low,1.5625,0.0,5.172413793103448,0.7296
standing,gpt-5.6-terra,US,de,med - low,1.5625,-5.0,8.61832754582896,0.6868
standing,gpt-5.6-terra,US,de,high - low,0.0,-6.274447961120232,6.25,1.0
standing,gpt-5.6-terra,US,pg,med - low,0.0,-13.02159926470588,12.604447115384612,1.0
standing,gpt-5.6-terra,US,pg,high - low,1.5625,-11.35515107682417,14.625117122633192,0.8052
standing,gpt-5.6-terra,US,control,med - low,-4.6875,-17.345284608704794,7.713995614641564,0.4668
standing,gpt-5.6-terra,US,control,high - low,4.6875,-9.44131794131794,18.84458093538279,0.4976
standing,grok-4.3,US,he,med - low,0.0,-7.185278185977275,7.715617715617716,1.0
standing,grok-4.3,US,he,high - low,3.125,-4.827271322765194,11.81892697466467,0.4712
standing,grok-4.3,US,de,med - low,-9.375,-26.610186831174314,8.57142857142857,0.3124
standing,grok-4.3,US,de,high - low,-10.9375,-28.23762202709571,6.680804636698802,0.2296
standing,grok-4.3,US,pg,med - low,4.6875,-12.381145170618854,22.081464969524646,0.6108
standing,grok-4.3,US,pg,high - low,9.375,-7.746675865759219,27.022535587456343,0.2956
standing,grok-4.3,US,control,med - low,-12.5,-29.00369475701239,4.357638888888868,0.1408
standing,grok-4.3,US,control,high - low,-3.125,-19.609047856430706,14.11249750324578,0.71
standing,haiku-4.5,US,he,med - low,-1.5625,-10.555741360089186,7.250225738040024,0.7524
standing,haiku-4.5,US,he,high - low,9.375,-1.7861665607681148,20.895576413300294,0.1076
standing,haiku-4.5,US,de,med - low,-12.5,-25.730714403201926,0.13322270789486984,0.0532
standing,haiku-4.5,US,de,high - low,-3.125,-17.360544217687075,11.106448962216406,0.6856
standing,haiku-4.5,US,pg,med - low,9.375,-6.190886699507388,24.974037782485865,0.254
standing,haiku-4.5,US,pg,high - low,25.0,9.310270189580534,40.67668207498714,0.002
standing,haiku-4.5,US,control,med - low,-10.9375,-25.933077487536316,4.805412329605876,0.1724
standing,haiku-4.5,US,control,high - low,3.125,-13.556229040152271,19.216478696741827,0.7108
standing,inkling,US,he,med - low,0.0,-4.421922824223191,4.5227272727272645,1.0
standing,inkling,US,he,high - low,3.125,-2.653001724140341,9.375,0.312
standing,inkling,US,de,med - low,-10.9375,-22.843442378278592,0.9112145482282743,0.0756
standing,inkling,US,de,high - low,-3.125,-16.078728864734295,10.030987388598266,0.6512
standing,inkling,US,pg,med - low,0.0,-14.312880290785145,14.436227333278955,0.9936
standing,inkling,US,pg,high - low,7.8125,-7.587027914614117,23.307880967016516,0.3004
standing,inkling,US,control,med - low,-3.125,-17.619933345343174,12.0212309003869,0.6904
standing,inkling,US,control,high - low,-1.5625,-15.982547218142692,13.247350350798618,0.8656
standing,nemotron-3-ultra,US,he,med - low,0.0,-4.285714285714286,4.348840985669615,1.0
standing,nemotron-3-ultra,US,he,high - low,0.0,-4.3478260869565215,4.477611940298507,1.0
standing,nemotron-3-ultra,US,de,med - low,-9.375,-22.632477567298107,3.919765153149257,0.1628
standing,nemotron-3-ultra,US,de,high - low,-9.375,-22.56949404761905,3.368183492999235,0.158
standing,nemotron-3-ultra,US,pg,med - low,-10.9375,-24.79860006815084,3.0309343434343345,0.1284
standing,nemotron-3-ultra,US,pg,high - low,-1.5625,-16.723869126043038,13.788182853319514,0.8628
standing,nemotron-3-ultra,US,control,med - low,-7.8125,-21.558651026392965,6.336696260425069,0.2572
standing,nemotron-3-ultra,US,control,high - low,-3.125,-17.086510263929615,11.589601712155021,0.6904
standing,nemotron-3.5-lightning,US,he,med - low,0.0,0.0,0.0,1.0
standing,nemotron-3.5-lightning,US,he,high - low,1.5625,0.0,5.172413793103448,0.7296
standing,nemotron-3.5-lightning,US,de,med - low,-4.6875,-13.882790112767228,4.19338124562005,0.2916
standing,nemotron-3.5-lightning,US,de,high - low,-4.613095238095238,-13.6899233805433,4.091358500256799,0.3068
standing,nemotron-3.5-lightning,US,pg,med - low,1.5625,-7.265308075009565,10.332907140476234,0.754
standing,nemotron-3.5-lightning,US,pg,high - low,4.6875,-4.967974965323151,14.462459706910092,0.3372
standing,nemotron-3.5-lightning,US,control,med - low,-7.8125,-19.3673641027055,4.07281801040088,0.2016
standing,nemotron-3.5-lightning,US,control,high - low,1.5625,-11.392518939393934,15.161936854830916,0.8176
standing,nova-2-lite,US,he,med - low,-6.25,-12.730519480519465,-1.4487577639751628,0.038
standing,nova-2-lite,US,he,high - low,3.125,-6.193757568032627,12.458638105189818,0.5032
standing,nova-2-lite,US,de,med - low,-14.0625,-26.248802427081113,-2.077617218462293,0.0216
standing,nova-2-lite,US,de,high - low,-4.6875,-18.552278493364557,8.989619328206661,0.4964
standing,nova-2-lite,US,pg,med - low,15.625,3.789207528407015,27.87682110882602,0.0112
standing,nova-2-lite,US,pg,high - low,26.5625,13.11188824121198,40.02764538047959,0.0
standing,nova-2-lite,US,control,med - low,-14.0625,-29.621944232238345,2.0351004759386537,0.0908
standing,nova-2-lite,US,control,high - low,0.0,-16.60607721349409,16.50392437156111,0.9868
standing,sonnet-5,US,he,med - low,-1.5625,-5.172413793103448,0.0,0.71
standing,sonnet-5,US,he,high - low,1.5625,-3.389830508474576,7.017543859649122,0.6232
standing,sonnet-5,US,de,med - low,-3.125,-12.434048736865638,6.105095884507648,0.4956
standing,sonnet-5,US,de,high - low,9.375,-2.513189608582481,21.53970373967944,0.1276
standing,sonnet-5,US,pg,med - low,-1.5625,-16.629599636551806,13.030552780552778,0.8148
standing,sonnet-5,US,pg,high - low,12.5,-4.016730558070536,28.862626613582115,0.1296
standing,sonnet-5,US,control,med - low,-7.8125,-18.947120116756604,3.1389215481621076,0.1716
standing,sonnet-5,US,control,high - low,5.0099206349206336,-8.17504367618879,18.58170019467877,0.4584
standing,deepseek-v4-pro,CN,he,med - low,-3.125,-8.064516129032258,0.0,0.2808
standing,deepseek-v4-pro,CN,he,high - low,4.6875,-2.83549097486762,12.698412698412698,0.2388
standing,deepseek-v4-pro,CN,de,med - low,-14.0625,-25.0,-3.2785665495706495,0.0096
standing,deepseek-v4-pro,CN,de,high - low,-6.25,-18.433261183261184,6.241692155555042,0.332
standing,deepseek-v4-pro,CN,pg,med - low,1.5625,-11.169314537958606,14.80409732341437,0.808
standing,deepseek-v4-pro,CN,pg,high - low,10.9375,-2.949404761904759,25.08796604024412,0.1232
