factor,level,pairing,mode,bloc,n_models_bias_defined,bias,bias_lo,bias_hi,bias_p,delta_pp,delta_lo,delta_hi,delta_p
scale,individual,cn_ally,pg,US,11,0.29509379509379513,0.04853252511006523,0.6520911351720174,0.0184,5.729166666666666,3.2828282828282838,8.19214924670433,0.0
scale,individual,cn_ally,pg,CN,12,0.2647879897879898,0.06890117212274546,0.46192957228744685,0.006,3.7760416666666665,1.1111111111111116,6.495220588235292,0.0076
scale,individual,cn_ally,control,all,24,0.2483405483405483,0.07832840468710034,0.42547958080566706,0.008,2.4129877645502646,0.6129699775533114,4.254058744834296,0.01
scale,individual,cn_ally,control,US,12,0.33934583934583934,0.1179571508738176,0.6033115243342515,0.0036,3.3936838624338628,1.441736278580249,5.269721903913079,0.0004
scale,individual,cn_ally,control,CN,12,0.15733525733525733,-0.06446608946608941,0.36772995522995516,0.168,1.4322916666666665,-1.1363636363636358,4.022988505747127,0.2808
scale,individual,cn_rival,he,all,22,0.506060606060606,0.23511607142857144,0.6881788119288117,0.0008,2.604166666666667,1.0896739130434787,4.231823336693548,0.0008
scale,individual,cn_rival,he,US,11,0.6484848484848484,0.32839285714285793,0.857380952380949,0.0028,2.994791666666667,1.3283586381412473,4.908726761252446,0.0004
scale,individual,cn_rival,he,CN,11,0.3636363636363636,0.048463203463203534,0.682547619047619,0.0248,2.213541666666667,0.1411271649532281,4.545454545454545,0.038
scale,individual,cn_rival,de,all,23,0.09916006130839891,-0.10423658626823584,0.2513453222978394,0.4236,0.7151124338624338,-1.5536986676785558,2.9921403420523145,0.5324
scale,individual,cn_rival,de,US,11,0.137962037962038,-0.19445105820105818,0.32592712842712845,0.5536,0.5187665343915344,-1.7678837555886728,2.7046662414965956,0.6664
scale,individual,cn_rival,de,CN,12,0.06359158270922977,-0.1690691253191253,0.3287090624022442,0.592,0.9114583333333334,-2.6516523935002185,4.475605413105408,0.6044
scale,individual,cn_rival,pg,all,24,-0.1115455146705147,-0.2201177296448678,0.07988496018242001,0.2944,-0.8463541666666666,-2.7777777777777777,1.1243386243386242,0.4152
scale,individual,cn_rival,pg,US,12,-0.2568783068783069,-0.4215919481646508,0.08528302987861806,0.1304,-1.171875,-3.6723163841807898,1.2823275862068928,0.3644
scale,individual,cn_rival,pg,CN,12,0.03378727753727753,-0.1508166486291486,0.20865104564553086,0.6824,-0.5208333333333333,-3.1864048811013768,2.206073835784311,0.72
scale,individual,cn_rival,control,all,24,0.0661976911976912,-0.043507803658585184,0.3106856833642547,0.1844,1.8993882275132274,0.3918957200207197,3.4770964551852157,0.0152
scale,individual,cn_rival,control,US,12,-0.020580808080808078,-0.1849721921596921,0.4201190476190474,0.5852,2.626901455026455,0.5273114197906528,4.7326344642349545,0.0124
scale,individual,cn_rival,control,CN,12,0.15297619047619046,-0.0767960858585858,0.378556246993747,0.176,1.171875,-1.0608766233766218,3.4313725490196076,0.3108
scale,individual,cn_neutral,he,all,20,0.3109022556390978,0.14161144605579998,0.5579803138360607,0.0004,2.083333333333333,0.9433962264150944,3.3472748960117404,0.0
scale,individual,cn_neutral,he,US,9,0.29142300194931775,-0.14285714285714285,0.6666666666666666,0.1832,2.213541666666667,0.4032258064516132,3.974358974358975,0.0208
scale,individual,cn_neutral,he,CN,11,0.3268398268398269,0.12,0.7037131519274376,0.0048,1.953125,0.606005709266579,3.5024154589371985,0.0024
scale,individual,cn_neutral,de,all,24,0.1713704971928656,-0.0009813537157286581,0.36154256371647675,0.052,2.9265873015873014,0.859512786596121,4.849752263273795,0.0088
scale,individual,cn_neutral,de,US,12,-0.00679349889876205,-0.2959862012987011,0.2878960055096416,0.9448,1.4260912698412698,-0.914051226551226,3.6723772647574515,0.2276
scale,individual,cn_neutral,de,CN,12,0.34953449328449326,0.13794166431394705,0.561547619047619,0.0016,4.427083333333334,1.1006289308176107,7.692307692307692,0.0072
scale,individual,cn_neutral,pg,all,24,0.20240217299040827,0.026668977692087058,0.41651788655185357,0.0252,3.1901041666666665,1.1473429951690821,5.1388888888888875,0.0036
scale,individual,cn_neutral,pg,US,12,0.11751443001443002,-0.10471069099745568,0.44658227121462407,0.2596,2.473958333333333,-0.24518949370793083,5.000000000000001,0.0736
scale,individual,cn_neutral,pg,CN,12,0.2872899159663866,0.04712585589791492,0.5055196667764602,0.0176,3.90625,1.019897959183675,6.830601092896174,0.01
scale,individual,cn_neutral,control,all,23,0.0014989841076797567,-0.19618719664174208,0.1631805348086066,0.828,-0.8515211640211641,-2.6581293130660035,0.994026481331167,0.3616
scale,individual,cn_neutral,control,US,11,0.01443001443001442,-0.2691296077659714,0.24895941558441545,0.8872,0.11987433862433866,-2.269705382285745,2.47338254614374,0.926
scale,individual,cn_neutral,control,CN,12,-0.010354460354460355,-0.23191074040338744,0.17802872474747447,0.824,-1.8229166666666667,-4.230820105820105,0.5376344086021502,0.1328
scale,individual,us_cn,he,all,21,-0.1253968253968254,-0.37059671236915814,0.13277310924369745,0.2828,-0.6510416666666667,-1.8817204301075265,0.5208333333333333,0.2608
scale,individual,us_cn,he,US,10,0.04,-0.3071937866055513,0.4166666666666667,0.9416,-0.390625,-1.7678837555886724,0.9661835748792267,0.5708
scale,individual,us_cn,he,CN,11,-0.27575757575757576,-0.6215401785714285,0.043334656084656066,0.088,-0.9114583333333334,-2.487562189054726,0.5291005291005291,0.2168
scale,individual,us_cn,de,all,23,0.15789697208461512,-0.02416474610150501,0.3215119089847349,0.0792,1.3020833333333335,-0.9061041513141724,3.439225327812282,0.234
scale,individual,us_cn,de,US,11,0.24141414141414144,-0.0008810633810633189,0.4634927194018104,0.052,1.0416666666666665,-1.0586277521761374,3.2738095238095224,0.3672
scale,individual,us_cn,de,CN,12,0.08133956686588266,-0.13164667477989847,0.2733512347466484,0.42,1.5625,-1.7676767676767675,4.615740740740735,0.3368
scale,individual,us_cn,pg,all,24,0.0318203038791274,-0.17582912635596978,0.22298942754105788,0.7008,0.26041666666666663,-1.719576719576719,2.2621753246753213,0.8128
scale,individual,us_cn,pg,US,12,0.047751322751322746,-0.2864562289562288,0.3604500360750361,0.6936,0.5208333333333333,-1.8267778001611592,2.9321531038080333,0.678
scale,individual,us_cn,pg,CN,12,0.015889285006932066,-0.17405437343294888,0.19248477227369742,0.8568,0.0,-2.9949218749999997,2.898550724637681,0.9988
scale,individual,us_cn,control,all,24,-0.013588726088726093,-0.2144347404365787,0.1867324342324341,0.8916,-0.4526289682539683,-2.078909968270757,1.212314127155878,0.5928
scale,individual,us_cn,control,US,12,-0.027177452177452186,-0.301862209759937,0.25203679653679606,0.81,-0.7750496031746033,-3.01730439604759,1.4925858039238504,0.4988
scale,individual,us_cn,control,CN,12,9.25185853854297e-18,-0.26204050306991483,0.25,0.9824,-0.13020833333333331,-2.4590163934426217,2.193304953560367,0.94
scale,individual,allies,he,all,22,-0.24253246753246752,-0.5237100168350168,-0.12260897435897451,0.0012,-2.083333333333333,-3.346994535519126,-0.9468169599218007,0.0004
scale,individual,allies,he,US,10,-0.020476190476190453,-0.5041815476190475,0.1591259820426482,0.3892,-1.8229166666666667,-3.0423280423280423,-0.4830917874396135,0.0116
scale,individual,allies,he,CN,12,-0.4275793650793651,-0.6613508461235733,-0.20176316738816746,0.0004,-2.34375,-4.435483870967741,-0.5208333333333333,0.014
scale,individual,allies,de,all,24,0.31826795889295895,0.04671972138137561,0.47542168382504507,0.0216,2.6703042328042326,0.7791245249865486,4.678390688259109,0.006
scale,individual,allies,de,US,12,0.400760582010582,0.006208789281706125,0.6291520979020978,0.048,2.2156084656084656,-0.26465693804403434,4.74547609508547,0.0772
scale,individual,allies,de,CN,12,0.2357753357753358,-0.013706766718130356,0.4683075604950603,0.0672,3.125,0.6096637102734669,5.714285714285714,0.0124
scale,individual,allies,pg,all,23,0.19724853861682504,0.006571827793418749,0.3485845538958186,0.0384,1.953125,-0.2733378870673946,4.230794270833334,0.0888
scale,individual,allies,pg,US,11,0.31791037245582704,0.06091296203796212,0.5078955438500892,0.014,2.473958333333333,-0.2873563218390798,5.166810344827585,0.0856
scale,individual,allies,pg,CN,12,0.08664185759773994,-0.1442389381451881,0.30964475011385745,0.462,1.4322916666666665,-1.6130899044205484,4.583333333333333,0.382
scale,individual,allies,control,all,23,0.11532091097308486,-0.09503571186777376,0.28362562877588443,0.3288,0.2593832671957672,-1.416123880746178,1.9143078978047734,0.7628
scale,individual,allies,control,US,11,0.187012987012987,-0.14815277777777774,0.4275012487512485,0.318,0.5187665343915344,-1.3485868902866804,2.4190196765943406,0.6108
scale,individual,allies,control,CN,12,0.049603174603174614,-0.23486482116916893,0.3078175354737854,0.74,0.0,-2.9850746268656714,2.976412579957353,1.0
scale,individual,neutrals,he,all,20,-0.10357142857142854,-0.4660034013605442,0.16223015873015864,0.4888,-0.4557291666666667,-1.3059701492537314,0.42376484492101907,0.3248
scale,individual,neutrals,he,US,10,-0.1595238095238095,-0.6666666666666666,0.34286525974025966,0.4704,-0.6510416666666667,-2.1164021164021163,0.6722487382049568,0.3756
scale,individual,neutrals,he,CN,10,-0.04761904761904763,-0.5,0.28968915343915336,0.7888,-0.26041666666666663,-1.5931372549019607,1.0420800264550207,0.7276
scale,individual,neutrals,de,all,23,0.039615457006761334,-0.12178017281292679,0.19937482549697602,0.6564,-0.06407076719576721,-1.5385124135124135,1.3596117424242418,0.9484
scale,individual,neutrals,de,US,11,0.1209013209013209,-0.18269480519480513,0.4177526177526178,0.4616,0.26248346560846564,-1.6393960092730582,2.17953096539162,0.78
scale,individual,neutrals,de,CN,12,-0.034896584896584905,-0.24297006686952335,0.16366388711308463,0.7436,-0.390625,-3.2828282828282824,2.6392045454545414,0.794
scale,individual,neutrals,pg,all,24,-0.016749338624338615,-0.19514285660309688,0.1418347073677955,0.7436,-0.13020833333333331,-1.6782623341625211,1.3681814143567874,0.892
scale,individual,neutrals,pg,US,12,0.03756613756613757,-0.23377834398222097,0.26147318425974553,0.8996,1.0416666666666665,-0.8928571428571422,2.9874213836477983,0.2952
scale,individual,neutrals,pg,CN,12,-0.07106481481481479,-0.2829479759075347,0.12718977781477744,0.4884,-1.3020833333333335,-3.5519125683060113,1.0104332801701181,0.2696
scale,individual,neutrals,control,all,23,0.04191750278706802,-0.19352135298563863,0.22131165551620094,0.916,0.06613756613756613,-1.4130627623642225,1.5492299981775088,0.9016
scale,individual,neutrals,control,US,11,0.00043290043290046163,-0.4,0.26477976190476166,0.696,-0.779183201058201,-2.4590163934426226,0.9028872622622608,0.3876
scale,individual,neutrals,control,CN,12,0.07994505494505494,-0.13257882395382395,0.3133799607997468,0.5016,0.9114583333333334,-1.0755610098176704,2.864583333333333,0.3824
scale,group,us_ally,he,all,16,0.04404761904761906,-0.27778846153846143,0.4222247990105133,0.6984,0.5197999338624338,-0.674179499240773,1.730902777777776,0.4056
scale,group,us_ally,he,US,6,0.26666666666666666,-0.06666666666666665,0.7,0.1116,1.171875,0.13222346230158752,2.2849462365591395,0.032
scale,group,us_ally,he,CN,10,-0.08952380952380953,-0.5250033068783069,0.36444791666666665,0.8504,-0.13227513227513227,-1.881720430107527,1.6374699519230769,0.884
scale,group,us_ally,de,all,21,0.1914254500720666,0.047673960067710124,0.40160263925888906,0.016,2.2187086640211637,0.9146715552965552,3.4739611809732085,0.0012
scale,group,us_ally,de,US,9,0.03280423280423278,-0.21550925925925923,0.5411348175633888,0.546,1.171875,-0.5708746654070216,2.948717948717949,0.1924
scale,group,us_ally,de,CN,12,0.31039136302294196,0.07897727272727283,0.500734126984127,0.0052,3.265542328042328,1.1691256541020898,5.2530131764498496,0.0036
scale,group,us_ally,pg,all,23,0.14885452711539668,-0.05499600037643516,0.3294375408266072,0.1552,1.8260168650793651,-0.36677965196968093,3.909600368269723,0.094
scale,group,us_ally,pg,US,11,0.1039485766758494,-0.16829982152350573,0.35044741532976814,0.452,1.9593253968253967,-0.5848605889724308,4.423772483555092,0.1344
scale,group,us_ally,pg,CN,12,0.190018315018315,-0.04316501309148359,0.4010084258062198,0.1128,1.6927083333333333,-0.8197202339721389,4.28580182072829,0.1948
scale,group,us_ally,control,all,24,0.0015186202686202678,-0.18552642405903266,0.1825338248707812,0.9596,0.06510416666666666,-1.2821691176470587,1.5027322404371588,0.9548
scale,group,us_ally,control,US,12,0.08650793650793652,-0.1838825757575756,0.3668983667847302,0.5028,0.9114583333333334,-0.883838383838383,2.777777777777778,0.3428
scale,group,us_ally,control,CN,12,-0.08347069597069597,-0.3665652056277056,0.1777809343434343,0.546,-0.78125,-3.070344129554655,1.538690476190473,0.5096
scale,group,us_rival,he,all,19,0.037092731829573934,-0.3169713804713805,0.23740312791783372,0.9828,-0.45676256613756616,-1.5870557875328433,0.6249999999999996,0.4136
scale,group,us_rival,he,US,8,0.10595238095238094,-0.41269841269841273,0.4678778860028857,0.7012,-0.26248346560846564,-1.8868680454765363,1.3442676547515229,0.7376
scale,group,us_rival,he,CN,11,-0.012987012987012981,-0.4143452380952378,0.25457070707070667,0.7308,-0.6510416666666667,-2.1429473304473303,0.8101851851851851,0.4136
scale,group,us_rival,de,all,22,0.09654839367406211,-0.06343562145751441,0.3036080341227398,0.2144,2.1484375,-0.07065190921488408,4.291044776119402,0.0628
scale,group,us_rival,de,US,10,0.14861471861471862,-0.10097435897435887,0.4948328436609681,0.2256,2.083333333333333,-2.3129646346357425e-16,4.245283018867924,0.058
scale,group,us_rival,de,CN,12,0.05315978955684838,-0.12956169493262304,0.2735992799232929,0.5928,2.213541666666667,-1.2255906460945034,5.4013388388388375,0.2132
scale,group,us_rival,pg,all,24,0.1018621843699243,-0.07762077350249548,0.2810619657008387,0.2736,1.5635333994708993,-0.6944444444444445,3.8361928502509564,0.18
scale,group,us_rival,pg,US,12,0.20737688237688237,-0.06456876905773967,0.4767390573928293,0.1348,3.1270667989417986,0.24875621890547284,6.135410222703367,0.0368
scale,group,us_rival,pg,CN,12,-0.0036525136370337643,-0.21406650356437498,0.21076424188556528,0.9708,0.0,-3.333912037037036,3.3333333333333335,1.0
scale,group,us_rival,control,all,24,-0.04812271062271064,-0.2664698616600791,0.14839755978148825,0.5764,-0.390625,-2.43066829004329,1.3497652582159625,0.698
scale,group,us_rival,control,US,12,-0.01428571428571431,-0.35014520202020194,0.2694701889020068,0.8044,-0.5208333333333333,-2.515878434293279,1.3227513227513221,0.582
scale,group,us_rival,control,CN,12,-0.08195970695970696,-0.284326259489303,0.13207476551226505,0.4444,-0.26041666666666663,-3.255349864130434,2.5256805341551036,0.8844
scale,group,us_neutral,he,all,20,0.12638528138528138,-0.1375069444444444,0.37608333333333316,0.2744,0.9145585317460317,-0.1240111161986162,1.936720207087271,0.08
scale,group,us_neutral,he,US,9,0.3205387205387205,-0.2,0.5555555555555556,0.2408,1.3082837301587302,0.0036038371654086984,2.5813743197641967,0.042
scale,group,us_neutral,he,CN,11,-0.03246753246753247,-0.23455357142857128,0.31999999999999995,0.8944,0.5208333333333333,-0.8196721311475407,1.9049570647931275,0.46
scale,group,us_neutral,de,all,22,0.25555139305139307,0.08524323525263376,0.46245858949640445,0.0048,3.3203125,1.5027322404371588,5.226057937299213,0.0
scale,group,us_neutral,de,US,10,0.1963888888888889,-0.021678571428571384,0.5372631448412697,0.076,3.515625,1.3480392156862748,5.779569892473118,0.0032
scale,group,us_neutral,de,CN,12,0.3048534798534799,0.03901884879826098,0.5380957232374608,0.0292,3.125,0.5288938492063501,5.859375,0.0172
scale,group,us_neutral,pg,all,24,0.25842779905279906,0.05253172260065647,0.4871080976361726,0.014,3.453621031746032,1.081541923085594,5.903593857204528,0.0052
scale,group,us_neutral,pg,US,12,0.1206959706959707,-0.13941580988455973,0.48139069264069256,0.308,2.3499503968253967,-0.22842185841828083,4.921604437229436,0.0676
scale,group,us_neutral,pg,CN,12,0.39615962740962746,0.16708047379698102,0.562268317142719,0.0004,4.557291666666666,1.47829696394687,7.870528919330287,0.006
scale,group,us_neutral,control,all,24,0.17918364315423138,0.01890735868248365,0.3547942628174342,0.0324,1.2349123677248677,-0.34955349006743186,2.898480633195307,0.1324
scale,group,us_neutral,control,US,12,0.2837301587301588,0.043620129870129955,0.5655422607695333,0.0292,1.3020833333333335,-0.7183908045977007,3.4230324074074012,0.2032
scale,group,us_neutral,control,CN,12,0.07463712757830405,-0.11110596783390894,0.2605514219576719,0.3932,1.167741402116402,-0.9260823323323317,3.3333333333333335,0.2896
scale,group,cn_ally,he,all,24,0.014748677248677252,-0.19617737525632256,0.27741943241943234,0.8332,0.779183201058201,-0.48316727053140074,2.018229166666667,0.2352
scale,group,cn_ally,he,US,12,-0.1357142857142857,-0.5047619047619047,0.26785714285714285,0.5604,0.25628306878306883,-1.2731481481481481,1.7296038072623872,0.7984
scale,group,cn_ally,he,CN,12,0.16521164021164025,-0.0848569023569023,0.38400937950937913,0.1788,1.3020833333333335,-0.6410256410256411,3.2830621025065434,0.188
scale,group,cn_ally,de,all,23,0.22519519636224442,0.07440210005873767,0.43049577443896025,0.0068,3.9713541666666665,1.7018779342723014,6.167069892473111,0.0012
scale,group,cn_ally,de,US,11,0.29329004329004327,0.12037037037037036,0.6209532627865961,0.0048,4.557291666666666,2.4999999999999996,6.666666666666667,0.0
scale,group,cn_ally,de,CN,12,0.1627749200117621,-0.033717759296732555,0.35268315573172376,0.1116,3.3854166666666665,0.1097972972973097,6.6431159420289765,0.0452
scale,group,cn_ally,pg,all,23,0.17990294729425169,0.018576866170502603,0.35054646042105353,0.0308,2.8656167328042326,0.46146553379416255,5.376405180840664,0.0192
scale,group,cn_ally,pg,US,12,0.1785774410774411,-0.04870271068800479,0.43123613654147713,0.1096,3.1270667989417986,0.35103833312335714,6.155274625311807,0.0292
scale,group,cn_ally,pg,CN,11,0.18134895407622678,-0.036093282499312505,0.3998541555063293,0.1036,2.604166666666667,-0.980392156862745,6.31323313782991,0.1664
scale,group,cn_ally,control,all,24,0.06109654234654235,-0.13428665715597532,0.2688653195028338,0.6072,0.390625,-1.8603114737274211,2.30113383972992,0.702
scale,group,cn_ally,control,US,12,0.12777777777777777,-0.1560087481962481,0.4583333333333333,0.4592,1.171875,-1.0715245775729645,3.2552083333333335,0.3068
scale,group,cn_ally,control,CN,12,-0.005584693084693078,-0.19243387399637393,0.2028790133477633,0.9308,-0.390625,-3.333912037037036,2.380952380952381,0.7888
scale,group,cn_rival,he,all,22,-0.1303030303030303,-0.3148202614379084,0.13424772869674156,0.4244,0.779183201058201,-0.31574017570479807,1.9842426513077167,0.1848
scale,group,cn_rival,he,US,11,-0.21515151515151515,-0.5222222222222223,0.27210884353741494,0.4272,1.2979497354497354,-0.4438335421888048,3.048288635320696,0.1596
scale,group,cn_rival,he,CN,11,-0.04545454545454544,-0.29629629629629634,0.3136093304843301,0.9072,0.26041666666666663,-1.3392857142857144,1.7857142857142856,0.7816
scale,group,cn_rival,de,all,22,0.07153831017467381,-0.10636438310671047,0.2353513880299592,0.3916,0.9114583333333334,-1.0752688172043006,2.8846153846153846,0.3648
scale,group,cn_rival,de,US,10,0.11944444444444444,-0.15421464646464642,0.42341374929418407,0.2888,2.604166666666667,0.12820512820512867,4.914617486338798,0.0424
scale,group,cn_rival,de,CN,12,0.03161653161653162,-0.20515551813011704,0.21837566844919748,0.7972,-0.78125,-3.571428571428571,2.1188694554633947,0.602
scale,group,cn_rival,pg,all,24,0.009555218746395215,-0.1519579378486239,0.17251243986726075,0.8292,-0.7864169973544973,-3.0985278925356665,1.4584247076023376,0.474
scale,group,cn_rival,pg,US,12,0.10433077271312564,-0.10498534349637285,0.3573608083835356,0.2488,1.2917493386243386,-1.3555592691622105,3.8980151872576965,0.3536
scale,group,cn_rival,pg,CN,12,-0.08522033522033523,-0.3078535132783055,0.1120561011485933,0.4052,-2.864583333333333,-6.805555555555555,0.7313204887217997,0.128
scale,group,cn_rival,control,all,24,-0.016221741221741217,-0.20274807368557365,0.20482290573940773,0.9784,0.13020833333333331,-1.388888888888889,1.5782828282828276,0.8716
scale,group,cn_rival,control,US,12,0.08068783068783068,-0.23031913688163685,0.4743893480257116,0.5108,1.6927083333333333,-0.4466833822570128,3.7179487179487185,0.1184
scale,group,cn_rival,control,CN,12,-0.11313131313131312,-0.32954282407407404,0.10848700824029743,0.2924,-1.4322916666666665,-3.623334502103787,0.6515667002688096,0.2008
scale,group,cn_neutral,he,all,23,0.07205332171007227,-0.1853204939000393,0.3588837022223074,0.4792,1.5635333994708993,0.3305402930402937,2.859310128663625,0.0136
scale,group,cn_neutral,he,US,11,0.30462519936204147,-0.19232456140350868,0.7272806568096423,0.2448,2.085400132275132,0.4830337235228546,3.8274134790528236,0.0108
scale,group,cn_neutral,he,CN,12,-0.14113756613756614,-0.3467717352092351,0.24074074074074078,0.6604,1.0416666666666665,-0.7062146892655369,2.8483273056057836,0.2556
