condition,user_country,user_iso3,geo_pool,net_lean_us
allyus_allycn,North Macedonia,MKD,ally_of_us+ally_of_china,0.5241
allyus_allycn,South Korea,KOR,ally_of_us+ally_of_china,0.5296
allyus_allycn,Palau,PLW,ally_of_us+ally_of_china,0.554
allyus_allycn,Israel,ISR,ally_of_us+ally_of_china,0.5908
allyus_allycn,Czechia,CZE,ally_of_us+ally_of_china,0.5995
allyus_allycn,Micronesia,FSM,ally_of_us+ally_of_china,0.6476
allyus_allycn,Philippines,PHL,ally_of_us+ally_of_china,0.6542
allyus_allycn,Netherlands,NLD,ally_of_us+ally_of_china,0.6616
allyus_allycn,United Kingdom,GBR,ally_of_us+ally_of_china,0.662
allyus_allycn,Lithuania,LTU,ally_of_us+ally_of_china,0.7892
allyus_allycn,Canada,CAN,ally_of_us+ally_of_china,0.9244
allyus_allycn,Japan,JPN,ally_of_us+ally_of_china,0.9268
cn_ally,China,CHN,ally_of_china,
cn_neutral,China,CHN,neutral,
cn_rival,China,CHN,ally_of_us,
cn_us,China,CHN,direct,
neutralA_neutralB,Peru,PER,neutral+neutral,-0.0607
neutralA_neutralB,Malaysia,MYS,neutral+neutral,-0.0583
neutralA_neutralB,Papua New Guinea,PNG,neutral+neutral,-0.0583
neutralA_neutralB,Thailand,THA,neutral+neutral,-0.0528
neutralA_neutralB,St. Lucia,LCA,neutral+neutral,-0.0456
neutralA_neutralB,Jordan,JOR,neutral+neutral,-0.0445
neutralA_neutralB,Chile,CHL,neutral+neutral,-0.0337
neutralA_neutralB,Sao Tome and Principe,STP,neutral+neutral,-0.0207
neutralA_neutralB,Qatar,QAT,neutral+neutral,-0.0193
neutralA_neutralB,Tuvalu,TUV,neutral+neutral,-0.0069
neutralA_neutralB,Suriname,SUR,neutral+neutral,-0.0037
neutralA_neutralB,Tunisia,TUN,neutral+neutral,0.0022
neutralA_neutralB,Tonga,TON,neutral+neutral,0.0079
neutralA_neutralB,Singapore,SGP,neutral+neutral,0.0202
neutralA_neutralB,Guyana,GUY,neutral+neutral,0.0205
neutralA_neutralB,Kuwait,KWT,neutral+neutral,0.023
neutralA_neutralB,Uruguay,URY,neutral+neutral,0.0283
neutralA_neutralB,Ecuador,ECU,neutral+neutral,0.031
neutralA_neutralB,Morocco,MAR,neutral+neutral,0.0405
neutralA_neutralB,St. Vincent & Grenadines,VCT,neutral+neutral,0.0412
neutralA_neutralB,Fiji,FJI,neutral+neutral,0.0472
neutralB_neutralA,Peru,PER,neutral+neutral,-0.0607
neutralB_neutralA,Papua New Guinea,PNG,neutral+neutral,-0.0583
neutralB_neutralA,Malaysia,MYS,neutral+neutral,-0.0583
neutralB_neutralA,Thailand,THA,neutral+neutral,-0.0528
neutralB_neutralA,St. Lucia,LCA,neutral+neutral,-0.0456
neutralB_neutralA,Jordan,JOR,neutral+neutral,-0.0445
neutralB_neutralA,Chile,CHL,neutral+neutral,-0.0337
neutralB_neutralA,Sao Tome and Principe,STP,neutral+neutral,-0.0207
neutralB_neutralA,Qatar,QAT,neutral+neutral,-0.0193
neutralB_neutralA,Tuvalu,TUV,neutral+neutral,-0.0069
neutralB_neutralA,Suriname,SUR,neutral+neutral,-0.0037
neutralB_neutralA,Tunisia,TUN,neutral+neutral,0.0022
neutralB_neutralA,Tonga,TON,neutral+neutral,0.0079
neutralB_neutralA,Singapore,SGP,neutral+neutral,0.0202
neutralB_neutralA,Guyana,GUY,neutral+neutral,0.0205
neutralB_neutralA,Kuwait,KWT,neutral+neutral,0.023
neutralB_neutralA,Uruguay,URY,neutral+neutral,0.0283
neutralB_neutralA,Ecuador,ECU,neutral+neutral,0.031
neutralB_neutralA,Morocco,MAR,neutral+neutral,0.0405
neutralB_neutralA,St. Vincent & Grenadines,VCT,neutral+neutral,0.0412
neutralB_neutralA,Fiji,FJI,neutral+neutral,0.0472
neutral_cn,Peru,PER,neutral,-0.0607
neutral_cn,Malaysia,MYS,neutral,-0.0583
neutral_cn,Papua New Guinea,PNG,neutral,-0.0583
neutral_cn,Thailand,THA,neutral,-0.0528
neutral_cn,St. Lucia,LCA,neutral,-0.0456
neutral_cn,Jordan,JOR,neutral,-0.0445
neutral_cn,Chile,CHL,neutral,-0.0337
neutral_cn,Sao Tome and Principe,STP,neutral,-0.0207
neutral_cn,Qatar,QAT,neutral,-0.0193
neutral_cn,Tuvalu,TUV,neutral,-0.0069
neutral_cn,Suriname,SUR,neutral,-0.0037
neutral_cn,Tunisia,TUN,neutral,0.0022
neutral_cn,Tonga,TON,neutral,0.0079
neutral_cn,Singapore,SGP,neutral,0.0202
neutral_cn,Guyana,GUY,neutral,0.0205
neutral_cn,Kuwait,KWT,neutral,0.023
neutral_cn,Uruguay,URY,neutral,0.0283
neutral_cn,Ecuador,ECU,neutral,0.031
neutral_cn,Morocco,MAR,neutral,0.0405
neutral_cn,St. Vincent & Grenadines,VCT,neutral,0.0412
neutral_cn,Fiji,FJI,neutral,0.0472
neutral_us,Peru,PER,neutral,-0.0607
neutral_us,Malaysia,MYS,neutral,-0.0583
neutral_us,Papua New Guinea,PNG,neutral,-0.0583
neutral_us,Thailand,THA,neutral,-0.0528
neutral_us,St. Lucia,LCA,neutral,-0.0456
neutral_us,Jordan,JOR,neutral,-0.0445
neutral_us,Chile,CHL,neutral,-0.0337
neutral_us,Sao Tome and Principe,STP,neutral,-0.0207
neutral_us,Qatar,QAT,neutral,-0.0193
neutral_us,Tuvalu,TUV,neutral,-0.0069
neutral_us,Suriname,SUR,neutral,-0.0037
neutral_us,Tunisia,TUN,neutral,0.0022
neutral_us,Tonga,TON,neutral,0.0079
neutral_us,Singapore,SGP,neutral,0.0202
neutral_us,Guyana,GUY,neutral,0.0205
neutral_us,Kuwait,KWT,neutral,0.023
neutral_us,Uruguay,URY,neutral,0.0283
neutral_us,Ecuador,ECU,neutral,0.031
neutral_us,Morocco,MAR,neutral,0.0405
neutral_us,St. Vincent & Grenadines,VCT,neutral,0.0412
neutral_us,Fiji,FJI,neutral,0.0472
rival_cn,Montenegro,MNE,ally_of_us,0.4589
rival_cn,Bulgaria,BGR,ally_of_us,0.4593
rival_cn,Germany,DEU,ally_of_us,0.4607
rival_cn,Australia,AUS,ally_of_us,0.4777
rival_cn,Denmark,DNK,ally_of_us,0.5031
rival_cn,Italy,ITA,ally_of_us,0.5084
rival_cn,Slovakia,SVK,ally_of_us,0.5098
rival_cn,Sweden,SWE,ally_of_us,0.5134
rival_cn,Iceland,ISL,ally_of_us,0.5186
rival_cn,North Macedonia,MKD,ally_of_us,0.5241
rival_cn,South Korea,KOR,ally_of_us,0.5296
rival_cn,Palau,PLW,ally_of_us,0.554
rival_cn,Israel,ISR,ally_of_us,0.5908
rival_cn,Czechia,CZE,ally_of_us,0.5995
rival_cn,Micronesia,FSM,ally_of_us,0.6476
rival_cn,Philippines,PHL,ally_of_us,0.6542
rival_cn,Netherlands,NLD,ally_of_us,0.6616
rival_cn,United Kingdom,GBR,ally_of_us,0.662
rival_cn,Lithuania,LTU,ally_of_us,0.7892
rival_cn,Canada,CAN,ally_of_us,0.9244
rival_cn,Japan,JPN,ally_of_us,0.9268
rival_us,North Korea,PRK,ally_of_china,-1.8168
rival_us,Iran,IRN,ally_of_china,-1.5465
rival_us,Russia,RUS,ally_of_china,-1.4216
rival_us,Cuba,CUB,ally_of_china,-1.1196
rival_us,Belarus,BLR,ally_of_china,-0.8846
rival_us,Eritrea,ERI,ally_of_china,-0.8442
rival_us,Myanmar,MMR,ally_of_china,-0.7115
rival_us,Zimbabwe,ZWE,ally_of_china,-0.7029
rival_us,Turkmenistan,TKM,ally_of_china,-0.6979
rival_us,Nicaragua,NIC,ally_of_china,-0.6675
rival_us,Burkina Faso,BFA,ally_of_china,-0.6532
rival_us,Mali,MLI,ally_of_china,-0.6445
rival_us,Sudan,SDN,ally_of_china,-0.6296
rival_us,Afghanistan,AFG,ally_of_china,-0.5908
rival_us,Niger,NER,ally_of_china,-0.5858
rival_us,Solomon Islands,SLB,ally_of_china,-0.543
rival_us,Syria,SYR,ally_of_china,-0.5306
rival_us,Laos,LAO,ally_of_china,-0.5169
rival_us,Mongolia,MNG,ally_of_china,-0.5132
rival_us,Tajikistan,TJK,ally_of_china,-0.504
rival_us,Kyrgyzstan,KGZ,ally_of_china,-0.4924
us_ally,United States,USA,ally_of_us,
us_cn,United States,USA,direct,
us_neutral,United States,USA,neutral,
us_rival,United States,USA,ally_of_china,
