pairing,label,mode,bloc,n_prompts,spearman,lo,hi,p
us_neutral,USA / neutral,he,US,192,0.00500586717640032,-0.13376558207922035,0.14235845344841502,0.9324
us_neutral,USA / neutral,he,CN,192,0.020841419147587886,-0.11745103971144238,0.16015368845748176,0.7624
us_neutral,USA / neutral,de,all,192,-0.08974580657295236,-0.22467149333570544,0.047487016480725015,0.2068
us_neutral,USA / neutral,de,US,192,-0.05575615215957374,-0.19006433966539668,0.08278616941183971,0.4344
us_neutral,USA / neutral,de,CN,192,-0.0951806193314791,-0.2331746097423606,0.04792528751506255,0.1844
us_neutral,USA / neutral,pg,all,192,0.01859719384228668,-0.12003714274838416,0.16157766933040382,0.7764
us_neutral,USA / neutral,pg,US,192,0.039021044419537826,-0.0953718580608054,0.17287073577712583,0.5712
us_neutral,USA / neutral,pg,CN,192,0.0029083863082094282,-0.14400480533116522,0.1507579875515889,0.9396
us_neutral,USA / neutral,control,all,192,-0.06141538894383677,-0.2125375496307964,0.0814041984833602,0.4108
us_neutral,USA / neutral,control,US,192,-0.031045778689855228,-0.17877728474590807,0.11269429370320755,0.6544
us_neutral,USA / neutral,control,CN,192,-0.05957331858927787,-0.20779583395744755,0.09056389919840015,0.4152
cn_ally,China / aliado de China,he,all,192,0.05173220337260856,-0.09238407753940724,0.20492791153986037,0.4808
cn_ally,China / aliado de China,he,US,192,-0.021877100105334283,-0.16471040841511347,0.12257486729204867,0.796
cn_ally,China / aliado de China,he,CN,192,0.08490318597796245,-0.062496850146233206,0.23709699708300658,0.2584
cn_ally,China / aliado de China,de,all,192,-0.061271871370528135,-0.2105258913448928,0.09514164895099499,0.4296
cn_ally,China / aliado de China,de,US,192,-0.033051766060343636,-0.17298631055927433,0.11223760400810195,0.6504
cn_ally,China / aliado de China,de,CN,192,-0.08311990231944551,-0.23120768800349206,0.0716876497464862,0.286
cn_ally,China / aliado de China,pg,all,192,-0.10460140626696636,-0.2478492319240155,0.04543781671673367,0.1592
cn_ally,China / aliado de China,pg,US,192,-0.13285684612532586,-0.2766445041220063,0.014808042261038379,0.0824
cn_ally,China / aliado de China,pg,CN,192,-0.03107811757549634,-0.18163476189003402,0.12209648134579645,0.678
cn_ally,China / aliado de China,control,all,192,0.016424899218020487,-0.13014732006038565,0.16138387722939643,0.8576
cn_ally,China / aliado de China,control,US,192,-0.10338099061207101,-0.24040738093075018,0.04013230562834382,0.1476
cn_ally,China / aliado de China,control,CN,192,0.08390050992536353,-0.06234017359867315,0.23072817727489078,0.2668
cn_rival,China / rival de China,he,all,192,0.12527980022457225,-0.01564315552909589,0.2670146584309853,0.0816
cn_rival,China / rival de China,he,US,192,-0.005375630454953169,-0.15865631606683198,0.14477045469415667,0.9636
cn_rival,China / rival de China,he,CN,192,0.09121224536969659,-0.04682072436633197,0.22613388992243613,0.196
cn_rival,China / rival de China,de,all,192,-0.01843892219367082,-0.16411883875144745,0.12537668378103056,0.794
cn_rival,China / rival de China,de,US,192,-0.011340895163689708,-0.16087598264615338,0.13791646677446237,0.8812
cn_rival,China / rival de China,de,CN,192,-0.009462514948834133,-0.15467635153764883,0.13398215595662072,0.8924
cn_rival,China / rival de China,pg,all,192,0.005723947089143719,-0.1349477099498102,0.14660870003711382,0.9516
cn_rival,China / rival de China,pg,US,192,0.028564678072876985,-0.1140938269060343,0.1633700431747715,0.682
cn_rival,China / rival de China,pg,CN,192,-0.021809513725428623,-0.16226495808229113,0.11823739892946142,0.7628
cn_rival,China / rival de China,control,all,192,0.10881854266156028,-0.02432309080682224,0.24014449979098762,0.1108
cn_rival,China / rival de China,control,US,192,0.08405255002960366,-0.05455650948415525,0.22469999304811694,0.244
cn_rival,China / rival de China,control,CN,192,0.014182896290171824,-0.11931965970441437,0.14364041594454308,0.8388
cn_neutral,China / neutral,he,all,192,-0.043109261741507615,-0.17900087291082625,0.09368648022665495,0.5488
cn_neutral,China / neutral,he,US,192,-0.0006869042999549655,-0.14186943611467978,0.14102152180428873,0.9748
cn_neutral,China / neutral,he,CN,192,-0.01210298345122348,-0.1580704055955643,0.13271387900605305,0.8756
cn_neutral,China / neutral,de,all,192,-0.06706283838872107,-0.20189013808584982,0.07434637862373442,0.3408
cn_neutral,China / neutral,de,US,192,-0.04289195844298483,-0.18375157086916719,0.10292405510117325,0.5568
cn_neutral,China / neutral,de,CN,192,-0.08004742163192267,-0.21733080225810628,0.060024808125901066,0.2544
cn_neutral,China / neutral,pg,all,192,0.00168032606048089,-0.1436088755372631,0.1467867604497565,0.9616
cn_neutral,China / neutral,pg,US,192,-0.046073625489968795,-0.18606847744618732,0.09872106978210941,0.5516
cn_neutral,China / neutral,pg,CN,192,0.05000364051002686,-0.10448239879607654,0.19773198717438292,0.5096
cn_neutral,China / neutral,control,all,192,-0.03196043272692697,-0.1784965489392981,0.10844489838890353,0.6672
cn_neutral,China / neutral,control,US,192,-0.034372297518674814,-0.172002700876528,0.10447565988720327,0.6376
cn_neutral,China / neutral,control,CN,192,0.0024417297513357286,-0.1494102569853607,0.1532275454878019,0.9788
allies,aliado de USA / aliado de China,he,all,192,-0.17144236593629023,-0.30639582459016124,-0.029983899010830248,0.0164
allies,aliado de USA / aliado de China,he,US,192,-0.24801614051895235,-0.3854909567134038,-0.10587748620885398,0.0008
allies,aliado de USA / aliado de China,he,CN,192,-0.07253795509695697,-0.21274753938232255,0.06978219248075787,0.3108
allies,aliado de USA / aliado de China,de,all,192,-0.06020086655961105,-0.20546750970369576,0.08497405269604477,0.4144
allies,aliado de USA / aliado de China,de,US,192,-0.03206894229223511,-0.18143830525955476,0.1172525482898525,0.6572
allies,aliado de USA / aliado de China,de,CN,192,-0.02051519920719338,-0.166523556519229,0.11767417330606796,0.7748
allies,aliado de USA / aliado de China,pg,all,192,-0.1131143802984403,-0.250646861275404,0.038955422734249866,0.1332
allies,aliado de USA / aliado de China,pg,US,192,-0.0370437329173611,-0.17806510860520838,0.10663565520415517,0.632
allies,aliado de USA / aliado de China,pg,CN,192,-0.1307875665805677,-0.2685453802198921,0.019487270523595484,0.0864
allies,aliado de USA / aliado de China,control,all,192,-0.09570565399238266,-0.24352855983074165,0.05596627780105976,0.2276
allies,aliado de USA / aliado de China,control,US,192,-0.08496482043015872,-0.2319196577797828,0.06414755815382511,0.2704
allies,aliado de USA / aliado de China,control,CN,192,-0.13234407507089163,-0.2820576711602467,0.022928406310263553,0.0976
neutrals,neutral A / neutral B  (referencia),he,all,192,-0.01013750043964221,-0.15044269121360837,0.13761229202140582,0.902
neutrals,neutral A / neutral B  (referencia),he,US,192,-0.010413680407961791,-0.14265841318632835,0.1263853073600541,0.8812
neutrals,neutral A / neutral B  (referencia),he,CN,192,0.02932429707393364,-0.12199064314674078,0.17579907296487016,0.6828
neutrals,neutral A / neutral B  (referencia),de,all,192,-0.10136267040577807,-0.24023431337934706,0.03781025052956199,0.1456
neutrals,neutral A / neutral B  (referencia),de,US,192,-0.10452093138393104,-0.24630819977083146,0.03994216899099404,0.1568
neutrals,neutral A / neutral B  (referencia),de,CN,192,-0.07181386058806899,-0.20783991089022766,0.060362146682386375,0.2884
neutrals,neutral A / neutral B  (referencia),pg,all,192,-0.08498230135596961,-0.2360920160499426,0.06895601956321584,0.2832
neutrals,neutral A / neutral B  (referencia),pg,US,192,-0.17047431035094981,-0.3012334164178988,-0.028731555327108377,0.0164
neutrals,neutral A / neutral B  (referencia),pg,CN,192,0.03887452449537955,-0.11475412942389428,0.18857515973357722,0.6176
neutrals,neutral A / neutral B  (referencia),control,all,192,-0.0009166713774259496,-0.13982523191181057,0.1458094927213464,0.9964
neutrals,neutral A / neutral B  (referencia),control,US,192,0.08153513255724304,-0.055584716077885836,0.21666209012292323,0.2352
neutrals,neutral A / neutral B  (referencia),control,CN,192,-0.0677245671800167,-0.20753867224460823,0.08001143385486,0.3752
