figure,block,panel,family,test,estimate,p,singular,n_family,q_bh,sig_p05,sig_q05
Figura 1,31,Figura 1 · C escala,"interacción scale × (power shifting vs control), pooled (1)",power shifting vs control (pooled),1.01107712551922,0.0001954512900795,False,1,0.0001954512900795,True,True
Figura 1,31,Figura 1 · D standing,pendiente de standing por modo (4),he,0.643614525184553,0.0613777315084731,False,4,0.1227554630169462,False,False
Figura 1,31,Figura 1 · D standing,pendiente de standing por modo (4),de,-0.184392596485622,0.394008236854471,False,4,0.5253443158059613,False,False
Figura 1,31,Figura 1 · D standing,pendiente de standing por modo (4),pg,0.508586366321295,0.0284782402868876,False,4,0.1139129611475504,True,False
Figura 1,31,Figura 1 · D standing,pendiente de standing por modo (4),control,0.0991872427985529,0.70117575531562,True,4,0.70117575531562,False,False
Figura 1,31,Figura 1 · D standing,"pendiente de standing, pooled (1)",power shifting (pooled),0.310516704775495,0.0322474610431876,False,1,0.0322474610431876,True,True
Figura 1,31,Figura 1 · D standing,interacción standing × (modo vs control) por modo (3),he vs control,0.551554966637388,0.218037572946538,True,3,0.327056359419807,False,False
Figura 1,31,Figura 1 · D standing,interacción standing × (modo vs control) por modo (3),de vs control,-0.299361741263684,0.373725742903573,True,3,0.373725742903573,False,False
Figura 1,31,Figura 1 · D standing,interacción standing × (modo vs control) por modo (3),pg vs control,0.432863344590955,0.204823154954834,False,3,0.327056359419807,False,False
Figura 1,31,Figura 1 · D standing,"interacción standing × (power shifting vs control), pooled (1)",power shifting vs control (pooled),0.226004510150166,0.412708496959241,True,1,0.412708496959241,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"mismo origen − mixto, por modo (4)",dentro − mixto · he,0.0701668234040846,0.0565,,4,0.073,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"mismo origen − mixto, por modo (4)",dentro − mixto · de,0.0735104077867262,0.073,,4,0.073,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"mismo origen − mixto, por modo (4)",dentro − mixto · pg,0.1442385103759676,0.0088,,4,0.0176,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"mismo origen − mixto, por modo (4)",dentro − mixto · control,0.2685208094462677,0.0,,4,0.0,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",CN–CN − mixto · he,0.0351685871612006,0.2958,,8,0.2958,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",US–US − mixto · he,0.1062587545295588,0.0967,,8,0.12893333333333332,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",CN–CN − mixto · de,0.0848598253776709,0.0773,,8,0.12893333333333332,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",US–US − mixto · de,0.0621609901957816,0.1294,,8,0.14788571428571426,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",CN–CN − mixto · pg,0.2010494891826019,0.0029,,8,0.0116,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",US–US − mixto · pg,0.0874275315693333,0.0808,,8,0.12893333333333332,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",CN–CN − mixto · control,0.3333333254667669,0.0002,,8,0.0016,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada bloque − mixto, por modo (8)",US–US − mixto · control,0.2037082934257686,0.0066,,8,0.0176,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"orden compartido, todos los pares, por modo (4)",todos los pares · he,0.1401982873918811,0.0,,4,0.0,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"orden compartido, todos los pares, por modo (4)",todos los pares · de,0.0096712295077528,0.2988,,4,0.3272,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"orden compartido, todos los pares, por modo (4)",todos los pares · pg,0.0074907850922148,0.3272,,4,0.3272,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"orden compartido, todos los pares, por modo (4)",todos los pares · control,0.0085047087955114,0.3042,,4,0.3272,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",CN–CN · he,0.1420760459307058,0.0088,,12,0.0264,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",US–US · he,0.213166213299064,0.001,,12,0.0048,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",mixto · he,0.1069074587695052,0.0012,,12,0.0048,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",CN–CN · de,0.0593739033352503,0.1132,,12,0.19405714285714287,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",US–US · de,0.036675068153361,0.1968,,12,0.2952,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",mixto · de,-0.0254859220424205,0.8154,,12,0.97848,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",CN–CN · pg,0.1395566388776148,0.011,,12,0.0264,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",US–US · pg,0.0259346812643463,0.2498,,12,0.3330666666666666,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",mixto · pg,-0.061492850304987,0.974,,12,0.9996,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",CN–CN · control,0.2134150384401503,0.0008,,12,0.0048,True,True
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",US–US · control,0.083790006399152,0.0534,,12,0.1068,False,False
Figura de idioma (4 del paper),39,idioma · C acuerdo entre rankings,"cada tipo de par contra idiomas barajados, por modo (12)",mixto · control,-0.1199182870266166,0.9996,,12,0.9996,False,False
