iso3,name,axis_us,axis_cn,net_lean_us,cuadrante,eng_us,eng_cn,host_us,host_cn,unga_us,unga_cn,unga_us_raw,unga_cn_raw,sec_us,sec_cn,ally_us,ally_cn,arms_us,arms_cn,arms_ru,troops_us,trade_us,trade_cn,ideal_reldist
ITA,Italy,0.6418,0.1334,0.5084,pro-EEUU,0.6418,0.1334,0.0,0.0,0.8589,0.287,0.7955,0.4874,0.9168,0.0,1.0,0.0,0.9382,0.0,0.0,0.6768,0.1497,0.1133,-0.9666
DNK,Denmark,0.6376,0.1345,0.5031,pro-EEUU,0.6376,0.1345,0.0,0.0,0.8579,0.2816,0.7948,0.4843,0.9221,0.0,1.0,0.0,0.7922,0.0,0.0,,0.1328,0.1218,-1.0824
AUS,Australia,0.6148,0.137,0.4777,pro-EEUU,0.6148,0.287,0.0,0.15,0.8554,0.2603,0.7931,0.4716,0.8467,0.0001,1.0,0.0,0.8028,0.0003,0.0,0.5294,0.1422,0.6007,-0.967
DEU,Germany,0.5961,0.1354,0.4607,pro-EEUU,0.5961,0.1354,0.0,0.0,0.8694,0.2679,0.8029,0.4761,0.7641,0.0,1.0,0.0,0.378,0.0,0.0,0.7534,0.1547,0.1383,-1.1286
BGR,Bulgaria,0.5784,0.1191,0.4593,pro-EEUU,0.5784,0.1191,0.0,0.0,0.8596,0.2776,0.796,0.4819,0.8402,0.0,1.0,0.0,0.5739,0.0,0.0,,0.0353,0.0797,-1.0384
MNE,Montenegro,0.62,0.1611,0.4589,pro-EEUU,0.62,0.1611,0.0,0.0,0.8381,0.2943,0.7809,0.4918,1.0,0.0,1.0,0.0,,,,,0.0218,0.189,-0.7763
BEL,Belgium,0.5751,0.1265,0.4485,pro-EEUU,0.5751,0.1265,0.0,0.0,0.843,0.3007,0.7844,0.4956,0.7531,0.0,1.0,0.0,0.5078,0.0,0.0,0.5037,0.1291,0.0789,-0.892
FRA,France,0.5704,0.1243,0.4461,pro-EEUU,0.5704,0.1243,0.0,0.0,0.8795,0.2674,0.81,0.4758,0.6901,0.0,1.0,0.0,0.1736,0.0,0.0,,0.1417,0.1055,-1.5134
EST,Estonia,0.552,0.1097,0.4423,pro-EEUU,0.552,0.1097,0.0,0.0,0.8632,0.2669,0.7985,0.4755,0.741,0.0,1.0,0.0,0.3092,0.0,0.0,,0.0518,0.0622,-1.2208
NOR,Norway,0.5861,0.151,0.4351,pro-EEUU,0.5861,0.151,0.0,0.0,0.7984,0.3461,0.7529,0.5224,0.8737,0.0,1.0,0.0,0.8988,0.0,0.0,0.5204,0.0862,0.1069,-0.3722
FIN,Finland,0.5648,0.1302,0.4347,pro-EEUU,0.5648,0.1302,0.0,0.0,0.8458,0.2893,0.7863,0.4888,0.7135,0.0,1.0,0.0,0.236,0.0,0.0,,0.1351,0.1012,-0.9973
HRV,Croatia,0.5367,0.1052,0.4315,pro-EEUU,0.5367,0.1052,0.0,0.0,0.8694,0.2704,0.8029,0.4776,0.6701,0.0,1.0,0.0,0.1203,0.0,0.0,,0.0704,0.0451,-1.1904
ESP,Spain,0.5677,0.138,0.4297,pro-EEUU,0.5677,0.138,0.0,0.0,0.8325,0.3024,0.7769,0.4965,0.7616,0.0,1.0,0.0,0.4838,0.0,0.0,0.5825,0.1089,0.1116,-0.7265
ROU,Romania,0.5391,0.1122,0.4269,pro-EEUU,0.5391,0.1122,0.0,0.0,0.8662,0.2609,0.8006,0.472,0.7182,0.0,1.0,0.0,0.4914,0.0,0.0,0.3542,0.033,0.0758,-1.2648
LVA,Latvia,0.5288,0.1067,0.4221,pro-EEUU,0.5288,0.1067,0.0,0.0,0.8616,0.2712,0.7974,0.4781,0.6905,0.0,1.0,0.0,0.1746,0.0,0.0,,0.0342,0.0489,-1.1975
POL,Poland,0.5448,0.1284,0.4163,pro-EEUU,0.5448,0.1284,0.0,0.0,0.8547,0.2772,0.7926,0.4816,0.7154,0.0,1.0,0.0,0.4397,0.0,0.0,0.4175,0.0642,0.108,-1.1485
ALB,Albania,0.5453,0.1426,0.4027,pro-EEUU,0.5453,0.1426,0.0,0.0,0.8698,0.2774,0.8032,0.4818,0.725,0.0,1.0,0.0,0.2667,0.0,0.0,,0.041,0.1504,-1.0401
LUX,Luxembourg,0.5071,0.1064,0.4007,pro-EEUU,0.5071,0.1064,0.0,0.0,0.8426,0.2959,0.784,0.4927,0.625,0.0,1.0,0.0,0.0,0.0,0.0,,0.0536,0.0232,-0.8205
PRT,Portugal,0.5197,0.1216,0.3981,pro-EEUU,0.5197,0.1216,0.0,0.0,0.8287,0.2998,0.7743,0.495,0.644,0.0,1.0,0.0,0.2164,0.0,0.0,0.3953,0.0865,0.0651,-0.7479
SVN,Slovenia,0.5413,0.1493,0.392,pro-EEUU,0.5413,0.1493,0.0,0.0,0.8329,0.3125,0.7772,0.5025,0.7692,0.0,1.0,0.0,0.3846,0.0,0.0,,0.0218,0.1354,-0.7107
HUN,Hungary,0.5454,0.1654,0.38,pro-EEUU,0.5454,0.1654,0.0,0.0,0.9086,0.227,0.8305,0.4519,0.683,0.18,1.0,0.3,0.1548,0.0,0.0,,0.0445,0.089,-1.4934
GRC,Greece,0.511,0.1377,0.3734,pro-EEUU,0.511,0.1377,0.0,0.0,0.8309,0.3026,0.7758,0.4967,0.6359,0.0,1.0,0.0,0.1673,0.0,0.0,0.4288,0.0662,0.1104,-0.5209
IND,India,0.2649,-0.093,0.358,rival de China,0.2649,0.357,0.0,0.45,0.3542,0.6819,0.4402,0.7212,0.2222,0.18,0.3,0.3,0.0925,0.0,0.4026,,0.2185,0.2089,1.7552
BHS,Bahamas,0.588,0.2308,0.3572,pro-EEUU,0.588,0.2308,0.0,0.0,0.4645,0.6715,0.5178,0.715,0.5,0.0,0.5,0.0,,,,,0.7997,0.0209,1.6282
MHL,Marshall Islands,0.6077,0.2548,0.3529,pro-EEUU,0.6077,0.2548,0.0,0.0,0.8049,0.3265,0.7575,0.5108,1.0,0.0,1.0,0.0,,,,,0.0182,0.4379,0.3969
CRI,Costa Rica,0.6054,0.2624,0.3431,pro-EEUU,0.6054,0.2624,0.0,0.0,0.4788,0.5945,0.5279,0.6694,0.5,0.0,0.5,0.0,,,,,0.8374,0.1926,1.3834
GTM,Guatemala,0.562,0.2431,0.3189,pro-EEUU,0.562,0.2431,0.0,0.0,0.5241,0.5308,0.5598,0.6318,0.5,0.0,0.5,0.0,,,,,0.6619,0.1983,1.4818
DOM,Dominican Republic,0.595,0.2788,0.3162,pro-EEUU,0.595,0.2788,0.0,0.0,0.4881,0.5975,0.5344,0.6713,0.5,0.0,0.5,0.0,,,,,0.7971,0.239,1.4406
UKR,Ukraine,0.48,0.1675,0.3125,pro-EEUU,0.48,0.1675,0.0,0.0,0.8747,0.2465,0.8066,0.4635,0.4969,0.0,0.55,0.0,0.4085,0.0,0.0,,0.0683,0.2559,-1.2105
NZL,New Zealand,0.5571,0.2649,0.2922,pro-EEUU,0.5571,0.2649,0.0,0.0,0.7345,0.3142,0.7079,0.5035,0.7226,0.0,0.7,0.0,0.7602,0.0,0.0,,0.2143,0.4805,-0.1807
TUR,Turkey,0.4796,0.1971,0.2826,pro-EEUU,0.4796,0.1971,0.0,0.0,0.6814,0.4377,0.6705,0.5766,0.6539,0.0,1.0,0.0,0.1564,0.0,0.0317,0.5349,0.1035,0.1535,0.2957
HTI,Haiti,0.6054,0.332,0.2734,doble juego (hedger),0.6054,0.332,0.0,0.0,0.4621,0.6601,0.5162,0.7083,0.5,0.0,0.5,0.0,,,,,0.8541,0.3361,1.8192
TTO,Trinidad & Tobago,0.5412,0.2695,0.2717,pro-EEUU,0.5412,0.2695,0.0,0.0,0.4226,0.6916,0.4884,0.7269,0.5,0.0,0.5,0.0,,,,,0.7011,0.1169,2.1957
IRL,Ireland,0.4034,0.1402,0.2632,pro-EEUU,0.4034,0.1402,0.0,0.0,0.7257,0.3001,0.7018,0.4952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.4846,0.1205,-0.1036
HND,Honduras,0.531,0.2763,0.2547,pro-EEUU,0.531,0.2763,0.0,0.0,0.4616,0.6083,0.5158,0.6776,0.4785,0.0,0.5,0.0,,,,0.4247,0.653,0.2207,1.7371
COL,Colombia,0.5326,0.3025,0.23,doble juego (hedger),0.5326,0.3025,0.0,0.0,0.4638,0.6009,0.5174,0.6732,0.5985,0.0,0.55,0.0,0.6792,0.0,0.0,,0.5354,0.3067,1.9923
GEO,Georgia,0.3926,0.1638,0.2289,pro-EEUU,0.3926,0.1638,0.0,0.0,0.8047,0.3214,0.7574,0.5078,0.2,0.0,0.2,0.0,,,,,0.1731,0.1698,-0.4299
MEX,Mexico,0.4994,0.2725,0.2268,pro-EEUU,0.4994,0.2725,0.0,0.0,0.466,0.5959,0.5189,0.6703,0.0321,0.0,0.0,0.0,0.0855,0.0,0.0,,1.0,0.2218,1.6191
JAM,Jamaica,0.476,0.2602,0.2159,pro-EEUU,0.476,0.2602,0.0,0.0,0.4407,0.66,0.5011,0.7082,0.1081,0.0,0.0,0.0,0.2881,0.0,0.0,,0.8793,0.1204,1.8069
SLV,El Salvador,0.5123,0.3029,0.2094,doble juego (hedger),0.5123,0.3029,0.0,0.0,0.4173,0.674,0.4846,0.7165,0.5,0.0,0.5,0.0,,,,,0.6197,0.2347,1.987
AUT,Austria,0.2924,0.1104,0.182,pro-EEUU,0.2924,0.1104,0.0,0.0,0.7555,0.2693,0.7227,0.477,0.0265,0.0,0.0,0.0,0.0708,0.0,0.0,,0.095,0.0617,-0.4139
PAN,Panama,0.4647,0.2865,0.1782,pro-EEUU,0.4647,0.2865,0.0,0.0,0.5358,0.5471,0.568,0.6414,0.5,0.0,0.5,0.0,,,,,0.3583,0.3124,1.0252
SMR,San Marino,0.2879,0.1182,0.1697,pro-EEUU,0.2879,0.1182,0.0,0.0,0.732,0.3058,0.7062,0.4986,0.0,0.0,0.0,0.0,,,,,0.1318,0.0489,-0.1042
CHE,Switzerland,0.3342,0.1681,0.1661,pro-EEUU,0.3342,0.1681,0.0,0.0,0.7462,0.3395,0.7162,0.5185,0.0,0.0,0.0,0.0,,,,,0.2563,0.1647,-0.3396
ARG,Argentina,0.4126,0.2569,0.1556,pro-EEUU,0.4126,0.2569,0.0,0.0,0.6515,0.4335,0.6495,0.5742,0.3929,0.06,0.5,0.1,0.2143,0.0,0.0,,0.1933,0.2773,-1.3993
MLT,Malta,0.2712,0.1243,0.1468,pro-EEUU,0.2712,0.1243,0.0,0.0,0.74,0.3025,0.7118,0.4966,0.0,0.0,0.0,0.0,,,,,0.0736,0.0705,-0.0521
BIH,Bosnia & Herzegovina,0.2803,0.1508,0.1295,pro-EEUU,0.2803,0.1508,0.0,0.0,0.7968,0.3367,0.7518,0.5169,0.0,0.0,0.0,0.0,,,,,0.044,0.1156,-0.3276
VNM,Vietnam,0.2703,0.1443,0.126,pro-EEUU,0.2703,0.4943,0.0,0.35,0.3218,0.7849,0.4174,0.7822,0.1443,0.18,0.1,0.3,0.2182,0.0,0.2214,,0.3447,0.5179,2.5436
MDA,Moldova,0.2683,0.1491,0.1192,pro-EEUU,0.2683,0.1491,0.0,0.0,0.7745,0.2812,0.7361,0.484,0.0,0.0,0.0,0.0,,,,,0.0305,0.1661,-0.3616
BRB,Barbados,0.3654,0.2478,0.1176,pro-EEUU,0.3654,0.2478,0.0,0.0,0.4355,0.6808,0.4975,0.7205,0.0,0.0,0.0,0.0,,,,,0.6606,0.0627,1.7157
CYP,Cyprus,0.2558,0.1404,0.1155,no alineado (bajo con ambos),0.2558,0.1404,0.0,0.0,0.7352,0.3061,0.7084,0.4987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0324,0.115,0.124
ATG,Antigua & Barbuda,0.3638,0.2495,0.1142,pro-EEUU,0.3638,0.2495,0.0,0.0,0.4469,0.6899,0.5054,0.726,0.0,0.0,0.0,0.0,,,,,0.6444,0.0586,1.9231
LBR,Liberia,0.3134,0.2255,0.0879,pro-EEUU,0.3134,0.2255,0.0,0.0,0.813,0.3867,0.7632,0.5465,0.0,0.0,0.0,0.0,,,,,0.1272,0.2897,1.061
GRD,Grenada,0.3474,0.2618,0.0856,pro-EEUU,0.3474,0.2618,0.0,0.0,0.3937,0.722,0.468,0.745,0.0,0.0,0.0,0.0,,,,,0.6483,0.0634,2.2215
PRY,Paraguay,0.3875,0.3058,0.0818,doble juego (hedger),0.3875,0.3058,0.0,0.0,0.5414,0.5257,0.572,0.6287,0.5,0.0,0.5,0.0,,,,,0.1213,0.3916,0.6394
BHR,Bahrain,0.3882,0.3102,0.078,doble juego (hedger),0.3882,0.3102,0.0,0.0,0.3422,0.7751,0.4317,0.7764,0.6591,0.0,0.5,0.0,0.972,0.0,0.0,0.5876,0.1632,0.1555,2.6075
KNA,St. Kitts & Nevis,0.3378,0.2614,0.0764,pro-EEUU,0.3378,0.2614,0.0,0.0,0.38,0.7243,0.4584,0.7463,0.0,0.0,0.0,0.0,,,,,0.6333,0.0598,2.2642
NRU,Nauru,0.206,0.1324,0.0736,no alineado (bajo con ambos),0.206,0.1324,0.0,0.0,0.5974,0.3035,0.6114,0.4972,0.0,0.0,0.0,0.0,,,,,0.0205,0.0938,0.6755
BLZ,Belize,0.3835,0.3219,0.0616,doble juego (hedger),0.3835,0.3219,0.0,0.0,0.4282,0.7054,0.4923,0.7351,0.0,0.0,0.0,0.0,,,,,0.7222,0.2602,1.9078
FJI,Fiji,0.2732,0.226,0.0472,pro-EEUU,0.2732,0.226,0.0,0.0,0.6537,0.4425,0.651,0.5795,0.0,0.0,0.0,0.0,,,,,0.1659,0.2355,1.2366
VCT,St. Vincent & Grenadines,0.3158,0.2746,0.0412,pro-EEUU,0.3158,0.2746,0.0,0.0,0.3882,0.7308,0.4642,0.7502,0.0,0.0,0.0,0.0,,,,,0.5591,0.0929,2.2368
MAR,Morocco,0.3409,0.3004,0.0405,doble juego (hedger),0.3409,0.3004,0.0,0.0,0.3629,0.7638,0.4463,0.7696,0.5359,0.003,0.5,0.0,0.5957,0.0075,0.0,,0.124,0.1345,2.2935
ECU,Ecuador,0.3476,0.3166,0.031,doble juego (hedger),0.3476,0.3166,0.0,0.0,0.4785,0.5878,0.5277,0.6655,0.0891,0.0,0.0,0.0,0.2376,0.0,0.0,,0.4753,0.3619,1.3708
URY,Uruguay,0.3491,0.3209,0.0283,doble juego (hedger),0.3491,0.3209,0.0,0.0,0.5077,0.5764,0.5483,0.6588,0.3846,0.0,0.5,0.0,0.1923,0.0,0.0,,0.1551,0.3862,1.3075
KWT,Kuwait,0.3267,0.3038,0.023,doble juego (hedger),0.3267,0.3038,0.0,0.0,0.3673,0.7145,0.4495,0.7405,0.5264,0.0,0.5,0.0,0.6135,0.0,0.0,0.4619,0.0865,0.1967,2.2274
GUY,Guyana,0.2662,0.2458,0.0205,pro-EEUU,0.2662,0.2458,0.0,0.0,0.453,0.6553,0.5098,0.7055,0.0,0.0,0.0,0.0,,,,,0.3457,0.082,1.6837
SGP,Singapore,0.3344,0.3142,0.0202,doble juego (hedger),0.3344,0.3142,0.0,0.0,0.4538,0.677,0.5103,0.7183,0.3429,0.0,0.35,0.0,0.2998,0.0,0.0,0.3898,0.2066,0.2657,1.9238
TON,Tonga,0.2596,0.2518,0.0079,no alineado (bajo con ambos),0.2596,0.2518,0.0,0.0,0.5802,0.5312,0.5993,0.632,0.0,0.0,0.0,0.0,,,,,0.1987,0.2241,1.0284
WSM,Samoa,0.2607,0.2544,0.0063,no alineado (bajo con ambos),0.2607,0.2544,0.0,0.0,0.5872,0.5691,0.6042,0.6544,0.0,0.0,0.0,0.0,,,,,0.1948,0.1941,1.4591
TUN,Tunisia,0.2893,0.2871,0.0022,pro-EEUU,0.2893,0.2871,0.0,0.0,0.3529,0.7441,0.4393,0.758,0.4598,0.0,0.5,0.0,0.3927,0.0,0.0,,0.0554,0.1172,2.6564
SUR,Suriname,0.2666,0.2703,-0.0037,pro-EEUU,0.2666,0.2703,0.0,0.0,0.4571,0.6628,0.5126,0.7099,0.0,0.0,0.0,0.0,,,,,0.3428,0.1482,1.6718
TUV,Tuvalu,0.1962,0.2032,-0.0069,no alineado (bajo con ambos),0.1962,0.2032,0.0,0.0,0.5515,0.5871,0.5791,0.6651,0.0,0.0,0.0,0.0,,,,,0.0373,0.0225,1.532
DMA,Dominica,0.2668,0.2785,-0.0116,pro-EEUU,0.2668,0.2785,0.0,0.0,0.3548,0.781,0.4406,0.7798,0.0,0.0,0.0,0.0,,,,,0.4457,0.0544,2.8467
QAT,Qatar,0.335,0.3543,-0.0193,doble juego (hedger),0.335,0.3543,0.0,0.0,0.3801,0.7006,0.4585,0.7323,0.5311,0.0,0.6,0.0,0.4888,0.0,0.0,0.4222,0.0939,0.3624,2.0143
STP,Sao Tome and Principe,0.1877,0.2085,-0.0207,no alineado (bajo con ambos),0.1877,0.2085,0.0,0.0,0.5399,0.5272,0.5709,0.6296,0.0,0.0,0.0,0.0,,,,,0.0233,0.0981,1.7758
CHL,Chile,0.3911,0.4248,-0.0337,doble juego (hedger),0.3911,0.4248,0.0,0.0,0.4975,0.5791,0.5411,0.6603,0.3265,0.06,0.5,0.1,0.0374,0.0,0.0,,0.3491,0.6353,1.3128
JOR,Jordan,0.3069,0.3514,-0.0445,doble juego (hedger),0.3069,0.3514,0.0,0.0,0.3176,0.7658,0.4144,0.7709,0.3807,0.0274,0.5,0.0,0.2087,0.0685,0.0,0.3402,0.2224,0.2609,2.5063
LCA,St. Lucia,0.2203,0.266,-0.0456,no alineado (bajo con ambos),0.2203,0.266,0.0,0.0,0.3677,0.7426,0.4497,0.7571,0.0,0.0,0.0,0.0,,,,,0.2933,0.0553,2.2654
THA,Thailand,0.4156,0.4684,-0.0528,doble juego (hedger),0.4156,0.4684,0.0,0.0,0.3986,0.7156,0.4715,0.7411,0.6136,0.3199,1.0,0.25,0.1534,0.4248,0.0271,0.3379,0.2346,0.3697,2.127
PNG,Papua New Guinea,0.2239,0.2822,-0.0583,no alineado (bajo con ambos),0.2239,0.2822,0.0,0.0,0.6495,0.4242,0.6481,0.5687,0.0,0.0,0.0,0.0,,,,,0.0221,0.4223,0.5434
MYS,Malaysia,0.1959,0.2542,-0.0583,no alineado (bajo con ambos),0.1959,0.4042,0.0,0.15,0.3336,0.7508,0.4257,0.762,0.0522,0.1216,0.0,0.0,0.1392,0.304,0.0,,0.2017,0.34,2.5408
PER,Peru,0.3692,0.4299,-0.0607,doble juego (hedger),0.3692,0.4299,0.0,0.0,0.4527,0.6373,0.5096,0.6948,0.339,0.12,0.5,0.2,0.0705,0.0,0.0,,0.316,0.5325,1.6896
BRA,Brazil,0.3453,0.417,-0.0717,doble juego (hedger),0.3453,0.417,0.0,0.0,0.4235,0.6409,0.489,0.6969,0.3337,0.09,0.5,0.15,0.0565,0.0,0.0,,0.2788,0.5202,2.0743
MWI,Malawi,0.1923,0.2745,-0.0822,no alineado (bajo con ambos),0.1923,0.2745,0.0,0.0,0.5281,0.554,0.5626,0.6455,0.0,0.0,0.0,0.0,,,,,0.0488,0.2696,1.23
KEN,Kenya,0.2797,0.3673,-0.0876,doble juego (hedger),0.2797,0.3673,0.0,0.0,0.3509,0.7396,0.4379,0.7553,0.3871,0.09,0.5,0.15,0.1991,0.0,0.0,,0.1011,0.2724,2.1701
CIV,Ivory Coast,0.1924,0.2868,-0.0944,no alineado (bajo con ambos),0.1924,0.2868,0.0,0.0,0.4887,0.5971,0.5349,0.671,0.006,0.0742,0.0,0.0,0.0161,0.1855,0.0,,0.0824,0.1892,1.6258
LBN,Lebanon,0.2394,0.3343,-0.0949,pro-China,0.2394,0.3343,0.0,0.0,0.284,0.8011,0.3908,0.7918,0.3511,0.0,0.0,0.0,0.9362,0.0,0.0,,0.083,0.2017,2.8809
KIR,Kiribati,0.2001,0.2963,-0.0963,no alineado (bajo con ambos),0.2001,0.2963,0.0,0.0,0.5092,0.5886,0.5493,0.666,0.0,0.0,0.0,0.0,,,,,0.0911,0.3005,1.3898
LSO,Lesotho,0.1678,0.267,-0.0992,no alineado (bajo con ambos),0.1678,0.267,0.0,0.0,0.3624,0.7224,0.4459,0.7452,0.0,0.0,0.0,0.0,,,,,0.1411,0.0787,2.1401
MUS,Mauritius,0.146,0.246,-0.1,no alineado (bajo con ambos),0.146,0.246,0.0,0.0,0.3518,0.7379,0.4385,0.7543,0.0,0.0,0.0,0.0,,,,,0.0862,0.0002,2.0128
BWA,Botswana,0.1598,0.2601,-0.1003,no alineado (bajo con ambos),0.1598,0.2601,0.0,0.0,0.4196,0.6947,0.4862,0.7288,0.0356,0.0,0.0,0.0,0.0948,0.0,0.0,,0.0242,0.0855,2.1409
SYC,Seychelles,0.1464,0.2513,-0.1049,no alineado (bajo con ambos),0.1464,0.2513,0.0,0.0,0.4196,0.7008,0.4862,0.7324,0.0,0.0,0.0,0.0,,,,,0.0195,0.053,1.7509
SAU,Saudi Arabia,0.3113,0.4167,-0.1053,doble juego (hedger),0.3113,0.4167,0.0,0.0,0.313,0.7598,0.4112,0.7673,0.4929,0.124,0.35,0.2,0.7772,0.0099,0.0,0.4236,0.1282,0.3663,2.4485
COM,Comoros,0.1496,0.2616,-0.112,no alineado (bajo con ambos),0.1496,0.2616,0.0,0.0,0.4341,0.6501,0.4965,0.7024,0.0,0.0,0.0,0.0,,,,,0.0148,0.1348,2.0525
CPV,Cape Verde,0.1479,0.2689,-0.121,no alineado (bajo con ambos),0.1479,0.2689,0.0,0.0,0.4086,0.7329,0.4785,0.7514,0.0,0.0,0.0,0.0,,,,,0.035,0.0738,1.7066
BTN,Bhutan,0.128,0.2493,-0.1213,no alineado (bajo con ambos),0.128,0.2493,0.0,0.0,0.3815,0.6842,0.4594,0.7226,0.0,0.0,0.0,0.0,,,,,0.0025,0.0637,2.1815
LKA,Sri Lanka,0.2735,0.4057,-0.1322,doble juego (hedger),0.2735,0.4057,0.0,0.0,0.2834,0.7898,0.3903,0.785,0.311,0.1744,0.0,0.25,0.8293,0.061,0.0,,0.2263,0.2529,2.748
ARE,United Arab Emirates,0.2705,0.4043,-0.1338,doble juego (hedger),0.2705,0.4043,0.0,0.0,0.3278,0.7753,0.4216,0.7765,0.4028,0.1516,0.4,0.25,0.4146,0.0039,0.0164,0.3923,0.081,0.2862,2.5512
EGY,Egypt,0.2414,0.3784,-0.137,pro-China,0.2414,0.3784,0.0,0.0,0.2517,0.7777,0.368,0.7779,0.3477,0.15,0.5,0.25,0.0655,0.0,0.079,0.3902,0.1249,0.2075,2.7767
TGO,Togo,0.1812,0.3243,-0.1432,pro-China,0.1812,0.3243,0.0,0.0,0.4002,0.6953,0.4726,0.7291,0.0926,0.0,0.0,0.0,0.2469,0.0,0.6049,,0.0508,0.2777,2.2159
OMN,Oman,0.1472,0.297,-0.1498,pro-China,0.1472,0.297,0.0,0.0,0.3189,0.761,0.4153,0.768,0.0306,0.0,0.0,0.0,0.0816,0.0,0.0,,0.092,0.13,2.9657
ARM,Armenia,0.1632,0.3133,-0.1501,pro-China,0.1632,0.3133,0.0,0.0,0.4376,0.7287,0.4989,0.7489,0.0,0.0,0.0,0.0,0.0,0.0,0.2397,,0.0519,0.2112,1.204
MDV,Maldives,0.1573,0.3105,-0.1532,pro-China,0.1573,0.3105,0.0,0.0,0.4219,0.7006,0.4879,0.7323,0.0,0.0,0.0,0.0,,,,,0.0499,0.2309,2.186
VUT,Vanuatu,0.1615,0.32,-0.1585,pro-China,0.1615,0.32,0.0,0.0,0.4316,0.6871,0.4947,0.7243,0.0,0.0,0.0,0.0,,,,,0.0528,0.273,1.5564
GHA,Ghana,0.1676,0.3297,-0.1621,pro-China,0.1676,0.3297,0.0,0.0,0.3904,0.7026,0.4657,0.7334,0.0195,0.0104,0.0,0.0,0.0519,0.026,0.0,,0.0929,0.2761,2.195
SWZ,Eswatini,0.1199,0.2868,-0.1669,no alineado (bajo con ambos),0.1199,0.2868,0.0,0.0,0.3324,0.7836,0.4248,0.7814,0.0,0.0,0.0,0.0,,,,,0.0274,0.0768,2.4827
