iso3,name,grupo_estricto,axis_us,axis_cn,net_lean_us
ECU,Ecuador,neutral_ambos,0.3476,0.3166,0.031
EGY,Egypt,neutral_ambos,0.2414,0.3784,-0.137
FJI,Fiji,neutral_ambos,0.2732,0.226,0.0472
GRD,Grenada,neutral_ambos,0.3474,0.2618,0.0856
GUY,Guyana,neutral_ambos,0.2662,0.2458,0.0205
CIV,Ivory Coast,neutral_ambos,0.1924,0.2868,-0.0944
JOR,Jordan,neutral_ambos,0.3069,0.3514,-0.0445
KEN,Kenya,neutral_ambos,0.2797,0.3673,-0.0876
KIR,Kiribati,neutral_ambos,0.2001,0.2963,-0.0963
KWT,Kuwait,neutral_ambos,0.3267,0.3038,0.023
LBN,Lebanon,neutral_ambos,0.2394,0.3343,-0.0949
LSO,Lesotho,neutral_ambos,0.1678,0.267,-0.0992
LBR,Liberia,neutral_ambos,0.3134,0.2255,0.0879
MWI,Malawi,neutral_ambos,0.1923,0.2745,-0.0822
MYS,Malaysia,neutral_ambos,0.1959,0.2542,-0.0583
MLT,Malta,neutral_ambos,0.2712,0.1243,0.1468
MUS,Mauritius,neutral_ambos,0.146,0.246,-0.1
MDA,Moldova,neutral_ambos,0.2683,0.1491,0.1192
MAR,Morocco,neutral_ambos,0.3409,0.3004,0.0405
NRU,Nauru,neutral_ambos,0.206,0.1324,0.0736
OMN,Oman,neutral_ambos,0.1472,0.297,-0.1498
PNG,Papua New Guinea,neutral_ambos,0.2239,0.2822,-0.0583
PRY,Paraguay,neutral_ambos,0.3875,0.3058,0.0818
PER,Peru,neutral_ambos,0.3692,0.4299,-0.0607
QAT,Qatar,neutral_ambos,0.335,0.3543,-0.0193
WSM,Samoa,neutral_ambos,0.2607,0.2544,0.0063
STP,Sao Tome and Principe,neutral_ambos,0.1877,0.2085,-0.0207
SAU,Saudi Arabia,neutral_ambos,0.3113,0.4167,-0.1053
SYC,Seychelles,neutral_ambos,0.1464,0.2513,-0.1049
SGP,Singapore,neutral_ambos,0.3344,0.3142,0.0202
LKA,Sri Lanka,neutral_ambos,0.2735,0.4057,-0.1322
KNA,St. Kitts & Nevis,neutral_ambos,0.3378,0.2614,0.0764
LCA,St. Lucia,neutral_ambos,0.2203,0.266,-0.0456
VCT,St. Vincent & Grenadines,neutral_ambos,0.3158,0.2746,0.0412
SUR,Suriname,neutral_ambos,0.2666,0.2703,-0.0037
THA,Thailand,neutral_ambos,0.4156,0.4684,-0.0528
TGO,Togo,neutral_ambos,0.1812,0.3243,-0.1432
TON,Tonga,neutral_ambos,0.2596,0.2518,0.0079
TUN,Tunisia,neutral_ambos,0.2893,0.2871,0.0022
TUV,Tuvalu,neutral_ambos,0.1962,0.2032,-0.0069
ARE,United Arab Emirates,neutral_ambos,0.2705,0.4043,-0.1338
URY,Uruguay,neutral_ambos,0.3491,0.3209,0.0283
VNM,Vietnam,neutral_ambos,0.2703,0.1443,0.126
