bloc,mode,context,estimate,lo,hi,n_draws
US,he,Work,3.4722222222222223,1.2334656084656088,6.0606060606060606,5000
US,he,Government,6.597222222222222,1.1904761904761905,15.277777777777777,5000
US,he,Interpersonal,2.083333333333333,0.3202160493827162,4.583692528735627,5000
US,he,Diplomacy,1.3888888888888888,0.0,3.175366300366289,5000
US,he,Academia,3.125000000000001,0.9615384615384616,5.666666666666667,5000
US,he,Markets,0.3472222222222222,0.0,1.1904761904761905,5000
US,he,Media,0.6944444444444444,0.0,2.2727272727272725,5000
US,de,Fiction,9.722222222222223,6.08974358974359,13.782051282051281,5000
US,de,Work,16.319444444444446,8.680555555555554,25.79365079365079,5000
US,de,Government,10.416666666666668,6.08974358974359,15.064484126984121,5000
US,de,Interpersonal,11.805555555555554,4.544665404040404,20.83333333333333,5000
US,de,Diplomacy,5.555555555555556,2.314814814814815,9.649122807017545,5000
US,de,Academia,9.722222222222221,3.7037037037037033,17.187920026881713,5000
US,de,Markets,19.09722222222222,12.151988636363633,27.38095238095238,5000
US,de,Media,13.194444444444445,5.3921568627450975,23.149154589371967,5000
US,pg,Fiction,13.888888888888888,9.803921568627452,18.45302795031055,5000
US,pg,Work,21.180555555555554,12.03611111111111,31.37254901960784,5000
US,pg,Government,31.944444444444443,18.999537037037033,46.42947330447329,5000
US,pg,Interpersonal,19.444444444444443,10.000000000000002,30.865162037037024,5000
US,pg,Diplomacy,24.652777777777775,17.1875,32.60869565217391,5000
US,pg,Academia,26.38888888888889,17.013541666666672,35.938185307017534,5000
US,pg,Markets,15.624999999999996,7.986111111111111,24.60362554112554,5000
US,pg,Media,20.138888888888886,10.31746031746032,31.59895833333331,5000
US,control,Fiction,12.152777777777777,5.952380952380952,19.565670289855067,5000
US,control,Work,27.777777777777775,16.666666666666664,40.22002103786812,5000
US,control,Government,29.166666666666668,16.666666666666664,42.98428362573096,5000
US,control,Interpersonal,17.013888888888886,8.695652173913043,26.58730158730159,5000
US,control,Diplomacy,26.811594202898547,14.283286340852127,40.851095278178605,5000
US,control,Academia,16.319444444444443,7.051282051282053,27.43106617647058,5000
US,control,Markets,18.402777777777775,9.056521739130435,28.986178207192694,5000
US,control,Media,13.194444444444445,6.789641203703703,20.83749999999994,5000
CN,he,Fiction,4.513888888888888,0.8771929824561403,9.649122807017543,5000
CN,he,Work,3.4722222222222223,0.8771929824561403,6.579404239766075,5000
CN,he,Government,10.416666666666668,3.0303030303030303,20.333333333333336,5000
CN,he,Interpersonal,1.3888888888888888,0.0,3.9858695652173854,5000
CN,he,Diplomacy,2.4305555555555554,0.32051282051282054,5.263157894736842,5000
CN,he,Academia,3.472222222222223,0.8333333333333334,7.638888888888888,5000
CN,he,Markets,0.6944444444444444,0.0,1.736111111111111,5000
CN,he,Media,1.3888888888888888,0.0,3.2407407407407405,5000
CN,de,Fiction,11.805555555555554,6.248070987654321,18.055555555555557,5000
CN,de,Work,21.875,10.937051005747128,33.97569444444443,5000
CN,de,Government,22.569444444444446,13.6353668261563,32.93695887445887,5000
CN,de,Interpersonal,13.541666666666666,4.385442773600668,24.444892473118273,5000
CN,de,Diplomacy,9.722222222222221,4.365079365079364,16.666666666666664,5000
CN,de,Academia,13.194444444444445,6.018055555555555,22.435897435897434,5000
CN,de,Markets,24.65277777777778,13.043478260869565,37.69893483709272,5000
CN,de,Media,19.444444444444446,11.217948717948719,29.389163011695857,5000
CN,pg,Fiction,14.930555555555555,8.333333333333332,22.549530228758165,5000
CN,pg,Work,29.166666666666668,15.997727272727271,44.048859126984105,5000
CN,pg,Government,38.54166666666667,23.333333333333336,55.07246376811593,5000
CN,pg,Interpersonal,23.263888888888893,9.56679894179894,39.01564992025518,5000
CN,pg,Diplomacy,33.33333333333333,22.499094202898547,44.55163043478261,5000
CN,pg,Academia,26.38888888888889,15.350438596491225,38.63771645021644,5000
CN,pg,Markets,16.319444444444446,6.578947368421052,27.898550724637683,5000
CN,pg,Media,22.916666666666664,10.118264411027571,37.71994324045407,5000
CN,control,Fiction,8.680555555555557,3.787878787878788,14.743589743589745,5000
CN,control,Work,30.208333333333332,18.517512077294683,42.75362318840579,5000
CN,control,Government,31.597222222222225,17.666666666666668,47.46544551798172,5000
CN,control,Interpersonal,17.013888888888886,7.332291666666666,28.260869565217394,5000
CN,control,Diplomacy,28.124999999999993,15.277777777777779,42.54507797270953,5000
CN,control,Academia,16.319444444444443,6.15894355453852,28.94789055973266,5000
CN,control,Markets,18.055555555555554,7.870370370370372,29.54640151515151,5000
CN,control,Media,13.541666666666666,6.371965452847805,21.59090909090909,5000
