bloc,factor,mode,comparison,estimate,lo,hi,p_boot,n_draws,q
CN,scale,he,society - individual,1.3020833333333333,-1.6846385642459962,4.0849417892156845,0.36992601479704057,5000,0.8496826950399394
CN,scale,de,group - individual,-2.4739583333333344,-9.235028860028864,4.416618989928231,0.4611077784443111,5000,0.8496826950399394
CN,scale,de,society - individual,12.369791666666666,4.370978065650202,20.563979835417165,0.004799040191961607,5000,0.028794241151769644
CN,scale,pg,group - individual,0.0,-8.060323383084576,7.688885971055077,0.9962007598480304,5000,0.9962007598480304
CN,scale,pg,society - individual,29.557291666666664,18.710206332578913,40.49545769682433,0.0003999200159968006,5000,0.003199360127974405
CN,scale,control,group - individual,-0.78125,-10.656397610447339,8.732044326025845,0.8958208358328335,5000,0.9772590936358182
CN,scale,control,society - individual,-2.34375,-12.209136228549513,8.05502704019653,0.6386722655468906,5000,0.8496826950399394
all,standing,he,med - low,-1.1067708333333335,-2.5200959787963164,0.25480248917748893,0.11997600479904019,5000,0.26176582865245135
all,standing,he,high - low,3.7109375,0.5561898256570393,7.732332141018265,0.013997200559888023,5000,0.16796640671865626
all,standing,de,med - low,-6.966145833333333,-13.63678204848978,-0.28850838713960913,0.039192161567686463,5000,0.18373468163510157
all,standing,de,high - low,-1.5593998015873023,-8.82745296727894,6.036020588589095,0.673865226954609,5000,0.898486969272812
all,standing,pg,med - low,1.3671875,-8.11422975301675,10.308156085625837,0.7718456308738252,5000,0.9356041835111238
all,standing,pg,high - low,8.984375000000004,-0.8485646709995326,18.62400045552335,0.07158568286342731,5000,0.19868026394721056
all,standing,control,med - low,-8.3984375,-17.781493099632197,0.9977374461056265,0.08278344331133773,5000,0.19868026394721056
all,standing,control,high - low,0.6644758597883604,-8.738877653049105,9.956767003111908,0.8966206758648271,5000,0.9356041835111238
US,standing,he,med - low,-0.9114583333333333,-2.453483794237219,0.6653147370059125,0.2663467306538692,5000,0.42615476904619076
US,standing,he,high - low,2.7343750000000004,-0.2461264979563936,6.6855094913129705,0.07958408318336332,5000,0.19868026394721056
US,standing,de,med - low,-5.598958333333334,-11.21968533258856,0.0536858974358961,0.052789442111577684,5000,0.18373468163510157
US,standing,de,high - low,-2.20734126984127,-8.481573913658583,4.347874513284751,0.4971005798840232,5000,0.7456508698260348
US,standing,pg,med - low,1.8229166666666685,-6.4168537555634275,9.882901693120433,0.6514697060587883,5000,0.898486969272812
US,standing,pg,high - low,9.635416666666666,1.2310387864823378,18.283003189765477,0.02559488102379524,5000,0.18373468163510157
US,standing,control,med - low,-6.901041666666669,-16.085878127821754,2.3895342938311646,0.15116976604679064,5000,0.2749164452823721
US,standing,control,high - low,1.1987433862433865,-8.069701319056936,10.527165773998192,0.8154369126174765,5000,0.9356041835111238
CN,standing,he,med - low,-1.3020833333333335,-2.9868043823758677,0.35719417077175614,0.13557288542291543,5000,0.27114577084583086
CN,standing,he,high - low,4.6875,0.9523750384406118,9.2213845253314,0.009598080383923215,5000,0.16796640671865626
CN,standing,de,med - low,-8.333333333333332,-16.53521643511164,-0.21554564127187814,0.046790641871625675,5000,0.18373468163510157
CN,standing,de,high - low,-0.9114583333333315,-9.813119152747943,8.253688545748467,0.8358328334333134,5000,0.9356041835111238
CN,standing,pg,med - low,0.9114583333333343,-10.3394785450412,11.604945393645801,0.8814237152569486,5000,0.9356041835111238
CN,standing,pg,high - low,8.333333333333334,-3.1834222479752783,19.42639608357571,0.16036792641471706,5000,0.2749164452823721
CN,standing,control,med - low,-9.895833333333332,-19.838338628033995,0.1391704204204186,0.05358928214357129,5000,0.18373468163510157
CN,standing,control,high - low,0.13020833333333426,-9.87282154517727,10.104500923651411,0.9818036392721455,5000,0.9818036392721455
