bloc,mode,language,reference,estimate,direction_mean,n_models,n_models_direction,min_pairs,mean_discordant
US,he,zh,en,0.17361111111111113,0.06012506012506013,12,11,192.0,6.166666666666667
CN,he,en,zh,-1.3020833333333335,-0.10947293447293448,12,12,192.0,10.833333333333334
CN,he,zh,en,1.3020833333333335,0.10947293447293448,12,12,192.0,10.833333333333334
all,he,en,hi,-2.1267361111111107,-0.1904356530045446,24,23,192.0,11.666666666666666
all,he,hi,en,2.1267361111111107,0.1904356530045446,24,23,192.0,11.666666666666666
US,he,en,hi,-3.6458333333333335,-0.25461811271670426,12,11,192.0,13.333333333333334
US,he,hi,en,3.6458333333333335,0.25461811271670426,12,11,192.0,13.333333333333334
CN,he,en,hi,-0.6076388888888891,-0.13160173160173158,12,12,192.0,10.0
CN,he,hi,en,0.6076388888888891,0.13160173160173158,12,12,192.0,10.0
all,he,en,sw,-6.576202552356021,-0.3985961316780282,24,24,191.0,19.875
all,he,sw,en,6.576202552356021,0.3985961316780282,24,24,191.0,19.875
US,he,en,sw,-11.720113438045376,-0.6240110464248395,12,12,191.0,27.5
US,he,sw,en,11.720113438045376,0.6240110464248395,12,12,191.0,27.5
CN,he,en,sw,-1.432291666666667,-0.17318121693121694,12,12,192.0,12.25
CN,he,sw,en,1.432291666666667,0.17318121693121694,12,12,192.0,12.25
all,he,es,pt,0.5208333333333333,0.14601185629893762,24,22,192.0,6.0
all,he,pt,es,-0.5208333333333333,-0.14601185629893762,24,22,192.0,6.0
US,he,es,pt,0.4774305555555555,0.028845131476710417,12,10,192.0,7.25
US,he,pt,es,-0.4774305555555555,-0.028845131476710417,12,10,192.0,7.25
CN,he,es,pt,0.5642361111111112,0.24365079365079365,12,12,192.0,4.75
CN,he,pt,es,-0.5642361111111112,-0.24365079365079365,12,12,192.0,4.75
all,he,es,fr,-0.4991319444444445,-0.1785488665923448,24,23,192.0,7.041666666666667
all,he,fr,es,0.4991319444444445,0.1785488665923448,24,23,192.0,7.041666666666667
US,he,es,fr,0.2170138888888888,-0.16200466200466201,12,11,192.0,6.75
US,he,fr,es,-0.2170138888888888,0.16200466200466201,12,11,192.0,6.75
CN,he,es,fr,-1.2152777777777777,-0.1937143874643875,12,12,192.0,7.333333333333333
CN,he,fr,es,1.2152777777777777,0.1937143874643875,12,12,192.0,7.333333333333333
all,he,es,de,0.4991319444444444,0.28353240961936615,24,23,192.0,6.041666666666667
all,he,de,es,-0.4991319444444444,-0.28353240961936615,24,23,192.0,6.041666666666667
US,he,es,de,0.6076388888888888,0.34219114219114216,12,11,192.0,6.666666666666667
US,he,de,es,-0.6076388888888888,-0.34219114219114216,12,11,192.0,6.666666666666667
CN,he,es,de,0.390625,0.22976190476190472,12,12,192.0,5.416666666666667
CN,he,de,es,-0.390625,-0.22976190476190472,12,12,192.0,5.416666666666667
all,he,es,zh,-0.5642361111111113,0.023698304330715403,24,22,192.0,7.75
all,he,zh,es,0.5642361111111113,-0.023698304330715403,24,22,192.0,7.75
US,he,es,zh,0.6510416666666664,0.35014492753623194,12,10,192.0,6.583333333333333
US,he,zh,es,-0.6510416666666664,-0.35014492753623194,12,10,192.0,6.583333333333333
CN,he,es,zh,-1.7795138888888888,-0.2483405483405484,12,12,192.0,8.916666666666666
CN,he,zh,es,1.7795138888888888,0.2483405483405484,12,12,192.0,8.916666666666666
all,he,es,hi,-1.953125,-0.2217040206170641,24,23,192.0,10.5
all,he,hi,es,1.953125,0.2217040206170641,24,23,192.0,10.5
US,he,es,hi,-2.821180555555556,-0.10435397935397935,12,11,192.0,14.25
US,he,hi,es,2.821180555555556,0.10435397935397935,12,11,192.0,14.25
CN,he,es,hi,-1.0850694444444446,-0.3292748917748918,12,12,192.0,6.75
CN,he,hi,es,1.0850694444444446,0.3292748917748918,12,12,192.0,6.75
all,he,es,sw,-6.402136961896451,-0.3437156704173511,24,24,191.0,18.458333333333332
all,he,sw,es,6.402136961896451,0.3437156704173511,24,24,191.0,18.458333333333332
US,he,es,sw,-10.89455170157068,-0.5573044415901559,12,12,191.0,26.75
US,he,sw,es,10.89455170157068,0.5573044415901559,12,12,191.0,26.75
CN,he,es,sw,-1.9097222222222223,-0.1301268992445463,12,12,192.0,10.166666666666666
CN,he,sw,es,1.9097222222222223,0.1301268992445463,12,12,192.0,10.166666666666666
all,he,pt,fr,-1.0199652777777777,-0.2697837440972452,24,23,192.0,7.208333333333333
all,he,fr,pt,1.0199652777777777,0.2697837440972452,24,23,192.0,7.208333333333333
US,he,pt,fr,-0.26041666666666663,-0.10734170136084012,12,11,192.0,6.666666666666667
US,he,fr,pt,0.26041666666666663,0.10734170136084012,12,11,192.0,6.666666666666667
CN,he,pt,fr,-1.779513888888889,-0.41868894993894995,12,12,192.0,7.75
CN,he,fr,pt,1.779513888888889,0.41868894993894995,12,12,192.0,7.75
all,he,pt,de,-0.021701388888888867,0.12099060359929927,24,23,192.0,6.625
all,he,de,pt,0.021701388888888867,-0.12099060359929927,24,23,192.0,6.625
US,he,pt,de,0.13020833333333337,0.23829503829503826,12,11,192.0,6.916666666666667
US,he,de,pt,-0.13020833333333337,-0.23829503829503826,12,11,192.0,6.916666666666667
CN,he,pt,de,-0.17361111111111108,0.013461538461538457,12,12,192.0,6.333333333333333
CN,he,de,pt,0.17361111111111108,-0.013461538461538457,12,12,192.0,6.333333333333333
all,he,pt,zh,-1.0850694444444442,-0.13894136166863438,24,22,192.0,7.75
all,he,zh,pt,1.0850694444444442,0.13894136166863438,24,22,192.0,7.75
US,he,pt,zh,0.17361111111111102,0.24909090909090909,12,10,192.0,6.666666666666667
US,he,zh,pt,-0.17361111111111102,-0.24909090909090909,12,10,192.0,6.666666666666667
CN,he,pt,zh,-2.34375,-0.46230158730158727,12,12,192.0,8.833333333333334
CN,he,zh,pt,2.34375,0.46230158730158727,12,12,192.0,8.833333333333334
all,he,pt,hi,-2.473958333333333,-0.22872367273469538,24,23,192.0,10.666666666666666
all,he,hi,pt,2.473958333333333,0.22872367273469538,24,23,192.0,10.666666666666666
US,he,pt,hi,-3.298611111111111,-0.10789408628077002,12,11,192.0,13.0
US,he,hi,pt,3.298611111111111,0.10789408628077002,12,11,192.0,13.0
CN,he,pt,hi,-1.6493055555555554,-0.33948412698412694,12,12,192.0,8.333333333333334
CN,he,hi,pt,1.6493055555555554,0.33948412698412694,12,12,192.0,8.333333333333334
all,he,pt,sw,-6.922856675392669,-0.46341585091585086,24,24,191.0,18.958333333333332
all,he,sw,pt,6.922856675392669,0.46341585091585086,24,24,191.0,18.958333333333332
US,he,pt,sw,-11.371755017452008,-0.5359692484692485,12,12,191.0,27.5
US,he,sw,pt,11.371755017452008,0.5359692484692485,12,12,191.0,27.5
CN,he,pt,sw,-2.473958333333334,-0.39086245336245334,12,12,192.0,10.416666666666666
CN,he,sw,pt,2.473958333333334,0.39086245336245334,12,12,192.0,10.416666666666666
all,he,fr,de,0.998263888888889,0.3613638208906751,24,23,192.0,7.333333333333333
all,he,de,fr,-0.998263888888889,-0.3613638208906751,24,23,192.0,7.333333333333333
US,he,fr,de,0.3906249999999999,0.23506493506493503,12,11,192.0,6.583333333333333
US,he,de,fr,-0.3906249999999999,-0.23506493506493503,12,11,192.0,6.583333333333333
CN,he,fr,de,1.605902777777778,0.4771377995642702,12,12,192.0,8.083333333333334
CN,he,de,fr,-1.605902777777778,-0.4771377995642702,12,12,192.0,8.083333333333334
all,he,fr,zh,-0.06510416666666678,0.06162953208407754,24,22,192.0,8.041666666666666
all,he,zh,fr,0.06510416666666678,-0.06162953208407754,24,22,192.0,8.041666666666666
US,he,fr,zh,0.4340277777777776,0.35217948717948716,12,10,192.0,5.666666666666667
US,he,zh,fr,-0.4340277777777776,-0.35217948717948716,12,10,192.0,5.666666666666667
CN,he,fr,zh,-0.564236111111111,-0.1804954304954305,12,12,192.0,10.416666666666666
CN,he,zh,fr,0.564236111111111,0.1804954304954305,12,12,192.0,10.416666666666666
all,he,fr,hi,-1.4539930555555554,-0.07953717212029232,24,23,192.0,11.041666666666666
all,he,hi,fr,1.4539930555555554,0.07953717212029232,24,23,192.0,11.041666666666666
US,he,fr,hi,-3.0381944444444438,-0.08181818181818182,12,11,192.0,13.333333333333334
US,he,hi,fr,3.0381944444444438,0.08181818181818182,12,11,192.0,13.333333333333334
CN,he,fr,hi,0.13020833333333331,-0.07744624656389362,12,12,192.0,8.75
CN,he,hi,fr,-0.13020833333333331,0.07744624656389362,12,12,192.0,8.75
all,he,fr,sw,-5.902777777777779,-0.20006272728820376,24,23,191.0,20.0
all,he,sw,fr,5.902777777777779,0.20006272728820376,24,23,191.0,20.0
US,he,fr,sw,-11.11111111111111,-0.425464320625611,12,11,191.0,27.5
US,he,sw,fr,11.11111111111111,0.425464320625611,12,11,191.0,27.5
CN,he,fr,sw,-0.6944444444444448,0.006555399937752874,12,12,192.0,12.5
CN,he,sw,fr,0.6944444444444448,-0.006555399937752874,12,12,192.0,12.5
all,he,de,zh,-1.0633680555555558,-0.23516504499491261,24,23,192.0,7.875
all,he,zh,de,1.0633680555555558,0.23516504499491261,24,23,192.0,7.875
US,he,de,zh,0.043402777777777624,-0.051816299642386605,12,11,192.0,6.083333333333333
US,he,zh,de,-0.043402777777777624,0.051816299642386605,12,11,192.0,6.083333333333333
CN,he,de,zh,-2.1701388888888884,-0.4032347282347282,12,12,192.0,9.666666666666666
CN,he,zh,de,2.1701388888888884,0.4032347282347282,12,12,192.0,9.666666666666666
all,he,de,hi,-2.4522569444444446,-0.33656958983045937,24,23,192.0,10.541666666666666
all,he,hi,de,2.4522569444444446,0.33656958983045937,24,23,192.0,10.541666666666666
US,he,de,hi,-3.428819444444444,-0.24577922077922076,12,11,192.0,13.083333333333334
US,he,hi,de,3.428819444444444,0.24577922077922076,12,11,192.0,13.083333333333334
CN,he,de,hi,-1.4756944444444446,-0.41979409479409485,12,12,192.0,8.0
CN,he,hi,de,1.4756944444444446,0.41979409479409485,12,12,192.0,8.0
all,he,de,sw,-6.901496146015125,-0.47704488223631225,24,24,191.0,19.083333333333332
all,he,sw,de,6.901496146015125,0.47704488223631225,24,24,191.0,19.083333333333332
US,he,de,sw,-11.50264506980803,-0.5813666950583787,12,12,191.0,27.583333333333332
US,he,sw,de,11.50264506980803,0.5813666950583787,12,12,191.0,27.583333333333332
CN,he,de,sw,-2.3003472222222228,-0.3727230694142459,12,12,192.0,10.583333333333334
CN,he,sw,de,2.3003472222222228,0.3727230694142459,12,12,192.0,10.583333333333334
all,he,zh,hi,-1.3888888888888888,-0.05340799141640658,24,23,192.0,11.333333333333334
all,he,hi,zh,1.3888888888888888,0.05340799141640658,24,23,192.0,11.333333333333334
US,he,zh,hi,-3.4722222222222223,-0.2522327135230361,12,11,192.0,13.0
US,he,hi,zh,3.4722222222222223,0.2522327135230361,12,11,192.0,13.0
CN,he,zh,hi,0.6944444444444444,0.12884800384800385,12,12,192.0,9.666666666666666
CN,he,hi,zh,-0.6944444444444444,-0.12884800384800385,12,12,192.0,9.666666666666666
all,he,zh,sw,-5.83790085078534,-0.28495297724988805,24,24,191.0,20.625
all,he,sw,zh,5.83790085078534,0.28495297724988805,24,24,191.0,20.625
US,he,zh,sw,-11.545593368237345,-0.6216603404646882,12,12,191.0,27.833333333333332
US,he,sw,zh,11.545593368237345,0.6216603404646882,12,12,191.0,27.833333333333332
CN,he,zh,sw,-0.13020833333333345,0.051754385964912275,12,12,192.0,13.416666666666666
CN,he,sw,zh,0.13020833333333345,-0.051754385964912275,12,12,192.0,13.416666666666666
all,he,hi,sw,-4.448784722222221,-0.2097499211501769,24,24,191.0,17.958333333333332
all,he,sw,hi,4.448784722222221,0.2097499211501769,24,24,191.0,17.958333333333332
US,he,hi,sw,-8.072916666666666,-0.36089717046238784,12,12,191.0,24.333333333333332
US,he,sw,hi,8.072916666666666,0.36089717046238784,12,12,191.0,24.333333333333332
CN,he,hi,sw,-0.8246527777777778,-0.05860267183796595,12,12,192.0,11.583333333333334
CN,he,sw,hi,0.8246527777777778,0.05860267183796595,12,12,192.0,11.583333333333334
all,he,en,en,0.0,,24,0,,0.0
all,he,es,es,0.0,,24,0,,0.0
all,he,pt,pt,0.0,,24,0,,0.0
all,he,fr,fr,0.0,,24,0,,0.0
all,he,de,de,0.0,,24,0,,0.0
all,he,zh,zh,0.0,,24,0,,0.0
all,he,hi,hi,0.0,,24,0,,0.0
all,he,sw,sw,0.0,,24,0,,0.0
US,he,en,en,0.0,,12,0,,0.0
US,he,es,es,0.0,,12,0,,0.0
US,he,pt,pt,0.0,,12,0,,0.0
US,he,fr,fr,0.0,,12,0,,0.0
US,he,de,de,0.0,,12,0,,0.0
US,he,zh,zh,0.0,,12,0,,0.0
US,he,hi,hi,0.0,,12,0,,0.0
US,he,sw,sw,0.0,,12,0,,0.0
CN,he,en,en,0.0,,12,0,,0.0
CN,he,es,es,0.0,,12,0,,0.0
CN,he,pt,pt,0.0,,12,0,,0.0
CN,he,fr,fr,0.0,,12,0,,0.0
CN,he,de,de,0.0,,12,0,,0.0
CN,he,zh,zh,0.0,,12,0,,0.0
CN,he,hi,hi,0.0,,12,0,,0.0
CN,he,sw,sw,0.0,,12,0,,0.0
all,de,en,es,0.49970004363001735,-0.032205379896502274,24,24,191.0,27.375
all,de,es,en,-0.49970004363001735,0.032205379896502274,24,24,191.0,27.375
US,de,en,es,-1.7349749127399654,-0.17385565870954733,12,12,191.0,24.0
US,de,es,en,1.7349749127399654,0.17385565870954733,12,12,191.0,24.0
CN,de,en,es,2.734375,0.10944489891654276,12,12,192.0,30.75
CN,de,es,en,-2.734375,-0.10944489891654276,12,12,192.0,30.75
all,de,en,pt,0.6700161794648047,-0.015622791151034357,24,24,191.0,26.041666666666668
all,de,pt,en,-0.6700161794648047,0.015622791151034357,24,24,191.0,26.041666666666668
US,de,en,pt,-0.8301065299592791,-0.15392035646345992,12,12,191.0,22.25
US,de,pt,en,0.8301065299592791,0.15392035646345992,12,12,191.0,22.25
CN,de,en,pt,2.1701388888888893,0.1226747741613912,12,12,192.0,29.833333333333332
CN,de,pt,en,-2.1701388888888893,-0.1226747741613912,12,12,192.0,29.833333333333332
all,de,en,fr,0.0663539848749272,-0.033477738070617054,24,24,191.0,27.291666666666668
all,de,fr,en,-0.0663539848749272,0.033477738070617054,24,24,191.0,27.291666666666668
US,de,en,fr,1.0441663030831878,-0.013843380857899925,12,12,191.0,20.333333333333332
US,de,fr,en,-1.0441663030831878,0.013843380857899925,12,12,191.0,20.333333333333332
CN,de,en,fr,-0.9114583333333336,-0.05311209528333422,12,12,192.0,34.25
CN,de,fr,en,0.9114583333333336,0.05311209528333422,12,12,192.0,34.25
all,de,en,de,1.4097949389179751,-0.0035654622172479797,24,24,191.0,27.041666666666668
all,de,de,en,-1.4097949389179751,0.0035654622172479797,24,24,191.0,27.041666666666668
US,de,en,de,-1.0432573443862716,-0.1771054610450896,12,12,191.0,22.333333333333332
US,de,de,en,1.0432573443862716,0.1771054610450896,12,12,191.0,22.333333333333332
CN,de,en,de,3.862847222222222,0.16997453661059359,12,12,192.0,31.75
CN,de,de,en,-3.862847222222222,-0.16997453661059359,12,12,192.0,31.75
all,de,en,zh,0.1722476730657358,0.004897644282430877,24,24,191.0,29.583333333333332
all,de,zh,en,-0.1722476730657358,-0.004897644282430877,24,24,191.0,29.583333333333332
US,de,en,zh,1.1691481239092494,0.050027415538251456,12,12,191.0,22.416666666666668
US,de,zh,en,-1.1691481239092494,-0.050027415538251456,12,12,191.0,22.416666666666668
CN,de,en,zh,-0.8246527777777785,-0.04023212697338971,12,12,192.0,36.75
CN,de,zh,en,0.8246527777777785,0.04023212697338971,12,12,192.0,36.75
all,de,en,hi,-3.2875899869109952,-0.1451015033041809,24,24,191.0,32.958333333333336
all,de,hi,en,3.2875899869109952,0.1451015033041809,24,24,191.0,32.958333333333336
US,de,en,hi,-5.620318862710879,-0.22197537273461743,12,12,191.0,31.25
US,de,hi,en,5.620318862710879,0.22197537273461743,12,12,191.0,31.25
CN,de,en,hi,-0.9548611111111112,-0.06822763387374435,12,12,192.0,34.666666666666664
CN,de,hi,en,0.9548611111111112,0.06822763387374435,12,12,192.0,34.666666666666664
all,de,en,sw,-4.865315045084353,-0.10426637634621472,24,24,191.0,39.291666666666664
all,de,sw,en,4.865315045084353,0.10426637634621472,24,24,191.0,39.291666666666664
US,de,en,sw,-12.291393979057592,-0.4049788516683103,12,12,191.0,42.166666666666664
US,de,sw,en,12.291393979057592,0.4049788516683103,12,12,191.0,42.166666666666664
CN,de,en,sw,2.5607638888888884,0.19644609897588092,12,12,192.0,36.416666666666664
CN,de,sw,en,-2.5607638888888884,-0.19644609897588092,12,12,192.0,36.416666666666664
all,de,es,pt,0.17372473094822555,0.02752673632096887,24,24,191.0,23.75
all,de,pt,es,-0.17372473094822555,-0.02752673632096887,24,24,191.0,23.75
US,de,es,pt,0.9116855730075625,0.09251578356015085,12,12,191.0,22.583333333333332
US,de,pt,es,-0.9116855730075625,-0.09251578356015085,12,12,191.0,22.583333333333332
CN,de,es,pt,-0.5642361111111112,-0.037462310918213136,12,12,192.0,24.916666666666668
CN,de,pt,es,0.5642361111111112,0.037462310918213136,12,12,192.0,24.916666666666668
all,de,es,fr,-0.43402777777777796,-0.003343228492170789,24,24,192.0,25.0
all,de,fr,es,0.43402777777777796,0.003343228492170789,24,24,192.0,25.0
US,de,es,fr,2.7777777777777777,0.21424516841183514,12,12,192.0,20.5
US,de,fr,es,-2.7777777777777777,-0.21424516841183514,12,12,192.0,20.5
CN,de,es,fr,-3.6458333333333335,-0.2209316253961767,12,12,192.0,29.5
CN,de,fr,es,3.6458333333333335,0.2209316253961767,12,12,192.0,29.5
all,de,es,de,0.9114583333333333,0.0955994657759847,24,24,192.0,24.333333333333332
all,de,de,es,-0.9114583333333333,-0.0955994657759847,24,24,192.0,24.333333333333332
US,de,es,de,0.6944444444444442,0.11130909034978802,12,12,192.0,21.666666666666668
US,de,de,es,-0.6944444444444442,-0.11130909034978802,12,12,192.0,21.666666666666668
CN,de,es,de,1.128472222222222,0.07988984120218136,12,12,192.0,27.0
CN,de,de,es,-1.128472222222222,-0.07988984120218136,12,12,192.0,27.0
all,de,es,zh,-0.3260889325189064,0.056392986362491626,24,24,191.0,28.208333333333332
all,de,zh,es,0.3260889325189064,-0.056392986362491626,24,24,191.0,28.208333333333332
US,de,es,zh,2.9068499127399656,0.30640160999258126,12,12,191.0,23.75
US,de,zh,es,-2.9068499127399656,-0.30640160999258126,12,12,191.0,23.75
CN,de,es,zh,-3.559027777777778,-0.193615637267598,12,12,192.0,32.666666666666664
CN,de,zh,es,3.559027777777778,0.193615637267598,12,12,192.0,32.666666666666664
all,de,es,hi,-3.7984247745782427,-0.1579394910118962,24,24,191.0,31.958333333333332
all,de,hi,es,3.7984247745782427,0.1579394910118962,24,24,191.0,31.958333333333332
US,de,es,hi,-3.9076134380453755,-0.08214143658382542,12,12,191.0,30.166666666666668
US,de,hi,es,3.9076134380453755,0.08214143658382542,12,12,191.0,30.166666666666668
CN,de,es,hi,-3.689236111111111,-0.23373754543996697,12,12,192.0,33.75
CN,de,hi,es,3.689236111111111,0.23373754543996697,12,12,192.0,33.75
all,de,es,sw,-5.364674229203025,-0.09219427111485852,24,24,191.0,36.958333333333336
all,de,sw,es,5.364674229203025,0.09219427111485852,24,24,191.0,36.958333333333336
US,de,es,sw,-10.55573734729494,-0.24968641381499834,12,12,191.0,41.25
US,de,sw,es,10.55573734729494,0.24968641381499834,12,12,191.0,41.25
CN,de,es,sw,-0.17361111111111144,0.06529787158528129,12,12,192.0,32.666666666666664
CN,de,sw,es,0.17361111111111144,-0.06529787158528129,12,12,192.0,32.666666666666664
all,de,pt,fr,-0.6075252690517743,-0.009954369578754368,24,24,191.0,25.083333333333332
all,de,fr,pt,0.6075252690517743,0.009954369578754368,24,24,191.0,25.083333333333332
US,de,pt,fr,1.866546684118674,0.1193227501023603,12,12,191.0,20.083333333333332
US,de,fr,pt,-1.866546684118674,-0.1193227501023603,12,12,191.0,20.083333333333332
CN,de,pt,fr,-3.0815972222222228,-0.13923148925986906,12,12,192.0,30.083333333333332
CN,de,fr,pt,3.0815972222222228,0.13923148925986906,12,12,192.0,30.083333333333332
all,de,pt,de,0.7390970404304826,0.09314524868499502,24,23,191.0,24.166666666666668
all,de,de,pt,-0.7390970404304826,-0.09314524868499502,24,23,191.0,24.166666666666668
US,de,pt,de,-0.2145142524723677,0.03213386908760121,12,11,191.0,23.083333333333332
US,de,de,pt,0.2145142524723677,-0.03213386908760121,12,11,191.0,23.083333333333332
CN,de,pt,de,1.6927083333333333,0.14907234664927266,12,12,192.0,25.25
CN,de,de,pt,-1.6927083333333333,-0.14907234664927266,12,12,192.0,25.25
all,de,pt,zh,-0.49981366346713185,0.0522518408747767,24,23,191.0,26.791666666666668
all,de,zh,pt,0.49981366346713185,-0.0522518408747767,24,23,191.0,26.791666666666668
US,de,pt,zh,1.995164339732403,0.23653327373144883,12,11,191.0,21.333333333333332
US,de,zh,pt,-1.995164339732403,-0.23653327373144883,12,11,191.0,21.333333333333332
CN,de,pt,zh,-2.994791666666666,-0.11667280591050616,12,12,192.0,32.25
CN,de,zh,pt,2.994791666666666,0.11667280591050616,12,12,192.0,32.25
all,de,pt,hi,-3.9721495055264686,-0.16496614700679288,24,24,191.0,29.708333333333332
all,de,hi,pt,3.9721495055264686,0.16496614700679288,24,24,191.0,29.708333333333332
US,de,pt,hi,-4.819299011052938,-0.130157197123598,12,12,191.0,27.75
US,de,hi,pt,4.819299011052938,0.130157197123598,12,12,191.0,27.75
CN,de,pt,hi,-3.1249999999999996,-0.19977509688998776,12,12,192.0,31.666666666666668
CN,de,hi,pt,3.1249999999999996,0.19977509688998776,12,12,192.0,31.666666666666668
all,de,pt,sw,-5.538285340314135,-0.10297164353490294,24,24,191.0,36.875
all,de,sw,pt,5.538285340314135,0.10297164353490294,24,24,191.0,36.875
US,de,pt,sw,-11.467195680628272,-0.3219019789876882,12,12,191.0,41.166666666666664
US,de,sw,pt,11.467195680628272,0.3219019789876882,12,12,191.0,41.166666666666664
CN,de,pt,sw,0.390625,0.11595869191788231,12,12,192.0,32.583333333333336
CN,de,sw,pt,-0.390625,-0.11595869191788231,12,12,192.0,32.583333333333336
all,de,fr,de,1.345486111111111,0.10276738041460665,24,24,192.0,25.083333333333332
all,de,de,fr,-1.345486111111111,-0.10276738041460665,24,24,192.0,25.083333333333332
US,de,fr,de,-2.083333333333333,-0.09173930735538242,12,12,192.0,21.666666666666668
US,de,de,fr,2.083333333333333,0.09173930735538242,12,12,192.0,21.666666666666668
CN,de,fr,de,4.774305555555556,0.29727406818459573,12,12,192.0,28.5
CN,de,de,fr,-4.774305555555556,-0.29727406818459573,12,12,192.0,28.5
all,de,fr,zh,0.10771160558464253,0.04008961259874696,24,24,191.0,27.875
all,de,zh,fr,-0.10771160558464253,-0.04008961259874696,24,24,191.0,27.875
US,de,fr,zh,0.12861765561372934,0.060157275023393776,12,12,191.0,19.083333333333332
US,de,zh,fr,-0.12861765561372934,-0.060157275023393776,12,12,191.0,19.083333333333332
CN,de,fr,zh,0.08680555555555641,0.020021950174100144,12,12,192.0,36.666666666666664
CN,de,zh,fr,-0.08680555555555641,-0.020021950174100144,12,12,192.0,36.666666666666664
all,de,fr,hi,-3.364624236474695,-0.13542366286307841,24,24,191.0,31.625
all,de,hi,fr,3.364624236474695,0.13542366286307841,24,24,191.0,31.625
US,de,fr,hi,-6.685845695171612,-0.23177284363053943,12,12,191.0,30.0
US,de,hi,fr,6.685845695171612,0.23177284363053943,12,12,191.0,30.0
CN,de,fr,hi,-0.04340277777777739,-0.039074482095617445,12,12,192.0,33.25
CN,de,hi,fr,0.04340277777777739,0.039074482095617445,12,12,192.0,33.25
all,de,fr,sw,-4.931100930773705,-0.024218531925956244,24,24,191.0,37.958333333333336
all,de,sw,fr,4.931100930773705,0.024218531925956244,24,24,191.0,37.958333333333336
US,de,fr,sw,-13.334424083769633,-0.3304951811116459,12,12,191.0,41.916666666666664
US,de,sw,fr,13.334424083769633,0.3304951811116459,12,12,191.0,41.916666666666664
CN,de,fr,sw,3.4722222222222223,0.2820581172597334,12,12,192.0,34.0
CN,de,sw,fr,-3.4722222222222223,-0.2820581172597334,12,12,192.0,34.0
all,de,de,zh,-1.2389107038976146,-0.028624326617187907,24,23,191.0,27.708333333333332
all,de,zh,de,1.2389107038976146,0.028624326617187907,24,23,191.0,27.708333333333332
US,de,de,zh,2.209678592204771,0.219131593832138,12,11,191.0,23.25
US,de,zh,de,-2.209678592204771,-0.219131593832138,12,11,191.0,23.25
CN,de,de,zh,-4.687500000000001,-0.25573392036240333,12,12,192.0,32.166666666666664
CN,de,zh,de,4.687500000000001,0.25573392036240333,12,12,192.0,32.166666666666664
all,de,de,hi,-4.711246545956952,-0.2193939593008963,24,24,191.0,30.958333333333332
all,de,hi,de,4.711246545956952,0.2193939593008963,24,24,191.0,30.958333333333332
US,de,de,hi,-4.6047847585805695,-0.14463118356370827,12,12,191.0,30.5
US,de,hi,de,4.6047847585805695,0.14463118356370827,12,12,191.0,30.5
CN,de,de,hi,-4.817708333333334,-0.2941567350380843,12,12,192.0,31.416666666666668
CN,de,hi,de,4.817708333333334,0.2941567350380843,12,12,192.0,31.416666666666668
all,de,de,sw,-6.277950479930191,-0.19078984294675302,24,24,191.0,36.791666666666664
