bloc,mode,lang,n_models,min_pairs,max_pairs,reference_rate,language_rate,estimate,lo,hi,n_draws,full_estimate,change_from_full
CN,he,zh,12,188,192,3.4859964072415086,4.795428564762972,1.3094321575214638,0.2676142434880168,2.4646108815768444,5000,1.3020833333333335,0.007348824188130321
all,he,hi,24,163,192,3.1458643475745127,5.003921427570864,1.858057079996351,0.9812187081081392,2.84605204851877,5000,2.1267361111111107,-0.26867903111475977
US,he,hi,12,171,192,2.662357525384549,5.900720570093095,3.2383630447085454,2.1418622043929445,4.412886041802517,5000,3.6458333333333335,-0.40747028862478807
CN,he,hi,12,163,192,3.6293711697644766,4.107122285048633,0.47775111528415615,-0.5452931758784118,1.6121735845274276,5000,0.6076388888888891,-0.12988777360473291
all,he,sw,24,25,192,3.1274958045660615,8.97862125175684,5.851125447190777,4.50040962581692,7.187054628606387,5000,6.576202552356021,-0.7250771051652434
US,he,sw,12,25,192,2.8414256521621315,13.486039767025396,10.644614114863264,8.196281758864027,13.052349560685903,5000,11.720113438045376,-1.075499323182111
CN,he,sw,12,173,192,3.413565956969991,4.471202736488281,1.0576367795182908,-0.07744017603033909,2.17355257957679,5000,1.432291666666667,-0.37465488714837614
all,de,es,24,187,192,14.466936980767855,13.965290971991065,-0.5016460087767894,-2.0654555908308274,1.039599853180597,5000,-0.4997000436300172,-0.001945965146772255
US,de,es,12,187,192,11.865674790506047,13.595394334907088,1.7297195444010454,0.0385291652440891,3.426978983755269,5000,1.7349749127399654,-0.005255368338920041
CN,de,es,12,191,192,17.068199171029665,14.335187609075046,-2.7330115619546245,-5.0338085991319925,-0.477430555555556,5000,-2.734375,0.0013634380453755313
all,de,pt,24,189,192,14.485212684792748,13.860346864409912,-0.6248658203828361,-2.100195021663592,0.783545021901514,5000,-0.670016179464805,0.04515035908196885
US,de,pt,12,189,192,11.869730925141047,12.790138173264264,0.9204072481232173,-0.6866129184265589,2.48743354255178,5000,0.8301065299592791,0.09030071816393814
CN,de,pt,12,192,192,17.100694444444446,14.930555555555557,-2.1701388888888893,-4.166666666666666,-0.2604166666666663,5000,-2.1701388888888893,0.0
all,de,fr,24,187,192,14.482770236988586,14.391226492481016,-0.09154374450756868,-1.434696882198105,1.2308549472392134,5000,-0.06635398487492722,-0.02518975963264146
US,de,fr,12,187,192,11.861437434419287,10.766209893048128,-1.0952275413711583,-2.559971450961098,0.3374367485883572,5000,-1.0441663030831878,-0.05106123828797049
CN,de,fr,12,191,192,17.104103039557884,18.016243091913907,0.9121400523560215,-0.9565651694681725,2.8211805555555562,5000,0.9114583333333337,0.0006817190226877656
all,de,de,24,188,192,14.48082890070922,13.095633865248226,-1.3851950354609928,-2.9478927709008556,0.20038748447576185,5000,-1.4097949389179756,0.02459990345698282
US,de,de,12,188,192,11.860963356973995,12.953420508274233,1.0924571513002366,-0.6069756028899939,2.8304264237730874,5000,1.0432573443862716,0.04919980691396497
CN,de,de,12,192,192,17.100694444444446,13.237847222222221,-3.862847222222222,-5.990668402777779,-1.7361111111111112,5000,-3.862847222222222,0.0
all,de,zh,24,187,192,14.500434918294488,14.368976254892834,-0.13145866340165235,-1.8070785513627348,1.5204897922581775,5000,-0.17224767306573563,0.040789009664083276
US,de,zh,12,187,192,11.895176119311488,10.801697783200446,-1.0934783361110427,-2.7296835150872094,0.5984492347584716,5000,-1.1691481239092494,0.07566978779820666
CN,de,zh,12,191,192,17.105693717277486,17.936254726585226,0.8305610093077365,-1.5570803337696333,3.1321881290950953,5000,0.8246527777777777,0.005908231529958785
all,de,hi,24,176,192,14.503262727837644,17.707252775774244,3.2039900479365993,1.2042353650264144,5.27969639105521,5000,3.2875899869109957,-0.08359993897439644
US,de,hi,12,176,192,11.783571674632976,17.24627408255244,5.462702407919467,3.4577790331500555,7.56222362414208,5000,5.620318862710879,-0.15761645479141162
CN,de,hi,12,180,192,17.222953781042314,18.168231468996048,0.9452776879537307,-1.6227653036154188,3.4528851430078977,5000,0.9548611111111103,-0.00958342315737959
all,de,sw,24,29,192,14.45923670922446,18.870268718177464,4.411032008953002,2.4565868277820204,6.461497729455014,5000,4.86531504508435,-0.4542830361313479
US,de,sw,12,29,192,11.704158952890138,23.38577579608285,11.681616843192716,9.090264447678036,14.339731803844646,5000,12.291393979057592,-0.609777135864876
CN,de,sw,12,182,192,17.21431446555878,14.35476164027207,-2.859552825286711,-5.264168166437139,-0.5344696817581275,5000,-2.5607638888888884,-0.29878893639782245
all,pg,es,24,186,192,23.5369503438796,24.369424564638106,0.8324742207585054,-0.8268771321770343,2.4665401380305774,5000,0.7607984293193714,0.07167579143913405
US,pg,es,12,186,192,21.44376507112162,26.00942795417441,4.565662883052787,2.6505917656161104,6.469141754438381,5000,4.429582969749854,0.13607991330293334
CN,pg,es,12,191,192,25.630135616637585,22.729421175101805,-2.9007144415357766,-5.197891730102415,-0.6320057773247721,5000,-2.9079861111111116,0.0072716695753349825
all,pg,pt,24,186,192,23.534732051821646,23.01433097419224,-0.52040107762941,-1.9755659262260874,0.9333893270422842,5000,-0.5619637143688186,0.04156263673940863
US,pg,pt,12,186,192,21.440919164725322,23.00519263483008,1.5642734701047631,0.009988986870467339,3.1345634296577822,5000,1.4802392379290297,0.08403423217573347
CN,pg,pt,12,191,192,25.62854493891798,23.023469313554394,-2.605075625363584,-4.72434123218441,-0.567837022748846,5000,-2.604166666666667,-0.0009089586969168728
all,pg,fr,24,184,192,23.526418052527077,25.760708001449007,2.2342899489219303,0.7549343192786189,3.7140716798068394,5000,2.235243055555557,-0.000953106633626799
US,pg,fr,12,184,192,21.428835959620766,23.241893024422165,1.813057064801392,0.2585925272341342,3.3681716429967827,5000,1.8229166666666672,-0.009859601865275236
CN,pg,fr,12,191,192,25.624000145433396,28.279522978475853,2.6555228330424674,0.5641793011925541,4.742274762070645,5000,2.647569444444445,0.007953388598022304
all,pg,de,24,185,192,23.507750282537586,22.630106119348593,-0.8776441631889931,-2.378598059047422,0.624588298676612,5000,-0.9096404159394997,0.03199625275050666
US,pg,de,12,185,192,21.399226568565574,23.067758413798988,1.6685318452334161,-0.11941410317838422,3.5344374306690893,5000,1.6095386125654447,0.05899323266797141
CN,pg,de,12,191,192,25.6162739965096,22.192453824898198,-3.4238201716114016,-5.295138888888888,-1.5189949643688199,5000,-3.428819444444444,0.004999272833042578
all,pg,zh,24,185,192,23.560542436574135,24.546669824739638,0.9861273881655039,-1.0770576062585433,2.992962657172861,5000,0.9370227966841184,0.04910459148138557
US,pg,zh,12,185,192,21.48927725090767,21.727726800821856,0.2384495499141807,-1.7967460409484468,2.2439568621765225,5000,0.13793448225712612,0.10051506765705456
CN,pg,zh,12,190,192,25.631807622240594,27.365612848657424,1.7338052264168287,-0.9599295724449644,4.342816369567023,5000,1.7361111111111123,-0.002305884694283611
all,pg,hi,24,174,192,23.56979517545172,26.796297315160956,3.226502139709233,1.492266037437513,4.95309510071403,5000,3.305692616959065,-0.07919047724983175
US,pg,hi,12,174,192,21.392042585892447,28.03625092382341,6.644208337930962,4.558902618949126,8.795123808015552,5000,6.871801900584797,-0.22759356265383435
CN,pg,hi,12,185,192,25.747547765010996,25.556343706498513,-0.19120405851249478,-2.351614295456272,1.882339991728891,5000,-0.26041666666666574,0.06921260815417096
all,pg,sw,24,32,192,23.19087785492789,25.388930431250913,2.1980525763230214,0.001408113769740301,4.361550845778035,5000,3.0025584795321647,-0.8045059032091433
US,pg,sw,12,32,192,20.64210180575312,29.928048937094985,9.285947131341869,6.63613123219389,12.003446388980851,5000,10.779422514619881,-1.493475383278012
CN,pg,sw,12,179,192,25.739653904102667,20.849811925406833,-4.889841978695827,-7.707663428680143,-2.2023533755431464,5000,-4.7743055555555545,-0.11553642314027268
all,control,es,24,189,192,20.258492020663933,18.470941839613335,-1.7875501810506,-3.35503611451408,-0.24099233512666127,5000,-1.7997382198952878,0.012188038844687776
US,control,es,12,190,192,20.029390461865834,20.421598963595724,0.39220850172989224,-1.2600553555846419,2.0426915175974396,5000,0.3067735602094245,0.08543494152046777
CN,control,es,12,189,192,20.487593579462036,16.520284715630943,-3.967308863831092,-6.207371402604617,-1.8293171579864966,5000,-3.90625,-0.06105886383109205
all,control,pt,24,190,192,20.25927688030066,17.50102855852546,-2.7582483217752056,-4.322023595540691,-1.259128965697416,5000,-2.7769824389179756,0.018734117142769957
US,control,pt,12,190,192,20.02961770154006,19.295418274088362,-0.7341994274517009,-2.3876611966489087,0.956469733551021,5000,-0.8230621000581735,0.08886267260647263
CN,control,pt,12,190,192,20.488936059061267,15.706638842962553,-4.782297216098711,-7.043429687739199,-2.575365041788323,5000,-4.730902777777777,-0.05139443832093438
all,control,fr,24,190,192,20.220085212485838,18.80172812184257,-1.4183570906432748,-2.9627633777041007,0.033351326192468375,5000,-1.474444626236184,0.056087535592909354
US,control,fr,12,190,192,19.971671584611617,18.754109450108693,-1.217562134502924,-3.043662249605799,0.5122081894366023,5000,-1.3863892524723678,0.16882711796944383
CN,control,fr,12,190,192,20.468498840360063,18.849346793576437,-1.6191520467836253,-3.7054944855282654,0.29262001873168664,5000,-1.5624999999999998,-0.056652046783625565
all,control,de,24,189,192,20.284088643079727,18.75080532449628,-1.5332833185834471,-3.1318892660435376,-0.058850635820828175,5000,-1.5170520651541592,-0.016231253429287884
US,control,de,12,190,192,20.058704379841405,21.227852503750647,1.1691481239092498,-0.3429043706846351,2.6090515793432902,5000,1.0891597585805701,0.0799883653286797
CN,control,de,12,189,192,20.509472906318052,16.27375814524191,-4.235714761076145,-6.45237589596598,-2.190706964989798,5000,-4.123263888888888,-0.11245087218725658
all,control,zh,24,186,192,20.254224906381882,17.666225513053945,-2.5879993933279404,-4.619982877498262,-0.6724525044729912,5000,-2.603712187318208,0.015712793990267482
US,control,zh,12,186,192,20.043017512007513,15.848818501843473,-4.1941990101640405,-6.393343328912529,-2.095400970331852,5000,-4.295966041303082,0.10176703113904129
CN,control,zh,12,190,192,20.46543230075625,19.483632524264415,-0.9817997764918396,-3.3244214717093774,1.2437519834587434,5000,-0.9114583333333334,-0.07034144315850621
all,control,hi,24,172,192,20.270951955270107,20.09046143498266,-0.1804905202874442,-2.085346542972267,1.7454776637407305,5000,-0.1430185190956351,-0.0374720011918091
US,control,hi,12,172,192,20.008201049865715,22.69327224215415,2.685071192288436,0.6064663104887874,4.72148490982692,5000,2.8389629618087304,-0.15389176952029437
CN,control,hi,12,176,192,20.5337028606745,17.487650627811178,-3.0460522328633246,-5.600030579233978,-0.5303732321726436,5000,-3.125,0.0789477671366754
all,control,sw,24,29,192,20.18948700465685,19.89597517359297,-0.2935118310638794,-2.5924393658153524,1.8489147440054299,5000,0.8959247076023401,-1.1894365386662196
US,control,sw,12,29,192,20.041203666119987,26.14523537893239,6.104031712812398,3.5448623455843187,8.60573703116408,5000,8.302266081871345,-2.1982343690589463
CN,control,sw,12,169,192,20.33777034319371,13.646714968253553,-6.691055374940158,-9.603816981359754,-3.9600837757523792,5000,-6.510416666666667,-0.1806387082734906
