scope,group,target,origin,mode,sensitivity,n_models,n_languages,slope_pp_per_decade,slope_lo,slope_hi,spearman_rho,n_draws,intercept
model,qwen3.8-flash,qwen/qwen3.8-flash,CN,he,full,1,7,-0.06843609940676079,-0.9208014918532803,0.7544084766324957,-0.31810450514017585,5000,2.4608825489941317
model,hy3,tencent/hy3,CN,he,full,1,7,-0.31896525835915396,-1.0504676584068453,0.34746755692373676,-0.46291004988627577,5000,-2.8760330397279694
model,inkling,thinkingmachines/inkling,US,he,full,1,7,-0.605293226776034,-1.745836295577367,0.4637731846937686,-0.3455116595403213,5000,2.72744170228512
model,grok-4.3,x-ai/grok-4.3,US,he,full,1,7,-2.469645453719483,-4.050267755776958,-1.0382320312764926,-0.545544725589981,5000,0.7946327753039653
model,mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,CN,he,full,1,7,-0.18908069706465813,-0.7207460744096822,0.24685610205998476,-0.43643578047198484,5000,-1.1752101590541264
model,glm-5.2,z-ai/glm-5.2,CN,he,full,1,7,0.12388960515647042,-0.8659437861844766,1.0364877043980039,0.3783937343321348,5000,0.8084497596666183
panel,all,,all,he,full,24,7,-2.2915260907296933,-2.611514493134721,-1.96324259568142,-0.6071428571428572,5000,1.55849893206853
panel,US,,US,he,full,12,7,-4.04007515216926,-4.484186182065039,-3.5884269523120045,-0.6071428571428572,5000,2.831343410624814
panel,CN,,CN,he,full,12,7,-0.5429770292901278,-0.9169807721011195,-0.1785552059371714,-0.39285714285714296,5000,0.28565445351224655
model,nova-2-lite,amazon/nova-2-lite-v1,US,de,full,1,7,-8.214835989254443,-10.912812675455214,-5.552814536568747,-0.21428571428571433,5000,3.3418223382937264
model,haiku-4.5,anthropic/claude-haiku-4.5,US,de,full,1,7,0.013896578530282309,-1.8521950419091269,1.8649636173536928,0.03571428571428572,5000,3.1238780155362464
model,sonnet-5,anthropic/claude-sonnet-5,US,de,full,1,7,-3.8595544408088394,-5.885933636940445,-1.9446882525354525,-0.8928571428571429,5000,9.125266481581129
model,seed-2-1-turbo,bytedance-seed/seed-2-1-turbo,CN,de,full,1,7,1.5696469231899264,-0.018316363318885306,3.2416728956923766,0.3214285714285715,5000,3.891126706472253
model,deepseek-v4-pro,deepseek/deepseek-v4-pro-0813,CN,de,full,1,7,-1.8976211301320967,-3.9560455652894717,0.01086393654211207,-0.14285714285714288,5000,11.61154381039151
model,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,US,de,full,1,7,0.04442123660135692,-0.4753399062860626,0.6776286446124699,0.2619684159977919,5000,0.2196277959017833
model,gemma-4-31b,google/gemma-4-31b-it,US,de,full,1,7,0.16240378099081546,-0.5455714992617744,0.9048294154967595,0.557773351022717,5000,0.061292576144097145
model,ling-3.0-flash,inclusionai/ling-3.0-flash,CN,de,full,1,7,-6.046610435153472,-8.303698371633544,-3.8144585025853632,-0.642857142857143,5000,-7.770736247552871
model,minimax-m3,minimax/minimax-m3,CN,de,full,1,7,1.5705339043512103,-0.6376473305058452,3.7554800773763675,-0.14285714285714288,5000,3.370221759893945
model,kimi-k2.6,moonshotai/kimi-k2.6,CN,de,full,1,7,0.7917416043751285,-0.9585192911128699,2.417827830249695,0.34235623582431246,5000,-2.965709490737695
model,kimi-k3,moonshotai/kimi-k3,CN,de,full,1,7,-0.6060945061227996,-1.7131791156317826,0.47380032794343097,-0.14285714285714288,5000,0.04893496755010888
model,nemotron-3-ultra,nvidia/nemotron-3-ultra-550b-a55b,US,de,full,1,7,-0.33855322466534027,-1.9415927195703122,1.196234567455784,-0.16216874328520064,5000,-5.329808685828612
model,nemotron-3.5-lightning,nvidia/nemotron-3.5-lightning,US,de,full,1,7,-32.74639248085346,-34.323130573425814,-31.120140646569467,-0.7500000000000002,5000,19.771782421965533
model,gpt-5.6-luna,openai/gpt-5.6-luna,US,de,full,1,7,-2.3773408189456333,-3.750156153606976,-1.0546197497554666,-0.7142857142857144,5000,5.697894552767882
model,gpt-5.6-sol,openai/gpt-5.6-sol,US,de,full,1,7,-2.8938794052692454,-4.339153463021553,-1.5273461021852701,-0.7500000000000002,5000,4.035301381593982
model,gpt-5.6-terra,openai/gpt-5.6-terra,US,de,full,1,7,-2.421991015202421,-3.8257528379169434,-1.1670203717975765,-0.6126374746329801,5000,3.9960333104655663
model,qwen3.7-plus,qwen/qwen3.7-plus,CN,de,full,1,7,4.3073836503059715,2.9578935630841325,5.697636719509262,0.5,5000,-1.6870560323207155
model,qwen3.8-27b,qwen/qwen3.8-27b,CN,de,full,1,7,-1.0661964328727784,-2.924395179049959,0.784616643001748,-0.21428571428571433,5000,1.0533446646576048
model,qwen3.8-flash,qwen/qwen3.8-flash,CN,de,full,1,7,2.3478810038625975,1.0087819643943372,3.7544953611988205,0.5426488617097118,5000,0.18246016957183372
model,hy3,tencent/hy3,CN,de,full,1,7,0.01238266070759869,-1.026246297145264,1.0540733717255177,-0.5714285714285715,5000,-17.2629045153983
model,inkling,thinkingmachines/inkling,US,de,full,1,7,1.1036040530083993,-0.5862363310853872,2.8264610446271816,0.01801874925391118,5000,8.393039874065837
model,grok-4.3,x-ai/grok-4.3,US,de,full,1,7,-2.982453504890004,-5.00917025616693,-0.98821355550529,0.01801874925391118,5000,-14.937773559580465
model,mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,CN,de,full,1,7,-0.9479682760436824,-2.209076507223566,0.276097859882324,-0.28571428571428575,5000,-0.14667705206819884
model,glm-5.2,z-ai/glm-5.2,CN,de,full,1,7,0.9090126969834939,-1.1253491857854698,2.813457862713715,0.01801874925391118,5000,-5.2073206025064955
panel,all,,all,de,full,24,7,-2.2319409819711433,-2.79758117383184,-1.7141177815135094,-0.6785714285714287,5000,0.942316026702487
panel,US,,US,de,full,12,7,-4.542556269229879,-5.195216754503873,-3.9121152676772435,-0.5357142857142858,5000,3.1248630419088927
panel,CN,,CN,de,full,12,7,0.07867430528759167,-0.618780405903623,0.7487308096281274,-0.3571428571428572,5000,-1.2402309885039184
model,nova-2-lite,amazon/nova-2-lite-v1,US,pg,full,1,7,-6.918261178733568,-9.714744463619358,-3.9104476142342253,-0.1785714285714286,5000,5.469282104535455
model,haiku-4.5,anthropic/claude-haiku-4.5,US,pg,full,1,7,2.6136625886272062,0.5284991415848834,4.723260936469393,0.28571428571428575,5000,0.3098109718544587
model,sonnet-5,anthropic/claude-sonnet-5,US,pg,full,1,7,-2.72246124981327,-4.542845494281853,-0.9097278650823871,-0.6785714285714287,5000,13.248697512047649
model,seed-2-1-turbo,bytedance-seed/seed-2-1-turbo,CN,pg,full,1,7,2.1704191789199374,0.5225959841719915,3.8334032168429344,0.14414999403128945,5000,-0.6960690284562029
model,deepseek-v4-pro,deepseek/deepseek-v4-pro-0813,CN,pg,full,1,7,-2.2889932318622006,-4.285843008492134,-0.33576489102381524,-0.28571428571428575,5000,14.693737719823824
model,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,US,pg,full,1,7,-0.2235627654765871,-1.154239091077387,0.6554933905921456,-0.293689239285741,5000,-0.6515928062621901
model,gemma-4-31b,google/gemma-4-31b-it,US,pg,full,1,7,-0.3677599606451029,-1.4007356671512,0.5619454028938102,0.1272937693043289,5000,-1.011974396635182
model,ling-3.0-flash,inclusionai/ling-3.0-flash,CN,pg,full,1,7,-3.8494499205875314,-6.274780209254391,-1.4374509927818986,-0.6071428571428572,5000,-8.54336908469427
model,minimax-m3,minimax/minimax-m3,CN,pg,full,1,7,1.5868694511546309,-0.5254642998900059,3.6151246016028207,0.1785714285714286,5000,7.312355238522243
model,kimi-k2.6,moonshotai/kimi-k2.6,CN,pg,full,1,7,-0.8359966043766246,-2.8241263024554604,1.1445915217822396,0.21428571428571433,5000,1.481187320814377
model,kimi-k3,moonshotai/kimi-k3,CN,pg,full,1,7,1.4988433430345243,-0.006467331700529738,3.052682259990898,0.4504687313477795,5000,-4.213275788922125
model,nemotron-3-ultra,nvidia/nemotron-3-ultra-550b-a55b,US,pg,full,1,7,-1.637601975828508,-3.468214457359586,0.10268448699708425,-0.7092081432669755,5000,-3.1415925201283756
model,nemotron-3.5-lightning,nvidia/nemotron-3.5-lightning,US,pg,full,1,7,-30.145720466783455,-32.13503159287936,-28.07652265490997,-0.6071428571428572,5000,19.621410616107486
model,gpt-5.6-luna,openai/gpt-5.6-luna,US,pg,full,1,7,-0.26014286919707513,-1.7617463408777394,1.2098450003857906,0.03603749850782236,5000,6.271003461892414
model,gpt-5.6-sol,openai/gpt-5.6-sol,US,pg,full,1,7,-4.038403896558993,-5.676058767858218,-2.448887704567647,-0.8571428571428573,5000,5.459981953592556
model,gpt-5.6-terra,openai/gpt-5.6-terra,US,pg,full,1,7,-1.1107719283260358,-2.7094386334830745,0.48218447460622194,-0.3214285714285715,5000,4.330753132858637
model,qwen3.7-plus,qwen/qwen3.7-plus,CN,pg,full,1,7,6.652160489913709,4.908853049732246,8.438620986779553,0.5357142857142858,5000,-1.1323214286515997
model,qwen3.8-27b,qwen/qwen3.8-27b,CN,pg,full,1,7,2.759578132069678,0.6012875867922776,4.939659670161264,0.6785714285714287,5000,-3.719827126466364
model,qwen3.8-flash,qwen/qwen3.8-flash,CN,pg,full,1,7,3.073290725940049,1.1867291687443047,5.013626684651801,0.8728715609439697,5000,1.909606194310657
model,hy3,tencent/hy3,CN,pg,full,1,7,2.8490965869907297,1.3235477002788165,4.40015052661003,0.2882999880625789,5000,-13.176459445530027
model,inkling,thinkingmachines/inkling,US,pg,full,1,7,1.7558745280073877,-0.25153140340318775,3.782804322494463,-0.07142857142857144,5000,12.507043409479005
model,grok-4.3,x-ai/grok-4.3,US,pg,full,1,7,1.5690645265575727,-0.4035827812353759,3.537449892556471,0.43244998209386837,5000,-12.552278652835788
model,mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,CN,pg,full,1,7,-3.0360636375783323,-4.592589753562874,-1.6112980531363488,-0.396412483586046,5000,-7.195349936923151
model,glm-5.2,z-ai/glm-5.2,CN,pg,full,1,7,3.8498386598054104,1.811120700755074,5.825134745375258,0.5585812268712466,5000,-4.328686110926624
panel,all,,all,pg,full,24,7,-1.1273538114477684,-1.7441608009537697,-0.4785796895906615,-0.642857142857143,5000,1.3438363878919524
panel,US,,US,pg,full,12,7,-3.4571737206808684,-4.153110856256129,-2.783888493168048,-0.4642857142857144,5000,4.15504539887551
panel,CN,,CN,pg,full,12,7,1.2024660977853314,0.43115249925152765,2.0192497265790856,0.21428571428571433,5000,-1.467372623091605
model,nova-2-lite,amazon/nova-2-lite-v1,US,control,full,1,7,-4.575088921256018,-7.294866273260588,-1.8823611741360942,0.1785714285714286,5000,-3.276448978849238
model,haiku-4.5,anthropic/claude-haiku-4.5,US,control,full,1,7,2.8112640457579987,0.7145136684862325,4.9126490156003735,0.25,5000,0.5922551448429254
model,sonnet-5,anthropic/claude-sonnet-5,US,control,full,1,7,-1.4710775833899064,-2.9799735852242875,-0.008265179469250648,-0.396412483586046,5000,4.394284726582845
model,seed-2-1-turbo,bytedance-seed/seed-2-1-turbo,CN,control,full,1,7,-1.2190015430998251,-2.9457864116018633,0.4528042380193014,-0.642857142857143,5000,1.5121104426355063
model,deepseek-v4-pro,deepseek/deepseek-v4-pro-0813,CN,control,full,1,7,-0.2965486976316136,-1.8656641156586797,1.288766504589131,-0.03603749850782236,5000,-0.273676245384359
model,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,US,control,full,1,7,0.06361631762447396,-0.5313987082088606,0.6301541562102229,-0.3091420111676559,5000,0.366887543797652
model,gemma-4-31b,google/gemma-4-31b-it,US,control,full,1,7,-0.633552091126051,-1.5326499438015624,0.2111723597176287,-0.28571428571428575,5000,-1.8089672046187157
model,ling-3.0-flash,inclusionai/ling-3.0-flash,CN,control,full,1,7,-4.77529705233744,-7.19543804459334,-2.3099576259115446,-0.5585812268712466,5000,-1.4745702529383076
model,minimax-m3,minimax/minimax-m3,CN,control,full,1,7,1.2535364871886343,-0.9945785694066087,3.5478121383876045,-0.07142857142857144,5000,1.9077203164390026
model,kimi-k2.6,moonshotai/kimi-k2.6,CN,control,full,1,7,2.4113349972414353,0.7154849184662089,4.129311713190938,0.5045249791095131,5000,1.6654322477051327
model,kimi-k3,moonshotai/kimi-k3,CN,control,full,1,7,0.6532927073230532,-0.724643910647871,1.9948096021800492,0.41443123283995714,5000,-2.5081028072883913
model,nemotron-3-ultra,nvidia/nemotron-3-ultra-550b-a55b,US,control,full,1,7,-2.69226576534489,-4.652673479305075,-0.7734262555025082,-0.5,5000,0.06855911512799717
model,nemotron-3.5-lightning,nvidia/nemotron-3.5-lightning,US,control,full,1,7,-30.377137026690086,-32.11176877045206,-28.53094425559639,-0.6847124716486249,5000,12.741487812187998
model,gpt-5.6-luna,openai/gpt-5.6-luna,US,control,full,1,7,-0.9959736848684994,-2.6397230858188565,0.5246426579954591,-0.21428571428571433,5000,4.114291155463
model,gpt-5.6-sol,openai/gpt-5.6-sol,US,control,full,1,7,-2.2290561564610547,-3.8007974240280418,-0.6864207280381537,-0.3214285714285715,5000,-0.1176491096277398
model,gpt-5.6-terra,openai/gpt-5.6-terra,US,control,full,1,7,-1.1367856930781268,-2.7645076707120104,0.4691638583355973,-0.3571428571428572,5000,4.10963915117473
model,qwen3.7-plus,qwen/qwen3.7-plus,CN,control,full,1,7,3.660451355965771,2.1223145569410735,5.2503062429761735,0.900937462695559,5000,-7.66160961034575
model,qwen3.8-27b,qwen/qwen3.8-27b,CN,control,full,1,7,3.6209098676011715,1.537038988089774,5.727055748230466,0.9285714285714288,5000,-6.914369483478874
model,qwen3.8-flash,qwen/qwen3.8-flash,CN,control,full,1,7,2.8348196137881922,1.1476291759839066,4.529055196652647,0.8648999641877367,5000,-0.5264972248830926
model,hy3,tencent/hy3,CN,control,full,1,7,0.8153704408961677,-0.4321996334993089,2.005507664547973,0.10910894511799621,5000,-8.845593430478601
model,inkling,thinkingmachines/inkling,US,control,full,1,7,1.8028664799796157,-0.07624255673673419,3.7146859691551906,0.2882999880625789,5000,2.5330112695471416
model,grok-4.3,x-ai/grok-4.3,US,control,full,1,7,-1.9155813798544268,-3.7442852990659357,-0.10634646176308696,-0.18018749253911182,5000,-10.038791826012828
model,mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,CN,control,full,1,7,2.181638376499059,0.8800152422147243,3.487685394779067,0.3783937343321348,5000,-9.92316532224431
model,glm-5.2,z-ai/glm-5.2,CN,control,full,1,7,3.0251628396143864,1.4138670355532283,4.693340345888512,0.5045249791095131,5000,-10.735317571532395
panel,all,,all,control,full,24,7,-1.132629252735749,-1.7183723321375899,-0.522092180230378,-0.3214285714285715,5000,-1.2541283392574445
panel,US,,US,control,full,12,7,-3.4457309548922477,-4.050564739214144,-2.8384153059585877,-0.4642857142857144,5000,1.1398798999679804
panel,CN,,CN,control,full,12,7,1.1804724494207495,0.4311889352898528,1.9613739865574367,0.3571428571428572,5000,-3.64813657848287
model,nova-2-lite,amazon/nova-2-lite-v1,US,he,exclude_truncated,1,7,-9.20634151529573,-16.729198173007283,-1.6332589182951938,0.09092412093166351,5000,2.8706528857711877
model,haiku-4.5,anthropic/claude-haiku-4.5,US,he,exclude_truncated,1,7,-1.0065396680927514,-2.8141424874917376,0.8916115200873858,-0.32732683535398865,5000,1.4949566574517146
model,sonnet-5,anthropic/claude-sonnet-5,US,he,exclude_truncated,1,7,-0.4555996784906771,-1.5063009539122525,0.5181519089276391,-0.7092081432669755,5000,2.494478754234252
model,seed-2-1-turbo,bytedance-seed/seed-2-1-turbo,CN,he,exclude_truncated,1,7,0.3830801633458788,-0.20050209218778753,0.9403947372985934,-0.16366341767699433,5000,1.6161739348455597
model,deepseek-v4-pro,deepseek/deepseek-v4-pro-0813,CN,he,exclude_truncated,1,7,-0.23410697629004706,-1.362227392416662,0.8474113182601696,0.2000330660496597,5000,2.070573103797867
model,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,US,he,exclude_truncated,1,7,-0.16864492462069466,-0.5059347738620841,0.0,-0.6123724356957945,5000,0.08802084624546407
model,gemma-4-31b,google/gemma-4-31b-it,US,he,exclude_truncated,1,7,0.0,0.0,0.0,,5000,0.0
model,ling-3.0-flash,inclusionai/ling-3.0-flash,CN,he,exclude_truncated,1,7,-3.6333735515410246,-5.4801975685894115,-1.895354049446526,-0.3214285714285715,5000,-3.7125347269587166
model,minimax-m3,minimax/minimax-m3,CN,he,exclude_truncated,1,7,0.3569030054199233,-0.9909312324807457,1.6673062020272715,-0.25,5000,1.6065226466423004
model,kimi-k2.6,moonshotai/kimi-k2.6,CN,he,exclude_truncated,1,7,-0.10717514578504306,-1.2535337516824323,0.9587710397653065,0.07142857142857144,5000,0.3062721738694723
model,kimi-k3,moonshotai/kimi-k3,CN,he,exclude_truncated,1,7,-0.3447643600131457,-1.022601658261162,0.21968082459806212,-0.07715167498104596,5000,-0.04656911482456995
model,nemotron-3-ultra,nvidia/nemotron-3-ultra-550b-a55b,US,he,exclude_truncated,1,7,-0.6570220302662477,-1.5169310853971147,0.07848300635243238,-0.7412493166611013,5000,0.43503077216284985
model,nemotron-3.5-lightning,nvidia/nemotron-3.5-lightning,US,he,exclude_truncated,1,7,-28.26440063880673,-30.643309851291804,-25.893035587487994,-0.6785714285714287,5000,18.433812698482516
model,gpt-5.6-luna,openai/gpt-5.6-luna,US,he,exclude_truncated,1,7,-0.5916702603819283,-1.371842450669226,0.08019929126722371,-0.7637626158259735,5000,0.19619035027820977
model,gpt-5.6-sol,openai/gpt-5.6-sol,US,he,exclude_truncated,1,7,-0.5193742500261672,-1.3204800894315931,0.17494949353795694,-0.21821789023599242,5000,0.41395714139638595
model,gpt-5.6-terra,openai/gpt-5.6-terra,US,he,exclude_truncated,1,7,-0.11128115095944074,-0.424316743456289,0.13315299518037074,-0.18355577455358812,5000,0.5326332862853997
model,qwen3.7-plus,qwen/qwen3.7-plus,CN,he,exclude_truncated,1,7,0.5326063071481734,0.18773088147261252,0.9472505315250175,0.5378528742004772,5000,0.6266411930558403
model,qwen3.8-27b,qwen/qwen3.8-27b,CN,he,exclude_truncated,1,7,-1.4800618885763481,-2.7819814721793366,-0.2617845420953502,-0.4504687313477795,5000,0.5659260751313393
model,qwen3.8-flash,qwen/qwen3.8-flash,CN,he,exclude_truncated,1,7,-0.06843609940676079,-0.9208014918532803,0.7544084766324957,-0.31810450514017585,5000,2.4608825489941317
model,hy3,tencent/hy3,CN,he,exclude_truncated,1,7,-0.31896525835915396,-1.0504676584068453,0.34746755692373676,-0.46291004988627577,5000,-2.8760330397279694
model,inkling,thinkingmachines/inkling,US,he,exclude_truncated,1,7,-0.605293226776034,-1.745836295577367,0.4637731846937686,-0.3455116595403213,5000,2.72744170228512
model,grok-4.3,x-ai/grok-4.3,US,he,exclude_truncated,1,7,-2.469645453719483,-4.050267755776958,-1.0382320312764926,-0.545544725589981,5000,0.7946327753039653
model,mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,CN,he,exclude_truncated,1,7,-0.17870630222682538,-0.7056413606356897,0.25440734292655576,-0.43643578047198484,5000,-1.1904540870234124
model,glm-5.2,z-ai/glm-5.2,CN,he,exclude_truncated,1,7,0.11672789643785374,-0.8951447506193102,1.0475894954791771,0.3783937343321348,5000,0.8157337233605549
panel,all,,all,he,exclude_truncated,24,7,-2.0430035419701005,-2.484199879977497,-1.582888058668692,-0.6071428571428572,5000,1.3635392625441443
panel,US,,US,he,exclude_truncated,12,7,-3.6713177331196576,-4.4444966612654255,-2.8893212787327798,-0.7142857142857144,5000,2.5401506558247555
panel,CN,,CN,he,exclude_truncated,12,7,-0.41468935082054326,-0.7804334913565766,-0.05363676972443261,-0.28571428571428575,5000,0.18692786926353308
model,nova-2-lite,amazon/nova-2-lite-v1,US,de,exclude_truncated,1,7,-5.640191611809768,-12.248131749427749,0.7868092716744628,-0.21428571428571433,5000,1.9930682650554887
model,haiku-4.5,anthropic/claude-haiku-4.5,US,de,exclude_truncated,1,7,-0.15474834609041177,-2.064243805771239,1.753107782606037,0.03571428571428572,5000,3.2118988617817106
model,sonnet-5,anthropic/claude-sonnet-5,US,de,exclude_truncated,1,7,-3.8595544408088394,-5.885933636940445,-1.9446882525354525,-0.8928571428571429,5000,9.125266481581129
model,seed-2-1-turbo,bytedance-seed/seed-2-1-turbo,CN,de,exclude_truncated,1,7,1.5849203125179223,-0.010216147178468951,3.2689439869757364,0.3214285714285715,5000,3.8961059176182418
model,deepseek-v4-pro,deepseek/deepseek-v4-pro-0813,CN,de,exclude_truncated,1,7,-1.8976211301320967,-3.9560455652894717,0.01086393654211207,-0.14285714285714288,5000,11.61154381039151
model,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,US,de,exclude_truncated,1,7,0.04442123660135692,-0.4753399062860626,0.6776286446124699,0.2619684159977919,5000,0.2196277959017833
model,gemma-4-31b,google/gemma-4-31b-it,US,de,exclude_truncated,1,7,-0.2657182870950461,-0.7737870621555285,0.1359451617289353,-0.6573757351339166,5000,0.3230011305808701
model,ling-3.0-flash,inclusionai/ling-3.0-flash,CN,de,exclude_truncated,1,7,-5.116075232727628,-7.4253028902940885,-2.8094252778066933,-0.5357142857142858,5000,-8.251050896771188
model,minimax-m3,minimax/minimax-m3,CN,de,exclude_truncated,1,7,1.5664837423199593,-0.6474582759156616,3.756084953917261,-0.14285714285714288,5000,3.37950849833326
model,kimi-k2.6,moonshotai/kimi-k2.6,CN,de,exclude_truncated,1,7,0.7917416043751285,-0.9585192911128699,2.417827830249695,0.34235623582431246,5000,-2.965709490737695
model,kimi-k3,moonshotai/kimi-k3,CN,de,exclude_truncated,1,7,-0.6034456329612179,-1.71596592076689,0.4856020951523809,-0.14285714285714288,5000,0.04755244116929001
model,nemotron-3-ultra,nvidia/nemotron-3-ultra-550b-a55b,US,de,exclude_truncated,1,7,-0.3922372691079638,-2.0241960550115285,1.1421255214937434,-0.1785714285714286,5000,-5.289727748779908
model,nemotron-3.5-lightning,nvidia/nemotron-3.5-lightning,US,de,exclude_truncated,1,7,-31.77212654602741,-33.558921798823384,-29.83553386510528,-0.7500000000000002,5000,19.37251242972942
model,gpt-5.6-luna,openai/gpt-5.6-luna,US,de,exclude_truncated,1,7,-2.3849011820478667,-3.751410654610992,-1.0566980949156528,-0.7142857142857144,5000,5.707464698454364
model,gpt-5.6-sol,openai/gpt-5.6-sol,US,de,exclude_truncated,1,7,-2.8938794052692454,-4.339153463021553,-1.5273461021852701,-0.7500000000000002,5000,4.035301381593982
model,gpt-5.6-terra,openai/gpt-5.6-terra,US,de,exclude_truncated,1,7,-2.4265929753516065,-3.8314808796976303,-1.170616113565099,-0.6126374746329801,5000,4.001858616535598
model,qwen3.7-plus,qwen/qwen3.7-plus,CN,de,exclude_truncated,1,7,4.3073836503059715,2.9578935630841325,5.697636719509262,0.5,5000,-1.6870560323207155
model,qwen3.8-27b,qwen/qwen3.8-27b,CN,de,exclude_truncated,1,7,-1.0661964328727784,-2.924395179049959,0.784616643001748,-0.21428571428571433,5000,1.0533446646576048
model,qwen3.8-flash,qwen/qwen3.8-flash,CN,de,exclude_truncated,1,7,2.3478810038625975,1.0087819643943372,3.7544953611988205,0.5426488617097118,5000,0.18246016957183372
model,hy3,tencent/hy3,CN,de,exclude_truncated,1,7,0.01238266070759869,-1.026246297145264,1.0540733717255177,-0.5714285714285715,5000,-17.2629045153983
model,inkling,thinkingmachines/inkling,US,de,exclude_truncated,1,7,1.1036040530083993,-0.5862363310853872,2.8264610446271816,0.01801874925391118,5000,8.393039874065837
model,grok-4.3,x-ai/grok-4.3,US,de,exclude_truncated,1,7,-3.1333463321822053,-5.209569691482285,-1.090043863517548,0.01801874925391118,5000,-14.859018065571366
model,mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,CN,de,exclude_truncated,1,7,-0.9304301625469132,-2.21126973250193,0.3225742910080978,-0.28571428571428575,5000,-0.16676565609838223
model,glm-5.2,z-ai/glm-5.2,CN,de,exclude_truncated,1,7,1.130629145213769,-0.9086584191451876,3.046272198683961,0.03571428571428572,5000,-5.33036335396613
panel,all,,all,de,exclude_truncated,24,7,-2.0686507324215957,-2.7340821893911045,-1.437629421190247,-0.6785714285714287,5000,0.8642066365574268
panel,US,,US,de,exclude_truncated,12,7,-4.314605925515051,-5.206897879213538,-3.4439299178435014,-0.6071428571428572,5000,3.019524476744076
panel,CN,,CN,de,exclude_truncated,12,7,0.17730446067185945,-0.5199016278763174,0.8544729938081782,-0.21428571428571433,5000,-1.2911112036292225
