bloc,mode,lang,n_models,min_pairs,max_pairs,reference_rate,language_rate,estimate,lo,hi,p_boot,n_draws,q
CN,pg,pt,12,192,192,25.60763888888889,23.00347222222222,-2.604166666666667,-4.730902777777777,-0.5642361111111112,0.015596880623875225,5000,0.04226251523888771
all,pg,fr,24,192,192,23.6328125,25.868055555555554,2.235243055555557,0.7807074652777776,3.710937499999999,0.0023995200959808036,5000,0.008763464698364674
US,pg,fr,12,192,192,21.657986111111107,23.480902777777782,1.8229166666666672,0.30381944444444386,3.34201388888889,0.02399520095980804,5000,0.0559888022395521
CN,pg,fr,12,192,192,25.60763888888889,28.255208333333332,2.647569444444445,0.5642361111111109,4.730902777777777,0.012397520495900819,5000,0.03591005936743685
all,pg,de,24,191,192,23.6172465823153,22.707606166375797,-0.9096404159394997,-2.4077208087914483,0.610027745964223,0.24875024995001,5000,0.36025898268622136
US,pg,de,12,191,192,21.62685427574171,23.236392888307154,1.6095386125654447,-0.17468930356541418,3.47746577770506,0.08318336332733453,5000,0.15190005477165436
CN,pg,de,12,192,192,25.60763888888889,22.178819444444446,-3.428819444444444,-5.295138888888889,-1.5190972222222223,0.0011997600479904018,5000,0.004799040191961607
all,pg,zh,24,191,192,23.6390615910413,24.57608438772542,0.9370227966841184,-1.1224730948225707,2.9361013398051132,0.3743251349730054,5000,0.4624016373195949
US,pg,zh,12,191,192,21.670484293193716,21.808418775450846,0.13793448225712612,-1.8627745055264693,2.1353996236910993,0.9038192361527695,5000,0.9147086245401522
CN,pg,zh,12,192,192,25.60763888888889,27.34375,1.7361111111111123,-0.954861111111111,4.340277777777779,0.21115776844631073,5000,0.3167366526694661
all,pg,hi,24,190,192,23.623446637426902,26.929139254385966,3.305692616959065,1.5888786092836262,4.995529059409541,0.0003999200159968006,5000,0.0018662934079850698
US,pg,hi,12,190,192,21.63925438596491,28.511056286549714,6.871801900584797,4.799087354356637,8.961848569506651,0.0003999200159968006,5000,0.0018662934079850698
CN,pg,hi,12,192,192,25.60763888888889,25.347222222222225,-0.26041666666666574,-2.430555555555555,1.779513888888889,0.8198360327934413,5000,0.8608278344331133
all,pg,sw,24,190,192,23.623446637426902,26.626005116959067,3.0025584795321647,0.8846449022441916,5.130899351242691,0.007598480303939212,5000,0.025530893821235755
US,pg,sw,12,190,192,21.63925438596491,32.41867690058479,10.779422514619881,8.574521862090794,13.087074239417987,0.0003999200159968006,5000,0.0018662934079850698
CN,pg,sw,12,192,192,25.60763888888889,20.833333333333336,-4.7743055555555545,-7.595486111111111,-2.083333333333333,0.0007998400319936012,5000,0.0033593281343731254
all,control,es,24,191,192,20.276482511634672,18.476744291739386,-1.7997382198952878,-3.3423547484002327,-0.2794962778141364,0.017996400719856028,5000,0.04580902001417898
US,control,es,12,191,192,20.110256689936005,20.417030250145434,0.3067735602094245,-1.3416269236436422,1.960060695844219,0.6946610677864428,5000,0.7480965345392461
CN,control,es,12,192,192,20.442708333333336,16.536458333333336,-3.90625,-6.119791666666666,-1.779513888888889,0.0007998400319936012,5000,0.0033593281343731254
all,control,pt,24,191,192,20.272278577661428,17.495296138743456,-2.7769824389179756,-4.339945439754218,-1.3014016143106455,0.0003999200159968006,5000,0.0018662934079850698
US,control,pt,12,191,192,20.101848821989527,19.278786721931354,-0.8230621000581735,-2.4730550556282727,0.8358134920634799,0.33833233353329334,5000,0.4511097780443911
CN,control,pt,12,192,192,20.442708333333336,15.711805555555555,-4.730902777777777,-6.987847222222222,-2.5173611111111116,0.0003999200159968006,5000,0.0018662934079850698
all,control,fr,24,191,192,20.263529850203607,18.789085223967426,-1.474444626236184,-3.017569332988795,-0.020442899693059274,0.04839032193561288,5000,0.09452993122305771
US,control,fr,12,191,192,20.11571044211751,18.72932118964514,-1.3863892524723678,-3.1702894650730244,0.3065887186744126,0.11637672465506899,5000,0.19950295655154685
CN,control,fr,12,191,192,20.4113492582897,18.848849258289704,-1.5624999999999998,-3.6471969507784516,0.3472222222222224,0.11277744451109778,5000,0.19736052789442113
all,control,de,24,191,192,20.283413321698664,18.766361256544503,-1.5170520651541592,-3.081597222222222,-0.04225201670369908,0.04239152169566087,5000,0.08902219556088783
US,control,de,12,191,192,20.124118310063988,21.21327806864456,1.0891597585805701,-0.3958019810925642,2.5372877492378914,0.15116976604679064,5000,0.24419731438327716
CN,control,de,12,192,192,20.442708333333336,16.319444444444446,-4.123263888888888,-6.336805555555554,-2.0833333333333344,0.0003999200159968006,5000,0.0018662934079850698
all,control,zh,24,191,192,20.272278577661428,17.668566390343223,-2.603712187318208,-4.601782354384816,-0.6933593750000006,0.008398320335932814,5000,0.027133034931475244
US,control,zh,12,191,192,20.101848821989527,15.805882780686447,-4.295966041303082,-6.503954124284558,-2.2091848869601796,0.0003999200159968006,5000,0.0018662934079850698
CN,control,zh,12,192,192,20.442708333333336,19.53125,-0.9114583333333334,-3.255208333333333,1.3454861111111112,0.4487102579484103,5000,0.5300273278677597
all,control,hi,24,189,192,20.260222250500938,20.1172037314053,-0.1430185190956351,-2.0536276960193343,1.7595725771839457,0.8874225154969007,5000,0.909066967094386
US,control,hi,12,189,192,20.07773616766854,22.916699129477273,2.8389629618087304,0.7830662448946436,4.869448665991218,0.00639872025594881,5000,0.022395520895820836
CN,control,hi,12,192,192,20.442708333333336,17.317708333333336,-3.125,-5.642361111111111,-0.6510416666666672,0.01199760047990402,5000,0.03591005936743685
all,control,sw,24,190,192,20.283945540935676,21.17987024853801,0.8959247076023401,-1.339806757108589,2.941325424690334,0.40991801639672065,5000,0.49903062865687725
US,control,sw,12,190,192,20.12518274853801,28.427448830409357,8.302266081871345,6.174215622749247,10.2992378418299,0.0003999200159968006,5000,0.0018662934079850698
CN,control,sw,12,192,192,20.442708333333336,13.932291666666668,-6.510416666666667,-9.505208333333332,-3.689236111111111,0.0003999200159968006,5000,0.0018662934079850698
