bloc,mode,lang,n_models,estimate,lo,hi,n_draws
CN,control,fr,12,18.848849258289704,15.277777777777777,22.642406616947454,5000
all,control,de,24,18.762384562245494,15.473004161155202,22.261352116725604,5000
US,control,de,12,21.205324680046537,17.66100528918282,24.903573495370367,5000
CN,control,de,12,16.319444444444446,13.10763888888889,19.835069444444443,5000
all,control,zh,24,17.664930555555557,14.561089409722221,21.094292534722218,5000
US,control,zh,12,15.798611111111112,12.846137152777775,19.053819444444446,5000
CN,control,zh,12,19.53125,16.015625,23.4375,5000
all,control,hi,24,20.134956446526438,16.79843407346491,23.697017904491307,5000
US,control,hi,12,22.952204559719547,19.52388689350813,26.595340277962933,5000
CN,control,hi,12,17.317708333333336,13.758680555555555,21.180555555555554,5000
all,control,sw,24,21.174933167615816,18.520485088532578,24.085788240837793,5000
US,control,sw,12,28.417574668564953,25.311184083902365,31.811487888034666,5000
CN,control,sw,12,13.932291666666668,11.371527777777779,16.796875,5000
