mode,metric,model,origin,range,null_mean,excess,n_langs
de,pp,grok-4.3,US,25.0,7.483333333333334,17.516666666666666,8
de,pp,haiku-4.5,US,17.708333333333332,6.035416666666667,11.672916666666666,8
de,pp,inkling,US,17.1875,6.3375,10.85,8
de,pp,nemotron-3-ultra,US,8.333333333333332,4.940625,3.3927083333333323,8
de,pp,nemotron-3.5-lightning,US,44.270833333333336,5.71108202443281,38.55975130890052,7
de,pp,nova-2-lite,US,20.3125,5.44375,14.86875,7
de,pp,sonnet-5,US,16.813917975567193,6.1852257853403145,10.628692190226879,8
de,pp,deepseek-v4-pro,CN,20.3125,6.33125,13.98125,8
de,pp,glm-5.2,CN,18.229166666666664,6.980208333333334,11.24895833333333,8
de,pp,hy3,CN,21.875000000000004,5.219791666666667,16.655208333333338,8
de,pp,kimi-k2.6,CN,13.020833333333334,6.483333333333334,6.5375,8
de,pp,kimi-k3,CN,8.854166666666666,4.417708333333333,4.436458333333333,8
de,pp,ling-3.0-flash,CN,24.479166666666664,6.70625,17.772916666666664,8
de,pp,mimo-v2.5-pro,CN,12.5,4.571875,7.928125,8
de,pp,minimax-m3,CN,19.270833333333336,7.760416666666666,11.51041666666667,8
de,pp,qwen3.7-plus,CN,14.0625,5.214583333333334,8.847916666666666,8
de,pp,qwen3.8-27b,CN,9.895833333333332,6.13125,3.7645833333333325,8
de,pp,qwen3.8-flash,CN,10.416666666666666,5.044791666666666,5.371875,8
de,pp,seed-2-1-turbo,CN,16.145833333333332,5.457291666666666,10.688541666666666,8
de,or,gemini-3.1-flash-lite,US,7.110817941952511,5.560976056396487,1.2786996149306067,8
de,or,gemma-4-31b,US,1.5881904761904757,2.8803133598890156,0.5513950316335275,8
de,or,gpt-5.6-luna,US,5.176899553046342,1.7984793190193498,2.878487118700442,8
de,or,gpt-5.6-sol,US,2.6095534787123573,1.6339554600026893,1.5970774862541617,8
de,or,gpt-5.6-terra,US,3.2831858407079664,1.7898224832798633,1.8343639502681313,8
de,or,grok-4.3,US,3.1568011175135324,1.3970640606075027,2.25959654000463,8
de,or,haiku-4.5,US,2.814586933978569,1.4623127015031356,1.9247503841588791,8
de,or,inkling,US,2.7479245283018865,1.4489222859724635,1.8965299622385066,8
de,or,nemotron-3-ultra,US,2.310557029177719,1.651304149023691,1.3992316500529605,8
de,or,nemotron-3.5-lightning,US,103.69170579029736,1.7637699108540934,58.78981444925852,7
de,or,nova-2-lite,US,5.255547703180211,1.5496396279964755,3.3914644464630097,7
de,or,sonnet-5,US,3.0035555555555558,1.4836713733564768,2.02440756726382,8
de,or,deepseek-v4-pro,CN,3.4543898263634136,1.4510753191525505,2.3805723801992777,8
de,or,glm-5.2,CN,2.9992600813910473,1.562724987420684,1.9192500955279403,8
de,or,hy3,CN,7.692260061919503,1.6931002003040334,4.543298772593724,8
de,or,kimi-k2.6,CN,2.2136074954411122,1.4992396794387681,1.476486732441449,8
de,or,kimi-k3,CN,3.0742848111269168,1.8625007835352783,1.6506220229832649,8
de,or,ling-3.0-flash,CN,7.375680899666139,1.689247583993193,4.366252152470659,8
de,or,mimo-v2.5-pro,CN,8.996547259387139,1.9329438665163647,4.654324119407104,8
de,or,minimax-m3,CN,2.5028147524596203,1.4664286820957049,1.7067415436001931,8
de,or,qwen3.7-plus,CN,4.504960484277788,1.5486509818077214,2.9089578847644564,8
de,or,qwen3.8-27b,CN,2.0368275959567397,1.5242917681235775,1.3362452245373604,8
de,or,qwen3.8-flash,CN,2.5811571940604203,1.5196251207524198,1.6985486478286163,8
de,or,seed-2-1-turbo,CN,3.3659911023232816,1.5208379625225827,2.213247686650444,8
pg,pp,gemini-3.1-flash-lite,US,1.5625,2.134375,-0.5718749999999999,8
pg,pp,gemma-4-31b,US,2.0833333333333335,3.29375,-1.2104166666666667,8
pg,pp,gpt-5.6-luna,US,9.895833333333334,5.71875,4.177083333333334,8
pg,pp,gpt-5.6-sol,US,13.020833333333332,5.569791666666667,7.451041666666665,8
pg,pp,gpt-5.6-terra,US,9.895833333333334,5.515625,4.380208333333334,8
pg,pp,grok-4.3,US,19.791666666666668,7.476041666666667,12.315625,8
pg,pp,haiku-4.5,US,24.479166666666668,7.2875,17.19166666666667,8
pg,pp,inkling,US,25.0,6.79375,18.20625,8
pg,pp,nemotron-3-ultra,US,11.458333333333332,5.48125,5.977083333333332,8
pg,pp,nemotron-3.5-lightning,US,46.35416666666667,6.422916666666666,39.931250000000006,7
pg,pp,nova-2-lite,US,29.166666666666664,6.058333333333334,23.10833333333333,7
pg,pp,sonnet-5,US,17.951025305410123,6.93581071461376,11.015214590796363,8
pg,pp,deepseek-v4-pro,CN,22.916666666666664,6.6,16.316666666666663,8
pg,pp,glm-5.2,CN,18.749999999999996,7.28125,11.468749999999996,8
pg,pp,hy3,CN,19.791666666666664,5.879166666666666,13.912499999999998,8
pg,pp,kimi-k2.6,CN,18.750000000000004,6.744791666666668,12.005208333333336,8
pg,pp,kimi-k3,CN,8.333333333333332,5.208333333333333,3.124999999999999,8
pg,pp,ling-3.0-flash,CN,24.479166666666668,6.867708333333333,17.611458333333335,8
pg,pp,mimo-v2.5-pro,CN,19.270833333333332,5.347916666666667,13.922916666666666,8
pg,pp,minimax-m3,CN,18.75,7.757291666666667,10.992708333333333,8
pg,pp,qwen3.7-plus,CN,19.270833333333332,5.616666666666667,13.654166666666665,8
pg,pp,qwen3.8-27b,CN,10.9375,6.6875,4.25,8
pg,pp,qwen3.8-flash,CN,9.374999999999996,6.254166666666666,3.12083333333333,8
pg,pp,seed-2-1-turbo,CN,20.833333333333336,5.888541666666667,14.944791666666669,8
pg,or,gemini-3.1-flash-lite,US,2.2352,2.781591155514123,0.8035688478405687,8
pg,or,gemma-4-31b,US,1.5031774482646245,1.882465639087051,0.798515211673998,8
pg,or,gpt-5.6-luna,US,1.7458178674937712,1.3805976135251292,1.2645377989869995,8
pg,or,gpt-5.6-sol,US,1.9505984337290054,1.3454867908562431,1.449734361559715,8
pg,or,gpt-5.6-terra,US,1.8602428010087386,1.4096264340786926,1.3196707695287802,8
pg,or,grok-4.3,US,2.2564135509015375,1.3569324620424963,1.662878303836224,8
pg,or,haiku-4.5,US,2.8479246243952128,1.3637578966134796,2.088291940576297,8
pg,or,inkling,US,3.0003238866396758,1.3408727812518528,2.237590268510442,8
pg,or,nemotron-3-ultra,US,2.1443972778114686,1.4057869600432542,1.5254070060128373,8
pg,or,nemotron-3.5-lightning,US,22.160455805358787,1.6627245100060053,13.32779764296537,7
pg,or,nova-2-lite,US,5.0521136001499665,1.4133595824228167,3.57454229127559,7
pg,or,sonnet-5,US,2.163260821797407,1.3289904823332188,1.627747414713999,8
pg,or,deepseek-v4-pro,CN,2.9961215255332903,1.351589262423961,2.2167396625806273,8
pg,or,glm-5.2,CN,2.407261127145678,1.3831051553863576,1.740475854471985,8
pg,or,hy3,CN,4.047896103896102,1.5228666273804456,2.6580765715899086,8
pg,or,kimi-k2.6,CN,2.610850286906625,1.411078458936464,1.8502516783329215,8
pg,or,kimi-k3,CN,2.005453805453805,1.4972111122988196,1.3394596052487406,8
pg,or,ling-3.0-flash,CN,4.264417453891137,1.534158154400868,2.7796465714165643,8
pg,or,mimo-v2.5-pro,CN,7.411672278338948,1.7061176320173277,4.344174246400188,8
pg,or,minimax-m3,CN,2.190082644628099,1.3854500525384117,1.5807734393711599,8
pg,or,qwen3.7-plus,CN,3.4694389210685572,1.3581648654409297,2.554504986360547,8
pg,or,qwen3.8-27b,CN,1.7743969429185573,1.42013092229587,1.2494601131915073,8
pg,or,qwen3.8-flash,CN,1.6073161138062146,1.3638972413700576,1.1784730293842656,8
pg,or,seed-2-1-turbo,CN,2.9712735397382692,1.3779224055139396,2.1563431495476983,8
control,pp,gemini-3.1-flash-lite,US,2.604166666666667,1.9729166666666664,0.6312500000000005,8
control,pp,gemma-4-31b,US,5.729166666666666,3.16875,2.560416666666666,8
control,pp,gpt-5.6-luna,US,12.499999999999996,5.4093150360631075,7.090684963936889,8
control,pp,gpt-5.6-sol,US,8.333333333333334,5.361458333333334,2.971875,8
control,pp,gpt-5.6-terra,US,8.333333333333334,5.36875,2.9645833333333336,8
control,pp,grok-4.3,US,16.666666666666668,7.034375,9.632291666666667,8
control,pp,haiku-4.5,US,23.958333333333336,6.530541012216405,17.427792321116932,8
control,pp,inkling,US,15.625000000000004,5.839583333333334,9.78541666666667,8
control,pp,nemotron-3-ultra,US,13.020833333333332,5.867708333333334,7.153124999999998,8
control,pp,nemotron-3.5-lightning,US,40.3277705061082,5.652099694589877,34.67567081151832,7
control,pp,nova-2-lite,US,33.33333333333333,6.548958333333334,26.784374999999994,7
control,pp,sonnet-5,US,7.853403141361256,5.395814952776065,2.4575881885851913,8
control,pp,deepseek-v4-pro,CN,6.770833333333334,5.460416666666666,1.3104166666666677,8
control,pp,glm-5.2,CN,17.1875,6.063541666666666,11.123958333333334,8
control,pp,hy3,CN,10.416666666666666,4.55,5.866666666666666,8
control,pp,kimi-k2.6,CN,14.0625,6.007291666666666,8.055208333333333,8
control,pp,kimi-k3,CN,8.854166666666666,4.878125,3.9760416666666663,8
control,pp,ling-3.0-flash,CN,25.520833333333332,6.670833333333333,18.849999999999998,8
control,pp,mimo-v2.5-pro,CN,16.666666666666668,5.259375,11.407291666666667,8
control,pp,minimax-m3,CN,12.499999999999996,7.117528359511344,5.382471640488652,8
control,pp,qwen3.7-plus,CN,14.0625,5.2177083333333325,8.844791666666667,8
control,pp,qwen3.8-27b,CN,14.062500000000004,6.234375,7.8281250000000036,8
control,pp,qwen3.8-flash,CN,8.333333333333334,5.482291666666667,2.851041666666667,8
control,pp,seed-2-1-turbo,CN,7.8125,5.263541666666667,2.548958333333333,8
control,or,gemini-3.1-flash-lite,US,3.080862533692722,2.2382068427933106,1.376486960359645,8
control,or,gemma-4-31b,US,2.6221585482330476,1.7111986884189667,1.5323518922608264,8
control,or,gpt-5.6-luna,US,2.156770930885934,1.3573099836697182,1.5890039540228955,8
control,or,gpt-5.6-sol,US,1.5585854474743364,1.3380659986480858,1.1648046128136074,8
control,or,gpt-5.6-terra,US,1.6575459142933193,1.381524331770658,1.1997949483588846,8
control,or,grok-4.3,US,2.3590801562414034,1.4274382917162733,1.6526669978882065,8
control,or,haiku-4.5,US,2.899748568983042,1.3436310109314906,2.158143527048212,8
control,or,inkling,US,2.470196153113693,1.3780712830858821,1.7925024513842573,8
control,or,nemotron-3-ultra,US,2.372395648154732,1.4396355584447829,1.647914039243096,8
control,or,nemotron-3.5-lightning,US,25.684931506849317,1.5870698321037595,16.183869787759967,7
control,or,nova-2-lite,US,5.982151860441665,1.4147245389720815,4.228492328823399,7
control,or,sonnet-5,US,1.6804891015417334,1.4373852764141333,1.1691292022512398,8
control,or,deepseek-v4-pro,CN,1.5982712369597614,1.461808489862515,1.093352000650975,8
control,or,glm-5.2,CN,3.8436209398370362,1.5707862013846965,2.4469408608560257,8
control,or,hy3,CN,2.923987538940809,1.7285593138448607,1.691574894492304,8
control,or,kimi-k2.6,CN,2.5561030235162367,1.4779974933548912,1.7294366431665356,8
control,or,kimi-k3,CN,2.318862425886846,1.6098836015014788,1.4403913573156026,8
control,or,ling-3.0-flash,CN,4.590697674418606,1.5494655265200483,2.962762059462449,8
control,or,mimo-v2.5-pro,CN,8.221280327389655,1.6982155746497518,4.8411288002026795,8
control,or,minimax-m3,CN,1.813166556945359,1.401644870097369,1.2935991103220053,8
control,or,qwen3.7-plus,CN,2.6773155226522896,1.4115432452664733,1.8967293645664125,8
control,or,qwen3.8-27b,CN,2.2940957347737005,1.4160407329858047,1.6200775029518153,8
control,or,qwen3.8-flash,CN,1.6575459142933193,1.3745673942485472,1.205867330498896,8
control,or,seed-2-1-turbo,CN,2.1493796526054596,1.6989476265361418,1.2651241386337906,8
