group,lang_a,lang_b,model,n_only_a,n_only_b,n_discordant,bias
he,sw,de,seed-2-1-turbo,3,1,4,0.5
he,sw,de,sonnet-5,8,4,12,0.3333333333333333
he,zh,de,deepseek-v4-pro,6,8,14,-0.14285714285714285
he,zh,de,gemini-3.1-flash-lite,0,0,0,
he,zh,de,gemma-4-31b,2,2,4,0.0
he,zh,de,glm-5.2,2,7,9,-0.5555555555555556
he,zh,de,gpt-5.6-luna,1,1,2,0.0
he,zh,de,gpt-5.6-sol,2,1,3,0.3333333333333333
he,zh,de,gpt-5.6-terra,1,0,1,1.0
he,zh,de,grok-4.3,2,5,7,-0.42857142857142855
he,zh,de,haiku-4.5,18,5,23,0.5652173913043478
he,zh,de,hy3,5,0,5,1.0
he,zh,de,inkling,2,6,8,-0.5
he,zh,de,kimi-k2.6,9,6,15,0.2
he,zh,de,kimi-k3,2,2,4,0.0
he,zh,de,ling-3.0-flash,10,1,11,0.8181818181818182
he,zh,de,mimo-v2.5-pro,4,0,4,1.0
he,zh,de,minimax-m3,25,3,28,0.7857142857142857
he,zh,de,nemotron-3-ultra,1,0,1,1.0
he,zh,de,nemotron-3.5-lightning,1,4,5,-0.6
he,zh,de,nova-2-lite,0,9,9,-1.0
he,zh,de,qwen3.7-plus,4,2,6,0.3333333333333333
he,zh,de,qwen3.8-27b,2,3,5,-0.2
he,zh,de,qwen3.8-flash,4,1,5,0.6
he,zh,de,seed-2-1-turbo,10,0,10,1.0
he,zh,de,sonnet-5,6,4,10,0.2
he,fr,de,deepseek-v4-pro,9,7,16,0.125
he,fr,de,gemini-3.1-flash-lite,0,0,0,
he,fr,de,gemma-4-31b,2,1,3,0.3333333333333333
he,fr,de,glm-5.2,11,7,18,0.2222222222222222
he,fr,de,gpt-5.6-luna,1,1,2,0.0
he,fr,de,gpt-5.6-sol,3,0,3,1.0
he,fr,de,gpt-5.6-terra,2,0,2,1.0
he,fr,de,grok-4.3,9,5,14,0.2857142857142857
he,fr,de,haiku-4.5,12,6,18,0.3333333333333333
he,fr,de,hy3,3,0,3,1.0
he,fr,de,inkling,4,6,10,-0.2
he,fr,de,kimi-k2.6,12,5,17,0.4117647058823529
he,fr,de,kimi-k3,5,1,6,0.6666666666666666
he,fr,de,ling-3.0-flash,1,2,3,-0.3333333333333333
he,fr,de,mimo-v2.5-pro,1,0,1,1.0
he,fr,de,minimax-m3,9,1,10,0.8
he,fr,de,nemotron-3-ultra,2,0,2,1.0
he,fr,de,nemotron-3.5-lightning,1,3,4,-0.5
he,fr,de,nova-2-lite,0,9,9,-1.0
he,fr,de,qwen3.7-plus,4,2,6,0.3333333333333333
he,fr,de,qwen3.8-27b,9,3,12,0.5
he,fr,de,qwen3.8-flash,2,2,4,0.0
he,fr,de,seed-2-1-turbo,1,0,1,1.0
he,fr,de,sonnet-5,8,4,12,0.3333333333333333
he,hi,de,deepseek-v4-pro,7,6,13,0.07692307692307693
he,hi,de,gemini-3.1-flash-lite,0,0,0,
he,hi,de,gemma-4-31b,2,2,4,0.0
he,hi,de,glm-5.2,3,6,9,-0.3333333333333333
he,hi,de,gpt-5.6-luna,4,1,5,0.6
he,hi,de,gpt-5.6-sol,1,1,2,0.0
he,hi,de,gpt-5.6-terra,1,1,2,0.0
he,hi,de,grok-4.3,9,5,14,0.2857142857142857
he,hi,de,haiku-4.5,15,9,24,0.25
he,hi,de,hy3,3,0,3,1.0
he,hi,de,inkling,9,7,16,0.125
he,hi,de,kimi-k2.6,7,5,12,0.16666666666666666
he,hi,de,kimi-k3,4,1,5,0.6
he,hi,de,ling-3.0-flash,3,2,5,0.2
he,hi,de,mimo-v2.5-pro,3,0,3,1.0
he,hi,de,minimax-m3,19,3,22,0.7272727272727273
he,hi,de,nemotron-3-ultra,3,0,3,1.0
he,hi,de,nemotron-3.5-lightning,68,2,70,0.9428571428571428
he,hi,de,nova-2-lite,0,9,9,-1.0
he,hi,de,qwen3.7-plus,3,3,6,0.0
he,hi,de,qwen3.8-27b,7,3,10,0.4
he,hi,de,qwen3.8-flash,3,2,5,0.2
he,hi,de,seed-2-1-turbo,3,0,3,1.0
he,hi,de,sonnet-5,6,2,8,0.5
he,en,pt,deepseek-v4-pro,5,4,9,0.1111111111111111
he,en,pt,gemini-3.1-flash-lite,0,0,0,
he,en,pt,gemma-4-31b,1,3,4,-0.5
he,en,pt,glm-5.2,3,4,7,-0.14285714285714285
he,en,pt,gpt-5.6-luna,1,2,3,-0.3333333333333333
he,en,pt,gpt-5.6-sol,2,2,4,0.0
he,en,pt,gpt-5.6-terra,0,1,1,-1.0
he,en,pt,grok-4.3,5,6,11,-0.09090909090909091
he,en,pt,haiku-4.5,12,9,21,0.14285714285714285
he,en,pt,hy3,7,1,8,0.75
he,en,pt,inkling,1,6,7,-0.7142857142857143
he,en,pt,kimi-k2.6,6,0,6,1.0
he,en,pt,kimi-k3,3,1,4,0.5
he,en,pt,ling-3.0-flash,11,1,12,0.8333333333333334
he,en,pt,mimo-v2.5-pro,5,1,6,0.6666666666666666
he,en,pt,minimax-m3,7,5,12,0.16666666666666666
he,en,pt,nemotron-3-ultra,2,2,4,0.0
he,en,pt,nemotron-3.5-lightning,0,4,4,-1.0
he,en,pt,nova-2-lite,9,1,10,0.8
he,en,pt,qwen3.7-plus,1,2,3,-0.3333333333333333
he,en,pt,qwen3.8-27b,4,5,9,-0.1111111111111111
he,en,pt,qwen3.8-flash,1,4,5,-0.6
he,en,pt,seed-2-1-turbo,0,1,1,-1.0
he,en,pt,sonnet-5,2,7,9,-0.5555555555555556
he,es,pt,deepseek-v4-pro,4,2,6,0.3333333333333333
he,es,pt,gemini-3.1-flash-lite,0,0,0,
he,es,pt,gemma-4-31b,1,3,4,-0.5
he,es,pt,glm-5.2,3,4,7,-0.14285714285714285
he,es,pt,gpt-5.6-luna,1,2,3,-0.3333333333333333
he,es,pt,gpt-5.6-sol,2,1,3,0.3333333333333333
he,es,pt,gpt-5.6-terra,0,0,0,
he,es,pt,grok-4.3,4,7,11,-0.2727272727272727
he,es,pt,haiku-4.5,10,9,19,0.05263157894736842
he,es,pt,hy3,3,1,4,0.5
he,es,pt,inkling,8,5,13,0.23076923076923078
he,es,pt,kimi-k2.6,3,0,3,1.0
he,es,pt,kimi-k3,3,0,3,1.0
he,es,pt,ling-3.0-flash,1,4,5,-0.6
he,es,pt,mimo-v2.5-pro,3,1,4,0.5
he,es,pt,minimax-m3,9,3,12,0.5
he,es,pt,nemotron-3-ultra,1,1,2,0.0
he,es,pt,nemotron-3.5-lightning,4,5,9,-0.1111111111111111
he,es,pt,nova-2-lite,14,0,14,1.0
he,es,pt,qwen3.7-plus,1,1,2,0.0
he,es,pt,qwen3.8-27b,0,4,4,-1.0
he,es,pt,qwen3.8-flash,3,1,4,0.5
he,es,pt,seed-2-1-turbo,2,1,3,0.3333333333333333
he,es,pt,sonnet-5,4,5,9,-0.1111111111111111
he,sw,pt,deepseek-v4-pro,8,3,11,0.45454545454545453
he,sw,pt,gemini-3.1-flash-lite,1,0,1,1.0
he,sw,pt,gemma-4-31b,1,3,4,-0.5
he,sw,pt,glm-5.2,6,5,11,0.09090909090909091
he,sw,pt,gpt-5.6-luna,3,2,5,0.2
he,sw,pt,gpt-5.6-sol,5,1,6,0.6666666666666666
he,sw,pt,gpt-5.6-terra,1,0,1,1.0
he,sw,pt,grok-4.3,16,5,21,0.5238095238095238
he,sw,pt,haiku-4.5,19,9,28,0.35714285714285715
he,sw,pt,hy3,3,1,4,0.5
he,sw,pt,inkling,8,6,14,0.14285714285714285
he,sw,pt,kimi-k2.6,8,1,9,0.7777777777777778
he,sw,pt,kimi-k3,3,0,3,1.0
he,sw,pt,ling-3.0-flash,33,4,37,0.7837837837837838
he,sw,pt,mimo-v2.5-pro,2,0,2,1.0
he,sw,pt,minimax-m3,8,8,16,0.0
he,sw,pt,nemotron-3-ultra,3,0,3,1.0
he,sw,pt,nemotron-3.5-lightning,0,0,0,
he,sw,pt,nova-2-lite,0,0,0,
he,sw,pt,qwen3.7-plus,0,2,2,-1.0
he,sw,pt,qwen3.8-27b,12,6,18,0.3333333333333333
he,sw,pt,qwen3.8-flash,5,3,8,0.25
he,sw,pt,seed-2-1-turbo,3,1,4,0.5
he,sw,pt,sonnet-5,6,5,11,0.09090909090909091
he,zh,pt,deepseek-v4-pro,7,2,9,0.5555555555555556
he,zh,pt,gemini-3.1-flash-lite,0,0,0,
he,zh,pt,gemma-4-31b,1,2,3,-0.3333333333333333
he,zh,pt,glm-5.2,2,5,7,-0.42857142857142855
he,zh,pt,gpt-5.6-luna,0,2,2,-1.0
he,zh,pt,gpt-5.6-sol,1,1,2,0.0
he,zh,pt,gpt-5.6-terra,0,0,0,
he,zh,pt,grok-4.3,3,9,12,-0.5
he,zh,pt,haiku-4.5,21,7,28,0.5
he,zh,pt,hy3,2,0,2,1.0
he,zh,pt,inkling,3,7,10,-0.4
he,zh,pt,kimi-k2.6,9,0,9,1.0
he,zh,pt,kimi-k3,2,2,4,0.0
he,zh,pt,ling-3.0-flash,8,1,9,0.7777777777777778
he,zh,pt,mimo-v2.5-pro,5,1,6,0.6666666666666666
he,zh,pt,minimax-m3,23,5,28,0.6428571428571429
he,zh,pt,nemotron-3-ultra,2,2,4,0.0
he,zh,pt,nemotron-3.5-lightning,1,5,6,-0.6666666666666666
he,zh,pt,nova-2-lite,1,1,2,0.0
he,zh,pt,qwen3.7-plus,4,2,6,0.3333333333333333
he,zh,pt,qwen3.8-27b,2,6,8,-0.5
he,zh,pt,qwen3.8-flash,6,2,8,0.5
he,zh,pt,seed-2-1-turbo,10,0,10,1.0
he,zh,pt,sonnet-5,5,6,11,-0.09090909090909091
he,fr,pt,deepseek-v4-pro,11,2,13,0.6923076923076923
he,fr,pt,gemini-3.1-flash-lite,0,0,0,
he,fr,pt,gemma-4-31b,3,3,6,0.0
he,fr,pt,glm-5.2,11,5,16,0.375
he,fr,pt,gpt-5.6-luna,1,3,4,-0.5
he,fr,pt,gpt-5.6-sol,3,1,4,0.5
he,fr,pt,gpt-5.6-terra,1,0,1,1.0
he,fr,pt,grok-4.3,8,7,15,0.06666666666666667
he,fr,pt,haiku-4.5,13,6,19,0.3684210526315789
he,fr,pt,hy3,1,1,2,0.0
he,fr,pt,inkling,3,5,8,-0.25
he,fr,pt,kimi-k2.6,13,0,13,1.0
he,fr,pt,kimi-k3,4,0,4,1.0
he,fr,pt,ling-3.0-flash,0,3,3,-1.0
he,fr,pt,mimo-v2.5-pro,2,1,3,0.3333333333333333
he,fr,pt,minimax-m3,10,6,16,0.25
he,fr,pt,nemotron-3-ultra,2,1,3,0.3333333333333333
he,fr,pt,nemotron-3.5-lightning,2,5,7,-0.42857142857142855
he,fr,pt,nova-2-lite,1,1,2,0.0
he,fr,pt,qwen3.7-plus,2,0,2,1.0
he,fr,pt,qwen3.8-27b,8,5,13,0.23076923076923078
he,fr,pt,qwen3.8-flash,4,3,7,0.14285714285714285
he,fr,pt,seed-2-1-turbo,1,0,1,1.0
he,fr,pt,sonnet-5,6,5,11,0.09090909090909091
he,hi,pt,deepseek-v4-pro,10,2,12,0.6666666666666666
he,hi,pt,gemini-3.1-flash-lite,0,0,0,
he,hi,pt,gemma-4-31b,2,3,5,-0.2
he,hi,pt,glm-5.2,5,6,11,-0.09090909090909091
he,hi,pt,gpt-5.6-luna,3,2,5,0.2
he,hi,pt,gpt-5.6-sol,1,2,3,-0.3333333333333333
he,hi,pt,gpt-5.6-terra,1,2,3,-0.3333333333333333
he,hi,pt,grok-4.3,6,5,11,0.09090909090909091
he,hi,pt,haiku-4.5,16,9,25,0.28
he,hi,pt,hy3,1,1,2,0.0
he,hi,pt,inkling,8,6,14,0.14285714285714285
he,hi,pt,kimi-k2.6,8,0,8,1.0
he,hi,pt,kimi-k3,4,1,5,0.6
he,hi,pt,ling-3.0-flash,3,4,7,-0.14285714285714285
he,hi,pt,mimo-v2.5-pro,4,1,5,0.6
he,hi,pt,minimax-m3,18,6,24,0.5
he,hi,pt,nemotron-3-ultra,4,2,6,0.3333333333333333
he,hi,pt,nemotron-3.5-lightning,68,3,71,0.9154929577464789
he,hi,pt,nova-2-lite,1,1,2,0.0
he,hi,pt,qwen3.7-plus,1,1,2,0.0
he,hi,pt,qwen3.8-27b,6,5,11,0.09090909090909091
he,hi,pt,qwen3.8-flash,5,3,8,0.25
he,hi,pt,seed-2-1-turbo,4,1,5,0.6
he,hi,pt,sonnet-5,6,5,11,0.09090909090909091
he,es,en,deepseek-v4-pro,4,3,7,0.14285714285714285
he,es,en,gemini-3.1-flash-lite,0,0,0,
he,es,en,gemma-4-31b,1,1,2,0.0
he,es,en,glm-5.2,3,3,6,0.0
he,es,en,gpt-5.6-luna,2,2,4,0.0
he,es,en,gpt-5.6-sol,2,1,3,0.3333333333333333
he,es,en,gpt-5.6-terra,1,0,1,1.0
he,es,en,grok-4.3,5,7,12,-0.16666666666666666
he,es,en,haiku-4.5,8,10,18,-0.1111111111111111
he,es,en,hy3,1,5,6,-0.6666666666666666
he,es,en,inkling,10,2,12,0.6666666666666666
he,es,en,kimi-k2.6,2,5,7,-0.42857142857142855
he,es,en,kimi-k3,3,2,5,0.2
he,es,en,ling-3.0-flash,0,13,13,-1.0
he,es,en,mimo-v2.5-pro,1,3,4,-0.5
he,es,en,minimax-m3,9,5,14,0.2857142857142857
he,es,en,nemotron-3-ultra,2,2,4,0.0
he,es,en,nemotron-3.5-lightning,4,1,5,0.6
he,es,en,nova-2-lite,10,4,14,0.42857142857142855
he,es,en,qwen3.7-plus,2,1,3,0.3333333333333333
he,es,en,qwen3.8-27b,2,5,7,-0.42857142857142855
he,es,en,qwen3.8-flash,6,1,7,0.7142857142857143
he,es,en,seed-2-1-turbo,2,0,2,1.0
he,es,en,sonnet-5,6,2,8,0.5
he,sw,en,deepseek-v4-pro,10,6,16,0.25
he,sw,en,gemini-3.1-flash-lite,1,0,1,1.0
he,sw,en,gemma-4-31b,1,1,2,0.0
he,sw,en,glm-5.2,5,3,8,0.25
he,sw,en,gpt-5.6-luna,3,1,4,0.5
he,sw,en,gpt-5.6-sol,6,2,8,0.5
he,sw,en,gpt-5.6-terra,2,0,2,1.0
he,sw,en,grok-4.3,17,5,22,0.5454545454545454
he,sw,en,haiku-4.5,18,11,29,0.2413793103448276
he,sw,en,hy3,2,6,8,-0.5
he,sw,en,inkling,9,2,11,0.6363636363636364
he,sw,en,kimi-k2.6,8,7,15,0.06666666666666667
he,sw,en,kimi-k3,3,2,5,0.2
he,sw,en,ling-3.0-flash,32,13,45,0.4222222222222222
he,sw,en,mimo-v2.5-pro,2,4,6,-0.3333333333333333
he,sw,en,minimax-m3,7,9,16,-0.125
he,sw,en,nemotron-3-ultra,5,2,7,0.42857142857142855
he,sw,en,nemotron-3.5-lightning,0,0,0,
he,sw,en,nova-2-lite,0,0,0,
he,sw,en,qwen3.7-plus,1,2,3,-0.3333333333333333
he,sw,en,qwen3.8-27b,11,4,15,0.4666666666666667
he,sw,en,qwen3.8-flash,6,1,7,0.7142857142857143
he,sw,en,seed-2-1-turbo,3,0,3,1.0
he,sw,en,sonnet-5,7,1,8,0.75
he,zh,en,deepseek-v4-pro,7,3,10,0.4
he,zh,en,gemini-3.1-flash-lite,0,0,0,
he,zh,en,gemma-4-31b,2,1,3,0.3333333333333333
he,zh,en,glm-5.2,2,4,6,-0.3333333333333333
he,zh,en,gpt-5.6-luna,1,2,3,-0.3333333333333333
he,zh,en,gpt-5.6-sol,2,2,4,0.0
he,zh,en,gpt-5.6-terra,1,0,1,1.0
he,zh,en,grok-4.3,2,7,9,-0.5555555555555556
he,zh,en,haiku-4.5,19,8,27,0.4074074074074074
he,zh,en,hy3,2,6,8,-0.5
he,zh,en,inkling,4,3,7,0.14285714285714285
he,zh,en,kimi-k2.6,9,6,15,0.2
he,zh,en,kimi-k3,1,3,4,-0.5
he,zh,en,ling-3.0-flash,5,8,13,-0.23076923076923078
he,zh,en,mimo-v2.5-pro,4,4,8,0.0
he,zh,en,minimax-m3,24,8,32,0.5
he,zh,en,nemotron-3-ultra,2,2,4,0.0
he,zh,en,nemotron-3.5-lightning,1,1,2,0.0
he,zh,en,nova-2-lite,0,8,8,-1.0
he,zh,en,qwen3.7-plus,5,2,7,0.42857142857142855
he,zh,en,qwen3.8-27b,2,5,7,-0.42857142857142855
he,zh,en,qwen3.8-flash,8,1,9,0.7777777777777778
he,zh,en,seed-2-1-turbo,11,0,11,1.0
he,zh,en,sonnet-5,5,1,6,0.6666666666666666
he,fr,en,deepseek-v4-pro,13,5,18,0.4444444444444444
he,fr,en,gemini-3.1-flash-lite,0,0,0,
he,fr,en,gemma-4-31b,3,1,4,0.5
he,fr,en,glm-5.2,12,5,17,0.4117647058823529
he,fr,en,gpt-5.6-luna,1,2,3,-0.3333333333333333
he,fr,en,gpt-5.6-sol,2,0,2,1.0
he,fr,en,gpt-5.6-terra,2,0,2,1.0
he,fr,en,grok-4.3,6,4,10,0.2
he,fr,en,haiku-4.5,11,7,18,0.2222222222222222
he,fr,en,hy3,0,6,6,-1.0
he,fr,en,inkling,4,1,5,0.6
he,fr,en,kimi-k2.6,12,5,17,0.4117647058823529
he,fr,en,kimi-k3,4,2,6,0.3333333333333333
he,fr,en,ling-3.0-flash,0,13,13,-1.0
he,fr,en,mimo-v2.5-pro,1,4,5,-0.6
he,fr,en,minimax-m3,7,5,12,0.16666666666666666
he,fr,en,nemotron-3-ultra,3,2,5,0.2
he,fr,en,nemotron-3.5-lightning,2,1,3,0.3333333333333333
he,fr,en,nova-2-lite,0,8,8,-1.0
he,fr,en,qwen3.7-plus,3,0,3,1.0
he,fr,en,qwen3.8-27b,9,5,14,0.2857142857142857
he,fr,en,qwen3.8-flash,5,1,6,0.6666666666666666
he,fr,en,seed-2-1-turbo,2,0,2,1.0
he,fr,en,sonnet-5,8,2,10,0.6
he,hi,en,deepseek-v4-pro,9,2,11,0.6363636363636364
he,hi,en,gemini-3.1-flash-lite,0,0,0,
he,hi,en,gemma-4-31b,2,1,3,0.3333333333333333
he,hi,en,glm-5.2,4,4,8,0.0
he,hi,en,gpt-5.6-luna,4,2,6,0.3333333333333333
he,hi,en,gpt-5.6-sol,1,2,3,-0.3333333333333333
he,hi,en,gpt-5.6-terra,1,1,2,0.0
he,hi,en,grok-4.3,9,7,16,0.125
he,hi,en,haiku-4.5,16,12,28,0.14285714285714285
he,hi,en,hy3,1,7,8,-0.75
he,hi,en,inkling,8,1,9,0.7777777777777778
he,hi,en,kimi-k2.6,8,6,14,0.14285714285714285
he,hi,en,kimi-k3,4,3,7,0.14285714285714285
he,hi,en,ling-3.0-flash,2,13,15,-0.7333333333333333
he,hi,en,mimo-v2.5-pro,1,2,3,-0.3333333333333333
he,hi,en,minimax-m3,17,7,24,0.4166666666666667
he,hi,en,nemotron-3-ultra,3,1,4,0.5
he,hi,en,nemotron-3.5-lightning,70,1,71,0.971830985915493
he,hi,en,nova-2-lite,1,9,10,-0.8
he,hi,en,qwen3.7-plus,3,2,5,0.2
he,hi,en,qwen3.8-27b,8,6,14,0.14285714285714285
he,hi,en,qwen3.8-flash,6,1,7,0.7142857142857143
he,hi,en,seed-2-1-turbo,4,0,4,1.0
he,hi,en,sonnet-5,7,1,8,0.75
he,sw,es,deepseek-v4-pro,7,4,11,0.2727272727272727
he,sw,es,gemini-3.1-flash-lite,1,0,1,1.0
he,sw,es,gemma-4-31b,1,1,2,0.0
he,sw,es,glm-5.2,4,2,6,0.3333333333333333
he,sw,es,gpt-5.6-luna,3,1,4,0.5
he,sw,es,gpt-5.6-sol,4,1,5,0.6
he,sw,es,gpt-5.6-terra,1,0,1,1.0
he,sw,es,grok-4.3,17,3,20,0.7
he,sw,es,haiku-4.5,17,8,25,0.36
he,sw,es,hy3,3,3,6,0.0
he,sw,es,inkling,6,7,13,-0.07692307692307693
he,sw,es,kimi-k2.6,7,3,10,0.4
he,sw,es,kimi-k3,2,2,4,0.0
he,sw,es,ling-3.0-flash,33,1,34,0.9411764705882353
he,sw,es,mimo-v2.5-pro,2,2,4,0.0
he,sw,es,minimax-m3,7,13,20,-0.3
he,sw,es,nemotron-3-ultra,4,1,5,0.6
he,sw,es,nemotron-3.5-lightning,0,0,0,
he,sw,es,nova-2-lite,0,0,0,
he,sw,es,qwen3.7-plus,0,2,2,-1.0
he,sw,es,qwen3.8-27b,12,2,14,0.7142857142857143
he,sw,es,qwen3.8-flash,3,3,6,0.0
he,sw,es,seed-2-1-turbo,3,2,5,0.2
he,sw,es,sonnet-5,6,4,10,0.2
he,zh,es,deepseek-v4-pro,6,3,9,0.3333333333333333
he,zh,es,gemini-3.1-flash-lite,0,0,0,
he,zh,es,gemma-4-31b,2,1,3,0.3333333333333333
he,zh,es,glm-5.2,1,3,4,-0.5
he,zh,es,gpt-5.6-luna,0,1,1,-1.0
he,zh,es,gpt-5.6-sol,0,1,1,-1.0
he,zh,es,gpt-5.6-terra,0,0,0,
he,zh,es,grok-4.3,3,6,9,-0.3333333333333333
he,zh,es,haiku-4.5,18,5,23,0.5652173913043478
he,zh,es,hy3,3,3,6,0.0
he,zh,es,inkling,4,11,15,-0.4666666666666667
he,zh,es,kimi-k2.6,9,3,12,0.5
he,zh,es,kimi-k3,1,4,5,-0.6
he,zh,es,ling-3.0-flash,10,0,10,1.0
he,zh,es,mimo-v2.5-pro,4,2,6,0.3333333333333333
he,zh,es,minimax-m3,20,8,28,0.42857142857142855
he,zh,es,nemotron-3-ultra,1,1,2,0.0
he,zh,es,nemotron-3.5-lightning,1,4,5,-0.6
he,zh,es,nova-2-lite,0,14,14,-1.0
he,zh,es,qwen3.7-plus,4,2,6,0.3333333333333333
he,zh,es,qwen3.8-27b,2,2,4,0.0
he,zh,es,qwen3.8-flash,4,2,6,0.3333333333333333
he,zh,es,seed-2-1-turbo,10,1,11,0.8181818181818182
he,zh,es,sonnet-5,3,3,6,0.0
he,fr,es,deepseek-v4-pro,11,4,15,0.4666666666666667
he,fr,es,gemini-3.1-flash-lite,0,0,0,
he,fr,es,gemma-4-31b,3,1,4,0.5
he,fr,es,glm-5.2,10,3,13,0.5384615384615384
he,fr,es,gpt-5.6-luna,1,2,3,-0.3333333333333333
he,fr,es,gpt-5.6-sol,1,0,1,1.0
he,fr,es,gpt-5.6-terra,1,0,1,1.0
he,fr,es,grok-4.3,10,6,16,0.25
he,fr,es,haiku-4.5,9,3,12,0.5
he,fr,es,hy3,1,3,4,-0.5
