fit,term,estimate,se,z,p,sd_prompt,sd_model,sd_model_slope,cor_model_int_slope,slope_name,singular,messages,optimizer,formula_used,variant,loglik,nobs,n_prompts,n_models,term_interest,error,set,mode,lme4_version,r_version
side__us_cn_he,(Intercept),-3.80680488254671,0.300295699415038,-12.6768544803079,7.94569892294275e-37,1.86808826657827,1.24868280899085,0.230334562692653,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1746.27640139047,9216,192,24,side,,us_cn,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_de,side,0.23887762941682,0.0651257817854399,3.66794260073245,0.0002445100553348,1.9203438914357,1.58462761783812,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3254.64201959637,9213,192,24,side,,allies,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_pg,(Intercept),-1.35565826478713,0.342891763087525,-3.95360405446978,7.69827623871246e-05,2.23960612063782,1.4674300007519,0.144606599543328,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3656.34729877786,9212,192,24,side,,allies,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_pg,side,0.114746252279758,0.0681616533313274,1.68344291359816,0.0922893817120736,2.23960612063782,1.4674300007519,0.144606599543328,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3656.34729877786,9212,192,24,side,,allies,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_control,(Intercept),-2.17764874328201,0.364193839612033,-5.97936732153901,2.24005926088089e-09,2.80264644589356,1.4544222736278,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2986.32574400466,9214,192,24,side,,allies,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_control,side,-0.0946274622594063,0.0688073043126004,-1.37525315378585,0.169052974477806,2.80264644589356,1.4544222736278,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2986.32574400466,9214,192,24,side,,allies,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_he,(Intercept),-3.94446826949627,0.283634499690453,-13.9068705457238,5.754258214652721e-44,1.98828613406993,1.1149661418357,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1638.14835693077,9214,192,24,side,,neutral,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_he,side,-0.0953172454284225,0.0976702539539112,-0.975908647410715,0.329109736474656,1.98828613406993,1.1149661418357,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1638.14835693077,9214,192,24,side,,neutral,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_de,(Intercept),-2.12338267729581,0.344142187561611,-6.170073748705,6.82581479522045e-10,1.88999227906463,1.52955813927225,6.12685977215822e-07,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3263.82015733778,9213,192,24,side,,neutral,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_de,side,0.0128875507242082,0.0648899137118185,0.198606377894766,0.842570664163116,1.88999227906463,1.52955813927225,6.12685977215822e-07,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3263.82015733778,9213,192,24,side,,neutral,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_pg,(Intercept),-1.54542235702103,0.350129150135129,-4.41386373121059,1.01541887816535e-05,2.34476011609795,1.48541840515275,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3515.26033205648,9212,192,24,side,,neutral,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_pg,side,0.0058330852341725,0.0623586063289888,0.0935409813907421,0.925473793956286,2.34476011609795,1.48541840515275,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3515.26033205648,9212,192,24,side,,neutral,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_control,(Intercept),-2.38384640820525,0.364930428304901,-6.53233116043021,6.475377788657109e-11,2.71752230236569,1.47721185151733,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2877.60651559964,9214,192,24,side,,neutral,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_control,side,0.0516780140652658,0.0701616822480924,0.736556086020456,0.46139234843322,2.71752230236569,1.47721185151733,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2877.60651559964,9214,192,24,side,,neutral,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
