fit,term,estimate,se,z,p,sd_prompt,sd_model,sd_model_slope,cor_model_int_slope,slope_name,singular,messages,optimizer,formula_used,variant,loglik,nobs,n_prompts,n_models,term_interest,error,set,mode,lme4_version,r_version
side__us_cn_he,(Intercept),-4.12276661276181,0.300235239058753,-13.7317878663638,6.5497079388952295e-43,1.87001526358594,1.22534066670608,0.232062756033328,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1745.70278761648,9216,192,24,side,,us_cn,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_de,side,0.245884167966112,0.0651553925876884,3.77381147132515,0.0001607722741833,1.92050362773431,1.58219027992176,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3254.59195124792,9213,192,24,side,,allies,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_pg,(Intercept),-1.43631725662138,0.342747705848816,-4.19059626690814,2.78222338926434e-05,2.24051077897868,1.46614732947247,0.144640571802254,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3656.30645580044,9212,192,24,side,,allies,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_pg,side,0.117880208966292,0.0680710560091328,1.7317229359638,0.083322904913601,2.24051077897868,1.46614732947247,0.144640571802254,,side,False,,bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3656.30645580044,9212,192,24,side,,allies,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_control,(Intercept),-2.36139694379043,0.363319366391716,-6.49950749183151,8.058338870426209e-11,2.80268805775068,1.44897287277225,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2986.19650979844,9214,192,24,side,,allies,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__allies_control,side,-0.0973381322526852,0.068841799166015,-1.41393940065323,0.157379696060293,2.80268805775068,1.44897287277225,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2986.19650979844,9214,192,24,side,,allies,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_he,(Intercept),-4.33640602624571,0.278831743082007,-15.5520529273825,1.54086394741654e-54,1.99264362439647,1.08145406939994,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1637.14700028229,9214,192,24,side,,neutral,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_he,side,-0.0976348465292938,0.098208090606511,-0.994162964846614,0.320143535245828,1.99264362439647,1.08145406939994,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-1637.14700028229,9214,192,24,side,,neutral,he,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_de,(Intercept),-2.23262804611515,0.343634830573122,-6.49709472812033,8.188590588499039e-11,1.89014412108125,1.52675098419314,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3263.76845940563,9213,192,24,side,,neutral,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_de,side,0.0132552752288975,0.0649099810900281,0.204210123101297,0.838189300951839,1.89014412108125,1.52675098419314,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3263.76845940563,9213,192,24,side,,neutral,de,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_pg,(Intercept),-1.6489001765801,0.349837379259404,-4.71333332095837,2.43697073839788e-06,2.34637505148231,1.48339134618956,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3515.19461361229,9212,192,24,side,,neutral,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_pg,side,0.0059893256399308,0.0623727325474518,0.0960247434305409,0.923500920949521,2.34637505148231,1.48339134618956,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-3515.19461361229,9212,192,24,side,,neutral,pg,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_control,(Intercept),-2.5869746602075,0.363798749136626,-7.11100482436226,1.15201112503261e-12,2.71756012689884,1.4702765977464,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2877.45007284986,9214,192,24,side,,neutral,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
side__neutral_control,side,0.0531800745479017,0.0702035896827612,0.75751218403808,0.448743069148874,2.71756012689884,1.4702765977464,0.0,,side,True,boundary (singular) fit: see help('isSingular'),bobyqa,refuse ~ side + (1 + side || model) + (1 | prompt_id),1,-2877.45007284986,9214,192,24,side,,neutral,control,2.0.6,R version 4.6.1 (2026-06-24 ucrt)
