factor,mode,comparison,bloc,n_models,n_labs,mean_pp,median_pp,positive,negative,zero,minimum_model_pp,maximum_model_pp,leave_one_min_pp,leave_one_max_pp,equal_lab_mean_pp,leave_lab_min_pp,leave_lab_max_pp
scale,de,society - individual,US,12,7,8.072916666666666,7.8125,10,2,0,-1.5625,28.125,6.25,8.948863636363637,10.15625,6.25,10.0
scale,de,society - individual,CN,12,9,12.369791666666666,12.5,11,0,1,0.0,35.9375,10.227272727272727,13.494318181818182,12.991898148148149,10.227272727272727,13.494318181818182
scale,he,group - individual,all,24,16,1.171875,1.5625,15,2,7,-3.125,4.6875,1.0190217391304348,1.358695652173913,0.9928385416666667,0.9943181818181818,1.358695652173913
scale,he,group - individual,US,12,7,1.0416666666666667,0.78125,6,0,6,0.0,4.6875,0.7102272727272727,1.1363636363636365,0.9300595238095238,0.78125,1.25
scale,he,group - individual,CN,12,9,1.3020833333333333,1.5625,9,2,1,-3.125,4.6875,0.9943181818181818,1.7045454545454546,1.0416666666666667,0.9375,1.7045454545454546
scale,he,society - individual,all,24,16,0.8463541666666666,0.0,11,5,8,-6.25,7.8125,0.5434782608695652,1.1548913043478262,0.78125,0.5434782608695652,1.1548913043478262
scale,he,society - individual,US,12,7,0.390625,0.0,5,2,5,-6.25,3.125,0.14204545454545456,0.9943181818181818,0.037202380952380994,0.15625,0.9943181818181818
scale,he,society - individual,CN,12,9,1.3020833333333333,0.78125,6,3,3,-3.125,7.8125,0.7102272727272727,1.7045454545454546,1.3599537037037037,0.7102272727272727,1.71875
scale,pg,group - individual,all,24,16,1.953125,1.5625,14,7,3,-9.375,9.375,1.6304347826086956,2.4456521739130435,1.4973958333333335,1.4136904761904763,2.4456521739130435
scale,pg,group - individual,US,12,7,3.90625,3.125,10,2,0,-1.5625,9.375,3.409090909090909,4.403409090909091,3.385416666666667,3.125,4.6875
scale,pg,group - individual,CN,12,9,0.0,0.0,4,5,3,-9.375,9.375,-0.8522727272727273,0.8522727272727273,0.028935185185185317,-0.8522727272727273,0.8522727272727273
scale,pg,society - individual,all,24,16,27.5390625,32.8125,24,0,0,4.6875,40.625,26.970108695652176,28.532608695652176,26.5625,26.5625,29.261363636363637
scale,pg,society - individual,US,12,7,25.520833333333332,28.125,12,0,0,4.6875,40.625,24.147727272727273,27.414772727272727,24.665178571428573,23.09027777777778,28.90625
scale,pg,society - individual,CN,12,9,29.557291666666668,33.59375,12,0,0,15.625,40.625,28.551136363636363,30.823863636363637,28.038194444444443,27.95138888888889,30.823863636363637
standing,control,high - low,all,24,16,0.6644758597883599,1.5625,13,7,4,-7.8125,9.375,0.2857574189095929,1.0330400276052452,0.5634610615079365,-0.13345616024187446,1.2802343159486018
standing,control,high - low,US,12,7,1.1987433862433863,1.5625,7,4,1,-7.8125,9.375,0.45544733044733055,2.0179473304473308,0.24624433106575974,-0.48500881834215154,2.0634920634920637
standing,control,high - low,CN,12,9,0.13020833333333334,0.78125,6,3,3,-6.25,4.6875,-0.2840909090909091,0.7102272727272727,0.8101851851851851,-0.2840909090909091,1.3888888888888888
standing,control,med - low,all,24,16,-8.3984375,-7.8125,1,23,0,-17.1875,4.6875,-8.967391304347826,-8.016304347826088,-8.447265625,-9.090909090909092,-7.5148809523809526
standing,control,med - low,US,12,7,-6.901041666666667,-7.8125,1,11,0,-14.0625,4.6875,-7.954545454545454,-6.25,-7.626488095238095,-8.125,-6.25
standing,control,med - low,CN,12,9,-9.895833333333334,-10.15625,0,12,0,-17.1875,-1.5625,-10.653409090909092,-9.232954545454545,-9.085648148148149,-10.653409090909092,-8.333333333333334
standing,de,high - low,all,24,16,-1.5593998015873016,-2.34375,8,15,1,-12.5,15.625,-2.306547619047619,-1.0837215320910973,-1.7066592261904763,-2.306547619047619,-1.0653409090909092
standing,de,high - low,US,12,7,-2.2073412698412698,-2.34375,3,8,1,-10.9375,9.375,-3.2602813852813854,-1.413690476190476,-3.1568877551020407,-3.273809523809524,-1.25
standing,de,high - low,CN,12,9,-0.9114583333333334,-2.34375,5,7,0,-12.5,15.625,-2.414772727272727,0.14204545454545456,-0.5787037037037036,-2.414772727272727,0.14204545454545456
standing,de,med - low,all,24,16,-6.966145833333333,-9.375,3,20,1,-14.0625,6.25,-7.540760869565218,-6.657608695652174,-7.438151041666666,-7.8125,-6.534090909090909
standing,de,med - low,US,12,7,-5.598958333333333,-5.46875,2,9,1,-14.0625,4.6875,-6.534090909090909,-4.829545454545454,-7.068452380952381,-7.1875,-4.829545454545454
standing,de,med - low,CN,12,9,-8.333333333333334,-10.15625,1,11,0,-14.0625,6.25,-9.659090909090908,-7.8125,-7.725694444444445,-9.659090909090908,-7.65625
standing,he,high - low,all,24,16,3.7109375,2.34375,20,0,4,0.0,20.3125,2.989130434782609,3.8722826086956523,4.150390625,2.989130434782609,3.977272727272727
standing,he,high - low,US,12,7,2.734375,2.34375,10,0,2,0.0,9.375,2.1306818181818183,2.9829545454545454,2.827380952380952,2.1875,3.125
standing,he,high - low,CN,12,9,4.6875,2.34375,10,0,2,0.0,20.3125,3.2670454545454546,5.113636363636363,5.179398148148149,3.2670454545454546,5.15625
standing,he,med - low,all,24,16,-1.1067708333333333,-0.78125,2,12,10,-6.25,3.125,-1.2907608695652173,-0.8831521739130435,-1.3509114583333335,-1.2907608695652173,-0.8831521739130435
standing,he,med - low,US,12,7,-0.9114583333333334,0.0,0,4,8,-6.25,0.0,-0.9943181818181818,-0.42613636363636365,-1.1904761904761905,-1.09375,-0.42613636363636365
standing,he,med - low,CN,12,9,-1.3020833333333333,-1.5625,2,8,2,-4.6875,3.125,-1.7045454545454546,-0.9943181818181818,-1.4756944444444444,-1.7361111111111112,-0.9943181818181818
standing,pg,high - low,all,24,16,8.984375,10.15625,21,3,0,-3.125,26.5625,8.220108695652174,9.51086956521739,10.237630208333332,8.096590909090908,9.895833333333334
standing,pg,high - low,US,12,7,9.635416666666666,8.59375,11,1,0,-1.5625,26.5625,8.096590909090908,10.653409090909092,10.751488095238093,7.8125,11.25
standing,pg,high - low,CN,12,9,8.333333333333334,10.9375,10,2,0,-3.125,18.75,7.386363636363637,9.375,9.837962962962962,7.386363636363637,10.243055555555555
standing,pg,med - low,all,24,16,1.3671875,0.0,11,7,6,-10.9375,15.625,0.7472826086956522,1.9021739130434783,2.099609375,0.7472826086956522,2.0089285714285716
standing,pg,med - low,US,12,7,1.8229166666666667,0.0,5,4,3,-10.9375,15.625,0.5681818181818182,2.9829545454545454,2.9017857142857144,0.5681818181818182,3.125
standing,pg,med - low,CN,12,9,0.9114583333333334,0.78125,6,3,3,-6.25,6.25,0.42613636363636365,1.5625,1.4756944444444444,0.3125,2.2569444444444446
