block,contrast,sample,bloc,comparison,metric,estimate,lo,hi
language,pt,full,all,pg shift minus control shift,pp,2.215018724549157,0.13017140688627082,4.31861331533595
language,pt,full,all,pg shift minus control shift,logit,0.09370125299486648,-0.048423704397572424,0.23301524311971547
language,pt,full,US,pg shift minus he shift,pp,1.1330170157068067,-0.6076388888888887,2.9548202079697488
language,pt,full,US,pg shift minus he shift,logit,-0.16594880270288126,-0.6687949798443942,0.20052066263744608
language,pt,full,US,pg shift minus de shift,pp,0.6501327079697499,-1.5700234272144138,2.9031661953066568
language,pt,full,US,pg shift minus de shift,logit,-0.13984337920122555,-0.41165800216429044,0.11626516299478665
language,pt,full,US,pg shift minus control shift,pp,2.303301337987202,0.0027036110764839675,4.644131128773615
language,pt,full,US,pg shift minus control shift,logit,0.0493320780256324,-0.12734001772203055,0.20916013380317572
language,pt,full,CN,pg shift minus he shift,pp,-1.5625,-3.8628472222222228,0.6944444444444444
language,pt,full,CN,pg shift minus he shift,logit,0.07919065225258898,-0.33800884204025516,0.6561121788157769
language,pt,full,CN,pg shift minus de shift,pp,-0.4340277777777777,-3.299696180555556,2.430555555555554
language,pt,full,CN,pg shift minus de shift,logit,-0.024106555626936338,-0.22308544427548477,0.18858861945256059
language,pt,full,CN,pg shift minus control shift,pp,2.126736111111111,-0.9548611111111112,5.164930555555555
language,pt,full,CN,pg shift minus control shift,logit,0.13807042796410057,-0.06598873288598726,0.35036814181760095
language,pt,drop_truncated,all,pg shift minus he shift,pp,-0.08006167437785822,-1.6879722929880299,1.5697518142584743
language,pt,drop_truncated,all,pg shift minus he shift,logit,0.0028631510986111552,-0.38855704555169024,0.42085528415493884
language,pt,drop_truncated,all,pg shift minus de shift,pp,0.10446474275342554,-1.9385297286489411,2.1551128655509837
language,pt,drop_truncated,all,pg shift minus de shift,logit,-0.09446108701836903,-0.28342383441806934,0.0905150796832059
language,pt,drop_truncated,all,pg shift minus control shift,pp,2.2378472441457955,0.1468221608290237,4.3440499210123
language,pt,drop_truncated,all,pg shift minus control shift,logit,0.09532515765381018,-0.046491354242294045,0.2369976331517141
language,pt,drop_truncated,US,pg shift minus he shift,pp,1.35023283295342,-0.3855670028839072,3.1326140842378263
language,pt,drop_truncated,US,pg shift minus he shift,logit,-0.08793735746210558,-0.5387980751258302,0.27399668907154334
language,pt,drop_truncated,US,pg shift minus de shift,pp,0.6438662219815454,-1.5310384595671638,2.900060620168842
language,pt,drop_truncated,US,pg shift minus de shift,logit,-0.1648156251446038,-0.4324041338917389,0.08349295590987192
language,pt,drop_truncated,US,pg shift minus control shift,pp,2.2984728975564632,0.038558110214224846,4.606023431223855
language,pt,drop_truncated,US,pg shift minus control shift,logit,0.047814496658853844,-0.12621554966635198,0.20486453143273115
language,pt,drop_truncated,CN,pg shift minus he shift,pp,-1.5103561817091358,-3.8238192817622783,0.7460677502818587
language,pt,drop_truncated,CN,pg shift minus he shift,logit,0.09366365965932791,-0.3320925064353894,0.6813975837066737
language,pt,drop_truncated,CN,pg shift minus de shift,pp,-0.4349367364746941,-3.3192260088686365,2.424946921596091
language,pt,drop_truncated,CN,pg shift minus de shift,logit,-0.02410654889213426,-0.22316597735255572,0.18861513589414167
language,pt,drop_truncated,CN,pg shift minus control shift,pp,2.177221590735128,-0.9090117394407702,5.223025693870364
language,pt,drop_truncated,CN,pg shift minus control shift,logit,0.14283581864876657,-0.06282887574162352,0.35644025019185205
language,fr,full,all,pg shift minus he shift,pp,1.5624999999999996,-0.06510416666666674,3.211805555555556
language,fr,full,all,pg shift minus he shift,logit,-0.14698558930402608,-0.4768670242569889,0.10057024912655661
language,fr,full,all,pg shift minus de shift,pp,2.3015970404304826,0.3901567068713453,4.232921234184119
language,fr,full,all,pg shift minus de shift,logit,0.09584949765165049,-0.10415260541008159,0.29753958349662196
language,fr,full,all,pg shift minus control shift,pp,3.7096876817917392,1.6890593126645692,5.84050761637526
language,fr,full,all,pg shift minus control shift,logit,0.22709400645267094,0.08459216601617402,0.3995964960022397
language,fr,full,US,pg shift minus he shift,pp,1.2152777777777777,-0.5208333333333331,2.9079861111111107
language,fr,full,US,pg shift minus he shift,logit,-0.2291822548908756,-0.697414381665407,0.10777767918636846
language,fr,full,US,pg shift minus de shift,pp,2.8670829697498545,0.69671116019488,4.991319444444444
language,fr,full,US,pg shift minus de shift,logit,0.10845355135640292,-0.22044873417835026,0.43164416457822447
language,fr,full,US,pg shift minus control shift,pp,3.2093059191390343,0.9114469115497076,5.555555555555555
language,fr,full,US,pg shift minus control shift,logit,0.2311862709138055,0.02777852806239237,0.5018784916601484
language,fr,full,CN,pg shift minus he shift,pp,1.9097222222222228,-0.4340277777777777,4.296874999999999
language,fr,full,CN,pg shift minus he shift,logit,-0.06478892371717657,-0.40614525903677967,0.2902495808032557
language,fr,full,CN,pg shift minus de shift,pp,1.7361111111111116,-1.0850694444444435,4.427083333333334
language,fr,full,CN,pg shift minus de shift,logit,0.08324544394689802,-0.10020404725028913,0.274058872715365
language,fr,full,CN,pg shift minus control shift,pp,4.210069444444445,1.3454861111111112,7.248263888888888
language,fr,full,CN,pg shift minus control shift,logit,0.22300174199153636,0.05117417768068395,0.40828433761429267
language,fr,drop_truncated,all,pg shift minus he shift,pp,1.6314921392096342,-0.006634882825530636,3.2914693110670887
language,fr,drop_truncated,all,pg shift minus he shift,logit,-0.12408186785159217,-0.45944066602562705,0.14320265990980713
language,fr,drop_truncated,all,pg shift minus de shift,pp,2.3258336934294976,0.39523656471693863,4.283528965167187
language,fr,drop_truncated,all,pg shift minus de shift,logit,0.14166446474114808,-0.060740511459199384,0.3319808192226135
language,fr,drop_truncated,all,pg shift minus control shift,pp,3.6526470395652044,1.6000350122905032,5.7946567932798745
language,fr,drop_truncated,all,pg shift minus control shift,logit,0.21469107047616734,0.0712393646710139,0.38720259873747165
language,fr,drop_truncated,US,pg shift minus he shift,pp,1.29107792714243,-0.449571179757926,2.993416438096498
language,fr,drop_truncated,US,pg shift minus he shift,logit,-0.18970480220145028,-0.6574391166881843,0.15870496459414643
language,fr,drop_truncated,US,pg shift minus de shift,pp,2.9082846061725505,0.7867454029837423,4.980373510097485
language,fr,drop_truncated,US,pg shift minus de shift,logit,0.19990357391287894,-0.1170731342918231,0.49938308796524267
language,fr,drop_truncated,US,pg shift minus control shift,pp,3.030619199304316,0.7440796903318004,5.417923228522402
language,fr,drop_truncated,US,pg shift minus control shift,logit,0.20382488810019275,-0.001331306538871421,0.46636035298503065
language,fr,drop_truncated,CN,pg shift minus he shift,pp,1.9719063512768398,-0.3653831510641342,4.356234875734625
language,fr,drop_truncated,CN,pg shift minus he shift,logit,-0.058458933501734076,-0.40153211865386035,0.30162325471320217
language,fr,drop_truncated,CN,pg shift minus de shift,pp,1.7433827806864457,-1.0781406182188789,4.433910623101285
language,fr,drop_truncated,CN,pg shift minus de shift,logit,0.08342535556941719,-0.09975171106498326,0.2740711758789648
language,fr,drop_truncated,CN,pg shift minus control shift,pp,4.274674879826093,1.4255063451129804,7.305479834626014
language,fr,drop_truncated,CN,pg shift minus control shift,logit,0.22555725285214195,0.05393875185652158,0.410898732905663
language,de,full,all,pg shift minus he shift,pp,-0.5841195826061665,-2.213541666666667,1.067257172880117
language,de,full,all,pg shift minus he shift,logit,0.03611836924991817,-0.20109347488603735,0.2715005909301989
language,de,full,all,pg shift minus de shift,pp,0.5001545229784756,-1.650745793867426,2.672603362955819
language,de,full,all,pg shift minus de shift,logit,0.0013033929595591826,-0.22284849268900042,0.23334942557384153
language,de,full,all,pg shift minus control shift,pp,0.60741164921466,-1.4786054810156268,2.7531838072356933
language,de,full,all,pg shift minus control shift,logit,0.03296936596934712,-0.13746494846598425,0.2001405434455621
language,de,full,US,pg shift minus he shift,pp,1.392524723676556,-0.5208333333333331,3.352603695291469
language,de,full,US,pg shift minus he shift,logit,-0.01561908636686593,-0.3456358010170754,0.26033870184138347
language,de,full,US,pg shift minus de shift,pp,0.566281268179174,-1.9958631017306572,3.133352368880001
language,de,full,US,pg shift minus de shift,logit,-0.10611389849314275,-0.4260158695380458,0.19700250146341028
language,de,full,US,pg shift minus control shift,pp,0.5203788539848748,-1.8238418311403515,2.90844591075353
language,de,full,US,pg shift minus control shift,logit,0.05018859996550108,-0.15714582069121505,0.2596359602403938
language,de,full,CN,pg shift minus he shift,pp,-2.560763888888889,-4.644097222222221,-0.4774305555555556
language,de,full,CN,pg shift minus he shift,logit,0.08785582486670224,-0.2306589804360583,0.4598378866611975
language,de,full,CN,pg shift minus de shift,pp,0.43402777777777724,-2.3003472222222223,3.2986111111111107
language,de,full,CN,pg shift minus de shift,logit,0.10872068441226118,-0.11972193058974466,0.36419547424081417
language,de,full,CN,pg shift minus control shift,pp,0.6944444444444438,-2.1267361111111103,3.559027777777778
language,de,full,CN,pg shift minus control shift,logit,0.015750131973193193,-0.1908075914411049,0.2168529191505032
language,de,drop_truncated,all,pg shift minus he shift,pp,-0.5083967027130478,-2.1191739370861113,1.1376324838653618
language,de,drop_truncated,all,pg shift minus he shift,logit,0.06748893118541789,-0.15807018264363237,0.3189276972609573
language,de,drop_truncated,all,pg shift minus de shift,pp,0.5075508722719997,-1.634377923441026,2.662810541865751
language,de,drop_truncated,all,pg shift minus de shift,logit,0.004001727090151563,-0.2248179701358572,0.24682825259438698
language,de,drop_truncated,all,pg shift minus control shift,pp,0.6556391553944543,-1.4212456192613856,2.813417224626844
language,de,drop_truncated,all,pg shift minus control shift,logit,0.038183353100201003,-0.12897263263209152,0.20538042789478225
language,de,drop_truncated,US,pg shift minus he shift,pp,1.5390295346312435,-0.3491156624917765,3.483830276134579
language,de,drop_truncated,US,pg shift minus he shift,logit,0.04703314461116551,-0.24399029565261746,0.31785738420940435
language,de,drop_truncated,US,pg shift minus de shift,pp,0.5760746939331793,-1.9319585261086363,3.1446980445093433
language,de,drop_truncated,US,pg shift minus de shift,logit,-0.10080741894011713,-0.42317263845934877,0.23659616213614612
language,de,drop_truncated,US,pg shift minus control shift,pp,0.49938372132416586,-1.8394516488357804,2.88538447407584
language,de,drop_truncated,US,pg shift minus control shift,logit,0.05065653056932672,-0.14964392558931158,0.2600789334657221
language,de,drop_truncated,CN,pg shift minus he shift,pp,-2.555822940057339,-4.630529796661672,-0.47009813690135704
language,de,drop_truncated,CN,pg shift minus he shift,logit,0.08794471775967022,-0.23075327206041252,0.45995771930562207
language,de,drop_truncated,CN,pg shift minus de shift,pp,0.43902705061082026,-2.300347222222222,3.2986906449970905
language,de,drop_truncated,CN,pg shift minus de shift,logit,0.10881087312042032,-0.11960741838953881,0.3644020572274114
language,de,drop_truncated,CN,pg shift minus control shift,pp,0.8118945894647416,-2.0163195414654416,3.733747317534892
language,de,drop_truncated,CN,pg shift minus control shift,logit,0.025710175631075194,-0.18195998964963722,0.22936415651201705
language,zh,full,all,pg shift minus he shift,pp,0.19917557446189704,-1.9967947393077603,2.270249462632272
language,zh,full,all,pg shift minus he shift,logit,-0.1878321907516012,-0.5590480282043832,0.09282051448767413
language,zh,full,all,pg shift minus de shift,pp,1.1092704697498548,-1.493836542435933,3.702453267562994
language,zh,full,all,pg shift minus de shift,logit,-0.004755665527028316,-0.2511945851822659,0.24664977852839046
language,zh,full,all,pg shift minus control shift,pp,3.5407349840023272,0.737818667763158,6.342990451388889
language,zh,full,all,pg shift minus control shift,logit,0.1749225578050998,-0.023615045325770433,0.3608278502023347
language,zh,full,US,pg shift minus he shift,pp,-0.0356766288539849,-2.170979675683537,2.0833333333333326
language,zh,full,US,pg shift minus he shift,logit,-0.12443958538018532,-0.6227022700266828,0.2912320104284973
language,zh,full,US,pg shift minus de shift,pp,1.3070826061663758,-1.3395625708030985,3.9490334300656746
language,zh,full,US,pg shift minus de shift,logit,-0.028604021166453178,-0.39951876252583046,0.34585361388557545
language,zh,full,US,pg shift minus control shift,pp,4.433900523560211,1.5380560674428216,7.430294229930191
language,zh,full,US,pg shift minus control shift,logit,0.20071675543818937,-0.0714751218600781,0.4348503305195043
language,zh,full,CN,pg shift minus he shift,pp,0.4340277777777777,-2.5173611111111107,3.211805555555555
language,zh,full,CN,pg shift minus he shift,logit,-0.25122479612301724,-0.643037738518643,0.05565646225199875
language,zh,full,CN,pg shift minus de shift,pp,0.9114583333333329,-2.647569444444445,4.340277777777779
language,zh,full,CN,pg shift minus de shift,logit,0.019092690112396563,-0.21496785659019538,0.2540874041783521
language,zh,full,CN,pg shift minus control shift,pp,2.6475694444444446,-0.7812500000000002,6.077473958333319
language,zh,full,CN,pg shift minus control shift,logit,0.14912836017201028,-0.054075621841153956,0.35960622228321565
language,zh,drop_truncated,all,pg shift minus he shift,pp,0.2655996289415873,-1.9522873719618754,2.3608456822269446
language,zh,drop_truncated,all,pg shift minus he shift,logit,-0.17157148619897064,-0.5320662495636922,0.10581198173462689
language,zh,drop_truncated,all,pg shift minus de shift,pp,1.117586051567157,-1.5103716899915478,3.710374389234853
language,zh,drop_truncated,all,pg shift minus de shift,logit,-0.020602078775341145,-0.27077553996482034,0.23583563503560104
language,zh,drop_truncated,all,pg shift minus control shift,pp,3.574126781493445,0.7730740704643132,6.367953676493348
language,zh,drop_truncated,all,pg shift minus control shift,logit,0.17145982035396468,-0.03147378878888927,0.3580091593628735
language,zh,drop_truncated,US,pg shift minus he shift,pp,0.1068261889878096,-2.028212538629556,2.2207443898260397
language,zh,drop_truncated,US,pg shift minus he shift,logit,-0.09182509143824591,-0.568946614044838,0.3264078613599098
language,zh,drop_truncated,US,pg shift minus de shift,pp,1.331927886025224,-1.348635339673071,3.949635830046407
language,zh,drop_truncated,US,pg shift minus de shift,logit,-0.060193572576052304,-0.44286358289762773,0.316144680628352
language,zh,drop_truncated,US,pg shift minus control shift,pp,4.432648560078222,1.492788743056372,7.428944949524458
language,zh,drop_truncated,US,pg shift minus control shift,logit,0.19010484863067276,-0.0941502809802312,0.4263019628526117
language,zh,drop_truncated,CN,pg shift minus he shift,pp,0.42437306889536464,-2.530642520705464,3.2081247407911024
language,zh,drop_truncated,CN,pg shift minus he shift,logit,-0.2513178809596953,-0.6431832007863868,0.055599233884935956
language,zh,drop_truncated,CN,pg shift minus de shift,pp,0.9032442171090901,-2.669334877769179,4.340605561990402
language,zh,drop_truncated,CN,pg shift minus de shift,logit,0.018989415025370052,-0.21514056620108737,0.2540478444486602
language,zh,drop_truncated,CN,pg shift minus control shift,pp,2.7156050029086685,-0.736392552571332,6.178728416211143
language,zh,drop_truncated,CN,pg shift minus control shift,logit,0.15281479207725662,-0.0492575816607067,0.3624722074886636
language,hi,full,all,pg shift minus he shift,pp,1.1789565058479519,-0.7523220007711797,3.0574444412196473
language,hi,full,all,pg shift minus he shift,logit,-0.21049389519585712,-0.6352867487528011,0.10085428114325973
language,hi,full,all,pg shift minus de shift,pp,0.018102630048066892,-2.6739670431898377,2.6475376266186297
language,hi,full,all,pg shift minus de shift,logit,-0.11744481758139458,-0.3662180882927909,0.09138878853894321
language,hi,full,all,pg shift minus control shift,pp,3.448711136054698,0.8592699646314303,6.035542889526561
language,hi,full,all,pg shift minus control shift,logit,0.19851528561377574,0.018490206414420153,0.38118980472173863
language,hi,full,US,pg shift minus he shift,pp,3.2259685672514604,0.9205263923333626,5.519425404151741
language,hi,full,US,pg shift minus he shift,logit,-0.1834885246576508,-0.7752390235112303,0.21305757099546715
language,hi,full,US,pg shift minus de shift,pp,1.2514830378739141,-1.748240919360114,4.076639718205489
language,hi,full,US,pg shift minus de shift,logit,-0.09596983811464349,-0.45002289878880614,0.17401476376486677
language,hi,full,US,pg shift minus control shift,pp,4.032838938776063,1.082599689642314,7.0047513684203855
language,hi,full,US,pg shift minus control shift,logit,0.22257236975170336,-0.001980271298626522,0.46170317176941567
language,hi,full,CN,pg shift minus he shift,pp,-0.868055555555556,-3.255208333333334,1.4756944444444442
language,hi,full,CN,pg shift minus he shift,logit,-0.2374992657340637,-0.6500527801032323,0.13561782335046776
language,hi,full,CN,pg shift minus de shift,pp,-1.2152777777777783,-4.557291666666666,1.9965277777777775
language,hi,full,CN,pg shift minus de shift,logit,-0.13891979704814575,-0.370615395507723,0.08487772611731635
language,hi,full,CN,pg shift minus control shift,pp,2.8645833333333326,-0.39062500000000056,6.163194444444444
language,hi,full,CN,pg shift minus control shift,logit,0.1744582014758481,-0.039921476258186976,0.3986129687322258
language,hi,drop_truncated,all,pg shift minus he shift,pp,1.3684450597128817,-0.5947226572755374,3.256313212914503
language,hi,drop_truncated,all,pg shift minus he shift,logit,-0.1698926877158809,-0.5915149504382222,0.1494644990936202
language,hi,drop_truncated,all,pg shift minus de shift,pp,0.022512091772632026,-2.6661198373046227,2.6662150187082525
language,hi,drop_truncated,all,pg shift minus de shift,logit,-0.12818259285525258,-0.3858835082938354,0.08809061600541734
language,hi,drop_truncated,all,pg shift minus control shift,pp,3.4069926599966767,0.7768706446301121,6.021727980717202
language,hi,drop_truncated,all,pg shift minus control shift,logit,0.19419213742399632,0.011665881208181648,0.3790871028447038
language,hi,drop_truncated,US,pg shift minus he shift,pp,3.4058452932224133,1.0336468467079123,5.745656470295765
language,hi,drop_truncated,US,pg shift minus he shift,logit,-0.1283380335860101,-0.6935570280216796,0.26620905855850885
language,hi,drop_truncated,US,pg shift minus de shift,pp,1.1815059300114896,-1.8336303490237413,4.053569439430577
language,hi,drop_truncated,US,pg shift minus de shift,logit,-0.12245250232441401,-0.4923097494814577,0.16007300605165412
language,hi,drop_truncated,US,pg shift minus control shift,pp,3.9591371456425226,0.998546957785649,6.970470429567509
language,hi,drop_truncated,US,pg shift minus control shift,logit,0.22054147597413765,-0.007005596648713942,0.4639524076367008
language,hi,drop_truncated,CN,pg shift minus he shift,pp,-0.6689551737966513,-3.0841165187561574,1.6772949650815694
language,hi,drop_truncated,CN,pg shift minus he shift,logit,-0.21144734184575167,-0.6228436327953133,0.178751770780578
language,hi,drop_truncated,CN,pg shift minus de shift,pp,-1.1364817464662265,-4.477050414655183,2.0541024558026115
language,hi,drop_truncated,CN,pg shift minus de shift,logit,-0.13391268338609125,-0.3657743550863066,0.08907778657483491
language,hi,drop_truncated,CN,pg shift minus control shift,pp,2.85484817435083,-0.5087799947919696,6.184500239977493
language,hi,drop_truncated,CN,pg shift minus control shift,logit,0.16784279887385498,-0.04848281097337957,0.393819287334073
language,sw,full,all,pg shift minus he shift,pp,-3.573644072823858,-5.838708254595933,-1.2081734283625742
language,sw,full,all,pg shift minus he shift,logit,-0.6852111355896555,-1.0989538801030818,-0.4072415867097182
language,sw,full,all,pg shift minus de shift,pp,-1.86275656555219,-4.64823768902772,0.8858314375929076
language,sw,full,all,pg shift minus de shift,logit,-0.19990809712033691,-0.462462987777411,0.04918866529531573
language,sw,full,all,pg shift minus control shift,pp,2.1066337719298236,-0.9068741207893886,5.110112352361268
language,sw,full,all,pg shift minus control shift,logit,0.17774911522624978,-0.025831149960309278,0.39416535477159115
language,sw,full,US,pg shift minus he shift,pp,-0.9406909234254925,-3.53508554372041,1.8082951519423531
language,sw,full,US,pg shift minus he shift,logit,-0.7383670834203399,-1.306260282514842,-0.31843331878560605
language,sw,full,US,pg shift minus de shift,pp,-1.5119714644377105,-4.562130221060275,1.5066988589199164
language,sw,full,US,pg shift minus de shift,logit,-0.34921925694537115,-0.7269475579845952,8.332960990599458e-05
language,sw,full,US,pg shift minus control shift,pp,2.4771564327485383,-0.5575870004083575,5.640108942089556
language,sw,full,US,pg shift minus control shift,logit,0.11223243173190534,-0.1234888545933259,0.36030146213117076
language,sw,full,CN,pg shift minus he shift,pp,-6.206597222222223,-9.159071180555557,-3.2552083333333335
language,sw,full,CN,pg shift minus he shift,logit,-0.6320551877589716,-1.0676504209698487,-0.28272778945622706
language,sw,full,CN,pg shift minus de shift,pp,-2.213541666666667,-5.815972222222222,1.3020833333333326
language,sw,full,CN,pg shift minus de shift,logit,-0.05059693729530296,-0.2965998053836982,0.20930800545025918
language,sw,full,CN,pg shift minus control shift,pp,1.7361111111111107,-2.2135416666666665,5.685763888888888
language,sw,full,CN,pg shift minus control shift,logit,0.24326579872059406,-0.013612758740029625,0.5188267220549454
language,sw,drop_truncated,all,pg shift minus he shift,pp,-3.6530728708677582,-6.246494976088659,-1.0806635426516875
language,sw,drop_truncated,all,pg shift minus he shift,logit,-0.6644747055769958,-1.0266391652879756,-0.38448677484329324
language,sw,drop_truncated,all,pg shift minus de shift,pp,-2.2129794326299823,-5.179819981668804,0.7638275424781599
language,sw,drop_truncated,all,pg shift minus de shift,logit,-0.222375665126607,-0.5134201411815502,0.05605290877471909
language,sw,drop_truncated,all,pg shift minus control shift,pp,2.4915644073868997,-0.5805238926580621,5.654094698418657
language,sw,drop_truncated,all,pg shift minus control shift,logit,0.21029952295353693,-0.00022637546978424125,0.444586684086757
language,sw,drop_truncated,US,pg shift minus he shift,pp,-1.3586669835213954,-4.915352393862493,2.165348395961289
language,sw,drop_truncated,US,pg shift minus he shift,logit,-0.7578292886549722,-1.2615733193772378,-0.3273076893655197
language,sw,drop_truncated,US,pg shift minus de shift,pp,-2.3956697118508448,-6.118594305412003,1.3463532860500451
language,sw,drop_truncated,US,pg shift minus de shift,logit,-0.4029245883204121,-0.8700530162452723,0.012356684018926502
language,sw,drop_truncated,US,pg shift minus control shift,pp,3.1819154185294716,-0.48398650222116596,6.82471976876993
language,sw,drop_truncated,US,pg shift minus control shift,logit,0.17833357864090488,-0.09107177686483514,0.48740845836322244
language,sw,drop_truncated,CN,pg shift minus he shift,pp,-5.947478758214118,-8.935708061325832,-3.024049632035178
language,sw,drop_truncated,CN,pg shift minus he shift,logit,-0.5711201224990199,-0.9979338226874058,-0.21334688688571765
language,sw,drop_truncated,CN,pg shift minus de shift,pp,-2.030289153409117,-5.70216863600889,1.5115769120838094
language,sw,drop_truncated,CN,pg shift minus de shift,logit,-0.041826741932802,-0.2887633365780034,0.21835744142997415
language,sw,drop_truncated,CN,pg shift minus control shift,pp,1.8012133962443304,-2.1177428796354327,5.745993312940604
language,sw,drop_truncated,CN,pg shift minus control shift,logit,0.24226546726616888,-0.01520068256853821,0.5180340269243386
nationality,us_ally,full,all,pg shift minus he shift,pp,-1.2381225410275252,-2.626900979000153,0.13135580735092872
nationality,us_ally,full,all,pg shift minus he shift,logit,-0.07703357146145526,-0.2981899098308152,0.13601111801207985
nationality,us_ally,full,all,pg shift minus de shift,pp,0.3275671863996823,-1.2744630950367986,1.9099638603162348
nationality,us_ally,full,all,pg shift minus de shift,logit,0.04474251516370599,-0.10122234694201832,0.19076954489182316
nationality,us_ally,full,all,pg shift minus control shift,pp,-1.2608465084504454,-2.668602415974555,0.19508702489784424
nationality,us_ally,full,all,pg shift minus control shift,logit,-0.052090055441726485,-0.15564045957553657,0.04821800540104609
nationality,us_ally,full,US,pg shift minus he shift,pp,-1.0007778772848352,-2.650996895615957,0.7358157593345273
nationality,us_ally,full,US,pg shift minus he shift,logit,0.06763849261958002,-0.2192162565475903,0.4010404425829082
nationality,us_ally,full,US,pg shift minus de shift,pp,0.0004568713450290307,-1.9097335842059342,1.9101822629627077
nationality,us_ally,full,US,pg shift minus de shift,logit,0.04872138792343268,-0.17893253688088248,0.28062081112632575
nationality,us_ally,full,US,pg shift minus control shift,pp,-1.2196096835675578,-2.994592772151802,0.6090230177046019
nationality,us_ally,full,US,pg shift minus control shift,logit,-0.010329826884508488,-0.16610175300692523,0.15389159500558197
nationality,us_ally,full,CN,pg shift minus he shift,pp,-1.4754672047702153,-3.342474049229203,0.39064204297556704
nationality,us_ally,full,CN,pg shift minus he shift,logit,-0.2217056355424905,-0.5470877838398152,0.052539912946871326
