lang,mode,rate,boot_dev,boot_lo,boot_hi,boot_p,lpm_prompt_dev,lpm_prompt_lo,lpm_prompt_hi,lpm_prompt_p,lpm_prompt_model_dev,lpm_prompt_model_lo,lpm_prompt_model_hi,lpm_prompt_model_p,glmm_dev,glmm_lo,glmm_hi,glmm_p
pt,pg,23.077097876672482,-1.1264387261374418,-2.0331053510723116,-0.2029862302054894,0.019,-1.108720623414233,-2.0660632951008475,-0.1513779517276186,0.024329266252869648,-1.108720623414233,-3.132486821409137,0.9150455745806707,0.2940554215361806,-0.9773507951656019,-2.939067783071926,1.4480128558726268,0.40138831533399
pt,control,17.491319444444446,-1.09212064455013,-2.1246547417528263,-0.16857763783503385,0.019,-1.0768908316641006,-2.0700886987367415,-0.08369296459145947,0.03485842593905176,-1.0768908316641006,-2.7598867384582624,0.606105075130061,0.22238951322710526,-0.4695071509446605,-1.6340305153328496,0.9627111318066095,0.491703284708328
hi,he,5.208333333333334,1.5166442510959441,0.8675970183557717,2.238392312959093,0.0,1.5006585535833794,0.797461238647603,2.203855868519156,4.3864461278227365e-05,1.5006585535833794,-1.0240279092240143,4.025345016390773,0.25595521740760396,0.2858829522233812,0.02444045922655319,0.6454553455843082,0.0292693832401207
hi,de,17.843427319662595,3.208220443909456,1.7435562427961033,4.649476665001324,0.0,3.20641361514842,1.7874745882046112,4.6253526420922295,1.5912979198444564e-05,3.20641361514842,-0.12027656260442976,6.5331037929012705,0.07154679346185426,2.267104637137322,0.6525058246905503,4.309427119947705,0.0036113336429793
hi,pg,26.92913925438597,2.7256026515760396,1.5271724807670557,3.8648340984006206,0.0,2.757667315734741,1.5700374608104715,3.9452971706590105,9.479019486159788e-06,2.757667315734741,-0.9810179716956551,6.496352603165137,0.16174996538732708,2.8328776732578373,0.16694353328188943,6.060197439976915,0.0360009055816891
hi,control,20.134956446526434,1.5515163575318645,0.38069816586346283,2.7542809190658506,0.014,1.5950057078769768,0.4031562782537701,2.7868551375001838,0.009419805551280726,1.5950057078769768,-1.526478731630392,4.716490147384346,0.32699918036730236,1.023769439937898,-0.4159341436387812,2.7809795306988794,0.176485199337277
sw,he,4.925357964461369,1.3444893552673332,0.7456890567983501,1.982750339620022,0.0,1.3443484582514498,0.7227983007596244,1.9658986157432752,3.488870225521711e-05,1.3443484582514498,0.04587891502436636,2.642818001478533,0.05416000106191795,0.41765350780189026,0.11280262210959183,0.8404907293282798,0.0038851661476855
sw,de,14.999057988259562,0.1902460881722986,-1.0062185378801256,1.4105558384635124,0.744,0.1870720884241411,-1.0051838204728112,1.3793279973210932,0.7587707065006751,0.1870720884241411,-2.452600711327898,2.82674488817618,0.8907350301050523,0.0926865306588795,-1.1021488152048557,1.6425974054402916,0.892691385921765
sw,pg,22.796551036682622,-1.9264358633524552,-3.4517023792608974,-0.426077647757335,0.01,-1.9193448887926283,-3.4304203924786645,-0.40826938510659216,0.013644416626500792,-1.9193448887926283,-4.730724033375002,0.8920342557897454,0.19394267990002395,-1.5158191723318017,-3.441347794911291,0.8932560414473725,0.199850660526492
sw,control,16.826252849520277,-1.635750382806433,-3.1244803546414874,-0.21993829179798055,0.018,-1.6358619739207765,-3.0548858226544224,-0.21683812518713075,0.02498142503541378,-1.6358619739207765,-4.332790491521926,1.0610665436803732,0.24662220475875135,-1.1774343262643414,-2.253937605207549,0.1652737365238119,0.081772967905524
