mode,model,origin,n_prompts_informative,n_prompts,logOR,se,p,OR,OR_lo,OR_hi,note
he,minimax-m3,CN,31,192,0.35999018670281036,0.3488975030810474,0.30216885033619434,1.4333153489418398,0.7233595197613104,2.8400716841193483,
he,nemotron-3-ultra,US,25,192,-0.41765963747783935,0.4124605086714053,0.3112487963942858,0.6585863483922442,0.29343995758038804,1.478108100427353,
he,nemotron-3.5-lightning,US,14,192,-0.1343786126599481,0.5191012833597658,0.7957372352723866,0.8742589964098699,0.31606192226888746,2.4182881231524798,
he,nova-2-lite,US,73,192,-1.0941422833410974,0.2497863770366691,1.1850946037414714e-05,0.3348266702344325,0.20520955912659036,0.5463142144909502,
he,qwen3.7-plus,CN,34,192,-0.43775517295077715,0.3342281513786846,0.19028057299117074,0.6454837954065827,0.3352622057250407,1.2427566335174525,
he,qwen3.8-27b,CN,36,192,-0.7185949873212062,0.3287231053867208,0.02881420790294061,0.4874366297153456,0.25591951617389447,0.928395268717264,
he,qwen3.8-flash,CN,29,192,-0.12512959766785572,0.3541588687773654,0.723852392531295,0.8823825404548232,0.44074844734303215,1.7665381520755046,
he,seed-2-1-turbo,CN,20,192,-0.9473845844080813,0.49092196402631855,0.053630770544886026,0.3877538358425978,0.14814086995430864,1.0149328625991056,
he,sonnet-5,US,9,192,0.6337967515399735,0.6674167842949852,0.3423020024258496,1.884752950447066,0.5094925005418649,6.9722197685754335,
de,deepseek-v4-pro,CN,54,192,0.20937128728703008,0.26470330470597625,0.42896389145513114,1.2329026746495775,0.7338525251735688,2.071327621034709,
de,gemini-3.1-flash-lite,US,14,192,-0.9325810970177995,0.5378896161014478,0.08295750891082834,0.3935366421069792,0.13712741558923697,1.1293955188709353,
de,gemma-4-31b,US,13,192,2.419372300677993,0.8089124827825772,0.0027816111981110903,11.23880251162152,2.302288974670752,54.863087685721,
de,glm-5.2,CN,80,192,-0.21237008197461393,0.21763610398892885,0.3291618272738922,0.8086653697051708,0.5278533153061561,1.238866293339683,
de,gpt-5.6-luna,US,20,192,1.0883737102502873,0.4754058825715047,0.022058627517026058,2.9694409722020305,1.1695021909059766,7.539600828418662,
de,gpt-5.6-sol,US,30,192,1.209379389519224,0.38226197330937123,0.001557532204382578,3.351404090502615,1.58430515283956,7.08948611175482,
de,gpt-5.6-terra,US,16,192,1.1283484526792282,0.4983336566972407,0.023559178288997566,3.090548096472227,1.1637115223403616,8.207779465308494,
de,grok-4.3,US,53,192,-0.07137895771781401,0.2668510803075488,0.7890949064439173,0.9311089743294059,0.5518896980084819,1.5709007165838311,
de,haiku-4.5,US,54,192,0.4862939731214909,0.2669444659627239,0.06849981306239285,1.6262780079690096,0.9637559501522236,2.7442426257248127,
de,hy3,CN,72,192,0.649322071755306,0.2330839845952959,0.005339813203661575,1.914242669861139,1.2122491816650967,3.022748997927911,
de,inkling,US,41,192,1.2828518677790837,0.33405005345851413,0.00012288487782851563,3.606911506434219,1.8740722987857314,6.942000382630393,
de,kimi-k2.6,CN,76,192,0.4476310713133665,0.2190755451332357,0.04102545470674763,1.5646013628368547,1.0184104229609796,2.4037238517979476,
de,kimi-k3,CN,38,192,0.3846793351861452,0.3125109490755186,0.2183487676878173,1.46914314338747,0.7962499578735133,2.7106834410725096,
de,ling-3.0-flash,CN,58,192,0.4127439333291794,0.254286640150764,0.10455854234249377,1.510958070390065,0.9179082110109165,2.4871705722760087,
de,mimo-v2.5-pro,CN,23,192,0.24709526920885133,0.40830909158075646,0.5450679079666827,1.2803010802393118,0.5751119564377574,2.8501769746102497,
de,minimax-m3,CN,82,192,0.2237391086119698,0.21211786126987056,0.2915228677721835,1.2507446683465238,0.8252970478300328,1.895514141860145,
de,nemotron-3-ultra,US,62,192,-0.43944798631391613,0.25328125531600476,0.0827373028455801,0.6443920361450761,0.3922408373963738,1.0586381035781356,
de,nemotron-3.5-lightning,US,23,192,0.35514556989078233,0.42491199306502314,0.4032619628006785,1.4263882783550998,0.620219434767118,3.280425292368947,
de,nova-2-lite,US,66,192,-0.5537275455411008,0.25257856532565753,0.02835797838822903,0.5748032069538946,0.35036439638265265,0.9430145589440394,
de,qwen3.7-plus,CN,65,192,-0.30267270086982234,0.2355978519012755,0.19889692976527118,0.738840878777702,0.4655925001609779,1.1724541180630437,
de,qwen3.8-27b,CN,62,192,0.058261404466953166,0.24141801147809377,0.8092993748725692,1.0599920461533976,0.6603944981684758,1.7013817362570225,
de,qwen3.8-flash,CN,53,192,0.3429431117998249,0.2634773006745992,0.19305178740888773,1.4090885991320221,0.8407403573584957,2.361645498310728,
de,seed-2-1-turbo,CN,39,192,0.09375383329393608,0.3064069940010117,0.7596213117228465,1.0982893503656634,0.6024179081413413,2.0023300782147717,
de,sonnet-5,US,48,192,0.8491278692715674,0.29662927172693043,0.004201944311049796,2.3376072635358778,1.3070000810924238,4.180877872607631,
pg,deepseek-v4-pro,CN,61,192,0.18398168757907227,0.24820531551199015,0.45854309941899885,1.2019938114781308,0.7389679482029186,1.9551445043662288,
pg,gemini-3.1-flash-lite,US,10,192,0.20023784523888954,0.6316892989104433,0.7512528064919926,1.2216932975412993,0.3542072161928789,4.213732654290684,
pg,gemma-4-31b,US,15,192,-0.25083644643754544,0.5029513898203793,0.6179703078583916,0.7781496302960214,0.29036365161355265,2.085374129182402,
pg,glm-5.2,CN,66,192,0.08658620979660389,0.2398113572076078,0.7180548402036708,1.0904453707393496,0.6815102072530771,1.7447590570353981,
pg,gpt-5.6-luna,US,44,192,0.35467987223550834,0.2820754306196525,0.20861110571974306,1.4257241673278362,0.8202156612494058,2.4782377334838097,
pg,gpt-5.6-sol,US,43,192,1.3957798073936827,0.32689907428776654,1.956855221356038e-05,4.038122302789377,2.1277341236711664,7.663754390586196,
pg,gpt-5.6-terra,US,49,192,0.8862824794259093,0.2971866207093711,0.0028614553398528253,2.4260938125750307,1.3549935617380502,4.343881294804799,
pg,grok-4.3,US,42,192,0.7997968216799904,0.3077034467602954,0.0093428908860002,2.225088792759149,1.217376417914722,4.06695912850284,
pg,haiku-4.5,US,66,192,0.39369256977217904,0.23926687144473688,0.09988488663928655,1.482444730291003,0.9274925672683482,2.3694447329535615,
pg,hy3,CN,60,192,0.4974596790162312,0.25284036316794384,0.04912729753372,1.644538304747345,1.0018943592427156,2.6993926164286215,
pg,inkling,US,59,192,0.2875269017914908,0.25387405862724804,0.25740023623890096,1.333126455170739,0.8105305440155391,2.192670169678427,
pg,kimi-k2.6,CN,74,192,0.4551865728350598,0.22754391597833903,0.045453426321801445,1.5764674816051587,1.0092429521963016,2.4624890519672618,
pg,kimi-k3,CN,43,192,0.5269799866949066,0.3012157099467321,0.08020285016499092,1.69380925018811,0.9385653389127208,3.0567821515190228,
pg,ling-3.0-flash,CN,46,192,0.5908149530720288,0.2959170215162056,0.04587341893626364,1.8054591805197664,1.0108763125880913,3.2246109755777335,
pg,mimo-v2.5-pro,CN,33,192,-0.8247318996885113,0.3412838507397976,0.015668070209734163,0.43835249915402047,0.22455193839354892,0.8557170109028808,
pg,minimax-m3,CN,92,192,0.3340914609502797,0.19935739989988202,0.09376918701092202,1.3966708785788167,0.9449256395857851,2.0643841815163597,
pg,nemotron-3-ultra,US,51,192,-0.03827381811644273,0.2748312616218813,0.8892423492735234,0.9624493687341122,0.5616125436867989,1.6493733941478286,
pg,nemotron-3.5-lightning,US,29,192,0.508859091470457,0.3614478622244828,0.15917981885267607,1.6633923334370204,0.8190757418699048,3.3780441948145534,
pg,nova-2-lite,US,64,192,-0.9975398753116426,0.26229342879745704,0.00014287082146268587,0.368785584622931,0.2205490861919018,0.616655501838442,
pg,qwen3.7-plus,CN,63,192,-0.5113001326437714,0.24914693852845501,0.04014992325767095,0.5997153622102513,0.36801626914416374,0.9772897174012795,
pg,qwen3.8-27b,CN,73,192,-0.5426527176668443,0.23125836041109923,0.0189495722660964,0.5812044343515749,0.36938378633497554,0.9144922083927137,
pg,qwen3.8-flash,CN,66,192,0.5342056839856426,0.2405726293578847,0.026380854759782697,1.7060925272760428,1.0646896310497993,2.7338969280250347,
pg,seed-2-1-turbo,CN,50,192,0.0,0.269046918413187,1.0,1.0,0.5901774880668591,1.6944055309115986,
pg,sonnet-5,US,60,191,-0.030936451823811398,0.24882272736160604,0.9010529700081525,0.9695371834381467,0.5953361961560767,1.5789437231240315,
control,deepseek-v4-pro,CN,39,192,-0.2372005232335481,0.3090343410805322,0.4427522411570797,0.788833092794734,0.43045700525487546,1.4455744492290559,
control,gemini-3.1-flash-lite,US,7,192,-1.4000106370844578e-18,0.7530291282211361,1.0,1.0,0.2285644409059325,4.375133752373834,
control,gemma-4-31b,US,18,192,1.1893996795548343,0.5364745166477813,0.02661854752524845,3.285108497517683,1.1478718088816704,9.401692555701912,
control,glm-5.2,CN,48,192,-0.18555279378977926,0.2731264813920132,0.49690610637020804,0.830644981526786,0.4863237632674348,1.4187484500036898,
control,gpt-5.6-luna,US,42,192,0.17148853296584876,0.2937028084234434,0.5592979865561314,1.187070530475929,0.6675313179413932,2.110966791296106,
control,gpt-5.6-sol,US,29,192,-0.6416317515698213,0.3652996940021849,0.07901108612225773,0.5264327154085743,0.2572725753092641,1.0771898385178011,
control,gpt-5.6-terra,US,35,192,0.0,0.32740518011428543,1.0,1.0,0.5263893383744875,1.89973452556627,
control,grok-4.3,US,40,192,-0.5864259238298051,0.31978919046123044,0.06668531004619607,0.5563120373891768,0.29724078725873515,1.0411864596318179,
control,haiku-4.5,US,37,192,-0.20248379595316393,0.31929403221008373,0.5259758113988897,0.816699716331345,0.4367911572772819,1.5270419639751962,
control,hy3,CN,42,192,-0.08955915076390311,0.2995289495694755,0.7649400586912554,0.9143341799595236,0.5083241766492067,1.6446335449812395,
control,inkling,US,22,192,0.5879049279162151,0.41712543323492934,0.15871101374674013,1.8002128860133957,0.7948030576652474,4.077445857453677,
control,kimi-k2.6,CN,38,192,0.048702310926584814,0.31247664964466904,0.8761441312771795,1.0499077581469427,0.5690699471894126,1.937031301795737,
control,kimi-k3,CN,35,192,-0.3678270447443037,0.32683093701389976,0.26040465708656557,0.6922368973452887,0.36479647586312536,1.3135870375733252,
control,ling-3.0-flash,CN,36,192,1.1173460199798516e-17,0.3146747292795645,1.0,1.0,0.5396888714843252,1.8529194371743576,
control,mimo-v2.5-pro,CN,30,192,0.12539223112760364,0.35539334991723415,0.7242184326669046,1.13359299633847,0.5648592269560452,2.274961654202785,
control,minimax-m3,CN,67,192,-3.472415745726194e-17,0.23478518092720788,0.9999999999999999,1.0,0.6311706844914683,1.5843574877145885,
control,nemotron-3-ultra,US,25,192,-0.5279764316144603,0.394850476337008,0.18117192912307045,0.589797258018212,0.2720189991702252,1.2788106956753984,
control,nemotron-3.5-lightning,US,20,192,1.1723006375030087e-17,0.44999115207252444,1.0,1.0,0.41396135370109555,2.415684437832955,
control,nova-2-lite,US,48,192,-1.2650719485839688,0.3282696727544498,0.0001163184663065992,0.28221899015332796,0.14830556471422035,0.5370503700022469,
control,qwen3.7-plus,CN,45,192,-0.30073510612130844,0.2944107762849209,0.3070264585119653,0.7402738407859292,0.41570465797942874,1.3182564804916603,
control,qwen3.8-27b,CN,41,192,-0.2158769474036458,0.29476709727239747,0.46394614211607466,0.8058344557947981,0.4522046400845089,1.4360073130270024,
control,qwen3.8-flash,CN,38,192,0.09682252885730082,0.3113324832810139,0.7558051962386856,1.1016648425524833,0.5984638610340834,2.027967776064373,
control,seed-2-1-turbo,CN,37,192,-1.0878609787743099e-17,0.31200652387195116,1.0,1.0,0.5425186659984519,1.8432545508081257,
control,sonnet-5,US,33,191,0.46077107434714143,0.343919331323886,0.18032176595183247,1.585295894839412,0.8079049891604898,3.1107161212188696,
