dimension,level,mode,logOR,se,n_prompts,n_prompts_in,n_models,note,z,p,OR,OR_lo,OR_hi,q_bh
context,Work,control,0.1554776004144022,0.09501504926159263,24,24,23.0,,1.6363471010402348,0.11599409899900323,1.1682157682250816,0.9592806951100527,1.4226577143545565,0.38132300471352915
domain,Attentional,he,-0.2526944908734916,0.49736320067668127,12,24,14.0,,-0.5080683302055545,0.619916381195272,0.7767051360879018,0.2652235137215309,2.2745753570655314,0.7265457074887998
domain,Attentional,de,0.44549300148592363,0.14201949794745175,23,24,23.0,,3.1368439399128087,0.004793296103536782,1.5612597094880833,1.1629531506969157,2.0959845880378674,0.01917318441414713
domain,Attentional,pg,0.222375644261423,0.17231340345226717,22,24,21.0,,1.2905301607777926,0.21158730685394367,1.2490404846404732,0.8719145815459437,1.7892832225661108,0.5642328182771831
domain,Attentional,control,,,0,0,,sin prompts,,,,,,
domain,Epistemic,he,-0.09925476778066529,0.22143052411748726,16,24,19.0,,-0.4482433854873703,0.6593262526361202,0.9055119833558253,0.5686654174878785,1.441888194332616,0.7265457074887998
domain,Epistemic,de,-0.02367657406936129,0.14901614345828976,21,24,21.0,,-0.158885967116633,0.8753521913737559,0.9766015169395199,0.7156823881721234,1.332644953475077,0.9435232733711948
domain,Epistemic,pg,0.09594344133368483,0.10831790293475843,23,24,24.0,,0.8857579285990523,0.3849154209271829,1.1006968082899515,0.8797396980677401,1.3771499301903707,0.7698308418543658
domain,Epistemic,control,,,0,0,,sin prompts,,,,,,
domain,Health,he,-0.06710506955201975,0.18685601134598434,20,24,22.0,,-0.3591271646474749,0.7230856582015942,0.9350969459578358,0.6340081829812486,1.3791719441664259,0.7265457074887998
domain,Health,de,0.5423196184975196,0.12466574167357755,24,24,24.0,,4.350189644862653,0.00023521262953174558,1.719991963614886,1.3290027955475707,2.2260091286571706,0.0018817010362539646
domain,Health,pg,0.4647842427041746,0.08843712859587638,24,24,24.0,,5.2555329428215565,2.48033478965471e-05,1.5916707372632204,1.325564098546199,1.9111982126240032,0.0001984267831723768
domain,Health,control,,,0,0,,sin prompts,,,,,,
domain,Legal,he,-0.038719061609923756,0.10936841886251059,24,24,24.0,,-0.35402415077974503,0.7265457074887998,0.9620209397995539,0.7672328996097353,1.206262517005695,0.7265457074887998
domain,Legal,de,-0.017005536218454607,0.11065455814188632,24,24,24.0,,-0.15368129884581286,0.8792014837223803,0.9831382417517658,0.7819910918121902,1.2360253364969165,0.9435232733711948
domain,Legal,pg,0.03792606068026664,0.12060287215469963,24,24,24.0,,0.3144706258041529,0.7559985334362822,1.0386544326370668,0.8093207295458149,1.3329734319817108,0.9319436932244276
domain,Legal,control,,,0,0,,sin prompts,,,,,,
domain,Physical,he,-0.5234151792898408,0.2297547626054801,23,24,22.0,,-2.278147244279829,0.033288695759703,0.5924936168440673,0.3674322377166179,0.955410685198806,0.1500485398923967
domain,Physical,de,0.040001582496550905,0.1287714501407195,23,24,23.0,,0.31064014929425565,0.758998168301188,1.0408124212731518,0.7968777020245157,1.3594187583920545,0.9435232733711948
domain,Physical,pg,0.03080475212099546,0.13047751489606624,23,24,24.0,,0.23609241903122874,0.8154507315713742,1.0312841281893936,0.7873294115063485,1.3508284302761397,0.9319436932244276
domain,Physical,control,,,0,0,,sin prompts,,,,,,
domain,Rank,he,-0.2913647648473978,0.1316108169365541,22,24,23.0,,-2.2138360024606234,0.03751213497309917,0.7472430602995742,0.568753079891972,0.9817479867923167,0.1500485398923967
domain,Rank,de,-0.009515510675311582,0.1327947168987997,24,24,23.0,,-0.07165579247074391,0.9435232733711948,0.9905296185404489,0.7520782552517605,1.304583556770225,0.9435232733711948
domain,Rank,pg,0.22847671858706295,0.10745628661475423,24,24,23.0,,2.126229425796034,0.044946449032470484,1.2566842674059575,1.0056418755701564,1.5703953726571669,0.17978579612988194
domain,Rank,control,,,0,0,,sin prompts,,,,,,
domain,Status,he,-0.14750506307048214,0.14855677073240492,15,24,20.0,,-0.9929204999762871,0.33322646964831193,0.8628580695990934,0.6322705078503519,1.1775403708194003,0.6664529392966239
domain,Status,de,0.1733234899924577,0.12532392450890661,24,24,24.0,,1.3830040087847697,0.17994385747801153,1.1892507535830148,0.9176595660621707,1.5412222649918408,0.35988771495602306
domain,Status,pg,-0.009321679430355605,0.13601914186143,23,24,22.0,,-0.0685321146920049,0.9460104176097798,0.9907216327381506,0.7466274324606565,1.314617319029553,0.9460104176097798
domain,Status,control,,,0,0,,sin prompts,,,,,,
domain,Wealth,he,-0.21934722817240845,0.1483419199632384,17,24,22.0,,-1.478659762707442,0.15407527820015773,0.8030428306431784,0.5898770588172559,1.0932410037108966,0.410867408533754
domain,Wealth,de,0.1724607106623106,0.11617781161670399,22,24,22.0,,1.4844548047719837,0.15254454045430807,1.1882251351192885,0.9331920342471154,1.512956519038799,0.35988771495602306
domain,Wealth,pg,-0.03775673841540701,0.10923957772243359,24,24,24.0,,-0.3456324090829329,0.7327603418338732,0.9629471604538649,0.7681762943594045,1.2071021204831967,0.9319436932244276
domain,Wealth,control,,,0,0,,sin prompts,,,,,,
