dim,mode,level,n_models,n_discordant_median,bias,lo,hi,sd_models,p_t,n_positive,q_bh
context,he,Academia,14,1.0,0.42857142857142855,-0.06314545617163403,0.9202883133144911,0.8516306272526403,0.08227686582718167,9,0.13164298532349067
context,he,Diplomacy,11,0.0,0.5454545454545454,-0.0055629979028901655,1.096472088811981,0.8201995322647243,0.05194242140716237,8,0.10388484281432474
context,he,Fiction,13,1.0,0.5128205128205129,0.028998138311980337,0.9966428873290454,0.8006407690254357,0.039519052319786474,9,0.10388484281432474
context,he,Government,17,1.0,0.32745098039215687,-0.09981821964495846,0.7547201804292722,0.8310163868986685,0.12376932415007004,12,0.1650257655334267
context,he,Interpersonal,8,0.0,0.7916666666666667,0.46067624716903877,1.1226570861642946,0.3959116463884736,0.000769876311316753,7,0.006159010490534024
context,he,Markets,3,0.0,-0.3333333333333333,-3.201768486499642,2.535101819832975,1.1547005383792517,0.6666666666666667,1,0.6666666666666667
context,he,Media,8,0.0,0.5,-0.2740049730751596,1.2740049730751597,0.9258200997725514,0.1704706607870538,6,0.1948236123280615
context,he,Work,19,1.0,0.5087719298245614,0.12869649969790092,0.8888473599512219,0.7885634778979204,0.011528401262983894,13,0.046113605051935576
context,de,Academia,23,2.0,0.5746376811594203,0.30317217909866007,0.8461031832201804,0.6277639805558037,0.00023272294301282526,19,0.0006205945147008674
context,de,Diplomacy,18,2.0,0.44166666666666665,0.10604371403830393,0.7772896192950294,0.6749061905280407,0.01293045427085507,13,0.014777662023834365
context,de,Fiction,20,2.5,0.7316666666666667,0.5440183871559818,0.9193149461773515,0.4009455199170087,1.245068781733538e-07,17,9.960550253868303e-07
context,de,Government,24,4.0,0.6236111111111111,0.3984623726850167,0.8487598495372055,0.5331955588953877,7.782339937069522e-06,21,3.112935974827809e-05
context,de,Interpersonal,19,2.0,0.5428571428571429,0.25836780714057145,0.8273464785737144,0.5902457307560445,0.0008232742232051637,12,0.0013172387571282619
context,de,Markets,21,2.5,0.2026455026455026,-0.11100190364896159,0.5162929089399668,0.6890403486000106,0.19281562070205965,12,0.19281562070205965
context,de,Media,19,3.0,0.4929824561403509,0.19324457033007902,0.7927203419506228,0.6218827394697672,0.002822661311267357,14,0.003763548415023143
context,de,Work,20,2.0,0.5616666666666668,0.28428757934525056,0.8390457539880829,0.5926721133292241,0.0004448449566551442,15,0.0008896899133102884
context,pg,Academia,23,4.0,0.43322981366459623,0.19615182339971549,0.670307803929477,0.548242858636013,0.0010058197856328687,16,0.0017045634370404961
context,pg,Diplomacy,23,4.0,0.48881987577639746,0.2561237433512603,0.7215160082015346,0.538109812267965,0.00025253138241102034,17,0.000681318462334251
context,pg,Fiction,20,3.0,0.5204761904761904,0.27741392678614263,0.7635384541662382,0.5193478242461695,0.0002554944233753441,17,0.000681318462334251
context,pg,Government,24,3.0,0.4685185185185185,0.18681048617316787,0.7502265508638691,0.667138855859077,0.0022286644775090787,20,0.0029715526366787715
context,pg,Interpersonal,22,3.0,0.7012987012987014,0.5465865223121713,0.8560108802852315,0.34894191745971387,5.39155640570354e-09,20,4.313245124562832e-08
context,pg,Markets,23,2.0,0.39026915113871635,0.09078669164388414,0.6897516106335486,0.6925531953486984,0.013003733787240407,14,0.014861410042560464
context,pg,Media,20,2.0,0.5766666666666667,0.2636283056209489,0.8897050277123844,0.6688647972191871,0.00106535214815031,15,0.0017045634370404961
context,pg,Work,21,3.0,0.25079365079365085,-0.02213836547360265,0.5237256670609043,0.5995942190458706,0.06966776716638033,13,0.06966776716638033
context,control,Academia,20,1.0,-0.25666666666666665,-0.6592074268633143,0.14587409352998099,0.8601033529627575,0.19779861741275076,7,0.3512983439119963
context,control,Diplomacy,22,2.0,0.5363636363636364,0.2888544048674417,0.783872867859831,0.5582388302783958,0.00019353863827713732,16,0.0015483091062170986
context,control,Fiction,20,2.0,0.44571428571428573,0.1343358742015544,0.7570926972270171,0.6653180056883787,0.00742715099804188,15,0.019805735994778344
context,control,Government,24,3.0,0.04722222222222223,-0.18543157785342793,0.2798760222978724,0.5509689897782474,0.6784697252773465,9,0.6944809299600523
context,control,Interpersonal,23,4.0,0.4854037267080745,0.20716502805613624,0.7636424253600128,0.6434269978485619,0.0015239216453018852,17,0.006095686581207541
context,control,Markets,21,2.0,0.1746031746031746,-0.11276304494802464,0.4619693941543738,0.6313041846407906,0.2195614649449977,7,0.3512983439119963
context,control,Media,23,3.0,-0.08695652173913043,-0.36257453938804046,0.1886614959097796,0.6373666729610933,0.519700774480985,9,0.6929343659746466
context,control,Work,21,3.0,0.06553287981859411,-0.27749781660911754,0.4085635762463058,0.753591408389168,0.6944809299600523,10,0.6944809299600523
domain,he,Attentional,2,0.0,0.5,-5.853102368087347,6.853102368087347,0.7071067811865476,0.5000000000000001,1,0.5000000000000001
domain,he,Epistemic,11,0.0,0.36363636363636365,-0.2573949419922784,0.9846676692650057,0.9244162777371755,0.22123504663759794,7,0.3697795168469625
domain,he,Legal,20,1.0,0.45777777777777773,0.07851080186184778,0.8370447536937077,0.8103745754690247,0.02056624141564072,14,0.07198184495474252
domain,he,Physical,16,1.0,0.59375,0.2254722945607257,0.9620277054392743,0.6911309839943779,0.0036729592233644428,13,0.0257107145635511
domain,he,Rank,8,0.0,0.33333333333333337,-0.31595659986596114,0.9826232665326279,0.7766431633476235,0.2641282263192589,4,0.3697795168469625
domain,he,Status,9,0.0,0.4444444444444444,-0.23345705155964336,1.122345940448532,0.8819171036881969,0.16902020301916992,6,0.3697795168469625
domain,he,Wealth,17,1.0,0.196078431372549,-0.22398252726354195,0.6161393900086399,0.8169967320196079,0.3371278872557523,9,0.3933158684650444
domain,de,Attentional,23,2.0,0.3345755693581781,0.00012089844344381762,0.6690302402729125,0.7734264351642053,0.04992418303372551,14,0.04992418303372551
domain,de,Epistemic,20,2.0,0.6947619047619047,0.45105326715430427,0.9384705423695051,0.520728922581362,9.636160866437552e-06,18,3.3726563032531434e-05
domain,de,Legal,23,4.0,0.5898550724637681,0.41479613803795956,0.7649140068895767,0.4048237903997313,5.164075812541638e-07,19,3.6148530687791466e-06
domain,de,Physical,20,3.0,0.5135714285714286,0.2679711514007736,0.7591717057420835,0.5247707630399169,0.0003244724623833393,16,0.0007571024122277918
domain,de,Rank,19,2.0,0.5228070175438596,0.24453038313857672,0.8010836519491424,0.5773558963578093,0.0009449305121185851,13,0.0013229027169660193
domain,de,Status,20,3.0,0.475,0.1793809264968892,0.7706190735031108,0.631645243069442,0.0032660501749306767,15,0.0038103918707524565
domain,de,Wealth,21,3.0,0.526984126984127,0.2454569823777643,0.8085112715904896,0.6184765375608258,0.0008791328688495575,17,0.0013229027169660193
domain,pg,Attentional,21,2.5,0.64421768707483,0.46076817297921313,0.8276672011704468,0.4030134303877308,4.422978949835247e-07,17,1.5480426324423366e-06
domain,pg,Epistemic,21,2.0,0.391307634164777,0.12532085210562927,0.6572944162239247,0.5843364917258842,0.006058601500254562,16,0.008482042100356387
domain,pg,Legal,23,6.0,0.6668391994478952,0.4790761629906528,0.8546022359051375,0.43420202667689534,2.2633812094204676e-07,20,1.5480426324423366e-06
domain,pg,Physical,23,3.0,0.5565217391304348,0.3597703950948037,0.7532730831660659,0.45498748818502555,6.666027999014219e-06,17,1.1665548998274885e-05
domain,pg,Rank,22,4.0,0.5011904761904762,0.34648274853628713,0.6558982038446652,0.3489318778076806,1.1512929182143127e-06,18,2.6863501425000633e-06
domain,pg,Status,22,3.0,0.3435064935064935,-0.0031713150260969103,0.6901843020390839,0.7819062470875408,0.051945110119676084,15,0.06060262847295544
domain,pg,Wealth,23,4.0,0.16100759144237406,-0.12225466957702227,0.4442698524617704,0.6550439859535917,0.2510707393141427,13,0.2510707393141427
