iso3,name,axis_us,axis_cn,net_lean_us,cuadrante,d2_pool,index_1d,index_1d_extremes,lambda,s_us,s_cn,dist_to_curve,index_1d_df4,index_1d_df6
SWE,Sweden,0.6438,0.1304,0.5134,pro-EEUU,ally_of_us,0.301685461089441,0.6609646677376135,-0.351724308209541,0.605098762775223,0.0970623906703865,0.0510801522956067,0.31579618513115487,0.2760163886704682
SVK,Slovakia,0.6246,0.1148,0.5098,pro-EEUU,ally_of_us,0.30114799085482524,0.6602788499295924,-0.352435793919524,0.60463440956606,0.09760145283067,0.0263517518603887,0.3125858647253521,0.2771061273874402
ITA,Italy,0.6418,0.1334,0.5084,pro-EEUU,ally_of_us,0.29898236064493805,0.6575154824575478,-0.355302585135495,0.602763389976406,0.0997734973907786,0.0515227968947934,0.3132172726431197,0.2738459334048507
DNK,Denmark,0.6376,0.1345,0.5031,pro-EEUU,ally_of_us,0.2966659444969992,0.6545597105045575,-0.358368981898491,0.600757460152517,0.102092771986368,0.0490673126423376,0.31030086771625687,0.2720400335325159
AUS,Australia,0.6148,0.137,0.4777,pro-EEUU,ally_of_us,0.28477588129760756,0.6393878618040061,-0.374108662930707,0.590069819395731,0.113647506689068,0.0340135381364084,0.29578464007430255,0.2618094397169313
DEU,Germany,0.5961,0.1354,0.4607,pro-EEUU,ally_of_us,0.27644194446611864,0.6287536686490214,-0.385140858914071,0.582343378068486,0.121522241772358,0.019540645342247,0.2858249300455193,0.2546175355282286
BGR,Bulgaria,0.5784,0.1191,0.4593,pro-EEUU,ally_of_us,0.27561451352025007,0.6276978578505124,-0.386236185233684,0.58156547777002,0.122293351927967,0.0044964147994083,0.2831934447109131,0.254690893826628
MNE,Montenegro,0.62,0.1611,0.4589,pro-EEUU,ally_of_us,0.2755965998100402,0.6276749997633506,-0.38625989882377,0.581548636388164,0.122310046304623,0.0546183840048305,0.28729451684937807,0.2531832882895511
BEL,Belgium,0.5751,0.1265,0.4485,pro-EEUU,,0.2698801916540405,0.6203808013895467,-0.393827095020843,0.576095441982369,0.12755648596001,0.0014515740849027,0.27756369318949153,0.24896740775380027
FRA,France,0.5704,0.1243,0.4461,pro-EEUU,,0.268435776338874,0.6185377118907807,-0.395739165289732,0.574703797274295,0.128867721148547,0.006275886189942,0.2757986814392703,0.24756152839168627
EST,Estonia,0.552,0.1097,0.4423,pro-EEUU,,0.26547375372038917,0.6147581391280754,-0.399660195013741,0.57182497883909,0.13152984032576,0.0294885013966213,0.27163020987453396,0.24528051847685836
NOR,Norway,0.5861,0.151,0.4351,pro-EEUU,,0.263568481271496,0.6123269909631597,-0.40218233304801,0.569957882582584,0.133225461696481,0.0240104595254012,0.27240202090061894,0.24251629101156108
FIN,Finland,0.5648,0.1302,0.4347,pro-EEUU,,0.26218768872993836,0.6105650848087467,-0.404010181547326,0.568596558939327,0.13444522727837,0.0056952448959467,0.26952018136625416,0.241537797747587
ESP,Spain,0.5677,0.138,0.4297,pro-EEUU,,0.25990962468979345,0.607658250558361,-0.407025809030675,0.566338790397738,0.136444349668556,0.0020671089799548,0.26753987143598496,0.23928344288390357
HRV,Croatia,0.5367,0.1052,0.4315,pro-EEUU,,0.2586022420232274,0.6059900161950753,-0.40875647991221,0.565036334283142,0.137584011798199,0.0430310592566799,0.2642707530492298,0.23834826261319234
ROU,Romania,0.5391,0.1122,0.4269,pro-EEUU,,0.2561751669144765,0.6028930422162717,-0.411969363427827,0.562604409196642,0.139683621490161,0.0361636101889402,0.262321963495577,0.23605760654851182
LVA,Latvia,0.5288,0.1067,0.4221,pro-EEUU,,0.25263681518956604,0.598378067306599,-0.416653318979277,0.559028203002506,0.142708549400869,0.0470144646541419,0.2585132056570834,0.23263380266120506
POL,Poland,0.5448,0.1284,0.4163,pro-EEUU,,0.25123966026130107,0.5965952825705221,-0.41850282747681,0.557610441882399,0.143896251000077,0.0201057508260623,0.2580415275682131,0.23100584840898683
ALB,Albania,0.5453,0.1426,0.4027,pro-EEUU,,0.24461482250289854,0.5881419182401013,-0.427272573394794,0.550794801386413,0.149414900118789,0.0087541821951106,0.25157409614876375,0.22426315841945907
SVN,Slovenia,0.5413,0.1493,0.392,pro-EEUU,,0.23900165084571662,0.5809794507506649,-0.434703108454325,0.544935278894651,0.153984237865055,0.0059293622775402,0.2459391013559862,0.21907039690827532
PRT,Portugal,0.5197,0.1216,0.3981,pro-EEUU,,0.2389402027016198,0.5809010422569896,-0.434784451519697,0.544871017301407,0.154034109118478,0.0410554691398971,0.24538563210123657,0.21806923503804468
LUX,Luxembourg,0.5071,0.1064,0.4007,pro-EEUU,,0.23799640323927893,0.579696743978152,-0.436033822717016,0.543878909663995,0.154793484404142,0.060783365560376,0.24457378085923487,0.2168630728023929
HUN,Hungary,0.5454,0.1654,0.38,pro-EEUU,,0.2341148842707537,0.5747438839696535,-0.441172051964461,0.539767256635957,0.157874995263498,0.0093996539345636,0.24104354653303248,0.2147262469080529
MHL,Marshall Islands,0.6077,0.2548,0.3529,pro-EEUU,,0.23213168112773178,0.5722132953997014,-0.443797352130641,0.537652301149308,0.159430361539344,0.118330249954918,0.23884574127205843,0.21463835804314746
BHS,Bahamas,0.588,0.2308,0.3572,pro-EEUU,,0.2313525244040884,0.5712190830286741,-0.444828774596493,0.536818512467452,0.160037509574894,0.087331979922635,0.2377221211575351,0.2142820717630239
CRI,Costa Rica,0.6054,0.2624,0.3431,pro-EEUU,,0.22905977533320973,0.5682935105209113,-0.447863841648482,0.53435544940509,0.161810910928479,0.123148256217744,0.2343363179368132,0.2122925631761648
GRC,Greece,0.511,0.1377,0.3734,pro-EEUU,,0.2247677850088459,0.5628168846415122,-0.453545439598466,0.529710001262125,0.165082052444264,0.0331638499467287,0.2321616484510945,0.20418307432214428
DOM,Dominican Republic,0.595,0.2788,0.3162,pro-EEUU,,0.21862264442855125,0.5549756190767825,-0.461680177909774,0.52298527168477,0.169659385674968,0.130758536201511,0.22135623058067425,0.20309446505940856
GTM,Guatemala,0.562,0.2431,0.3189,pro-EEUU,,0.21369149055580786,0.5486834136257441,-0.468207879888829,0.517526042713285,0.173238172084388,0.082816712543128,0.21719309554072297,0.19752395444884144
HTI,Haiti,0.6054,0.332,0.2734,doble juego (hedger),,0.20710248339220239,0.5402757695201865,-0.476930194424503,0.510157173700849,0.177904920453092,0.18115322106443,0.20624203771196847,0.19459781169562634
NZL,New Zealand,0.5571,0.2649,0.2922,pro-EEUU,,0.20407650707329344,0.5364145911469473,-0.480935883988298,0.506733617926662,0.179984539346669,0.0987289618152891,0.2054794145801971,0.18995879389616072
TTO,Trinidad & Tobago,0.5412,0.2695,0.2717,pro-EEUU,,0.19312383638471892,0.5224388653860847,-0.495434675138364,0.494245599550588,0.187350972802017,0.0946212364701427,0.19396325013443996,0.18073410172187113
UKR,Ukraine,0.48,0.1675,0.3125,pro-EEUU,,0.19105850554091555,0.5198034809854057,-0.498168693298093,0.491862030087677,0.188690171037235,0.0242843798847783,0.1984459877149205,0.17168651139408023
HND,Honduras,0.531,0.2763,0.2547,pro-EEUU,,0.1854123410191757,0.5125989142454541,-0.505642903244441,0.485325622293513,0.192314972751876,0.0956014308509189,0.18517457797677744,0.17403940546491786
TUR,Turkey,0.4796,0.1971,0.2826,pro-EEUU,,0.17990631858098874,0.5055731703134714,-0.512931597634032,0.478908561585207,0.195771328892492,0.0014978164084357,0.1853224518767001,0.16343340535348946
COL,Colombia,0.5326,0.3025,0.23,doble juego (hedger),,0.1786666127695221,0.5039912923461847,-0.514572680084062,0.477452803173085,0.196528903346479,0.119461653445013,0.17559258754789506,0.16891286519328577
MEX,Mexico,0.4994,0.2725,0.2268,pro-EEUU,,0.1679889158028202,0.4903664360159483,-0.528707469916226,0.464896779906435,0.203020325634914,0.0775751077775812,0.16682434626707737,0.15794946742756275
SLV,El Salvador,0.5123,0.3029,0.2094,doble juego (hedger),,0.1665028121516436,0.4884701517514425,-0.530674725855751,0.463134819066331,0.203895305594419,0.110540239417974,0.16302869513209245,0.158961425516126
JAM,Jamaica,0.476,0.2602,0.2159,pro-EEUU,,0.1568081097544958,0.47609960707898624,-0.543508259275588,0.45162433197124,0.209570538353683,0.056191775007061,0.15696022254197387,0.14675663625921562
IRL,Ireland,0.4034,0.1402,0.2632,pro-EEUU,,0.14627927188232887,0.4626646965566159,-0.557445994253843,0.4390571333534,0.215597641739541,0.0834040498948719,0.15862260928574895,0.12481129782186115
PAN,Panama,0.4647,0.2865,0.1782,pro-EEUU,,0.14113397497711028,0.45609924228978005,-0.564257171851985,0.432894318796781,0.218497961896724,0.0750724885893638,0.13906883842935777,0.13436554509679857
GEO,Georgia,0.3926,0.1638,0.2289,pro-EEUU,,0.13095007558385924,0.4431044769815564,-0.577738288430251,0.4206799728363,0.224203245146,0.0666110869049225,0.14112893160383722,0.11278755550824948
IND,India,0.2649,-0.093,0.358,rival de China,,0.12518517828867753,0.4357484059439194,-0.5853696729812,0.413759498300577,0.227419619248135,0.353309896030976,0.1642318916583415,0.08705681695219496
ARG,Argentina,0.4126,0.2569,0.1556,pro-EEUU,,0.11490000097577328,0.4226244089194364,-0.598984857993268,0.401417983237664,0.233169425233097,0.0262331408268384,0.11647283015524358,0.10666640640921557
CHE,Switzerland,0.3342,0.1681,0.1661,pro-EEUU,,0.09052406186765063,0.39152044808420583,-0.631252937648404,0.372236607287241,0.246941725776955,0.087537427523388,0.09984539719680117,0.0757521311370023
BRB,Barbados,0.3654,0.2478,0.1176,pro-EEUU,,0.0855955903741935,0.38523166537802633,-0.637777088780532,0.366363044189393,0.249781761785605,0.0022033687584259,0.08856357085263569,0.07764082622493715
ATG,Antigua & Barbuda,0.3638,0.2495,0.1142,pro-EEUU,,0.08394899112570224,0.38313058700278035,-0.639956803599917,0.364404062977352,0.250737559517722,0.0013771149699681,0.08680358278927797,0.07620120735969267
AUT,Austria,0.2924,0.1104,0.182,pro-EEUU,,0.08182210460895907,0.38041665690046433,-0.642772307168222,0.361875362440367,0.251975595840853,0.15770375811601,0.09508234852267011,0.06404701087799039
PRY,Paraguay,0.3875,0.3058,0.0818,doble juego (hedger),,0.0811896519663846,0.37960964051691004,-0.643609527517279,0.361124287840223,0.252345494283527,0.0596075697653227,0.07990996690119605,0.07895279860767103
BHR,Bahrain,0.3882,0.3102,0.078,doble juego (hedger),,0.08019309392441386,0.3783380217222452,-0.644928738815627,0.359941253736225,0.252929231175002,0.063863116915844,0.07857224526757392,0.0783062321008774
SMR,San Marino,0.2879,0.1182,0.1697,pro-EEUU,,0.07688632721580316,0.37411855178758335,-0.649306129614033,0.356018887673253,0.254872577430821,0.152707485996676,0.08894725091615586,0.06036610100500266
BLZ,Belize,0.3835,0.3219,0.0616,doble juego (hedger),,0.0726291685469173,0.36868637147571737,-0.654941618545263,0.350978529445822,0.257393197281809,0.0722410800302008,0.07060551811028283,0.0717152391702379
GRD,Grenada,0.3474,0.2618,0.0856,pro-EEUU,,0.06870878144525597,0.3636839153107203,-0.66013130017001,0.346347582396076,0.259735658549083,0.002317129353106,0.07083591003829867,0.06258533238702746
MLT,Malta,0.2712,0.1243,0.1468,pro-EEUU,,0.0650614077975955,0.3590298272534329,-0.664959575416051,0.342048611505565,0.261933632874246,0.154798393565402,0.07550613630893027,0.0502253122925111
BIH,Bosnia & Herzegovina,0.2803,0.1508,0.1295,pro-EEUU,,0.0624050774663244,0.3556403211415733,-0.668475939579073,0.338924694723098,0.263547931750911,0.127078522754573,0.07093255603986416,0.049296348274997855
KNA,St. Kitts & Nevis,0.3378,0.2614,0.0764,pro-EEUU,,0.06239981561950979,0.355633606968367,-0.668482905041671,0.338918514752757,0.263551145103644,0.0024245619210628,0.06457786258059078,0.056494445910871806
LBR,Liberia,0.3134,0.2255,0.0879,pro-EEUU,,0.058710656184658906,0.350926199796584,-0.673366494961068,0.334587881096443,0.265808369646227,0.04553779714582,0.06287490426818043,0.05033461684486393
VNM,Vietnam,0.2703,0.1443,0.126,pro-EEUU,,0.05843138647304256,0.3505698486367761,-0.673736183171222,0.334260646799601,0.265980378621857,0.137466646429531,0.06697026889036234,0.045318095119648225
MDA,Moldova,0.2683,0.1491,0.1192,pro-EEUU,,0.05589178514567422,0.34732928999108936,-0.677098025254939,0.331287457807049,0.267549496020402,0.134155517771287,0.06378917513033776,0.0431940279475273
CYP,Cyprus,0.2558,0.1404,0.1155,no alineado (bajo con ambos),,0.05120067687208604,0.3413433853099075,-0.683307962635057,0.325806309941094,0.270468458222373,0.147711500080102,0.05905436621819835,0.03874995141709992
MAR,Morocco,0.3409,0.3004,0.0405,doble juego (hedger),neutral,0.05052466838802037,0.3404807912035064,-0.684202840798094,0.325018318329744,0.270892576303952,0.033509936822582,0.0507374484715181,0.04800226236905264
ECU,Ecuador,0.3476,0.3166,0.031,doble juego (hedger),neutral,0.04898029465101782,0.33851015368190684,-0.686247232792259,0.323219065621695,0.271863260762662,0.0509490510093052,0.04855938880863108,0.04794934036390681
URY,Uruguay,0.3491,0.3209,0.0283,doble juego (hedger),neutral,0.04842083029206457,0.3377962711343505,-0.686987833612553,0.322568767625557,0.272217664615971,0.0554425474680753,0.047789828734304346,0.047758970980914923
VCT,St. Vincent & Grenadines,0.3158,0.2746,0.0412,pro-EEUU,neutral,0.043074106027932296,0.3309737933881318,-0.69406565423246,0.316355761278527,0.275607959125205,0.0011510222399218,0.04451443746015016,0.03881066168279763
SGP,Singapore,0.3344,0.3142,0.0202,doble juego (hedger),neutral,0.040860720492980174,0.328149489606971,-0.696995662402917,0.313790703978821,0.277024090802757,0.0425063678421269,0.04068655607872147,0.039517233442768855
KWT,Kuwait,0.3267,0.3038,0.023,doble juego (hedger),neutral,0.039526433598238576,0.32644692515877005,-0.698761948231387,0.312246716639021,0.2778819187123,0.0296756522682925,0.0398065238551512,0.037285285738328025
CHL,Chile,0.3911,0.4248,-0.0337,doble juego (hedger),neutral,0.036993816577190045,0.32321527856316945,-0.702114544716333,0.309319696502569,0.279516683622518,0.16671910525723,0.032940431328509795,0.04611513589158142
THA,Thailand,0.4156,0.4684,-0.0528,doble juego (hedger),neutral,0.036965814514609945,0.32317954762972967,-0.702151612940939,0.309287394298244,0.279534866605529,0.216731190056274,0.03125288220066086,0.05282906542583932
FJI,Fiji,0.2732,0.226,0.0472,pro-EEUU,neutral,0.03342782853090003,0.3186650394097681,-0.706835084336019,0.3052079530447,0.281835532458586,0.0643592708399155,0.03608724302733702,0.026475986041103797
NRU,Nauru,0.206,0.1324,0.0736,no alineado (bajo con ambos),,0.025415257766019314,0.3084409128169461,-0.717441866316264,0.296006598898853,0.287111791157622,0.17898862022078,0.029959969283226657,0.01706337083040653
QAT,Qatar,0.335,0.3543,-0.0193,doble juego (hedger),neutral,0.02524039124398389,0.3082177812514848,-0.717673348961385,0.295806737669142,0.287228580300313,0.0776832488549944,0.024462314805233084,0.02709538937407589
GUY,Guyana,0.2662,0.2458,0.0205,pro-EEUU,neutral,0.021835759490229662,0.30387343446519566,-0.72218029034072,0.291915679420676,0.289502824417335,0.0507073271837449,0.023426395599998224,0.017215548312159667
TUN,Tunisia,0.2893,0.2871,0.0022,pro-EEUU,neutral,0.02106144316537451,0.30288539849515383,-0.723205305243238,0.291032442478999,0.290022966758662,0.0033978068831645,0.02175309685441761,0.018249625130005227
PER,Peru,0.3692,0.4299,-0.0607,doble juego (hedger),neutral,0.017982735115711305,0.2989569338655418,-0.727280799366389,0.287526494596523,0.292100942165928,0.160184711582753,0.01576408577648298,0.023438069839587128
TON,Tonga,0.2596,0.2518,0.0079,no alineado (bajo con ambos),neutral,0.015509584786531139,0.29580116740923224,-0.730554675768325,0.284715771641568,0.293779662859086,0.0489192608173295,0.01660725477689573,0.011762356014453901
WSM,Samoa,0.2607,0.2544,0.0063,no alineado (bajo con ambos),,0.015272883181960259,0.2954991336124808,-0.730868013695406,0.284447108152674,0.293940909832028,0.0461238408630439,0.016263563137175092,0.01157403546107202
SUR,Suriname,0.2666,0.2703,-0.0037,pro-EEUU,neutral,0.012952666611962404,0.29253851228001215,-0.733939441334184,0.281817056491853,0.295527256579009,0.0294613863010447,0.013643863608045632,0.010058622856869433
DMA,Dominica,0.2668,0.2785,-0.0116,pro-EEUU,,0.009951265595335775,0.28870869225716556,-0.737912598907803,0.278423064778856,0.297592880300048,0.0223524878482343,0.01039591971368713,0.0074700357580017255
JOR,Jordan,0.3069,0.3514,-0.0445,doble juego (hedger),neutral,0.006977381691747338,0.28491398436692017,-0.741849330217332,0.275069483197699,0.299654759050593,0.0607515576822008,0.006767541528167393,0.006626346222714862
BRA,Brazil,0.3453,0.417,-0.0717,doble juego (hedger),,0.004393461857312692,0.2816168748288981,-0.745269839707046,0.272166135287733,0.301463199285414,0.136738123751623,0.004951261862788085,0.007248736569279643
TUV,Tuvalu,0.1962,0.2032,-0.0069,no alineado (bajo con ambos),neutral,-0.004393461857312692,0.27040466553228115,-0.756901685072653,0.262337814091882,0.307684447478548,0.123657633075155,-0.004951261862788172,-0.006626346222714862
STP,Sao Tome and Principe,0.1877,0.2085,-0.0207,no alineado (bajo con ambos),neutral,-0.010698616398346609,0.2623592204302685,-0.765248244688903,0.255342900644158,0.312238154022286,0.123843314746929,-0.012532570644514091,-0.010917227243299485
LCA,St. Lucia,0.2203,0.266,-0.0456,no alineado (bajo con ambos),neutral,-0.013442623683460416,0.25885783758100933,-0.768880672767164,0.252313154477783,0.314241943410189,0.0578975574926118,-0.014936565037371733,-0.013603844125805486
PNG,Papua New Guinea,0.2239,0.2822,-0.0583,no alineado (bajo con ambos),neutral,-0.01774063550467129,0.25337352820678083,-0.774570241779885,0.247589673708162,0.31741368188767,0.0424405941580135,-0.01928981733326681,-0.01756703715283919
KEN,Kenya,0.2797,0.3673,-0.0876,doble juego (hedger),,-0.01886884745362159,0.25193391760887396,-0.776063732261426,0.246352178464795,0.318249815454211,0.0593127120027388,-0.0181831069276528,-0.02068968943456773
SAU,Saudi Arabia,0.3113,0.4167,-0.1053,doble juego (hedger),,-0.020318133857996124,0.25008461254781555,-0.777982250720634,0.244766933205123,0.319330422017679,0.117929994885046,-0.018047755755667503,-0.024676580112644002
MYS,Malaysia,0.1959,0.2542,-0.0583,no alineado (bajo con ambos),neutral,-0.022819260324690897,0.24689314823872932,-0.781293161028413,0.242038032679777,0.321205316411751,0.081353736773421,-0.025928844294220373,-0.021496012580666652
LBN,Lebanon,0.2394,0.3343,-0.0949,pro-China,,-0.03013369415397307,0.23755985189479212,-0.790975771917314,0.234107937647835,0.32676108336243,0.0092109276409833,-0.030962097705775824,-0.03030481433720705
MWI,Malawi,0.1923,0.2745,-0.0822,no alineado (bajo con ambos),,-0.03282916087427823,0.2341204073290193,-0.794543943566118,0.231200527839055,0.328829613545708,0.0668203410211525,-0.03665160633481608,-0.030356800547694882
KIR,Kiribati,0.2001,0.2963,-0.0963,no alineado (bajo con ambos),,-0.037394427589161824,0.22829507783208092,-0.800587295961666,0.22630630584644,0.33237484968224,0.0445888466515265,-0.04067645129592001,-0.03489590363879279
CIV,Ivory Coast,0.1924,0.2868,-0.0944,no alineado (bajo con ambos),,-0.037882632651971476,0.22767212291387895,-0.801233566030889,0.225783437520565,0.332754683482962,0.0568004122758691,-0.04167990064405931,-0.034826204061688126
LKA,Sri Lanka,0.2735,0.4057,-0.1322,doble juego (hedger),,-0.041692706201667804,0.2228104280292862,-0.806277218144073,0.22172447503456,0.335748552246958,0.0870282139779587,-0.03883163297176955,-0.04787922378024834
LSO,Lesotho,0.1678,0.267,-0.0992,no alineado (bajo con ambos),,-0.043202850718096535,0.22088346736179432,-0.808276298603322,0.220119543835083,0.336940407325185,0.0873441196871544,-0.04926147491440353,-0.03826050712224173
ARE,United Arab Emirates,0.2705,0.4043,-0.1338,doble juego (hedger),,-0.043207984079253026,0.2208769171376712,-0.808283093980762,0.220114102467447,0.336944477788647,0.0841160213189198,-0.04024595920980688,-0.048732680579897845
BWA,Botswana,0.1598,0.2601,-0.1003,no alineado (bajo con ambos),,-0.04470643037170662,0.21896488352996335,-0.810266688709538,0.218526778017747,0.338134036168641,0.0976634284525917,-0.05152999090657729,-0.03935225884018666
MUS,Mauritius,0.146,0.246,-0.1,no alineado (bajo con ambos),,-0.04636393990032257,0.2168498835197723,-0.812460846204816,0.216775049234491,0.339455313347735,0.117230555688643,-0.05448788942675485,-0.0402207807855562
SYC,Seychelles,0.1464,0.2513,-0.1049,no alineado (bajo con ambos),,-0.04825029310395531,0.21444287651557237,-0.814957939554227,0.214786565645487,0.340965746468379,0.112768206736279,-0.0564222670316916,-0.04137080596919691
EGY,Egypt,0.2414,0.3784,-0.137,pro-China,,-0.04951886811366217,0.21282416114040448,-0.816637238114999,0.213451686620517,0.341984638830164,0.0459041038458155,-0.04844072011922749,-0.05212753625420444
COM,Comoros,0.1496,0.2616,-0.112,no alineado (bajo con ambos),,-0.05065431218832004,0.21137532227220324,-0.8181403022506,0.212259317773862,0.342899766323609,0.102644250244031,-0.05868070742362636,-0.043595501406172306
CPV,Cape Verde,0.1479,0.2689,-0.121,no alineado (bajo con ambos),,-0.054659316677237176,0.20626489340972332,-0.823441997635312,0.208072176768848,0.346151815547775,0.0979210593413338,-0.06284976064209974,-0.04704412620454921
BTN,Bhutan,0.128,0.2493,-0.1213,no alineado (bajo con ambos),,-0.05687064955469928,0.20344320884162714,-0.826369288564185,0.205767630914682,0.347956836486244,0.125622353916633,-0.06733541877360688,-0.04788203030040684
TGO,Togo,0.1812,0.3243,-0.1432,pro-China,,-0.0602521234527635,0.19912841172861295,-0.83084557432329,0.202261321566549,0.350739448380196,0.0338027172987416,-0.0647848220568152,-0.055604399479962124
ARM,Armenia,0.1632,0.3133,-0.1501,pro-China,,-0.06540406071048889,0.19255448430046052,-0.837665542205272,0.19695135283087,0.35501919065484,0.0536623209226811,-0.07178379109901545,-0.0585555940255755
OMN,Oman,0.1472,0.297,-0.1498,pro-China,,-0.06673578320566731,0.19085519205372115,-0.839428433364556,0.195580958909645,0.356128156722919,0.0763993200392961,-0.07517223958227365,-0.058161049237623
MDV,Maldives,0.1573,0.3105,-0.1532,pro-China,,-0.06728899021518653,0.19014929395143532,-0.840160750908088,0.195014192262211,0.356591907250597,0.0595552198550941,-0.07440416861188502,-0.0599934924461949
VUT,Vanuatu,0.1615,0.32,-0.1585,pro-China,,-0.06924204317027366,0.18765717734601117,-0.842746139230807,0.193015946872138,0.358232409655442,0.049547674570145,-0.07574042902648151,-0.06219765872036017
GHA,Ghana,0.1676,0.3297,-0.1621,pro-China,,-0.07034720276962779,0.18624698179446675,-0.844209113757672,0.191887073682592,0.359162968513431,0.0381828294091346,-0.07593152326375349,-0.06417413862456324
MDG,Madagascar,0.1794,0.3567,-0.1772,pro-China,,-0.07638312802978894,0.178545076154496,-0.852199276361189,0.185755527895778,0.364286135960903,0.0098965748444259,-0.07985795598639636,-0.07213406715797435
SWZ,Eswatini,0.1199,0.2868,-0.1669,no alineado (bajo con ambos),,-0.0769268893607859,0.1778512308397362,-0.852919090021051,0.185203760807056,0.364748396476984,0.101688414723007,-0.08854391704366323,-0.06444264762666593
GMB,Gambia,0.1212,0.2924,-0.1713,no alineado (bajo con ambos),,-0.07843404478980728,0.17592808427996864,-0.854914213623084,0.183677258345808,0.366033039782806,0.0965672426761017,-0.09011190359355964,-0.06638298888450403
SSD,South Sudan,0.1732,0.3538,-0.1805,pro-China,,-0.07849025575771494,0.1758563584795163,-0.854988623884034,0.183620520123271,0.36608118187497,0.0161063548913335,-0.08265408257118845,-0.07339337821102324
YEM,Yemen,0.1265,0.302,-0.1755,pro-China,,-0.0799375314392335,0.17400961912247803,-0.85690448061337,0.182159795726011,0.367320855720218,0.085818570556045,-0.09079668235106231,-0.06853453331615147
SEN,Senegal,0.1353,0.3131,-0.1778,pro-China,,-0.08031604152620692,0.17352663617487796,-0.857405540022099,0.181778414060798,0.367645830421565,0.071662337318742,-0.08983815763034102,-0.06979815989242878
TLS,Timor-Leste,0.1507,0.3364,-0.1856,pro-China,,-0.08277700108806375,0.17038642526896974,-0.860663278680611,0.17930188344411,0.369762350506934,0.0439444441072814,-0.08983775742028509,-0.07436697545369701
NPL,Nepal,0.1461,0.3349,-0.1888,pro-China,,-0.08458377507357086,0.16808096220418078,-0.863055027635372,0.177486915155721,0.371320026074805,0.0480786516271196,-0.09219883420210964,-0.07552614861288419
LBY,Libya,0.1332,0.3216,-0.1884,pro-China,,-0.08540665816949437,0.16703095451118277,-0.864144333658346,0.176661755705164,0.372031151586121,0.0665749597016601,-0.09489475656731601,-0.07436697545369701
IDN,Indonesia,0.1712,0.3684,-0.1972,pro-China,,-0.08673418879782922,0.16533701113168275,-0.865901675759905,0.175331471840107,0.37317945298396,0.0063176127130018,-0.09026201441543862,-0.08186062097311703
