bloc,lang,mode,n_models,rate,lo,hi,share_pct,log10_share
all,zh,de,24,14.371091477603256,11.653291758040934,17.404944472001766,4.382882177164062,0.6417597958888964
US,zh,de,12,10.816835732984293,8.376736111111112,13.439131700460788,4.382882177164062,0.6417597958888964
CN,zh,de,12,17.925347222222225,14.495442708333334,21.48546006944444,4.382882177164062,0.6417597958888964
all,zh,pg,24,24.57608438772542,20.881773933531743,28.267150183999203,4.382882177164062,0.6417597958888964
US,zh,pg,12,21.808418775450843,18.445952119883042,25.239135611375186,4.382882177164062,0.6417597958888964
CN,zh,pg,12,27.34375,23.045789930555557,31.640625,4.382882177164062,0.6417597958888964
all,pt,he,24,2.734375,1.5407986111111112,4.297417534722219,2.5263112414895024,0.4024868545861327
US,pt,he,12,3.0381944444444446,1.8229166666666667,4.514973958333328,2.5263112414895024,0.4024868545861327
CN,pt,he,12,2.4305555555555562,1.0850694444444446,4.123263888888888,2.5263112414895024,0.4024868545861327
all,pt,de,24,13.871277814136123,11.110826926256614,16.84027777777778,2.5263112414895024,0.4024868545861327
US,pt,de,12,12.812000072716694,10.074074452806867,15.741547880116954,2.5263112414895024,0.4024868545861327
CN,pt,de,12,14.930555555555555,11.805555555555557,18.273654513888886,2.5263112414895024,0.4024868545861327
all,pt,pg,24,23.077097876672482,19.32936886811679,26.779752490546826,2.5263112414895024,0.4024868545861327
US,pt,pg,12,23.15072353112275,19.661104258040936,26.8668250527196,2.5263112414895024,0.4024868545861327
CN,pt,pg,12,23.00347222222222,19.010416666666664,27.08441840277777,2.5263112414895024,0.4024868545861327
all,hi,he,24,5.208333333333334,3.754340277777778,6.944444444444444,0.2144094732782309,-0.6687560300726865
US,hi,he,12,6.336805555555555,4.904513888888888,7.899305555555555,0.2144094732782309,-0.6687560300726865
CN,hi,he,12,4.079861111111112,2.430555555555556,6.119791666666666,0.2144094732782309,-0.6687560300726865
all,hi,de,24,17.843427319662595,14.583333333333334,21.164935668448226,0.2144094732782309,-0.6687560300726865
US,hi,de,12,17.631299083769637,14.539413855820108,20.746527777777775,0.2144094732782309,-0.6687560300726865
CN,hi,de,12,18.055555555555557,14.321831597222227,21.788194444444446,0.2144094732782309,-0.6687560300726865
all,hi,pg,24,26.929139254385966,23.11776620370371,30.68566680372807,0.2144094732782309,-0.6687560300726865
US,hi,pg,12,28.511056286549707,24.84593447687259,32.271237819953456,0.2144094732782309,-0.6687560300726865
CN,hi,pg,12,25.347222222222225,21.222873263888893,29.42816840277778,0.2144094732782309,-0.6687560300726865
all,sw,he,22,4.925357964461368,3.5037878787878793,6.586061507936505,0.0116817598872702,-1.9324917247103688
US,sw,he,10,4.950370855148342,3.283424683682373,6.780195932539676,0.0116817598872702,-1.9324917247103688
CN,sw,he,12,4.904513888888889,3.5145399305555576,6.510416666666666,0.0116817598872702,-1.9324917247103688
all,sw,de,22,14.99905798825956,12.37223590299291,17.827353744196582,0.0116817598872702,-1.9324917247103688
US,sw,de,10,15.55001090750436,12.604166666666666,18.650293074254133,0.0116817598872702,-1.9324917247103688
CN,sw,de,12,14.539930555555555,11.761067708333332,17.317708333333336,0.0116817598872702,-1.9324917247103688
all,sw,pg,22,22.796551036682615,19.373225169609327,26.2787065683008,0.0116817598872702,-1.9324917247103688
US,sw,pg,10,25.152412280701753,21.380697430470462,29.0895641016809,0.0116817598872702,-1.9324917247103688
CN,sw,pg,12,20.833333333333336,17.53363715277778,24.21875,0.0116817598872702,-1.9324917247103688
