mode,country,dyad,quantity,OR,OR_lo,OR_hi,p,q_bh
control,usa,us_rival,"direccion, modelos US",0.8956029271508898,0.7359891961039395,1.0898320347191148,0.270897189328224,0.5001178879905674
control,usa,us_rival,"direccion, modelos CN",0.9345747667001684,0.7766808193677238,1.1245674835432544,0.473603558375273,0.6364197986674711
control,usa,us_neutral,"direccion, modelos US",1.1131080181958375,0.9131118010984842,1.3569088239592586,0.28893851372354,0.505202475627396
control,usa,us_neutral,"direccion, modelos CN",1.1331384757130507,0.93598453029974,1.3718205414464562,0.199968175515525,0.4228834852704584
control,usa,us_cn,"direccion, modelos US",0.994648386209118,0.8073426899278339,1.2254095126281943,0.959796682663249,0.9802184914472404
control,usa,us_cn,"direccion, modelos CN",0.9344915227569004,0.7674541490821079,1.137884793702615,0.500089593509161,0.6364197986674711
control,china,cn_ally,"direccion, modelos US",1.1481839300286905,0.9481577983949804,1.3904081571735851,0.157095559322197,0.3968729919718661
control,china,cn_ally,"direccion, modelos CN",0.9139109542887872,0.7670313520281364,1.0889166787779536,0.313903278520552,0.5195640472064309
control,china,cn_rival,"direccion, modelos US",1.1816430463234466,0.9702543554551948,1.4390868549819498,0.0969708954131719,0.2585890544351251
control,china,cn_rival,"direccion, modelos CN",0.9265806802724345,0.7695695717174867,1.1156259142861569,0.420838364940289,0.6121285308222385
control,china,cn_neutral,"direccion, modelos US",1.0016164786865516,0.8206037457325357,1.2225578735091929,0.987328612302863,0.987328612302863
control,china,cn_neutral,"direccion, modelos CN",0.8897346245806232,0.7369400136100784,1.0742091453273697,0.22423567398073,0.44847134796146
control,china,cn_us,"direccion, modelos US",1.005380332593418,0.8160535334260832,1.238631501198208,0.959797272875423,0.9802184914472404
control,china,cn_us,"direccion, modelos CN",1.0701006637030126,0.8788234499196587,1.303009643816757,0.500089947020289,0.6364197986674711
de,usa,us_ally,"direccion, modelos US",1.258024394032481,1.0220855611859605,1.5484274859967857,0.0302998000298004,0.1615989334922688
de,usa,us_ally,"direccion, modelos CN",1.1779668143659143,0.9863551870334258,1.4068013571467717,0.0705570775989802,0.2580078180505277
de,usa,us_rival,"direccion, modelos US",1.3926571662950802,1.0946939811535623,1.7717225235761775,0.0070049097109099,0.0517385138891835
de,usa,us_rival,"direccion, modelos CN",1.2088521432338155,0.9771467848779036,1.495500498815625,0.0806274431407899,0.2580078180505277
de,usa,us_neutral,"direccion, modelos US",1.605550956273774,1.2984917100818256,1.98522166385582,1.23169907190543e-05,0.0005912155545146
de,usa,us_neutral,"direccion, modelos CN",1.286297844092469,1.0693726226822788,1.5472269521608282,0.0075451999421726,0.0517385138891835
de,usa,us_cn,"direccion, modelos US",1.214211864255782,0.9045605126026144,1.629863818682063,0.19628640819161,0.4228834852704584
de,usa,us_cn,"direccion, modelos CN",1.045735107804747,0.804890962414591,1.3586460362467372,0.737743491924048,0.8235277768855669
de,china,cn_ally,"direccion, modelos US",1.466130833815566,1.1554584865147246,1.8603347908660095,0.0016364563061318,0.0261833008981088
de,china,cn_ally,"direccion, modelos CN",1.0383550224733342,0.8448438638458697,1.2761898367676348,0.72057684267861,0.8235277768855669
de,china,cn_rival,"direccion, modelos US",1.1316706070203064,0.8527836590509321,1.5017623159184164,0.39152534429914,0.58728801644871
de,china,cn_rival,"direccion, modelos CN",0.8737436677944836,0.6788041795824165,1.124666022947294,0.294701444115981,0.505202475627396
de,china,cn_neutral,"direccion, modelos US",1.1491642385578476,0.8393559334485187,1.5733235383880613,0.38570526418006,0.58728801644871
de,china,cn_neutral,"direccion, modelos CN",1.110542648123441,0.8350169333904399,1.4769819916027402,0.471105964733871,0.6364197986674711
de,china,cn_us,"direccion, modelos US",0.8235794724989203,0.6135481026977444,1.1055093228048758,0.196286503163925,0.4228834852704584
de,china,cn_us,"direccion, modelos CN",0.9562651171187574,0.736026796713035,1.242404459052158,0.737743633459987,0.8235277768855669
