mode,model,origin,share_requests,range_or,null_or,excess_or,n_langs
de,ling-3.0-flash,CN,0.01878889628688762,7.375680899666139,1.6667437345718512,4.425203915082233,8
de,mimo-v2.5-pro,CN,0.0072099502089913075,8.996547259387139,1.914348351905947,4.699535092675308,8
de,minimax-m3,CN,0.02618172717355483,2.5028147524596203,1.4638656655990514,1.7097298005383603,8
de,qwen3.7-plus,CN,0.015177613922899418,4.504960484277788,1.5545593962903568,2.8979018074368663,8
de,qwen3.8-27b,CN,0.009171365519893511,2.0368275959567397,1.5309497832342098,1.3304339686791276,8
de,qwen3.8-flash,CN,0.004272431476809304,2.5811571940604203,1.5257162759608964,1.6917674896237223,8
de,seed-2-1-turbo,CN,0.00012468319198390013,3.3659911023232816,1.523028352467974,2.2100646365964884,8
pg,gemini-3.1-flash-lite,US,0.09044125874973799,2.2352,2.8578600323580856,0.7821236780989884,8
pg,gemma-4-31b,US,0.07577114337709528,1.5031774482646245,1.872733556329916,0.8026648762627354,8
pg,gpt-5.6-luna,US,0.40030201264257825,1.7458178674937712,1.3757827152764162,1.2689633676223422,8
pg,gpt-5.6-sol,US,0.02844655764364783,1.9505984337290054,1.3403810938701002,1.455256600268075,8
pg,gpt-5.6-terra,US,0.021065051730942624,1.8602428010087386,1.410834670400493,1.3185406058107945,8
pg,grok-4.3,US,0.011011528508970112,2.2564135509015375,1.357191135971959,1.662561367441879,8
pg,haiku-4.5,US,0.03250775064807124,2.8479246243952128,1.358987048353218,2.095623080327548,8
pg,inkling,US,0.0035658224250544037,3.0003238866396758,1.3532513992581767,2.217122323527165,8
pg,nemotron-3-ultra,US,0.03386946718616393,2.1443972778114686,1.4168129563454848,1.5135359033860818,8
pg,nemotron-3.5-lightning,US,0.014632854218467115,22.160455805358787,1.673112921691638,13.245044920789306,7
pg,nova-2-lite,US,0.00047601691991760054,5.0521136001499665,1.4141361813226283,3.5725792656155453,7
pg,sonnet-5,US,0.023223599042790824,2.163260821797407,1.3252421125171145,1.6323514030870871,8
pg,deepseek-v4-pro,CN,0.025972066452122928,2.9961215255332903,1.3516761960964623,2.2165970919557956,8
pg,glm-5.2,CN,0.05609262898397016,2.407261127145678,1.3890415879545415,1.7330374756385332,8
pg,hy3,CN,0.06959092600037148,4.047896103896102,1.4987818103380208,2.7007907862073526,8
pg,kimi-k2.6,CN,0.008578707573046008,2.610850286906625,1.40889748394497,1.8531158701455968,8
pg,kimi-k3,CN,0.02352594011603243,2.005453805453805,1.516771023982895,1.3221862586665691,8
pg,ling-3.0-flash,CN,0.01878889628688762,4.264417453891137,1.5233657834416885,2.7993391345948995,8
pg,mimo-v2.5-pro,CN,0.0072099502089913075,7.411672278338948,1.7154649461005647,4.320503485184278,8
pg,minimax-m3,CN,0.02618172717355483,2.190082644628099,1.3904623620474617,1.5750751004890153,8
pg,qwen3.7-plus,CN,0.015177613922899418,3.4694389210685572,1.3664065335897078,2.5390971396733155,8
pg,qwen3.8-27b,CN,0.009171365519893511,1.7743969429185573,1.4170207277108826,1.2522025318465142,8
pg,qwen3.8-flash,CN,0.004272431476809304,1.6073161138062146,1.3586633269296196,1.1830128052683324,8
pg,seed-2-1-turbo,CN,0.00012468319198390013,2.9712735397382692,1.372175562597737,2.165374184417916,8
control,gemini-3.1-flash-lite,US,0.09044125874973799,3.080862533692722,2.2332379959862148,1.3795495774431288,8
control,gemma-4-31b,US,0.07577114337709528,2.6221585482330476,1.7154261535605757,1.528575592012771,8
control,gpt-5.6-luna,US,0.40030201264257825,2.156770930885934,1.3509902116693124,1.596437126084712,8
control,gpt-5.6-sol,US,0.02844655764364783,1.5585854474743364,1.3321274000383714,1.169997289620679,8
control,gpt-5.6-terra,US,0.021065051730942624,1.6575459142933193,1.379932704660795,1.2011788029190633,8
control,grok-4.3,US,0.011011528508970112,2.3590801562414034,1.4227784807690593,1.658079727890066,8
control,haiku-4.5,US,0.03250775064807124,2.899748568983042,1.3466331951320807,2.1533321616200234,8
control,inkling,US,0.0035658224250544037,2.470196153113693,1.3780805315955893,1.7924904216255158,8
control,nemotron-3-ultra,US,0.03386946718616393,2.372395648154732,1.4341955619372182,1.6541646837550203,8
control,nemotron-3.5-lightning,US,0.014632854218467115,25.684931506849317,1.5733956380163796,16.324521872471294,7
control,nova-2-lite,US,0.00047601691991760054,5.982151860441665,1.423329259621899,4.202929027139367,7
control,sonnet-5,US,0.023223599042790824,1.6804891015417334,1.4268078956167816,1.1777963289271611,8
control,deepseek-v4-pro,CN,0.025972066452122928,1.5982712369597614,1.458428094574652,1.0958862098894866,8
control,glm-5.2,CN,0.05609262898397016,3.8436209398370362,1.5748415500894215,2.4406397834872915,8
control,hy3,CN,0.06959092600037148,2.923987538940809,1.7214193027390432,1.6985911185544944,8
control,kimi-k2.6,CN,0.008578707573046008,2.5561030235162367,1.4630190901427227,1.7471426317936014,8
control,kimi-k3,CN,0.02352594011603243,2.318862425886846,1.5924031932159235,1.4562030745516203,8
control,ling-3.0-flash,CN,0.01878889628688762,4.590697674418606,1.5315414590870116,2.9974361106458263,8
control,mimo-v2.5-pro,CN,0.0072099502089913075,8.221280327389655,1.700542972272773,4.834503133079858,8
control,minimax-m3,CN,0.02618172717355483,1.813166556945359,1.3960899146594035,1.298746261187416,8
control,qwen3.7-plus,CN,0.015177613922899418,2.6773155226522896,1.4046828697823133,1.9059928616252,8
control,qwen3.8-27b,CN,0.009171365519893511,2.2940957347737005,1.4161290626293495,1.6199764522269011,8
control,qwen3.8-flash,CN,0.004272431476809304,1.6575459142933193,1.3777358108127722,1.2030941645593705,8
control,seed-2-1-turbo,CN,0.00012468319198390013,2.1493796526054596,1.6861405260715567,1.2747334041090734,8
