contrast,pg,pg_lo,pg_hi,pg_p,excess,excess_lo,excess_hi,excess_p,he,he_lo,he_hi,he_p,de,de_lo,de_hi,de_p,model,origin
German,0.5,-5.2,6.8,0.958,5.7,-2.9,14.8,0.216,-2.6,-5.2,-0.5,0.014,-3.1,-9.9,3.1,0.394,minimax-m3,CN
Chinese,19.3,12.0,26.6,0.0,1.1,-9.6,11.4,0.8313333333333334,7.3,2.6,12.5,0.0033333333333333335,14.1,6.2,21.4,0.0,minimax-m3,CN
Hindi,17.7,10.4,25.0,0.0,5.1,-5.5,15.3,0.33266666666666667,3.1,-1.0,7.8,0.17466666666666666,10.9,4.2,17.7,0.002,minimax-m3,CN
Swahili,-1.6,-8.3,5.2,0.6893333333333334,-1.6,-11.7,8.3,0.7333333333333333,0.0,-3.6,3.6,1.0,0.0,-6.3,6.8,1.0,minimax-m3,CN
Spanish,-5.2,-11.5,1.0,0.124,0.3,-8.9,9.6,0.972,-0.5,-3.6,2.1,0.8306666666666667,-5.2,-11.5,1.6,0.13333333333333333,kimi-k2.6,CN
Portuguese,-10.9,-16.7,-5.2,0.0006666666666666666,-4.9,-13.8,3.5,0.258,-0.5,-3.1,2.1,0.8653333333333333,-5.7,-12.0,0.5,0.07333333333333333,kimi-k2.6,CN
French,4.7,-1.6,10.4,0.14266666666666666,5.6,-3.5,14.9,0.23533333333333334,2.6,-1.0,6.2,0.20333333333333334,-3.1,-9.4,3.1,0.36933333333333335,kimi-k2.6,CN
German,-0.5,-6.2,5.2,0.94,0.5,-8.0,8.9,0.8866666666666667,0.0,-3.1,2.6,1.0,-1.0,-6.8,4.7,0.7393333333333333,kimi-k2.6,CN
Chinese,-5.7,-12.0,0.5,0.08066666666666666,2.8,-6.0,11.9,0.55,-1.0,-3.6,1.6,0.5193333333333333,-7.8,-14.1,-1.6,0.012666666666666666,kimi-k2.6,CN
Hindi,9.4,3.1,15.6,0.005333333333333333,4.7,-4.9,14.1,0.31933333333333336,2.1,-1.6,5.7,0.3006666666666667,3.1,-3.6,9.9,0.382,kimi-k2.6,CN
Swahili,-3.6,-10.4,2.6,0.30666666666666664,5.9,-3.0,15.0,0.20933333333333334,-0.5,-3.1,2.1,0.8706666666666667,-9.4,-15.1,-3.6,0.0013333333333333333,kimi-k2.6,CN
Spanish,9.9,4.7,15.6,0.0,7.4,0.1,14.6,0.048666666666666664,0.0,-2.1,2.1,1.0,2.6,-2.1,7.3,0.318,deepseek-v4-pro,CN
Portuguese,13.5,7.8,19.8,0.0,1.9,-6.4,10.4,0.6693333333333333,0.0,-2.6,2.6,1.0,12.0,6.8,17.7,0.0,deepseek-v4-pro,CN
French,22.9,16.7,29.7,0.0,0.6,-8.3,9.7,0.898,5.7,1.6,9.9,0.006666666666666667,18.8,13.0,25.0,0.0,deepseek-v4-pro,CN
German,12.5,6.2,18.8,0.0,2.2,-6.5,10.9,0.6193333333333333,2.1,-1.0,5.7,0.24866666666666667,8.9,3.6,14.1,0.0013333333333333333,deepseek-v4-pro,CN
Chinese,7.3,1.0,13.5,0.026,-1.6,-10.3,6.7,0.6966666666666667,1.6,-1.0,4.2,0.3353333333333333,7.8,2.1,13.5,0.012,deepseek-v4-pro,CN
Hindi,14.1,8.3,20.3,0.0,1.0,-7.5,9.3,0.8393333333333334,3.1,0.0,6.2,0.06266666666666666,10.9,5.7,16.7,0.0,deepseek-v4-pro,CN
Swahili,20.8,13.5,28.1,0.0,3.2,-6.0,12.7,0.516,2.6,-1.0,6.2,0.212,16.1,10.4,21.9,0.0,deepseek-v4-pro,CN
Spanish,1.0,-1.6,4.2,0.596,-4.7,-9.3,-0.5,0.044,0.0,-1.6,1.6,1.0,5.7,2.6,9.4,0.0,solar-pro4,KR
Portuguese,2.6,-1.0,6.2,0.21,-1.5,-6.2,3.1,0.5826666666666667,0.0,-1.6,1.6,1.0,4.2,1.6,7.3,0.0,solar-pro4,KR
French,0.5,-2.1,3.1,0.8393333333333334,-0.5,-3.6,2.6,0.834,0.5,0.0,1.6,0.7386666666666667,0.5,0.0,1.6,0.7313333333333333,solar-pro4,KR
German,0.5,-2.6,4.2,0.8846666666666667,-3.6,-8.3,0.6,0.12066666666666667,0.5,0.0,1.6,0.7386666666666667,3.6,1.6,6.8,0.0006666666666666666,solar-pro4,KR
Chinese,5.2,1.0,9.4,0.019333333333333334,-1.0,-6.7,4.7,0.7606666666666667,0.0,-1.6,1.6,1.0,6.2,3.1,9.9,0.0,solar-pro4,KR
Hindi,1.6,-2.1,5.2,0.4613333333333333,-1.5,-6.2,2.6,0.5566666666666666,0.0,-1.6,1.6,1.0,3.1,1.0,5.7,0.0013333333333333333,solar-pro4,KR
Swahili,0.5,-2.6,4.2,0.8893333333333333,-8.7,-14.4,-3.1,0.0006666666666666666,1.0,-1.0,3.1,0.43,8.3,4.7,12.5,0.0,solar-pro4,KR
