set,mode,estimator,est,lo,hi,p
neutral,pg,logOR_uso,-0.0024949880498909005,-0.1021212371052119,0.09680532470187284,0.9676
neutral,pg,rateA_uso,0.28790461579525395,0.24581135960404138,0.33127832803132545,
neutral,pg,rateB_uso,0.28841639769448435,0.24487083674888505,0.33284039162365237,
neutral,pg,logOR_igual,0.0030179773496912254,-0.047011198604397536,0.05449487024360504,0.9056
neutral,pg,rateA_igual,0.3111339546783626,0.272860089398252,0.3513209747242506,
neutral,pg,rateB_igual,0.3104874817251462,0.27053490036616684,0.35110688867713263,
neutral,control,bias_igual,0.09900216782010259,-0.03611040577475706,0.22211425410276447,0.1456
neutral,control,bias_uso,-0.0512588514507554,-0.2626264293603729,0.15941036481328447,0.6172
neutral,control,bias_US,0.054741420859841905,-0.14256779050879864,0.23445194541798642,0.5708
neutral,control,bias_CN,0.1432629147803633,-0.008180793139241197,0.28798351340389566,0.062
neutral,control,bias_US_menos_CN,-0.08852149392052139,-0.3131083823877922,0.13800383578830389,0.4488
neutral,control,logOR_uso,-0.012030370440649252,-0.10644521993110419,0.08203211195737906,0.7884
neutral,control,rateA_uso,0.20472707375993435,0.16510509048232178,0.24658912050414242,
neutral,control,rateB_uso,0.2066927441087278,0.16561092767498167,0.250131354741426,
neutral,control,logOR_igual,0.02537080218167298,-0.03091446502538609,0.07947963763248761,0.3924
neutral,control,rateA_igual,0.23700870782431643,0.1996527777777778,0.27583007812499993,
neutral,control,rateB_igual,0.2324514161576498,0.19468582978839438,0.270439100903505,
