bloc,domain,context,did_grab,lo,hi,p
US,Epistemic,Diplomacy,6.9,-5.4,15.3,0.25061425061425063
US,Epistemic,Academia,0.0,-3.4,3.5,0.9619450317124736
US,Epistemic,Markets,-0.3,-12.9,8.0,0.995777621393385
US,Epistemic,Media,10.1,3.6,18.3,0.0
US,Status,Fiction,1.7,-13.1,14.5,0.7538569424964937
US,Status,Work,3.8,-4.4,16.0,0.5907025515554002
US,Status,Government,4.2,-3.6,10.6,0.2463157894736842
US,Status,Interpersonal,4.2,-8.8,19.7,0.5936842105263158
US,Status,Diplomacy,-1.4,-13.5,13.4,0.7813267813267813
US,Status,Academia,0.0,-9.4,9.2,1.0
US,Status,Markets,-8.7,-21.0,-0.3,0.04484933426769446
US,Status,Media,-1.0,-5.4,5.6,0.645252382633251
US,Attentional,Fiction,1.7,-6.7,14.4,0.8481056656239138
US,Attentional,Work,6.6,-4.7,24.5,0.5367053038285915
US,Attentional,Government,15.3,-2.6,27.3,0.12687347507842453
US,Attentional,Interpersonal,-6.9,-16.7,3.3,0.19922834093300595
US,Attentional,Diplomacy,4.1,-5.4,13.7,0.4108258154059681
US,Attentional,Academia,13.9,-1.1,26.5,0.09375
US,Attentional,Markets,-0.3,-6.2,6.5,0.8462613556953179
US,Attentional,Media,-3.8,-11.5,4.2,0.3110332749562172
CN,Rank,Fiction,1.7,-6.7,13.5,0.8529204785362421
CN,Rank,Work,4.9,-7.5,22.9,0.6669004207573632
CN,Rank,Government,4.2,-5.6,14.6,0.4123856439127375
CN,Rank,Interpersonal,6.6,-29.2,59.5,0.8524128214159915
CN,Rank,Diplomacy,2.4,-8.6,20.3,0.8565430370888734
CN,Rank,Academia,8.7,-2.5,26.4,0.3327507864383083
CN,Rank,Markets,9.7,3.1,16.7,0.0027845457709711106
CN,Rank,Media,4.5,-3.0,11.4,0.2497398543184183
CN,Wealth,Fiction,-9.4,-21.8,5.7,0.2135106755337767
CN,Wealth,Work,-17.4,-47.0,22.5,0.31016416346489695
CN,Wealth,Government,9.7,-4.5,26.5,0.24064358167191324
CN,Wealth,Interpersonal,-4.5,-17.0,9.7,0.5216480446927374
CN,Wealth,Diplomacy,2.4,-23.6,28.7,0.747887323943662
CN,Wealth,Academia,25.3,7.5,42.9,0.0
CN,Wealth,Markets,4.2,-3.5,10.2,0.2693791652051912
CN,Wealth,Media,12.8,5.3,19.9,0.0
CN,Legal,Fiction,1.7,-13.0,14.0,0.7090653548840478
CN,Legal,Work,4.9,-5.7,15.4,0.387434554973822
CN,Legal,Government,18.1,-3.4,35.7,0.11173184357541899
CN,Legal,Interpersonal,20.5,-21.2,52.0,0.28204237582493924
CN,Legal,Diplomacy,30.2,1.3,53.4,0.02664796633941094
CN,Legal,Academia,22.6,7.6,34.8,0.0
CN,Legal,Markets,1.4,-5.2,8.7,0.7226074895977809
CN,Legal,Media,12.8,-2.8,25.7,0.1417046650298141
CN,Physical,Fiction,-3.8,-14.8,13.9,0.589591337757597
CN,Physical,Work,7.6,-6.1,22.9,0.34058988764044945
CN,Physical,Government,6.9,-8.3,26.6,0.48542325254654023
CN,Physical,Interpersonal,-7.3,-17.9,3.4,0.1735159817351598
CN,Physical,Diplomacy,-0.3,-7.4,5.0,0.9767932489451476
CN,Physical,Academia,8.7,-1.0,18.2,0.09446598519562918
CN,Physical,Markets,4.2,-11.3,25.0,0.7392369618480924
CN,Physical,Media,10.1,-2.6,25.6,0.16432584269662923
CN,Epistemic,Fiction,4.5,0.8,7.9,0.025874125874125874
CN,Epistemic,Work,-9.0,-22.2,1.1,0.0867739678096571
CN,Epistemic,Government,15.3,3.2,28.2,0.012618296529968454
CN,Epistemic,Interpersonal,3.8,-14.3,25.6,0.7787486892694861
CN,Epistemic,Diplomacy,-0.3,-23.5,20.2,0.9757809757809758
CN,Epistemic,Academia,8.7,-0.8,18.2,0.09725158562367865
CN,Epistemic,Markets,-6.9,-19.6,1.7,0.20337790288529206
CN,Epistemic,Media,7.3,2.3,13.0,0.004206098843322818
CN,Status,Fiction,21.2,3.4,38.7,0.0007012622720897616
CN,Status,Work,2.1,-14.1,22.7,0.8975882558545963
CN,Status,Government,4.2,-7.8,18.6,0.5887719298245614
CN,Status,Interpersonal,-18.4,-31.2,-5.8,0.0035087719298245615
CN,Status,Diplomacy,-0.3,-8.7,12.0,0.8789048789048789
CN,Status,Academia,0.3,-9.3,10.0,0.9469617140850017
CN,Status,Markets,9.7,-5.1,33.3,0.49964961457603363
CN,Status,Media,4.5,-4.3,17.4,0.5330038828097423
CN,Attentional,Fiction,12.8,-4.8,30.8,0.1967327076816128
CN,Attentional,Work,2.1,-7.6,15.1,0.7938180540920267
CN,Attentional,Government,15.3,-11.8,35.6,0.2474729871035204
CN,Attentional,Interpersonal,3.8,-14.1,26.6,0.7702560505085935
CN,Attentional,Diplomacy,-11.5,-23.5,3.4,0.157529493407356
CN,Attentional,Academia,11.5,-0.8,20.2,0.07569444444444444
CN,Attentional,Markets,9.7,-2.6,18.5,0.14465408805031446
CN,Attentional,Media,1.7,-4.7,9.5,0.6991243432574431
