Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2026 5:02:15 PM

Recipient,2020,2021,2022,2023,2024,2025,2020-2025,Percentage,Sum total years,Percentage of total
Singapore,176,226,516,495,378,57,1848,1.0%,1848,1.0%
Bahrain,27,184,259,294,850,30,1643,0.9%,1643,0.9%
Morocco,16,53,507,501,130,392,1598,0.9%,1598,0.9%
Romania,168,105,186,364,320,421,1563,0.9%,1563,0.9%
Denmark,63,264,214,280,440,278,1540,0.9%,1540,0.9%
Belgium,90,255,170,12,508,430,1465,0.8%,1465,0.8%
Taiwan,111,158,162,205,367,398,1401,0.8%,1401,0.8%
Kazakhstan,270,195,191,223,460,18,1356,0.8%,1356,0.8%
Hungary,55,20,40,246,581,402,1344,0.8%,1344,0.8%
Belarus,13,69,215,178,399,466,1339,0.8%,1339,0.8%
NATO**,465,240,240,,120,120,1185,0.7%,1185,0.7%
Canada,248,357,214,73,198,83,1172,0.7%,1172,0.7%
Serbia,147,117,164,370,155,146,1100,0.6%,1100,0.6%
France,225,105,130,114,183,236,991,0.6%,991,0.6%
New Zealand,146,36,171,406,200,,959,0.5%,959,0.5%
Thailand,141,151,271,290,73,33,958,0.5%,958,0.5%
Spain,70,134,198,159,159,237,955,0.5%,955,0.5%
Myanmar,217,67,229,132,222,70,937,0.5%,937,0.5%
Sweden,3,110,318,98,56,146,730,0.4%,730,0.4%
Slovakia,25,1,3,30,181,445,684,0.4%,684,0.4%
Viet Nam,38,235,86,45,58,177,637,0.4%,637,0.4%
Bangladesh,70,60,331,74,70,32,636,0.4%,636,0.4%
Nigeria,84,273,53,93,93,21,616,0.3%,616,0.3%
Chile,304,66,207,9,14,14,615,0.3%,615,0.3%
Azerbaijan,51,,9,3,75,463,601,0.3%,601,0.3%
Bulgaria,44,1,3,,,540,589,0.3%,589,0.3%
Russia,1,6,39,95,315,129,585,0.3%,585,0.3%
Lithuania,119,109,75,97,77,29,506,0.3%,506,0.3%
Estonia,25,20,15,23,115,204,401,0.2%,401,0.2%
Turkmenistan,,382,,,,,382,0.2%,382,0.2%
Croatia,,,29,89,90,141,349,0.2%,349,0.2%
Mexico,277,3,,4,46,9,339,0.2%,339,0.2%
Czechia,8,32,69,148,58,19,334,0.2%,334,0.2%
Finland,96,20,12,37,105,51,322,0.2%,322,0.2%
Jordan,148,67,50,22,34,,321,0.2%,321,0.2%
Mali,49,39,62,82,25,64,321,0.2%,321,0.2%
Senegal,22,21,28,172,79,,321,0.2%,321,0.2%
Argentina,7,77,50,22,45,108,308,0.2%,308,0.2%
Afghanistan,231,65,,,,,296,0.2%,296,0.2%
House of Representatives (Libya)*,192,5,5,,8,70,281,0.2%,281,0.2%
Malaysia,51,133,71,11,7,,273,0.2%,273,0.2%
Portugal,45,6,,67,61,90,268,0.2%,268,0.2%
Peru,28,62,38,22,1,90,241,0.1%,241,0.1%
Iraq,5,,55,30,80,55,225,0.1%,225,0.1%
Uzbekistan,92,14,22,17,47,32,224,0.1%,224,0.1%
Colombia,80,45,50,3,12,22,212,0.1%,212,0.1%
Kenya,71,4,1,,19,117,211,0.1%,211,0.1%
Angola,51,,46,15,16,84,211,0.1%,211,0.1%
Cyprus,31,12,,8,120,28,199,0.1%,199,0.1%
Ethiopia,25,16,45,2,48,63,197,0.1%,197,0.1%
Tunisia,16,19,35,35,78,7,191,0.1%,191,0.1%
Venezuela,79,,,98,,,177,0.1%,177,0.1%
Uganda,79,8,66,16,,2,171,0.1%,171,0.1%
Lebanon,45,43,30,14,9,,141,0.1%,141,0.1%
Mauritania,,6,,2,126,,134,0.1%,134,0.1%
Burkina Faso,3,26,12,19,37,34,131,0.1%,131,0.1%
Cambodia,,35,38,56,,,129,0.1%,129,0.1%
Latvia,10,15,34,47,19,,126,0.1%,126,0.1%
Cote d'Ivoire,3,7,22,70,7,15,124,0.1%,124,0.1%
Armenia,,32,29,7,32,21,121,0.1%,121,0.1%
DR Congo,9,,,27,40,44,120,0.1%,120,0.1%
Rwanda,,65,17,37,,,119,0.1%,119,0.1%
Botswana,76,16,11,1,11,,116,0.1%,116,0.1%
Sudan,,,3,6,50,57,115,0.1%,115,0.1%
Austria,14,34,5,17,13,29,113,0.1%,113,0.1%
Luxembourg,88,,,1,3,11,103,0.1%,103,0.1%
Chad,4,47,6,32,10,4,103,0.1%,103,0.1%
Ecuador,21,16,9,7,19,30,101,0.1%,101,0.1%
Oman,85,4,4,4,,,98,0.1%,98,0.1%
Niger,19,16,34,19,4,4,95,0.1%,95,0.1%
South Africa,,,30,30,,30,90,0.1%,90,0.1%
Central African Republic,1,44,2,43,,,90,0.1%,90,0.1%
Syria,80,7,,,,2,89,0.1%,89,0.1%
Ireland,9,,1,63,,14,87,0.0%,87,0.0%
Sri Lanka,,54,3,5,9,11,82,0.0%,82,0.0%
Togo,5,10,59,2,1,5,81,0.0%,81,0.0%
Tajikistan,,,3,0 ,0 ,75,78,0.0%,78,0.0%
Ghana,12,,40,8,11,5,77,0.0%,77,0.0%
Albania,12,1,,1,38,23,75,0.0%,75,0.0%
Kyrgyzstan,,5,14,54,,,73,0.0%,73,0.0%
Djibouti,1,46,19,0 ,,,66,0.0%,66,0.0%
Tanzania,9,53,,,,4,65,0.0%,65,0.0%
Iran,2,,,21,42,,65,0.0%,65,0.0%
Jamaica,10,29,,10,10,,59,0.0%,59,0.0%
Namibia,,,,,56,0 ,56,0.0%,56,0.0%
Uruguay,25,3,10,,13,1,52,0.0%,52,0.0%
Slovenia,,7,,26,19,,52,0.0%,52,0.0%
Switzerland,,,15,33,,,48,0.0%,48,0.0%
unknown recipient(s),36,3,6,3,,,47,0.0%,47,0.0%
Houthi rebels (Yemen)*,10,2,15,19,1,,47,0.0%,47,0.0%
Malta,,,,45,,,45,0.0%,45,0.0%
Mozambique,1,19,5,3,1,14,43,0.0%,43,0.0%
Dominican Republic,4,,5,9,10,13,41,0.0%,41,0.0%
Brunei,,,,11,28,,39,0.0%,39,0.0%
Libya,0 ,,,34,5,,39,0.0%,39,0.0%
Kosovo,3,9,1,14,,8,35,0.0%,35,0.0%
Trinidad and Tobago,,32,,,,,32,0.0%,32,0.0%
Laos,17,3,,3,7,,31,0.0%,31,0.0%
Zambia,3,20,2,5,1,,31,0.0%,31,0.0%
Paraguay,,5,,,,24,29,0.0%,29,0.0%
Mongolia,,25,3,,,,27,0.0%,27,0.0%
Benin,1,,3,12,7,4,26,0.0%,26,0.0%
Bolivia,26,,,,0 ,,26,0.0%,26,0.0%
Gabon,,2,,16,6,,24,0.0%,24,0.0%
Guyana,,5,,5,9,5,24,0.0%,24,0.0%
El Salvador,4,4,7,4,0 ,3,23,0.0%,23,0.0%
Fiji,7,,,,16,,23,0.0%,23,0.0%
Maldives,3,2,,,7,11,23,0.0%,23,0.0%
Papua New Guinea,,14,,9,,,23,0.0%,23,0.0%
Malawi,,,19,,2,,21,0.0%,21,0.0%
Moldova,,,,13,4,5,21,0.0%,21,0.0%
Zimbabwe,,,,20,,,20,0.0%,20,0.0%
Seychelles,,19,,,,,19,0.0%,19,0.0%
RSF (Sudan)*,,,,,2,17,19,0.0%,19,0.0%
African Union**,,3,8,6,,,18,0.0%,18,0.0%
South Sudan,,8,10,,,,18,0.0%,18,0.0%
Georgia,,,2,0 ,15,,17,0.0%,17,0.0%
North Macedonia,,,1,5,1,9,16,0.0%,16,0.0%
Guatemala,,,10,6,,,16,0.0%,16,0.0%
Liberia,,,,14,,0 ,14,0.0%,14,0.0%
Guinea,,1,,1,6,6,14,0.0%,14,0.0%
Montenegro,5,1,2,,6,1,14,0.0%,14,0.0%
Bosnia-Herzegovina,0 ,12,,,,1,14,0.0%,14,0.0%
Somalia,2,2,,4,4,2,13,0.0%,13,0.0%
Equatorial Guinea,,0 ,,,12,,12,0.0%,12,0.0%
Suriname,,,,,12,,12,0.0%,12,0.0%
Congo,,3,,,9,,12,0.0%,12,0.0%
Honduras,0 ,4,,,7,,11,0.0%,11,0.0%
Cameroon,2,4,2,2,,,11,0.0%,11,0.0%
Solomon Islands,,7,,,,,7,0.0%,7,0.0%
Tonga,7,,,,,,7,0.0%,7,0.0%
Vanuatu,,7,,,,,7,0.0%,7,0.0%
Nepal,,0 ,,,,6,6,0.0%,6,0.0%
Mauritius,,1,4,,,,5,0.0%,5,0.0%
Bhutan,,5,,,,,5,0.0%,5,0.0%
United Nations**,,,,,4,,4,0.0%,4,0.0%
Madagascar,1,,,,,3,3,0.0%,3,0.0%
Gambia,,,1,0 ,,1,3,0.0%,3,0.0%
eSwatini,2,,,,,,2,0.0%,2,0.0%
Palestine,,,,2,,,2,0.0%,2,0.0%
Yemen,,,1,,,,1,0.0%,1,0.0%
Belize,,,,1,,,1,0.0%,1,0.0%
Haiti,,,,,,1,1,0.0%,1,0.0%
Hezbollah (Lebanon)*,,,,1,,,1,0.0%,1,0.0%
Antigua and Barbuda,,,0 ,0 ,,,1,0.0%,1,0.0%
Comoros,,,,,,0 ,0 ,0.0%,0 ,0.0%
Total world import,24055,27084,33297,29527,30721,33535,178217,100%,178217,

