Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 25 Aug 2026 5:02:56 PM

Recipient,2020,2021,2022,2023,2024,2025,2020-2025,Percentage,Sum total years,Percentage of total
Canada,54,39,45,27,119,67,351,0.5%,351,0.5%
Philippines,61,91,4,18,86,89,349,0.5%,349,0.5%
Bulgaria,,,,,,338,338,0.5%,338,0.5%
Turkiye,12,16,27,101,86,68,311,0.4%,311,0.4%
Afghanistan,231,65,,,,,296,0.4%,296,0.4%
Lithuania,37,46,42,20,45,24,213,0.3%,213,0.3%
Hungary,,,,40,125,43,208,0.3%,208,0.3%
France,100,7,10,,3,53,172,0.2%,172,0.2%
Thailand,23,,35,34,31,24,147,0.2%,147,0.2%
Colombia,17,43,49,3,12,21,144,0.2%,144,0.2%
Viet Nam,,54,,,14,72,139,0.2%,139,0.2%
Lebanon,45,43,30,14,,,132,0.2%,132,0.2%
Estonia,4,2,,,,118,124,0.2%,124,0.2%
Czechia,1,,,74,44,,119,0.2%,119,0.2%
Algeria,4,,32,40,40,,116,0.2%,116,0.2%
Brazil,17,27,11,26,9,22,110,0.1%,110,0.1%
NATO**,105,,,,,,105,0.1%,105,0.1%
Finland,76,,,,,,76,0.1%,76,0.1%
Tunisia,15,,15,11,26,7,75,0.1%,75,0.1%
Sri Lanka,,54,0 ,,8,6,68,0.1%,68,0.1%
Jordan,4,22,23,5,13,,67,0.1%,67,0.1%
Argentina,7,4,15,17,14,10,66,0.1%,66,0.1%
Portugal,29,4,,8,7,11,58,0.1%,58,0.1%
Kenya,17,,,,2,23,42,0.1%,42,0.1%
Croatia,,,29,,,13,42,0.1%,42,0.1%
Iraq,3,,11,8,12,7,41,0.1%,41,0.1%
Malaysia,1,,26,11,,,38,0.1%,38,0.1%
Niger,4,14,11,,,,30,0.0%,30,0.0%
Switzerland,,,15,15,,,30,0.0%,30,0.0%
Mexico,20,,,,,9,29,0.0%,29,0.0%
Pakistan,12,,,7,3,7,29,0.0%,29,0.0%
Ecuador,,1,,1,12,10,24,0.0%,24,0.0%
Chile,,23,,,,,23,0.0%,23,0.0%
Latvia,,,15,7,,,22,0.0%,22,0.0%
Bangladesh,,9,5,4,2,,21,0.0%,21,0.0%
Dominican Republic,4,,5,6,1,4,20,0.0%,20,0.0%
Albania,12,1,,1,5,1,20,0.0%,20,0.0%
Kosovo,3,9,,,,8,20,0.0%,20,0.0%
Togo,5,10,4,1,,,20,0.0%,20,0.0%
Slovenia,,7,,10,3,,20,0.0%,20,0.0%
El Salvador,4,4,7,1,0 ,3,19,0.0%,19,0.0%
Guyana,,5,,5,5,4,19,0.0%,19,0.0%
Nigeria,,4,,5,7,3,19,0.0%,19,0.0%
Turkmenistan,,18,,,,,18,0.0%,18,0.0%
Peru,1,1,14,,1,1,17,0.0%,17,0.0%
Jamaica,,17,,,,,17,0.0%,17,0.0%
Guatemala,,,10,6,,,16,0.0%,16,0.0%
Montenegro,5,1,2,,6,1,14,0.0%,14,0.0%
Bosnia-Herzegovina,0 ,12,,,,,13,0.0%,13,0.0%
Liberia,,,,13,,,13,0.0%,13,0.0%
North Macedonia,,,1,5,1,5,12,0.0%,12,0.0%
Botswana,,,,,11,,11,0.0%,11,0.0%
Uruguay,,1,5,,3,1,10,0.0%,10,0.0%
unknown recipient(s),10,,,,,,10,0.0%,10,0.0%
Oman,4,4,,,,,8,0.0%,8,0.0%
Austria,2,,1,1,1,2,8,0.0%,8,0.0%
Zambia,1,,,5,1,,7,0.0%,7,0.0%
Azerbaijan,,,,,,6,6,0.0%,6,0.0%
Honduras,0 ,4,,,,,5,0.0%,5,0.0%
Uganda,5,,,,,,5,0.0%,5,0.0%
Serbia,0 ,1,2,,1,0 ,4,0.0%,4,0.0%
United Nations**,,,,,4,,4,0.0%,4,0.0%
Ghana,,,,3,,0 ,4,0.0%,4,0.0%
Chad,3,,,,,,3,0.0%,3,0.0%
Russia,1,1,1,,,,3,0.0%,3,0.0%
Georgia,,,2,,,,2,0.0%,2,0.0%
Cote d'Ivoire,,,2,,,0 ,2,0.0%,2,0.0%
Paraguay,,2,,,,,2,0.0%,2,0.0%
Rwanda,,2,,,,,2,0.0%,2,0.0%
Benin,,,,,0 ,1,2,0.0%,2,0.0%
Burkina Faso,,,1,,,,1,0.0%,1,0.0%
Belize,,,,1,,,1,0.0%,1,0.0%
Senegal,,1,,,,,1,0.0%,1,0.0%
Cameroon,,,,1,,,1,0.0%,1,0.0%
Bolivia,,,,,0 ,,0 ,0.0%,0 ,0.0%
Total imports from United States,9730,11601,14505,10920,13651,13980,74388,100%,74388,

