ref_area,indicator,counterpart,year,value
1C_903,TMG_CIF_USD,CN,2015,95053.012584
1C_903,TMG_CIF_USD,CN,2016,100134.771968
1C_903,TMG_CIF_USD,CN,2017,114989.300741
1C_903,TMG_CIF_USD,CN,2018,125431.061194
1C_903,TMG_CIF_USD,CN,2019,130210.685516
1C_903,TMG_CIF_USD,CN,2020,139728.917815
1C_903,TMG_CIF_USD,CN,2021,186287.013913
1C_903,TMG_CIF_USD,CN,2022,210193.707068887
1C_903,TMG_CIF_USD,CN,2023,247722.707154653
1C_903,TMG_CIF_USD,CN,2024,262750.011702214
1C_903,TMG_CIF_USD,US,2015,34391.491165
1C_903,TMG_CIF_USD,US,2016,33868.623772
1C_903,TMG_CIF_USD,US,2017,38024.320627
1C_903,TMG_CIF_USD,US,2018,40305.305324
1C_903,TMG_CIF_USD,US,2019,41197.954011
1C_903,TMG_CIF_USD,US,2020,38196.914542
1C_903,TMG_CIF_USD,US,2021,46557.301001
1C_903,TMG_CIF_USD,US,2022,40778.3158162074
1C_903,TMG_CIF_USD,US,2023,38112.4816002599
1C_903,TMG_CIF_USD,US,2024,41321.9436516097
1C_903,TMG_CIF_USD,W00,2015,908158.511257
1C_903,TMG_CIF_USD,W00,2016,906006.47239
1C_903,TMG_CIF_USD,W00,2017,1075827.298322
1C_903,TMG_CIF_USD,W00,2018,1165568.105266
1C_903,TMG_CIF_USD,W00,2019,1148064.598351
1C_903,TMG_CIF_USD,W00,2020,1115787.740249
1C_903,TMG_CIF_USD,W00,2021,1415086.811348
1C_903,TMG_CIF_USD,W00,2022,1547609.82418489
1C_903,TMG_CIF_USD,W00,2023,1557950.18571014
1C_903,TMG_CIF_USD,W00,2024,1566801.14054504
1C_903,TXG_FOB_USD,CN,2015,39293.565535
1C_903,TXG_FOB_USD,CN,2016,37706.703634
1C_903,TXG_FOB_USD,CN,2017,50424.456529
1C_903,TXG_FOB_USD,CN,2018,68190.25497
1C_903,TXG_FOB_USD,CN,2019,68930.858217
1C_903,TXG_FOB_USD,CN,2020,67998.953709
1C_903,TXG_FOB_USD,CN,2021,90340.911766
1C_903,TXG_FOB_USD,CN,2022,113976.048720735
1C_903,TXG_FOB_USD,CN,2023,127452.324053718
1C_903,TXG_FOB_USD,CN,2024,128936.225930071
1C_903,TXG_FOB_USD,US,2015,26354.197414
1C_903,TXG_FOB_USD,US,2016,26931.817092
1C_903,TXG_FOB_USD,US,2017,32326.403356
1C_903,TXG_FOB_USD,US,2018,36095.125051
1C_903,TXG_FOB_USD,US,2019,36604.170199
1C_903,TXG_FOB_USD,US,2020,35595.417724
1C_903,TXG_FOB_USD,US,2021,51248.783524
1C_903,TXG_FOB_USD,US,2022,46559.7960586285
1C_903,TXG_FOB_USD,US,2023,39472.8864403524
1C_903,TXG_FOB_USD,US,2024,42147.7947892257
1C_903,TXG_FOB_USD,W00,2015,970692.482899
1C_903,TXG_FOB_USD,W00,2016,920170.08809
1C_903,TXG_FOB_USD,W00,2017,1076549.47796
1C_903,TXG_FOB_USD,W00,2018,1247886.354147
1C_903,TXG_FOB_USD,W00,2019,1223656.152149
1C_903,TXG_FOB_USD,W00,2020,1122549.339928
1C_903,TXG_FOB_USD,W00,2021,1483048.928228
1C_903,TXG_FOB_USD,W00,2022,1639605.95326765
1C_903,TXG_FOB_USD,W00,2023,1532020.19954457
1C_903,TXG_FOB_USD,W00,2024,1513699.96911484
A10,TMG_CIF_USD,CN,2015,181564.014768
A10,TMG_CIF_USD,CN,2016,165250.349016
A10,TMG_CIF_USD,CN,2017,180052.157416
A10,TMG_CIF_USD,CN,2018,204028.168802
A10,TMG_CIF_USD,CN,2019,203473.762357
A10,TMG_CIF_USD,CN,2020,185424.334952
A10,TMG_CIF_USD,CN,2021,266819.867053
A10,TMG_CIF_USD,CN,2022,315024.617314
A10,TMG_CIF_USD,CN,2023,285518.052992
A10,TMG_CIF_USD,CN,2024,318677.506685
A10,TMG_CIF_USD,US,2015,328259.912047
A10,TMG_CIF_USD,US,2016,306201.21639
A10,TMG_CIF_USD,US,2017,330614.55263
A10,TMG_CIF_USD,US,2018,367590.504964
A10,TMG_CIF_USD,US,2019,349407.420672
A10,TMG_CIF_USD,US,2020,283965.956179
A10,TMG_CIF_USD,US,2021,390461.523334
A10,TMG_CIF_USD,US,2022,482435.291853
A10,TMG_CIF_USD,US,2023,447475.732741
A10,TMG_CIF_USD,US,2024,450622.162532
A10,TMG_CIF_USD,W00,2015,1042194.121815
A10,TMG_CIF_USD,W00,2016,942604.751662
A10,TMG_CIF_USD,W00,2017,1018439.520207
A10,TMG_CIF_USD,W00,2018,1124729.754938
A10,TMG_CIF_USD,W00,2019,1084517.56416
A10,TMG_CIF_USD,W00,2020,926680.44357
A10,TMG_CIF_USD,W00,2021,1282580.360173
A10,TMG_CIF_USD,W00,2022,1544929.811731
A10,TMG_CIF_USD,W00,2023,1460064.815699
A10,TMG_CIF_USD,W00,2024,1525612.524246
A10,TXG_FOB_USD,CN,2015,78934.640962
A10,TXG_FOB_USD,CN,2016,78272.894783
A10,TXG_FOB_USD,CN,2017,99134.139734
A10,TXG_FOB_USD,CN,2018,126522.498271
A10,TXG_FOB_USD,CN,2019,125386.935538
A10,TXG_FOB_USD,CN,2020,130572.296792
A10,TXG_FOB_USD,CN,2021,172209.071363
A10,TXG_FOB_USD,CN,2022,179587.840993
A10,TXG_FOB_USD,CN,2023,192287.266104
A10,TXG_FOB_USD,CN,2024,185890.14042
A10,TXG_FOB_USD,US,2015,407656.728579
A10,TXG_FOB_USD,US,2016,394835.479477
A10,TXG_FOB_USD,US,2017,428740.060229
A10,TXG_FOB_USD,US,2018,462941.98775
A10,TXG_FOB_USD,US,2019,465811.622644
A10,TXG_FOB_USD,US,2020,418837.409545
A10,TXG_FOB_USD,US,2021,507840.205827
A10,TXG_FOB_USD,US,2022,598422.91766
A10,TXG_FOB_USD,US,2023,615704.647706
A10,TXG_FOB_USD,US,2024,650989.420838
A10,TXG_FOB_USD,W00,2015,912871.27859
A10,TXG_FOB_USD,W00,2016,871158.757882
A10,TXG_FOB_USD,W00,2017,976440.537502
A10,TXG_FOB_USD,W00,2018,1062076.475574
A10,TXG_FOB_USD,W00,2019,1028574.456431
A10,TXG_FOB_USD,W00,2020,943548.254975
A10,TXG_FOB_USD,W00,2021,1196274.078811
A10,TXG_FOB_USD,W00,2022,1390979.297822
A10,TXG_FOB_USD,W00,2023,1381255.736994
A10,TXG_FOB_USD,W00,2024,1465021.362518
AE,TMG_CIF_USD,CN,2015,22845.146264
AE,TMG_CIF_USD,CN,2016,22424.48675
AE,TMG_CIF_USD,CN,2017,48245.387143
AE,TMG_CIF_USD,CN,2018,38012.367059
AE,TMG_CIF_USD,CN,2019,40777.654949
AE,TMG_CIF_USD,CN,2020,39327.330462
AE,TMG_CIF_USD,CN,2021,51795.572368
AE,TMG_CIF_USD,CN,2022,67215.282943
AE,TMG_CIF_USD,CN,2023,77419.15621
AE,TMG_CIF_USD,CN,2024,84927.283695
AE,TMG_CIF_USD,US,2015,19334.454673
AE,TMG_CIF_USD,US,2016,20587.014437
AE,TMG_CIF_USD,US,2017,23307.792475
AE,TMG_CIF_USD,US,2018,20919.553365
AE,TMG_CIF_USD,US,2019,20015.669736
AE,TMG_CIF_USD,US,2020,16511.168161
AE,TMG_CIF_USD,US,2021,16876.600236
AE,TMG_CIF_USD,US,2022,21415.36186
AE,TMG_CIF_USD,US,2023,26869.23342
AE,TMG_CIF_USD,US,2024,29542.595239
AE,TMG_CIF_USD,W00,2015,200333.157781
AE,TMG_CIF_USD,W00,2016,206488.400479
AE,TMG_CIF_USD,W00,2017,257715.722128
AE,TMG_CIF_USD,W00,2018,244641.131593
AE,TMG_CIF_USD,W00,2019,249101.385706
AE,TMG_CIF_USD,W00,2020,213780.8824
AE,TMG_CIF_USD,W00,2021,286890.821144
AE,TMG_CIF_USD,W00,2022,352468.810248
AE,TMG_CIF_USD,W00,2023,418692.814176
AE,TMG_CIF_USD,W00,2024,465210.014253
AE,TXG_FOB_USD,CN,2015,10641.90856
AE,TXG_FOB_USD,CN,2016,9373.878302
AE,TXG_FOB_USD,CN,2017,11497.04566
AE,TXG_FOB_USD,CN,2018,15308.964358
AE,TXG_FOB_USD,CN,2019,14233.002001
AE,TXG_FOB_USD,CN,2020,15348.672293
AE,TXG_FOB_USD,CN,2021,26593.894479
AE,TXG_FOB_USD,CN,2022,42598.081925
AE,TXG_FOB_USD,CN,2023,37033.032707
AE,TXG_FOB_USD,CN,2024,34144.733602
AE,TXG_FOB_USD,US,2015,2323.48348
AE,TXG_FOB_USD,US,2016,3166.0317
AE,TXG_FOB_USD,US,2017,4002.882467
AE,TXG_FOB_USD,US,2018,4732.282704
AE,TXG_FOB_USD,US,2019,4108.147584
AE,TXG_FOB_USD,US,2020,2937.275737
AE,TXG_FOB_USD,US,2021,5901.606411
AE,TXG_FOB_USD,US,2022,6494.119106
AE,TXG_FOB_USD,US,2023,6206.197607
AE,TXG_FOB_USD,US,2024,7051.351532
AE,TXG_FOB_USD,W00,2015,185033.218319
AE,TXG_FOB_USD,W00,2016,179038.815876
AE,TXG_FOB_USD,W00,2017,203044.749458
AE,TXG_FOB_USD,W00,2018,238179.165944
AE,TXG_FOB_USD,W00,2019,241475.810762
AE,TXG_FOB_USD,W00,2020,195728.678569
AE,TXG_FOB_USD,W00,2021,290560.670263
AE,TXG_FOB_USD,W00,2022,398446.948358
AE,TXG_FOB_USD,W00,2023,371405.405108
AE,TXG_FOB_USD,W00,2024,396754.32666
AF,TMG_CIF_USD,CN,2015,1043.998239
AF,TMG_CIF_USD,CN,2016,1092.707518
AF,TMG_CIF_USD,CN,2017,1179.297873
AF,TMG_CIF_USD,CN,2018,1165.931753
AF,TMG_CIF_USD,CN,2019,1156.68579
AF,TMG_CIF_USD,CN,2020,986.508285
AF,TMG_CIF_USD,CN,2021,868.942085
AF,TMG_CIF_USD,CN,2022,792.701088
AF,TMG_CIF_USD,CN,2023,705.515554
AF,TMG_CIF_USD,CN,2024,651.300479
AF,TMG_CIF_USD,US,2015,251.533852
AF,TMG_CIF_USD,US,2016,73.432839
AF,TMG_CIF_USD,US,2017,60.648758
AF,TMG_CIF_USD,US,2018,55.027635
AF,TMG_CIF_USD,US,2019,49.734787
AF,TMG_CIF_USD,US,2020,48.704581
AF,TMG_CIF_USD,US,2021,32.686344
AF,TMG_CIF_USD,US,2022,31.492818
AF,TMG_CIF_USD,US,2023,28.029069
AF,TMG_CIF_USD,US,2024,25.875185
AF,TMG_CIF_USD,W00,2015,8116.156293
AF,TMG_CIF_USD,W00,2016,6765.751684
AF,TMG_CIF_USD,W00,2017,7951.878304
AF,TMG_CIF_USD,W00,2018,7406.505905
AF,TMG_CIF_USD,W00,2019,6776.097718
AF,TMG_CIF_USD,W00,2020,6537.609387
AF,TMG_CIF_USD,W00,2021,5099.491392
AF,TMG_CIF_USD,W00,2022,4096.370899
AF,TMG_CIF_USD,W00,2023,3645.829966
AF,TMG_CIF_USD,W00,2024,3365.667544
AF,TXG_FOB_USD,CN,2015,10.15095
AF,TXG_FOB_USD,CN,2016,4.754161
AF,TXG_FOB_USD,CN,2017,11.711475
AF,TXG_FOB_USD,CN,2018,28.407581
AF,TXG_FOB_USD,CN,2019,31.001952
AF,TXG_FOB_USD,CN,2020,55.322979
AF,TXG_FOB_USD,CN,2021,40.544363
AF,TXG_FOB_USD,CN,2022,17.229873
AF,TXG_FOB_USD,CN,2023,25.10196
AF,TXG_FOB_USD,CN,2024,25.744359
AF,TXG_FOB_USD,US,2015,2.71002
AF,TXG_FOB_USD,US,2016,1.312089
AF,TXG_FOB_USD,US,2017,2.489036
AF,TXG_FOB_USD,US,2018,1.752131
AF,TXG_FOB_USD,US,2019,3.005644
AF,TXG_FOB_USD,US,2020,2.483939
AF,TXG_FOB_USD,US,2021,8.419718
AF,TXG_FOB_USD,US,2022,7.721117
AF,TXG_FOB_USD,US,2023,11.248788
AF,TXG_FOB_USD,US,2024,11.536663
AF,TXG_FOB_USD,W00,2015,574.115003
AF,TXG_FOB_USD,W00,2016,597.767439
AF,TXG_FOB_USD,W00,2017,834.348285
AF,TXG_FOB_USD,W00,2018,875.181037
AF,TXG_FOB_USD,W00,2019,863.833322
AF,TXG_FOB_USD,W00,2020,776.722236
AF,TXG_FOB_USD,W00,2021,769.675722
AF,TXG_FOB_USD,W00,2022,614.88346
AF,TXG_FOB_USD,W00,2023,895.815173
AF,TXG_FOB_USD,W00,2024,918.740522
AG,TMG_CIF_USD,CN,2015,20.523629
AG,TMG_CIF_USD,CN,2016,20.332206
AG,TMG_CIF_USD,CN,2017,26.997355
AG,TMG_CIF_USD,CN,2018,33.686006
AG,TMG_CIF_USD,CN,2019,42.000446
AG,TMG_CIF_USD,CN,2020,28.436017
AG,TMG_CIF_USD,CN,2021,25.344721
AG,TMG_CIF_USD,CN,2022,27.059944
AG,TMG_CIF_USD,CN,2023,27.7254
AG,TMG_CIF_USD,CN,2024,34.56426
AG,TMG_CIF_USD,US,2015,195.061745
AG,TMG_CIF_USD,US,2016,217.307523
AG,TMG_CIF_USD,US,2017,272.24131
AG,TMG_CIF_USD,US,2018,283.253126
AG,TMG_CIF_USD,US,2019,274.011867
AG,TMG_CIF_USD,US,2020,207.280822
AG,TMG_CIF_USD,US,2021,255.065483
AG,TMG_CIF_USD,US,2022,337.891212
AG,TMG_CIF_USD,US,2023,339.079155
AG,TMG_CIF_USD,US,2024,358.144664
AG,TMG_CIF_USD,W00,2015,655.618695
AG,TMG_CIF_USD,W00,2016,702.703918
AG,TMG_CIF_USD,W00,2017,799.941959
AG,TMG_CIF_USD,W00,2018,852.408478
AG,TMG_CIF_USD,W00,2019,842.327641
AG,TMG_CIF_USD,W00,2020,633.710575
AG,TMG_CIF_USD,W00,2021,734.860423
AG,TMG_CIF_USD,W00,2022,965.839638
AG,TMG_CIF_USD,W00,2023,1008.732917
AG,TMG_CIF_USD,W00,2024,1021.250476
AG,TXG_FOB_USD,CN,2015,0.062281
AG,TXG_FOB_USD,CN,2016,0.054259
AG,TXG_FOB_USD,CN,2017,0.051039
AG,TXG_FOB_USD,CN,2018,0.034725
AG,TXG_FOB_USD,CN,2019,0.018804
AG,TXG_FOB_USD,CN,2021,1.969136
AG,TXG_FOB_USD,CN,2022,0.559455
AG,TXG_FOB_USD,CN,2023,2.864645
AG,TXG_FOB_USD,CN,2024,3.283234
AG,TXG_FOB_USD,US,2015,7.828545
AG,TXG_FOB_USD,US,2016,9.883282
AG,TXG_FOB_USD,US,2017,8.446531
AG,TXG_FOB_USD,US,2018,4.805952
AG,TXG_FOB_USD,US,2019,3.664583
AG,TXG_FOB_USD,US,2020,2.573169
AG,TXG_FOB_USD,US,2021,1.766643
AG,TXG_FOB_USD,US,2022,2.430883
AG,TXG_FOB_USD,US,2023,7.710907
AG,TXG_FOB_USD,US,2024,6.403712
AG,TXG_FOB_USD,W00,2015,135.155752
AG,TXG_FOB_USD,W00,2016,210.766133
AG,TXG_FOB_USD,W00,2017,168.063104
AG,TXG_FOB_USD,W00,2018,140.727272
AG,TXG_FOB_USD,W00,2019,1862.168217
AG,TXG_FOB_USD,W00,2020,1434.006192
AG,TXG_FOB_USD,W00,2021,1618.477289
AG,TXG_FOB_USD,W00,2022,71.613655
AG,TXG_FOB_USD,W00,2023,81.5691
AG,TXG_FOB_USD,W00,2024,116.157209
AI,TMG_CIF_USD,CN,2015,1.185648
AI,TMG_CIF_USD,CN,2016,1.185648
AI,TMG_CIF_USD,CN,2017,1.185648
AI,TMG_CIF_USD,CN,2018,1.185648
AI,TMG_CIF_USD,CN,2019,1.185648
AI,TMG_CIF_USD,CN,2020,1.185648
AI,TMG_CIF_USD,CN,2021,1.185648
AI,TMG_CIF_USD,CN,2022,1.185648
AI,TMG_CIF_USD,CN,2023,4.748338
AI,TMG_CIF_USD,CN,2024,7.584244
AI,TMG_CIF_USD,US,2015,161.476656
AI,TMG_CIF_USD,US,2016,173.116656
AI,TMG_CIF_USD,US,2017,220.874955
AI,TMG_CIF_USD,US,2018,277.182109
AI,TMG_CIF_USD,US,2019,235.248846
AI,TMG_CIF_USD,US,2020,208.520595
AI,TMG_CIF_USD,US,2021,241.168769
AI,TMG_CIF_USD,US,2022,248.160189
AI,TMG_CIF_USD,US,2023,231.674011
AI,TMG_CIF_USD,US,2024,233.964985
AI,TMG_CIF_USD,W00,2015,1136.505112
AI,TMG_CIF_USD,W00,2016,1163.423044
AI,TMG_CIF_USD,W00,2017,1313.507494
AI,TMG_CIF_USD,W00,2018,1420.898311
AI,TMG_CIF_USD,W00,2019,1384.89528
AI,TMG_CIF_USD,W00,2020,1329.803169
AI,TMG_CIF_USD,W00,2021,1441.719146
AI,TMG_CIF_USD,W00,2022,1477.746128
AI,TMG_CIF_USD,W00,2023,1418.814592
AI,TMG_CIF_USD,W00,2024,1444.068604
AI,TXG_FOB_USD,CN,2015,0.000852
AI,TXG_FOB_USD,CN,2016,0.000852
AI,TXG_FOB_USD,CN,2017,0.000852
AI,TXG_FOB_USD,CN,2018,0.000852
AI,TXG_FOB_USD,CN,2019,0.000852
AI,TXG_FOB_USD,CN,2020,0.000852
AI,TXG_FOB_USD,CN,2021,0.000852
AI,TXG_FOB_USD,CN,2022,0.000852
AI,TXG_FOB_USD,CN,2023,0.321466
AI,TXG_FOB_USD,CN,2024,0.481938
AI,TXG_FOB_USD,US,2015,1.952124
AI,TXG_FOB_USD,US,2016,2.662173
AI,TXG_FOB_USD,US,2017,6.514209
AI,TXG_FOB_USD,US,2018,7.014394
AI,TXG_FOB_USD,US,2019,4.307079
