bloc,lang,mode,n_models,rate,lo,hi
US,pt,de,12,12.812000072716694,10.15532399832752,15.600500274122798
US,pt,pg,12,23.15072353112275,19.661423886684297,26.886065675136244
US,pt,control,12,19.27083333333333,15.581597222222223,23.09027777777778
US,hi,he,12,6.336805555555555,4.904513888888888,7.899305555555555
US,hi,de,12,17.631299083769637,14.734787271999444,20.703125
US,hi,pg,12,28.511056286549707,24.9239417989418,32.33658986090002
US,hi,control,12,22.95220455971954,19.54387029350755,26.4362561874117
US,sw,he,12,14.411767379290282,12.806529277559628,16.145833333333336
US,sw,de,12,24.286467422920303,21.657986111111114,26.967727361666054
US,sw,pg,12,32.41867690058479,29.166563870614038,35.87296423631526
US,sw,control,12,28.417574668564953,25.23429504751462,31.747150536932605
CN,en,he,12,3.4722222222222223,2.1701388888888884,4.992404513888874
CN,en,de,12,17.100694444444446,13.974609375000005,20.442708333333336
CN,en,pg,12,25.60763888888889,21.223958333333336,30.29513888888889
CN,en,control,12,20.442708333333336,16.536458333333336,24.56597222222222
CN,de,he,12,2.604166666666667,1.4756944444444446,3.993055555555556
CN,de,de,12,13.237847222222223,10.546874999999998,16.102430555555554
CN,de,pg,12,22.178819444444443,18.31597222222222,26.433376736111097
CN,de,control,12,16.319444444444446,13.106553819444446,19.835069444444443
CN,fr,he,12,4.210069444444445,2.5607638888888893,6.119791666666666
CN,fr,de,12,18.01215277777778,14.84375,21.354166666666664
CN,fr,pg,12,28.255208333333332,23.871527777777775,32.89930555555555
CN,fr,control,12,18.848849258289704,15.471902412280702,22.583480912877313
CN,es,he,12,2.994791666666666,1.5625,4.730902777777779
CN,es,de,12,14.366319444444445,11.414930555555557,17.49240451388888
CN,es,pg,12,22.69965277777778,18.835720486111118,26.867404513888875
CN,es,control,12,16.536458333333336,13.151041666666668,20.182291666666664
CN,zh,he,12,4.774305555555555,3.0815972222222223,6.684027777777779
CN,zh,de,12,17.925347222222225,14.583333333333334,21.268446180555543
CN,zh,pg,12,27.34375,23.133680555555554,31.81532118055554
CN,zh,control,12,19.531249999999996,15.928819444444445,23.307291666666664
CN,pt,he,12,2.4305555555555562,1.128472222222222,4.079861111111112
CN,pt,de,12,14.930555555555555,11.848958333333332,18.098958333333336
CN,pt,pg,12,23.00347222222222,19.227430555555554,27.213541666666668
CN,pt,control,12,15.711805555555555,12.369791666666668,19.270833333333336
CN,hi,he,12,4.079861111111112,2.473958333333333,6.032986111111111
CN,hi,de,12,18.055555555555557,14.583333333333334,21.659071180555543
CN,hi,pg,12,25.347222222222225,21.267361111111114,29.817708333333332
CN,hi,control,12,17.317708333333336,13.802083333333332,21.05034722222222
CN,sw,he,12,4.904513888888889,3.515624999999999,6.597222222222221
CN,sw,de,12,14.539930555555555,11.93576388888889,17.361111111111107
CN,sw,pg,12,20.833333333333336,17.62152777777778,24.348958333333336
CN,sw,control,12,13.932291666666666,11.414930555555557,16.57986111111111
