model,origin,mode,lang_max,lang_min,range_pp,range_pp_lo,range_pp_hi,range_logodds,range_logodds_lo,range_logodds_hi
nova-2-lite,US,control,sw,hi,36.45833333333333,31.25,44.791666666666664,1.9136562978004856,1.6226224912424205,2.4589596119849846
sonnet-5,US,he,sw,en,3.1495418848167542,2.096626854275743,7.291666666666666,1.035907790733722,0.673655837312972,3.097868418428716
sonnet-5,US,de,sw,en,16.813917975567193,12.090968586387435,23.26206140350877,1.0997679276328056,0.8094178636249412,1.5809438924738188
sonnet-5,US,pg,zh,en,17.951025305410123,13.541666666666663,26.086074561403503,0.7716130326258142,0.5737331546883833,1.1429223780541489
sonnet-5,US,control,sw,en,7.853403141361256,5.6663803446771395,13.541666666666668,0.5191180025439754,0.37053441552200084,0.9239458174791613
deepseek-v4-pro,CN,he,fr,pt,4.6875,3.125,9.375,0.918498477192009,0.655484706911678,2.147598328875388
deepseek-v4-pro,CN,de,fr,en,20.3125,15.625,26.5625,1.2396458356499993,0.9603103429154798,1.6852600012830974
deepseek-v4-pro,CN,pg,fr,en,22.916666666666664,17.1875,29.6875,1.0973186274268891,0.8059967241684959,1.4413448095917885
deepseek-v4-pro,CN,control,hi,pt,6.770833333333334,4.166666666666666,11.979166666666668,0.468922568209619,0.30216165552160756,0.8776923905848717
glm-5.2,CN,he,fr,zh,4.6875,2.604166666666667,8.333333333333334,1.1475350876278414,0.673655837312972,2.5439845385360846
glm-5.2,CN,de,fr,zh,18.229166666666664,13.541666666666666,26.041666666666668,1.0983656187112596,0.8448231766153249,1.6283559753205457
glm-5.2,CN,pg,fr,sw,18.749999999999996,13.020833333333332,26.5625,0.8784896394749314,0.5950629860981564,1.2609542783056917
glm-5.2,CN,control,en,sw,17.1875,12.5,23.4375,1.3464148753812204,0.9878513240858058,1.9436928532466662
hy3,CN,he,en,de,4.6875,2.083333333333333,7.8125,2.9923204653996547,2.2182227241759933,3.515112749297515
hy3,CN,de,en,de,21.875000000000004,16.666666666666668,28.125,2.04021463655692,1.6206018621566898,3.007870860610453
hy3,CN,pg,en,sw,19.791666666666664,14.583333333333332,26.041666666666668,1.3981972656222146,1.066316758246261,1.9507834530469812
hy3,CN,control,en,de,10.416666666666666,7.291666666666666,16.666666666666668,1.0729482802303012,0.8306459860939661,1.8972629156611442
kimi-k2.6,CN,he,fr,pt,6.770833333333333,4.166666666666667,10.416666666666668,1.895230877702331,1.1475350876278414,3.583282838820968
kimi-k2.6,CN,de,hi,sw,13.020833333333334,8.333333333333334,19.791666666666668,0.7946235355713624,0.5314802236113877,1.2652503107078497
kimi-k2.6,CN,pg,fr,pt,18.750000000000004,14.583333333333334,26.041666666666664,0.9596759487036766,0.746495494538295,1.3564463330760008
kimi-k2.6,CN,control,fr,sw,14.0625,9.895833333333332,20.312499999999996,0.9384838422430004,0.647769444364638,1.3909935762222134
kimi-k3,CN,he,fr,de,2.0833333333333335,1.5625,5.208333333333334,0.976732400510322,0.9140427560428019,2.9923204653996547
kimi-k3,CN,de,hi,zh,8.854166666666666,5.208333333333333,13.541666666666668,1.123072292459808,0.7049939055414313,1.9319768999376616
kimi-k3,CN,pg,en,sw,8.333333333333332,5.208333333333334,14.0625,0.6958703720328949,0.4420127346412537,1.2583210626246897
kimi-k3,CN,control,hi,sw,8.854166666666666,6.770833333333333,14.583333333333332,0.8410767317558909,0.6400795885427342,1.4710301071038123
ling-3.0-flash,CN,he,sw,fr,16.666666666666668,11.979166666666668,22.395833333333336,2.808566193412579,2.196840865882521,4.627380712352812
ling-3.0-flash,CN,de,sw,fr,24.479166666666664,20.833333333333332,31.25,1.9981882233426176,1.6300054197015497,2.852936633639172
ling-3.0-flash,CN,pg,zh,de,24.479166666666668,20.3125,31.770833333333332,1.4503055840159114,1.2227896698501808,1.9900135518473674
ling-3.0-flash,CN,control,zh,fr,25.520833333333332,21.354166666666668,32.8125,1.5240320113058186,1.2629361729310364,2.095146476487329
mimo-v2.5-pro,CN,he,en,de,2.0833333333333335,1.5625,5.208333333333334,1.3203919473404961,1.1019926976093493,2.9923204653996547
mimo-v2.5-pro,CN,de,hi,de,12.5,8.854166666666668,17.708333333333332,2.196840865882521,1.6911801767437185,4.115392757859462
mimo-v2.5-pro,CN,pg,hi,de,19.270833333333332,14.583333333333334,25.520833333333336,2.0030560924346656,1.635060246953157,3.0689024544340415
mimo-v2.5-pro,CN,control,en,sw,16.666666666666668,11.979166666666666,22.395833333333336,2.106725954529117,1.4551453785744035,3.325499993919895
minimax-m3,CN,he,zh,de,11.458333333333334,7.291666666666666,16.666666666666664,1.603622579251457,1.0222671179815817,2.6604101445361747
minimax-m3,CN,de,zh,de,19.270833333333336,14.0625,27.083333333333336,0.9174159995068396,0.6913336731629011,1.3423003692139515
minimax-m3,CN,pg,zh,sw,18.75,15.104166666666668,27.604166666666668,0.7839392803894811,0.6386062929648672,1.1769024288045837
minimax-m3,CN,control,zh,sw,12.499999999999996,8.854166666666668,20.833333333333332,0.5950747956972525,0.43989669279080856,1.01205965683813
qwen3.7-plus,CN,he,fr,sw,2.0833333333333335,1.5625,5.208333333333333,0.7834741945218875,0.5681078842839105,2.596614272105506
qwen3.7-plus,CN,de,fr,sw,14.0625,9.895833333333334,19.791666666666664,1.505179119496368,1.0409791537178927,2.2796573216629215
qwen3.7-plus,CN,pg,fr,sw,19.270833333333332,14.583333333333334,26.041666666666668,1.2439928866682946,0.9254868116968751,1.7270046023362102
qwen3.7-plus,CN,control,en,sw,14.0625,9.375000000000002,19.791666666666668,0.9848146218633282,0.6677341958151007,1.4537362658140474
qwen3.8-27b,CN,he,sw,es,5.208333333333334,3.645833333333333,9.895833333333332,1.2245806583186263,0.8590286197073604,3.2832412008231047
qwen3.8-27b,CN,de,fr,de,9.895833333333332,7.291666666666666,16.666666666666668,0.7113934974118323,0.4968354683334564,1.2410757963514207
qwen3.8-27b,CN,pg,fr,sw,10.9375,7.812500000000003,18.763020833333147,0.5734606147306944,0.4311286523684223,1.022153559941171
qwen3.8-27b,CN,control,fr,sw,14.062500000000004,9.375,21.875,0.8303387505189147,0.5596851898069877,1.3210438428002296
qwen3.8-flash,CN,he,zh,en,3.6458333333333335,2.083333333333333,6.770833333333334,1.3724385938044708,0.6574373101274804,3.1943347159520834
qwen3.8-flash,CN,de,pt,sw,10.416666666666666,6.249999999999998,15.625,0.9482378232059521,0.5517350621923562,1.4979750207388929
qwen3.8-flash,CN,pg,es,hi,9.374999999999996,6.770833333333331,16.666666666666668,0.4745657779307556,0.3414654441565433,0.871311224427309
qwen3.8-flash,CN,control,de,sw,8.333333333333334,5.729166666666666,14.583333333333334,0.5053381436253295,0.34231964592050623,0.9204690381267389
seed-2-1-turbo,CN,he,zh,en,5.729166666666666,2.604166666666667,9.375,2.1794205670478566,1.2327174376914116,3.583282838820968
seed-2-1-turbo,CN,de,zh,sw,16.145833333333332,12.499999999999998,22.395833333333336,1.2137224523674026,0.953856500504082,1.7848070190651601
seed-2-1-turbo,CN,pg,zh,sw,20.833333333333336,15.625000000000004,28.125,1.088990662164298,0.8493367040500949,1.5044221557798878
seed-2-1-turbo,CN,control,zh,es,7.8125,5.208333333333334,13.541666666666668,0.7651792668338435,0.5160318480784991,1.474324163081538
