,deepseek-v4-pro,gemini-3.1-flash-lite,gemma-4-31b,glm-5.2,gpt-5.6-luna,gpt-5.6-sol,gpt-5.6-terra,grok-4.3,haiku-4.5,hy3,inkling,kimi-k2.6,kimi-k3,ling-3.0-flash,mimo-v2.5-pro,minimax-m3,nemotron-3-ultra,qwen3.7-plus,qwen3.8-27b,qwen3.8-flash,seed-2-1-turbo,sonnet-5
inkling,0.04761904761904757,0.03831070831790974,-0.25779002347362406,0.1904761904761904,0.738095238095238,0.3333333333333332,0.4285714285714284,-0.34731161595484505,-0.6428571428571427,-0.6107893935757618,,-0.35714285714285704,0.15569141404872364,-0.3333333333333333,-0.5,0.09523809523809523,-0.08383383833392803,-0.16666666666666663,-0.16868694244915794,0.6467181814331596,-0.3809523809523808,-0.04761904761904766
kimi-k2.6,0.42857142857142855,-0.4980392081328269,0.4173743237192009,0.07142857142857142,-0.047619047619047616,-0.11904761904761904,0.119047619047619,0.13173888881045845,0.7142857142857142,0.10778636357219329,-0.35714285714285704,,0.44312171690790575,-0.23809523809523803,0.5238095238095237,0.16666666666666663,0.2754540402400495,-0.11904761904761903,-0.3373738848983159,-0.2994065654783147,0.6666666666666665,-7.747773491467413e-18
kimi-k3,-0.09581010095306071,-0.06423467455163846,0.14819332904219887,0.6826469692905575,0.1556914140487236,0.08383383833392814,0.10778636357219333,0.36144578313253006,0.035928787857397795,0.2831325301204818,0.15569141404872364,0.44312171690790575,,-0.2754540402400495,0.4790505047653034,0.17964393928698882,0.5542168674698794,-0.10778636357219328,0.024242869478275444,-0.024096385542168655,0.07185757571479555,-0.4311454542887731
ling-3.0-flash,-0.2619047619047618,0.07662141663581948,-0.49102861614023613,-0.6190476190476188,0.0952380952380952,0.26190476190476186,0.02380952380952375,-0.09581010095306071,0.16666666666666666,0.07185757571479555,-0.3333333333333333,-0.23809523809523803,-0.2754540402400495,,0.4523809523809522,2.9663736191087513e-17,0.22754898976351914,-0.4523809523809523,-0.20483414440254893,-0.7065994945288226,-0.14285714285714282,0.47619047619047605
mimo-v2.5-pro,-0.0476190476190476,-0.3192559026492481,-0.23323859266661223,9.693012469943534e-18,-0.09523809523809519,0.1904761904761904,0.023809523809523805,0.07185757571479559,0.7142857142857143,0.6107893935757621,-0.5,0.5238095238095237,0.4790505047653034,0.4523809523809522,,0.4761904761904761,0.3712641411931102,-0.047619047619047596,-0.09639253854237603,-0.6586944440522923,0.49999999999999994,0.26190476190476186
minimax-m3,-0.19047619047619044,-0.6768225136164059,-0.6628886317893189,0.04761904761904759,-0.023809523809523784,2.9663736191087513e-17,-0.09523809523809523,-0.5628843430992316,0.49999999999999994,0.3952166664313754,0.09523809523809523,0.16666666666666663,0.17964393928698882,2.9663736191087513e-17,0.4761904761904761,,-0.43114545428877316,0.4999999999999999,-0.2530304136737369,0.23952525238265177,0.6666666666666665,0.23809523809523805
nemotron-3-ultra,0.0838338383339282,0.1798570887445877,0.21611527151987328,0.023952525238265167,0.27545404024004955,0.32335909071657987,0.19162020190612145,0.31927710843373497,1.2839538936309125e-17,0.024096385542168683,-0.08383383833392803,0.2754540402400495,0.5542168674698794,0.22754898976351914,0.3712641411931102,-0.43114545428877316,,-0.6706707066714249,-0.012121434739137727,-0.6024096385542168,-0.20359646452525398,-0.13173888881045848
qwen3.7-plus,-0.11904761904761904,-0.12770236105969918,-0.08593000782454135,0.4047619047619047,-0.5952380952380951,-0.28571428571428564,-0.3809523809523808,-0.09581010095306071,0.19047619047619044,0.610789393575762,-0.16666666666666663,-0.11904761904761903,-0.10778636357219328,-0.4523809523809523,-0.047619047619047596,0.4999999999999999,-0.6706707066714249,,0.48196269271187986,0.46707424214617094,0.3809523809523809,-0.09523809523809518
qwen3.8-27b,0.1807360097669549,0.723801819911489,0.3354619694425377,0.5422080293008648,-0.26507948099153394,0.2891776156271279,0.108441605860173,0.5151609764133532,-0.27712854830933087,0.4606145200872334,-0.16868694244915794,-0.3373738848983159,0.024242869478275444,-0.20483414440254893,-0.09639253854237603,-0.2530304136737369,-0.012121434739137727,0.48196269271187986,,-0.04242502158698203,-0.3735210868517069,0.012049067317796995
qwen3.8-flash,-0.20359646452525396,-0.14773975146876842,-0.08644610860794934,0.3832404038122428,0.01197626261913257,-0.347311615954845,-0.17964393928698882,-0.2710843373493975,-0.45509797952703834,-0.253012048192771,0.6467181814331596,-0.2994065654783147,-0.024096385542168655,-0.7065994945288226,-0.6586944440522923,0.23952525238265177,-0.6024096385542168,0.46707424214617094,-0.04242502158698203,,-0.0479050504765304,-0.43114545428877316
seed-2-1-turbo,0.09523809523809526,-0.8683760552059546,-0.18413573105258857,-0.19047619047619044,-0.33333333333333326,-0.28571428571428564,-0.28571428571428564,-0.4550979795270383,0.9047619047619047,0.40719292905050797,-0.3809523809523808,0.6666666666666665,0.07185757571479555,-0.14285714285714282,0.49999999999999994,0.6666666666666665,-0.20359646452525398,0.3809523809523809,-0.3735210868517069,-0.0479050504765304,,0.14285714285714282
sonnet-5,0.5714285714285713,-0.025540472211939887,-0.3068928850876476,-0.5238095238095237,0.42857142857142844,0.7142857142857141,0.6190476190476188,-0.3832404038122428,0.33333333333333326,-0.11976262619132587,-0.04761904761904766,-7.747773491467413e-18,-0.4311454542887731,0.47619047619047605,0.26190476190476186,0.23809523809523805,-0.13173888881045848,-0.09523809523809518,0.012049067317796995,-0.43114545428877316,0.14285714285714282,
