model,origin,capability_index,mean_refusal_4types_d1en,B0_ai_logOR_ps,B0_ai_logOR_ct,B1_geo_excess_ps,B1_geo_excess_ct,B1_neutral_excess_ps,B1_neutral_excess_ct,B2_range_excess_pp_ps,B2_range_excess_pp_ct,B2_range_ratio_ps,B2_range_ratio_ct
nemotron-3.5-lightning,US,46.70959595959596,7.560263961605584,0.3806498101093161,0.0,0.0663376045743112,-0.1761970520019531,-0.1211802577972411,-0.3125000000000001,,,,
nova-2-lite,US,46.46717171717172,18.489583333333336,0.309625388158733,0.2758760893194004,0.3624402967897903,0.4283455037380755,0.1342272842791653,-0.1285780043829055,,,,
kimi-k2.6,CN,77.37878787878788,17.708333333333336,0.585318753191763,0.3486794194570515,0.0784424662632734,-0.0991298572941962,-0.0394266785442662,-0.077846924463908,6.893159722222222,8.085416666666667,3.057723602516662,2.3527361449982576
mimo-v2.5-pro,CN,72.60606060606061,11.848958333333336,0.6138236693178227,0.4115868892293217,0.1049745264594624,-0.0770102301475537,0.1783523162206015,0.7265625,8.655833333333334,11.551041666666668,4.525398800769318,3.2579922622683775
kimi-k3,CN,67.79545454545455,10.546875,0.6232320306789374,0.2342867067507135,0.1481335348900489,0.0453610196974937,-0.0531743006435609,-0.1551846590909091,2.1076388888888893,3.9572916666666655,1.875901875901876,1.8081259306530526
qwen3.7-plus,CN,62.26010101010101,16.40625,0.2495975556881149,0.0273533439840181,0.1485525609552299,0.040405026426734,0.0961883508429679,0.136159730994183,9.161388888888888,8.787916666666668,4.464754701124067,2.666087368670511
seed-2-1-turbo,CN,61.78787878787879,11.588541666666664,0.2565847894374751,-0.2523674511730571,-0.0132780036879059,-0.1285853206354658,0.0453610196974938,-0.0666155133928572,10.94954861111111,2.6141666666666667,4.959009704593675,1.5028855402372556
qwen3.8-flash,CN,58.26262626262626,15.364583333333332,0.4477769186775862,0.227090344831168,0.1030531053799119,-0.0753706876195793,-0.0659278975191413,0.0776873136821545,2.414722222222222,2.9193750000000014,1.8643730734811574,1.5392311540385581
deepseek-v4-pro,CN,57.75757575757576,13.28125,0.4995025654984859,-0.0357032141138571,-0.0180991843822318,-0.0034194681073842,-0.0741496332647824,-0.1551846590909091,12.527256944444446,1.316770833333334,4.829379610465425,1.2414293626692643
hy3,CN,56.50757575757576,19.010416666666664,0.2935235479284095,0.3021616555216075,0.2353971027933268,-0.0753706876195793,0.0140400831702289,0.0648397334984369,12.058229166666663,5.907395833333333,5.468136844949373,2.3100556723417034
ling-3.0-flash,CN,53.72727272727273,19.921875,0.1715844178552865,0.1473190818489598,0.1433864472677841,-0.1253706876195793,0.0663376045743112,-0.0772790041836825,16.5,18.681041666666665,5.761523046092184,3.7312296305321184
glm-5.2,CN,52.97979797979798,21.875,0.4015920796119134,0.2835905443203291,0.0173459912512163,-0.0184276069193642,-0.0271994837121788,0.0238029479980469,8.985659722222222,11.089791666666668,3.556855344669163,2.818681881854522
minimax-m3,CN,52.76010101010101,22.916666666666664,0.2075382622651662,0.2434059434246471,0.0913215155626852,-0.093705675296919,-0.0573677634856303,-0.0774499340914191,11.481875,5.505309227748686,3.892514126764752,1.7870697085836644
qwen3.8-27b,CN,51.48989898989899,19.401041666666664,0.7399005956590792,0.1710342263338449,0.1196374131078556,-0.0003801924303377,0.0687831135767002,-0.1247098342232082,2.989618055555556,7.921458333333337,1.9169533221866046,2.2899209553210986
